productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extCardText,extAttack1,extWeakness,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extResistance,extAttack2,extAttack3
131695,M Lucario EX - 55a/111,M Lucario EX 55a 111,https://tcgplayer-cdn.tcgplayer.com/product/131695_200w.jpg,3,1938,https://cpt.tcgcsv.com/WH32,2022-09-16T20:23:53.527,1,055a/111,Promo,Fighting,220,Mega,"<em>Mega Evolution rule — When 1 of your Pokémon becomes a Mega Evolution Pokémon, your turn ends.</em>
<br><br>
<em>Pokémon-EX rule — When a Pokémon-EX has been Knocked Out, your opponent takes 2 Prize cards.</em>","[FFF] Rising Fist (140)
<br>Discard an Energy attached to your opponent's Active Pokémon.",Px2,2,45.0,68.39,9999.0,62.95,63.01,Holofoil,,,
131696,M Manectric EX - 24a/119,M Manectric EX 24a 119,https://tcgplayer-cdn.tcgplayer.com/product/131696_200w.jpg,3,1938,https://cpt.tcgcsv.com/XH32,2025-11-04T03:00:48.593,1,024a/119,Promo,Lightning,210,Mega,"<em>Mega Evolution rule — When 1 of your Pokémon becomes a Mega Evolution Pokémon, your turn ends.</em>
<br>
<em>Pokémon-EX rule — When a Pokémon-EX has been Knocked Out, your opponent takes 2 Prize cards.</em>","[1L] Turbo Bolt (110)
Attach 2 basic Energy cards from your discard pile to 1 of your Benched Pokémon.",Fx2,,9.99,15.76,42.8,14.18,15.49,Holofoil,M-20,,
131697,Jolteon EX - 28a/83,Jolteon EX 28a 83,https://tcgplayer-cdn.tcgplayer.com/product/131697_200w.jpg,3,1938,https://cpt.tcgcsv.com/ZH32,2026-02-17T12:38:40.703,1,028a/083,Promo,Lightning,160,Basic,"<em>Pokémon-EX rule — When a Pokémon-EX has been Knocked Out, your opponent takes 2 Prize cards.</em>","[L] Swift (30)
<br>This attack's damage isn't affected by Weakness, Resistance, or any other effects on your opponent's Active Pokémon.",Fx2,,17.25,26.43,9999.0,22.74,30.87,Holofoil,M-20,"[2L] Flash Ray (70)
<br>During your opponent's next turn, prevent all damage done to this Pokémon by attacks from Basic Pokémon.",
131698,Zygarde EX - 54a/124,Zygarde EX 54a 124,https://tcgplayer-cdn.tcgplayer.com/product/131698_200w.jpg,3,1938,https://cpt.tcgcsv.com/-H32,2026-02-16T15:09:28.693,1,054a/124,Promo,Fighting,190,Basic,"<em>Pokémon-EX rule — When a Pokémon-EX has been Knocked Out, your opponent takes 2 Prize cards.</em>","[F] Land's Pulse (20+)
<br>If there is any Stadium card in play, this attack does 20 more damage.",Gx2,3,26.24,52.99,200.0,50.11,52.12,Holofoil,,"[1F] Cell Storm (60)
<br>Heal 30 damage from this Pokémon.",[1FF] Land's Wrath (100)
133813,Professor Sycamore - 107a/122 (Holofoil),Professor Sycamore 107a 122 Holofoil,https://tcgplayer-cdn.tcgplayer.com/product/133813_200w.jpg,3,1938,https://cpt.tcgcsv.com/hx52,2024-07-26T15:59:55.527,1,107a/122,Promo,Supporter,,,"Discard your hand and draw 7 cards.
<br><br>
You may play only 1 Supporter card during your turn <em>(before your attack)</em>.",,,,0.45,1.08,3.49,1.17,1.0,Holofoil,,,
133814,Professor Sycamore - 107a/122 (Non-Holo),Professor Sycamore 107a 122 Non Holo,https://tcgplayer-cdn.tcgplayer.com/product/133814_200w.jpg,3,1938,https://cpt.tcgcsv.com/jx52,2022-09-16T16:20:55.613,1,107a/122,Promo,Supporter,,,"Discard your hand and draw 7 cards.
<br><br> You may play only 1 Supporter card during your turn <em>(before your attack)</em>.",,,,0.24,0.57,2.49,0.51,0.97,Normal,,,
133815,Trainers' Mail - 92a/108 (Non-Holo),Trainers Mail 92a 108 Non Holo,https://tcgplayer-cdn.tcgplayer.com/product/133815_200w.jpg,3,1938,https://cpt.tcgcsv.com/kx52,2025-11-25T02:50:21.577,1,092a/108,Promo,Item,,,"Look at the top 4 cards of your deck. You may reveal a Trainer card you find there (except for Trainers' Mail) and put it into your hand. Shuffle the other cards back into your deck.
<br><br>
You may play as many Item cards as you like during your turn <em>(before your attack)</em>.",,,,1.19,1.88,7.21,1.86,1.81,Normal,,,
133816,Trainers' Mail - 92a/108 (Holo),Trainers Mail 92a 108 Holo,https://tcgplayer-cdn.tcgplayer.com/product/133816_200w.jpg,3,1938,https://cpt.tcgcsv.com/lx52,2022-09-16T20:48:57.473,1,092a/108,Promo,Item,,,"Look at the top 4 cards of your deck. You may reveal a Trainer card you find there (except for Trainers' Mail) and put it into your hand. Shuffle the other cards back into your deck.
<br><br>
You may play as many Item cards as you like during your turn <em>(before your attack)</em>.",,,,1.25,2.25,96.95,2.23,2.15,Holofoil,,,
148226,Premium Trainer's XY Collection,Premium Trainers XY Collection,https://tcgplayer-cdn.tcgplayer.com/product/148226_200w.jpg,3,1938,https://cpt.tcgcsv.com/xjc2,2018-03-30T17:58:24.163,1,,,,,,"The Pokemon TCG: Premium Trainer's XY Collection includes the following:
<br>• Full-art foil promo cards featuring Shaymin EX and Yveltal EX, with special art treatments!
<br>• 12 more full-art foil promo cards including Aegislash EX, Jirachi, N (Supporter), and more!
<br>• 2 Pokemon TCG booster packs from the XY Series
<br>• A metal coin featuring a Pikachu head and tail
<br>• 2 sets of 65 card sleeves featuring Xerneas and Yveltal
<br>• A double deck box featuring Xerneas and Yveltal
<br>• 2 sets of tournament-ready dice
<br>• A code card for the Pokemon Trading Card Game Online
<br>• A large, kickstand-style box to hold it all",,,,2750.0,2999.99,4000.0,2060.61,,Normal,,,
148339,Blacksmith - 88a/106,Blacksmith 88a 106,https://tcgplayer-cdn.tcgplayer.com/product/148339_200w.jpg,3,1938,https://cpt.tcgcsv.com/Plc2,2022-09-16T19:52:18.9,1,088a/106,Promo,Supporter,,,"Attach 2 Fire Energy cards from your discard pile to 1 of your Fire Pokémon.
<br><br>
You may play only 1 Supporter card during your turn <em>(before your attack)</em>.",,,,17.88,22.23,9999.0,22.23,,Holofoil,,,
