productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extWeakness,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardText,extResistance,extAttack3
83487,Aipom,Aipom,https://tcgplayer-cdn.tcgplayer.com/product/83487_200w.jpg,3,1397,https://cpt.tcgcsv.com/MpH,2022-11-30T18:41:33.07,1,067/147,Common,Colorless,50,Basic,"[1] Stretch Tail
<br>Flip a coin. If heads, choose 1 of your opponent's Benched Pokémon and this attack does 10 damage to it. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em>","[2] Skedaddle (20)
<br>Return Aipom and all basic Energy cards attached to it to your hand. If you have no Benched Pokémon, this attack does nothing.",F,1,2.9,4.03,6.0,3.96,,Normal,,,
83487,Aipom,Aipom,https://tcgplayer-cdn.tcgplayer.com/product/83487_200w.jpg,3,1397,https://cpt.tcgcsv.com/MpH,2022-11-30T18:41:33.07,1,067/147,Common,Colorless,50,Basic,"[1] Stretch Tail
<br>Flip a coin. If heads, choose 1 of your opponent's Benched Pokémon and this attack does 10 damage to it. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em>","[2] Skedaddle (20)
<br>Return Aipom and all basic Energy cards attached to it to your hand. If you have no Benched Pokémon, this attack does nothing.",F,1,99.99,499.97,499.97,25.92,,Reverse Holofoil,,,
83536,Ampharos,Ampharos,https://tcgplayer-cdn.tcgplayer.com/product/83536_200w.jpg,3,1397,https://cpt.tcgcsv.com/LqH,2022-11-30T18:43:11.76,1,001/147,Rare,Lightning,100,Stage 2,"[L] Thundershock (20)
<br>Flip a coin. If heads, the Defending Pokémon is now Paralyzed.","[1LL] Reflect Energy (50) 
<br>If you have any Benched Pokémon and if there are any basic Energy cards attached to Ampharos, take 1 of those Energy cards and attach it to 1 of those Pokémon.",F,2,24.0,24.75,30.0,25.0,,Normal,,,
83536,Ampharos,Ampharos,https://tcgplayer-cdn.tcgplayer.com/product/83536_200w.jpg,3,1397,https://cpt.tcgcsv.com/LqH,2022-11-30T18:43:11.76,1,001/147,Rare,Lightning,100,Stage 2,"[L] Thundershock (20)
<br>Flip a coin. If heads, the Defending Pokémon is now Paralyzed.","[1LL] Reflect Energy (50) 
<br>If you have any Benched Pokémon and if there are any basic Energy cards attached to Ampharos, take 1 of those Energy cards and attach it to 1 of those Pokémon.",F,2,99.99,99.99,99.99,39.99,,Reverse Holofoil,,,
83537,Ampharos (H1),Ampharos H1,https://tcgplayer-cdn.tcgplayer.com/product/83537_200w.jpg,3,1397,https://cpt.tcgcsv.com/MqH,2022-11-30T18:44:44.503,1,H01/H32,Holo Rare,Lightning,100,Stage 2,"[L] Thundershock (20)
<br>Flip a coin. If heads, the Defending Pokémon is now Paralyzed.","[1LL] Reflect Energy (50)
<br>If you have any Benched Pokémon and if there are any basic Energy cards attached to Ampharos, take 1 of those Energy cards and attach it to 1 of those Pokémon.",F,2,299.99,362.25,425.0,248.41,,Holofoil,,,
83563,Apricorn Forest,Apricorn Forest,https://tcgplayer-cdn.tcgplayer.com/product/83563_200w.jpg,3,1397,https://cpt.tcgcsv.com/hrH,2022-11-30T18:46:55.54,1,118/147,Rare,Stadium,,,,,,,4.1,5.88,4321.0,5.76,,Normal,"This card stays in play when you play it. Discard this card if another Stadium card comes into play.
<br>
Once during each player's turn <em>(before attacking)</em>, if that player's Bench isn't full, that player flips a coin. If heads, that player shows his or her opponent a basic Energy card from his or her hand. Then, that player searches his or her deck for a Basic Pokémon card of the same type (color) as the revealed Energy card and puts it onto his or her Bench. The player shuffles his or her deck afterward.",,
83563,Apricorn Forest,Apricorn Forest,https://tcgplayer-cdn.tcgplayer.com/product/83563_200w.jpg,3,1397,https://cpt.tcgcsv.com/hrH,2022-11-30T18:46:55.54,1,118/147,Rare,Stadium,,,,,,,19.99,20.0,26.0,19.99,,Reverse Holofoil,"This card stays in play when you play it. Discard this card if another Stadium card comes into play.
<br>
Once during each player's turn <em>(before attacking)</em>, if that player's Bench isn't full, that player flips a coin. If heads, that player shows his or her opponent a basic Energy card from his or her hand. Then, that player searches his or her deck for a Basic Pokémon card of the same type (color) as the revealed Energy card and puts it onto his or her Bench. The player shuffles his or her deck afterward.",,
83575,Arcanine,Arcanine,https://tcgplayer-cdn.tcgplayer.com/product/83575_200w.jpg,3,1397,https://cpt.tcgcsv.com/wrH,2022-11-30T18:48:35.207,1,002/147,Rare,Fire,90,Stage 1,"[3] Fire Blow (30+)
<br>You may discard any number of Fire Energy cards attached to Arcanine. If you do, flip a number of coins equal to the number of Fire Energy cards you discarded. This attack does 30 damage plus 30 more damage for each heads.",,W,3,100.0,139.85,4321.0,47.71,,Normal,"<strong>Poké-BODY — Extreme Speed</strong>
<br>
You pay 1 Colorless less to retreat Arcanine for each Energy attached to it.",,
83576,Arcanine (H2),Arcanine H2,https://tcgplayer-cdn.tcgplayer.com/product/83576_200w.jpg,3,1397,https://cpt.tcgcsv.com/xrH,2022-11-30T18:49:45.61,1,H02/H32,Holo Rare,Fire,90,Stage 1,"[3] Fire Blow (30+)
<br>You may discard any number of Fire Energy cards attached to Arcanine. If you do, flip a number of coins equal to the number of Fire Energy cards you discarded. This attack does 30 damage plus 30 more damage for each heads.",,W,3,475.0,475.0,502.42,499.99,,Holofoil,"<strong>Poké-BODY — Extreme Speed</strong>
<br>
You pay 1 Colorless less to retreat Arcanine for each Energy attached to it.",,
83613,Ariados,Ariados,https://tcgplayer-cdn.tcgplayer.com/product/83613_200w.jpg,3,1397,https://cpt.tcgcsv.com/hsH,2022-11-30T18:52:10.99,1,003/147,Rare,Grass,70,Stage 1,"[1G] Spider Force (20+)
<br>Flip a coin. If heads, this attack does 20 damage plus 10 more damage. If tails, this attack does 20 damage and the Defending Pokémon is now Paralyzed.",,R,,14.9,15.99,18.0,4.76,,Normal,"<strong>Poké-BODY — Gluey Slime</strong>
<br>
As long as Ariados is in play, each player must pay an additional Colorless to retreat his or her Active Pokémon. Gluey Slime can't make a player pay more than an additional Colorless to retreat a Pokémon, even if there is more than 1 Ariados in play.",,
