productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extCardText,extAttack1,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extAttack2,extAttack3,extUPC
83470,Aerodactyl,Aerodactyl,https://tcgplayer-cdn.tcgplayer.com/product/83470_200w.jpg,3,1391,https://cpt.tcgcsv.com/qpH,2023-11-14T21:30:58.943,1,13/99,Rare,Fighting,80,Stage 1,"Unearth - Once during your turn (before your attack), you may search your deck for Helix Fossil, Dome Fossil, or Old Amber, show it to your opponent, and put it into your hand.  Shuffle your deck afterward.  This power can't be used if Aerodactyl is affected by a Special Condition.  (Poke-POWER)","[2] Hyper  Beam (30) Flip a coin.  If heads, discard an Energy card attached to the Defending Pokemon.",L+20,F-20,1,1.15,1.89,4.0,1.94,,Normal,,,
83470,Aerodactyl,Aerodactyl,https://tcgplayer-cdn.tcgplayer.com/product/83470_200w.jpg,3,1391,https://cpt.tcgcsv.com/qpH,2023-11-14T21:30:58.943,1,13/99,Rare,Fighting,80,Stage 1,"Unearth - Once during your turn (before your attack), you may search your deck for Helix Fossil, Dome Fossil, or Old Amber, show it to your opponent, and put it into your hand.  Shuffle your deck afterward.  This power can't be used if Aerodactyl is affected by a Special Condition.  (Poke-POWER)","[2] Hyper  Beam (30) Flip a coin.  If heads, discard an Energy card attached to the Defending Pokemon.",L+20,F-20,1,2.06,6.73,9.99,6.41,,Reverse Holofoil,,,
83592,Arceus (AR1),Arceus AR1,https://tcgplayer-cdn.tcgplayer.com/product/83592_200w.jpg,3,1391,https://cpt.tcgcsv.com/SrH,2026-01-06T17:24:38.62,1,AR1,Holo Rare,Darkness,70,Basic,,"[1D] Prize Count (20+) If you have more Prize cards left than your opponent, this attack does 20 damage plus 60 more damage.",Fx2,P-20,1,25.0,70.02,99.99,43.45,99.99,Holofoil,,,
83593,Arceus (AR2),Arceus AR2,https://tcgplayer-cdn.tcgplayer.com/product/83593_200w.jpg,3,1391,https://cpt.tcgcsv.com/TrH,2022-06-09T18:24:18.817,1,AR2,Holo Rare,Grass,90,Basic,,[1G] Leaf Refresh (30) Remove 3 damage counters from each of your Benched Pokemon.,Rx2,W-20,2,20.0,29.99,49.95,31.77,,Holofoil,,,
83594,Arceus (AR3),Arceus AR3,https://tcgplayer-cdn.tcgplayer.com/product/83594_200w.jpg,3,1391,https://cpt.tcgcsv.com/VrH,2023-05-21T08:27:38.2,1,AR3,Holo Rare,Fire,80,Basic,,"[2R] Bright Flame (80) Flip a coin.  If tails, discard 2 Energy attached to Arceus.",Wx2,,1,10.0,23.98,1000.0,25.69,,Holofoil,,,
83595,Arceus (AR4),Arceus AR4,https://tcgplayer-cdn.tcgplayer.com/product/83595_200w.jpg,3,1391,https://cpt.tcgcsv.com/WrH,2020-12-16T19:04:48.337,1,AR4,Holo Rare,Water,90,Basic,,"[2W] Fastwave (50) This attack's damage isn't affected by Resistance, Poke-Powers, Poke-Bodies, or any other effects on the Defending Pokemon.",Lx2,,2,25.3,42.22,79.99,46.53,,Holofoil,,,
83596,Arceus (AR5),Arceus AR5,https://tcgplayer-cdn.tcgplayer.com/product/83596_200w.jpg,3,1391,https://cpt.tcgcsv.com/XrH,2020-12-16T19:04:48.907,1,AR5,Holo Rare,Colorless,80,Basic,,"[0] Ripple Swell - If you have 6 Arceus in play and each of them is a different type, search your deck for up to 6 basic Energy cards.  Attach each of those Energy cards to a different Pokemon you have in play.  Shuffle your deck afterward.",Fx2,,1,23.44,34.46,79.94,31.61,,Holofoil,[3] Sky Spear - Choose 1 of your opponent's Pokemon.  This attack does 80 damage to that Pokemon.  (Don't apply Weakness and Resistance for Benched Pokemon.)  Remove all Energy cards attached to Arceus and put them in the Lost Zone.,,
83597,Arceus (AR6),Arceus AR6,https://tcgplayer-cdn.tcgplayer.com/product/83597_200w.jpg,3,1391,https://cpt.tcgcsv.com/ZrH,2025-10-31T23:35:56.42,1,AR6,Holo Rare,Lightning,70,Basic,,[1L] Lightning Turn (30) Switch Arceus with 1 of your Benched Pokemon.,Fx2,M-20,1,9.74,14.5,35.0,19.3,9.99,Holofoil,,,
83598,Arceus (AR7),Arceus AR7,https://tcgplayer-cdn.tcgplayer.com/product/83598_200w.jpg,3,1391,https://cpt.tcgcsv.com/-rH,2020-12-16T19:04:49.907,1,AR7,Holo Rare,Psychic,80,Basic,,[2P] Mind Bend (40) The Defending Pokemon is now Confused.,Px2,,1,17.61,35.67,45.02,27.51,,Holofoil,,,
83599,Arceus (AR8),Arceus AR8,https://tcgplayer-cdn.tcgplayer.com/product/83599_200w.jpg,3,1391,https://cpt.tcgcsv.com/_rH,2020-12-16T19:04:50.447,1,AR8,Holo Rare,Fighting,80,Basic,,[2F] Break Ground (60) Does 10 damage to each of your Benched Pokemon.  (Don't apply Weakness and Resistance for Benched Pokemon.),Wx2,L-20,2,18.0,24.99,56.96,29.81,,Holofoil,,,
