productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extCardText,extAttack1,extWeakness,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extAttack2,extResistance
106996,Alakazam,Alakazam,https://tcgplayer-cdn.tcgplayer.com/product/106996_200w.jpg,3,1663,https://cpt.tcgcsv.com/XPS,2024-02-15T14:59:12.013,1,001/102,Holo Rare,Psychic,80,Stage 2,"<strong>Pokémon Power: Damage Swap</strong> As often as you like during your turn <em>(before your attack)</em>, you may move 1 damage counter from 1 of your Pokémon to another as long as you don't Knock Out that Pokémon. This power can't be used if Alakazam is Asleep, Confused, or Paralyzed.","[PPP] Confuse Ray (30)
<br>Flip a coin. If heads, the Defending Pokémon is now Confused.",P,3,69.69,94.42,145.0,252.83,,Unlimited Holofoil,,
106997,Blastoise,Blastoise,https://tcgplayer-cdn.tcgplayer.com/product/106997_200w.jpg,3,1663,https://cpt.tcgcsv.com/ZPS,2022-11-15T15:52:45.847,1,002/102,Holo Rare,Water,100,Stage 2,"<strong>Pokémon Power: Rain Dance</strong> As often as you like during your turn <em>(before your attack)</em>, you may attach 1 Water Energy card to 1 of your Water Pokémon. <em>(This doesn't use up your 1 Energy card attachment for the turn.)</em> This power can't be used if Blastoise is Asleep, Confused, or Paralyzed.","[WWW] Hydro Pump (40+)
<br>Does 40 damage plus 10 more damage for each Water Energy attached to Blastoise but not used to pay for this attack's Energy cost. Extra Water Energy after the 2nd doesn't count.",L,3,691.77,692.07,820.0,845.32,,Unlimited Holofoil,,
106998,Chansey,Chansey,https://tcgplayer-cdn.tcgplayer.com/product/106998_200w.jpg,3,1663,https://cpt.tcgcsv.com/-PS,2022-11-15T15:54:57.7,1,003/102,Holo Rare,Psychic,120,Basic,,"[2] Scrunch
<br>Flip a coin. If heads, prevent all damage done to Chansey during your opponent's next turn. <em>(Any other effects of attacks still happen.)</em>",F,1,261.49,368.24,474.98,400.0,,1st Edition Holofoil,"[4] Double-edge (80)
<br>Chansey does 80 damage to itself.",P-30
106998,Chansey,Chansey,https://tcgplayer-cdn.tcgplayer.com/product/106998_200w.jpg,3,1663,https://cpt.tcgcsv.com/-PS,2022-11-15T15:54:57.7,1,003/102,Holo Rare,Psychic,120,Basic,,"[2] Scrunch
<br>Flip a coin. If heads, prevent all damage done to Chansey during your opponent's next turn. <em>(Any other effects of attacks still happen.)</em>",F,1,23.02,47.08,4321.0,71.04,,Unlimited Holofoil,"[4] Double-edge (80)
<br>Chansey does 80 damage to itself.",P-30
106999,Charizard,Charizard,https://tcgplayer-cdn.tcgplayer.com/product/106999_200w.jpg,3,1663,https://cpt.tcgcsv.com/_PS,2023-01-13T23:32:40.3,1,004/102,Holo Rare,Fire,120,Stage 2,"<strong>Pokémon Power: Energy Burn</strong> As often as you like during your turn <em>(before your attack)</em>, you may turn all Energy attached to Charizard into Fire Energy for the rest of the turn. This power can't be used if Charizard is Asleep, Confused, or Paralyzed.","[RRRR] Fire Spin (100)
<br>Discard 2 Energy cards attached to Charizard in order to use this attack.",W,3,1099.99,2249.99,3187.0,2146.38,,Unlimited Holofoil,,F-30
107000,Gyarados,Gyarados,https://tcgplayer-cdn.tcgplayer.com/product/107000_200w.jpg,3,1663,https://cpt.tcgcsv.com/0QS,2022-11-15T16:11:24.51,1,006/102,Holo Rare,Water,100,Stage 1,,[WWW] Dragon Rage (50),G,3,2380.0,8330.0,14280.0,650.0,,1st Edition Holofoil,"[WWWW] Bubblebeam (40)
<br>Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",F-30
107000,Gyarados,Gyarados,https://tcgplayer-cdn.tcgplayer.com/product/107000_200w.jpg,3,1663,https://cpt.tcgcsv.com/0QS,2022-11-15T16:11:24.51,1,006/102,Holo Rare,Water,100,Stage 1,,[WWW] Dragon Rage (50),G,3,98.0,119.5,220.0,118.05,,Unlimited Holofoil,"[WWWW] Bubblebeam (40)
<br>Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",F-30
107001,Clefairy,Clefairy,https://tcgplayer-cdn.tcgplayer.com/product/107001_200w.jpg,3,1663,https://cpt.tcgcsv.com/2QS,2025-11-28T22:35:01.187,1,005/102,Holo Rare,Colorless,40,Basic,,"[1] Sing
<br>Flip a coin. If heads, the Defending Pokémon is now Asleep.",F,1,194.99,299.95,475.0,289.5,,1st Edition Holofoil,"[3] Metronome
<br>Choose 1 of the Defending Pokémon's attacks. Metronome copies that attack except for its Energy costs and anything else required to use that attack, such as discarding Energy cards. <em>(No matter what type the Defending Pokémon is, Clefairy's type is still Colorless.)</em>",P-30
107001,Clefairy,Clefairy,https://tcgplayer-cdn.tcgplayer.com/product/107001_200w.jpg,3,1663,https://cpt.tcgcsv.com/2QS,2025-11-28T22:35:01.187,1,005/102,Holo Rare,Colorless,40,Basic,,"[1] Sing
<br>Flip a coin. If heads, the Defending Pokémon is now Asleep.",F,1,83.99,111.88,344.81,126.0,,Unlimited Holofoil,"[3] Metronome
<br>Choose 1 of the Defending Pokémon's attacks. Metronome copies that attack except for its Energy costs and anything else required to use that attack, such as discarding Energy cards. <em>(No matter what type the Defending Pokémon is, Clefairy's type is still Colorless.)</em>",P-30
107002,Hitmonchan,Hitmonchan,https://tcgplayer-cdn.tcgplayer.com/product/107002_200w.jpg,3,1663,https://cpt.tcgcsv.com/3QS,2022-11-15T17:50:16.91,1,007/102,Holo Rare,Fighting,70,Basic,,[F] Jab (20),P,2,239.0,257.06,300.0,254.99,,1st Edition Holofoil,[1FF] Special Punch (40),
