productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extCardText,extAttack1,extWeakness,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extAttack2,extResistance
42444,Alakazam,Alakazam,https://tcgplayer-cdn.tcgplayer.com/product/42444_200w.jpg,3,605,https://cpt.tcgcsv.com/V-l,2025-12-10T05:51:13.417,1,001/130,Holo Rare,Psychic,80,Stage 2,"<strong>Pokémon Power: Damage Swap</strong> As often as you like during your turn <em>(before your attack)</em>, you may move 1 damage counter from 1 of your Pokémon to another as long as you don't Knock Out that Pokémon. This power can't be used if Alakazam is Asleep, Confused, or Paralyzed.","[PPP] Confuse Ray (30)
<br>Flip a coin. If heads, the Defending Pokémon is now Confused.",P,3,30.0,48.97,68.95,49.37,28.99,Holofoil,,
42445,Mewtwo,Mewtwo,https://tcgplayer-cdn.tcgplayer.com/product/42445_200w.jpg,3,605,https://cpt.tcgcsv.com/W-l,2022-11-15T19:51:52.807,1,010/130,Holo Rare,Psychic,60,Basic,,"[1P] Psychic (10+)
<br>Does 10 damage plus 10 more damage for each Energy card attached to the Defending Pokémon.",P,3,43.99,50.0,4321.0,47.66,,Holofoil,"[PP] Barrier
<br>Discard 1 Psychic Energy card attached to Mewtwo in order to use this attack. During your opponent's next turn, prevent all effects of attacks, including damage, done to Mewtwo.",
42446,Computer Search,Computer Search,https://tcgplayer-cdn.tcgplayer.com/product/42446_200w.jpg,3,605,https://cpt.tcgcsv.com/X-l,2026-02-24T23:27:16.89,1,101/130,Rare,Trainer,,,Discard 2 of the other cards from your hand in order to search your deck for any card and put it into your hand. Shuffle your deck afterward.,,,,0.9,2.49,10.0,2.53,,Normal,,
42447,Defender,Defender,https://tcgplayer-cdn.tcgplayer.com/product/42447_200w.jpg,3,605,https://cpt.tcgcsv.com/Z-l,2026-02-24T23:27:48.037,1,109/130,Uncommon,Trainer,,,"Attach Defender to 1 of your Pokémon. At the end of your opponent's next turn, discard Defender. Damage done to that Pokémon by attacks is reduced by 20 <em>(after applying Weakness and Resistance)</em>.",,,,0.1,0.4,7.93,0.43,0.27,Normal,,
42448,Nidoking,Nidoking,https://tcgplayer-cdn.tcgplayer.com/product/42448_200w.jpg,3,605,https://cpt.tcgcsv.com/--l,2025-12-10T05:57:27.73,1,011/130,Holo Rare,Grass,90,Stage 2,,"[2G] Thrash (30+)
<br>Flip a coin. If heads, this attack does 30 damage plus 10 more damage; if tails, this attack does 30 damage and Nidoking does 10 damage to itself.",P,3,14.95,23.89,74.95,23.94,74.95,Holofoil,"[GGG] Toxic (20)
<br>The Defending Pokémon is now Poisoned. It now takes 20 Poison damage instead of 10 after each player's turn <em>(even if it was already Poisoned)</em>.",
42449,Energy Retrieval,Energy Retrieval,https://tcgplayer-cdn.tcgplayer.com/product/42449_200w.jpg,3,605,https://cpt.tcgcsv.com/_-l,2024-07-26T16:11:41.287,1,110/130,Uncommon,Trainer,,,Trade 1 of the other cards in your hand for up to 2 basic Energy cards from your discard pile.,,,,0.02,0.39,2.67,0.43,,Normal,,
42450,Full Heal,Full Heal,https://tcgplayer-cdn.tcgplayer.com/product/42450_200w.jpg,3,605,https://cpt.tcgcsv.com/0_l,2026-02-24T23:32:15.797,1,111/130,Uncommon,Trainer,,,"Your Active Pokémon is no longer Asleep, Confused, Paralyzed, or Poisoned.",,,,0.08,0.39,6.01,0.42,0.19,Normal,,
42451,Bill,Bill,https://tcgplayer-cdn.tcgplayer.com/product/42451_200w.jpg,3,605,https://cpt.tcgcsv.com/2_l,2025-12-02T00:46:39.787,1,118/130,Common,Trainer,,,Draw 2 cards.,,,,0.1,0.35,9.99,0.36,,Normal,,
42452,Energy Removal,Energy Removal,https://tcgplayer-cdn.tcgplayer.com/product/42452_200w.jpg,3,605,https://cpt.tcgcsv.com/3_l,2026-02-24T23:29:59.22,1,119/130,Common,Trainer,,,Choose 1 Energy card attached to 1 of your opponent's Pokémon and discard it.,,,,0.05,0.33,4321.0,0.38,0.21,Normal,,
42453,Nidoqueen,Nidoqueen,https://tcgplayer-cdn.tcgplayer.com/product/42453_200w.jpg,3,605,https://cpt.tcgcsv.com/5_l,2025-12-10T05:57:52.633,1,012/130,Holo Rare,Grass,90,Stage 2,,"[1G] Boyfriends (20+)
<br>Does 20 damage plus 20 more damage for each Nidoking you have in play.",P,3,10.1,19.45,4321.0,25.14,24.99,Holofoil,[2GG] Mega Punch (50),
