productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extCardText,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extWeakness,extRetreatCost
265253,Pokemon TCG: Battle Academy 2022,Pokemon TCG Battle Academy 2022,https://tcgplayer-cdn.tcgplayer.com/product/265253_200w.jpg,3,3051,https://cpt.tcgcsv.com/5783,2022-07-12T12:57:29.827,1,"Join the Pokémon Trainers at the Battle Academy!
Prepare for a Pokémon battle with the read-to-play Pokémon Trading Card Game Battle Academy! The Battle Academy includes everything two players need to play, with guides to the decks so your first game is easy to follow.
<br>You can choose Cinderace or Pikachu to lead your team in a heads-up battle against another Trainer. Then, switch up the decks to play Eevee against Cinderace or Pikachu, and lead a different team of Pokémon into the arena! With a little strategy and a little luck, you can battle with the best!
<br><br>
The Pokémon TCG Battle Academy includes:
<br>• 3 complete Pokémon TCG decks (60 cards each)
<br>• Each deck includes a powerful special Pokémon: Cinderace V, Pikachu V, or Eevee V
<br>• 2 tutorial guides to play right away
<br>• 1 two-player game board
<br>• 3 deck boxes to keep the cards organized
<br>• 1 rulebook
<br>• 1 large metallic coin
<br>• 1 set of damage counters
<br>• A code card for the Pokémon Trading Card Game Online",1.0,16.73,9929.98,13.59,,Normal,,,,,,,,,
268077,Sizzlipede - 046/264 (#1 Cinderace Stamped),Sizzlipede 046 264 1 Cinderace Stamped,https://tcgplayer-cdn.tcgplayer.com/product/268077_200w.jpg,3,3051,https://cpt.tcgcsv.com/zf93,2023-05-08T16:05:10.387,1,,0.05,0.25,1.3,0.15,,Normal,046/264,Promo,Fire,80,Basic,[R] Gnaw (10),[1R] Ember (20),Wx2,2
268078,Sizzlipede - 046/264 (#14 Cinderace Stamped),Sizzlipede 046 264 14 Cinderace Stamped,https://tcgplayer-cdn.tcgplayer.com/product/268078_200w.jpg,3,3051,https://cpt.tcgcsv.com/Bf93,2023-05-08T16:01:48.643,1,,0.05,0.15,1.04,0.12,,Normal,046/264,Promo,Fire,80,Basic,[R] Gnaw (10),[1R] Ember (20),Wx2,2
268079,Sizzlipede - 046/264 (#17 Cinderace Stamped),Sizzlipede 046 264 17 Cinderace Stamped,https://tcgplayer-cdn.tcgplayer.com/product/268079_200w.jpg,3,3051,https://cpt.tcgcsv.com/Cf93,2023-05-08T16:05:26.64,1,,0.07,0.16,1.13,0.16,,Normal,046/264,Promo,Fire,80,Basic,[R] Gnaw (10),[1R] Ember (20),Wx2,1
268080,Sizzlipede - 046/264 (#56 Cinderace Stamped),Sizzlipede 046 264 56 Cinderace Stamped,https://tcgplayer-cdn.tcgplayer.com/product/268080_200w.jpg,3,3051,https://cpt.tcgcsv.com/Df93,2023-05-08T16:06:02.287,1,,0.02,0.19,0.99,0.12,,Normal,046/264,Promo,Fire,80,Basic,[R] Gnaw (10),[1R] Ember (20),Wx2,1
268081,Bug Catcher - 226/264 (#34 Cinderace Stamped),Bug Catcher 226 264 34 Cinderace Stamped,https://tcgplayer-cdn.tcgplayer.com/product/268081_200w.jpg,3,3051,https://cpt.tcgcsv.com/Ff93,2023-05-08T15:29:19.147,1,"Draw 2 cards. Flip a coin. If heads, draw 2 more cards.<br><br> You may play only 1 Supporter card during your turn <em>(before your attack)</em>.",0.02,0.15,1.04,0.11,,Normal,226/164,Promo,Supporter,,,,,,
268082,Bug Catcher - 226/264 (#47 Cinderace Stamped),Bug Catcher 226 264 47 Cinderace Stamped,https://tcgplayer-cdn.tcgplayer.com/product/268082_200w.jpg,3,3051,https://cpt.tcgcsv.com/Gf93,2023-05-08T15:31:29.737,1,"Draw 2 cards. Flip a coin. If heads, draw 2 more cards.<br><br> You may play only 1 Supporter card during your turn <em>(before your attack)</em>.",0.05,0.19,1.22,0.1,,Normal,226/264,Promo,Supporter,,,,,,
268083,Centiskorch - 049/264 (#15 Cinderace Stamped),Centiskorch 049 264 15 Cinderace Stamped,https://tcgplayer-cdn.tcgplayer.com/product/268083_200w.jpg,3,3051,https://cpt.tcgcsv.com/Hf93,2023-05-08T15:24:59.36,1,,0.03,0.15,1.04,0.12,,Normal,049/264,Promo,Fire,130,Stage 1,[R] Steady Firebreathing (30),[1RR] Heat Blast (100),Wx2,3
268084,Centiskorch - 049/264 (#30 Cinderace Stamped),Centiskorch 049 264 30 Cinderace Stamped,https://tcgplayer-cdn.tcgplayer.com/product/268084_200w.jpg,3,3051,https://cpt.tcgcsv.com/Jf93,2023-05-08T15:23:41.32,1,,0.07,0.21,1.24,0.16,,Normal,049/264,Promo,Fire,130,Stage 1,[R] Steady Firebreathing (30),[1RR] Heat Blast (100),Wx2,3
268085,Centiskorch - 049/264 (#51 Cinderace Stamped),Centiskorch 049 264 51 Cinderace Stamped,https://tcgplayer-cdn.tcgplayer.com/product/268085_200w.jpg,3,3051,https://cpt.tcgcsv.com/Kf93,2023-05-08T15:19:33.493,1,,0.08,0.2,0.99,0.13,,Normal,049/264,Promo,Fire,130,Stage 1,[R] Steady Firebreathing (30),[1RR] Heat Blast (100),Wx2,3
