productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extCardText,extUPC,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extCardType,extHP,extStage,extAttack1,extWeakness,extResistance,extRetreatCost,extAttack2
551930,Pokemon TCG: Battle Academy 2024,Pokemon TCG Battle Academy 2024,https://tcgplayer-cdn.tcgplayer.com/product/551930_200w.jpg,3,23520,https://cpt.tcgcsv.com/DNq6,2024-06-21T04:03:19.65,1,"Join the Pokémon Trainers at the Battle Academy!
Prepare for a Pokémon battle with the read-to-play Pokémon Trading Card Game Battle Academy! The Battle Academy includes everything two players need to play, with guides to the decks so your first game is easy to follow.
<br>Battle Academy box comes with a two-player game board, three 60-card decks featuring Pikachu ex, Armarouge ex and Darkrai ex, tutorial guides, and gameplay accessories.
<br><br>
The Pokémon TCG Battle Academy includes:
<br>• 3 complete Pokémon TCG decks (60 cards each)
<br>• Each deck includes a powerful special Pokémon: Pikachu ex, Armarouge ex and Darkrai ex
<br>• 2 tutorial guides to play right away
<br>• 1 two-player game board
<br>• 3 deck boxes to keep the cards organized
<br>• 1 rulebook
<br>• 1 large metallic coin
<br>• 1 set of damage counters
<br>• A code card for the Pokémon Trading Card Game Online",0820650856952,40.0,59.98,84.99,35.25,,Normal,,,,,,,,,,
556442,Code Card - Battle Academy 2024,Code Card Battle Academy 2024,https://tcgplayer-cdn.tcgplayer.com/product/556442_200w.jpg,3,23520,https://cpt.tcgcsv.com/SBs6,2024-06-21T18:32:59.843,1,"This listing is <strong>not</strong> a physical item. Please keep in mind that this <strong>Code Card</strong> listing represents a digital copy of the stated item for the Pokémon TCG Online <strong>and/or</strong> the Pokémon TCG Live games. You may receive the physical <strong>Code Card</strong>. Upon purchase, please work with your specific Seller by sending them a message using the <strong>Contact Seller</strong> button on the order details in your <a href=https://store.tcgplayer.com/myaccount/orderhistory>Order History</a> to opt in to having your <strong>Code Card</strong> code delivered digitally due to the nature of the product.",,0.12,0.16,0.19,0.18,,Normal,Code Card,,,,,,,,,
556443,Pikachu ex (Pikachu 60),Pikachu ex Pikachu 60,https://tcgplayer-cdn.tcgplayer.com/product/556443_200w.jpg,3,23520,https://cpt.tcgcsv.com/TBs6,2024-06-21T18:42:52.09,1,,,8.15,10.98,18.0,9.05,,Holofoil,Holo Rare,106,Lightning,200,Basic,[LLC] Thunderbolt (120),Fx2,None,1,
556444,Darkrai ex (Darkrai),Darkrai ex Darkrai,https://tcgplayer-cdn.tcgplayer.com/product/556444_200w.jpg,3,23520,https://cpt.tcgcsv.com/VBs6,2024-06-21T18:49:13.217,1,,,5.84,7.32,15.0,6.54,,Holofoil,Holo Rare,110,Darkness,210,Basic,[DC] Wind of Darkness (40),Gx2,None,2,[DDC] Night Impact (110)
556445,Armarouge ex (Armarouge 60),Armarouge ex Armarouge 60,https://tcgplayer-cdn.tcgplayer.com/product/556445_200w.jpg,3,23520,https://cpt.tcgcsv.com/WBs6,2024-06-21T18:50:52.177,1,,,1.28,2.74,5.0,2.6,,Holofoil,Holo Rare,105,Fire,260,Stage 1,"[RRC] Armor Cannon (200)
<br>Discard a R Energy from this Pokemon",Wx2,None,2,
556815,Bisharp - Darkrai Deck,Bisharp Darkrai Deck,https://tcgplayer-cdn.tcgplayer.com/product/556815_200w.jpg,3,23520,https://cpt.tcgcsv.com/kLs6,2024-06-24T17:45:47.517,1,,,0.15,0.25,1.49,0.17,,Normal,Promo,112,Darkness,100,Stage 1,[D] Cut (30),Gx2,None,1,
556818,Boss's Orders - Darkrai Deck,Bosss Orders Darkrai Deck,https://tcgplayer-cdn.tcgplayer.com/product/556818_200w.jpg,3,23520,https://cpt.tcgcsv.com/nLs6,2024-06-24T17:48:32.987,1,Switch 1 of your opponent's Benched Pokémon with their Active Pokémon.<br><br> You may play only 1 Supporter card during your turn.,,0.7,1.57,2.57,1.55,,Normal,Rare,172/193,Trainer - Supporter,,,,,,,
556821,Cyclizar - Darkrai Deck,Cyclizar Darkrai Deck,https://tcgplayer-cdn.tcgplayer.com/product/556821_200w.jpg,3,23520,https://cpt.tcgcsv.com/rLs6,2024-06-24T17:51:30.747,1,,,0.09,0.16,1.99,0.16,,Normal,Rare,164/193,Colorless,110,Basic,"[1] Touring
<br>
Draw 2 cards.",Fx2,None,,[3] Speed Attack (100)
556825,Basic Darkness Energy - Darkrai Deck,Basic Darkness Energy Darkrai Deck,https://tcgplayer-cdn.tcgplayer.com/product/556825_200w.jpg,3,23520,https://cpt.tcgcsv.com/wLs6,2024-06-24T19:57:09.8,1,,,0.07,0.14,0.3,0.13,,Normal,Common,007,Basic Darkness Energy,,,,,,,
556829,Great Ball - Darkrai Deck,Great Ball Darkrai Deck,https://tcgplayer-cdn.tcgplayer.com/product/556829_200w.jpg,3,23520,https://cpt.tcgcsv.com/CLs6,2024-06-24T17:57:41.16,1,"Look at the top 7 cards of your deck. You may reveal a Pokemon you find there and put it into your hand. Shuffle the other cards back into your deck.
<br><br>
You may play as many Item cards as you like during your turn.",,0.05,0.15,0.99,0.12,,Normal,Common,183/193,Trainer - Item,,,,,,,
556832,Jacq - Darkrai Deck,Jacq Darkrai Deck,https://tcgplayer-cdn.tcgplayer.com/product/556832_200w.jpg,3,23520,https://cpt.tcgcsv.com/GLs6,2024-06-24T17:59:25.6,1,"Search your deck for up to 2 Evolution Pokémon, reveal them, and put them into your hand. Then, shuffle your deck.
<br><br>
You may play only 1 Supporter card during your turn.",,0.45,0.63,4.74,0.63,,Normal,Uncommon,175/198,Trainer - Supporter,,,,,,,
556835,Kingambit - Darkrai Deck,Kingambit Darkrai Deck,https://tcgplayer-cdn.tcgplayer.com/product/556835_200w.jpg,3,23520,https://cpt.tcgcsv.com/KLs6,2024-06-24T18:05:29.45,1,,,0.26,0.5,1.5,0.5,,Normal,Promo,113,Darkness,170,Stage 2,[D] Elbow Strike (40),Gx2,None,2,[1D] Slicing Blade (100)
556845,Nemona - Darkrai Deck,Nemona Darkrai Deck,https://tcgplayer-cdn.tcgplayer.com/product/556845_200w.jpg,3,23520,https://cpt.tcgcsv.com/WLs6,2024-06-24T18:18:53.99,1,"Draw 3 cards.
<br><br>You may play only 1 Supporter card during your turn.",,0.05,0.15,0.99,0.12,,Normal,Common,180/198,Trainer - Supporter,,,,,,,
556849,Nest Ball - Darkrai Deck,Nest Ball Darkrai Deck,https://tcgplayer-cdn.tcgplayer.com/product/556849_200w.jpg,3,23520,https://cpt.tcgcsv.com/_Ls6,2024-06-24T18:22:07.077,1,"Search your deck for a Basic Pokémon and put it onto your Bench. Then, shuffle your deck.
<br><br>You may play any number of Item cards during your turn.",,0.24,0.54,1.6,0.56,,Normal,Uncommon,181/198,Trainer - Item,,,,,,,
556854,Pawniard - Darkrai Deck,Pawniard Darkrai Deck,https://tcgplayer-cdn.tcgplayer.com/product/556854_200w.jpg,3,23520,https://cpt.tcgcsv.com/6Ms6,2024-06-24T18:24:13.867,1,,,0.18,0.25,1.99,0.2,,Normal,Promo,111,Darkness,70,Basic,[D] Pierce (10),Gx2,None,1,
556861,Picnicker - Darkrai Deck,Picnicker Darkrai Deck,https://tcgplayer-cdn.tcgplayer.com/product/556861_200w.jpg,3,23520,https://cpt.tcgcsv.com/fMs6,2025-06-16T17:22:44.953,1,"Flip a coin. If heads, draw 4 cards. If tails, draw 2 cards.
<br><br>You may play only 1 Supporter card during your turn.",,0.09,0.3,2.49,0.27,,Normal,Promo,114,Trainer - Supporter,,,,,,,
556871,Potion - Darkrai Deck,Potion Darkrai Deck,https://tcgplayer-cdn.tcgplayer.com/product/556871_200w.jpg,3,23520,https://cpt.tcgcsv.com/rMs6,2024-06-24T18:32:12.593,1,"Heal 30 damage from 1 of your Pokémon.
<br><br>You may play any number of Item cards during your turn.",,0.05,0.21,2.64,0.21,,Normal,Common,188/198,Trainer - Item,,,,,,,
556879,Ampharos - Pikachu 47,Ampharos Pikachu 47,https://tcgplayer-cdn.tcgplayer.com/product/556879_200w.jpg,3,23520,https://cpt.tcgcsv.com/CMs6,2024-06-24T18:47:50.767,1,,,0.75,1.0,4.99,1.06,,Normal,Promo,109,Lightning,160,Stage 2,[L][C] Electric Ball (110),Fx2,None,2,
556880,Ampharos - Pikachu 28,Ampharos Pikachu 28,https://tcgplayer-cdn.tcgplayer.com/product/556880_200w.jpg,3,23520,https://cpt.tcgcsv.com/DMs6,2024-06-24T18:48:56.527,1,,,2.0,2.19,3.05,2.07,,Normal,Promo,109,Lightning,160,Stage 2,[L][C] Electric Ball (110),Fx2,None,2,
556884,Electric Generator - Pikachu 32,Electric Generator Pikachu 32,https://tcgplayer-cdn.tcgplayer.com/product/556884_200w.jpg,3,23520,https://cpt.tcgcsv.com/JMs6,2024-06-24T18:51:56.823,1,Look at the top 5 cards of your deck and attach up to 2 basic [L] Energy cards you find there to your Benched [L] Pokemon in any way you like. Shuffle the other cards back into your deck.,,0.09,0.22,1.49,0.13,,Normal,Uncommon,170/198,Item,,,,,,,
556885,Salandit - Darkrai Deck,Salandit Darkrai Deck,https://tcgplayer-cdn.tcgplayer.com/product/556885_200w.jpg,3,23520,https://cpt.tcgcsv.com/KMs6,2024-06-24T18:52:21.597,1,,,0.05,0.17,1.99,0.13,,Normal,Common,139/197,Darkness,70,Basic,[D] Suffocating Gas (10),Fx2,None,1,[1D] Scratch (30)
