productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extCardText,extAttack1,extWeakness,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extAttack2,extResistance
83521,Altaria,Altaria,https://tcgplayer-cdn.tcgplayer.com/product/83521_200w.jpg,3,1408,https://cpt.tcgcsv.com/rqH,2022-12-30T21:43:26.223,1,152/149,Secret Rare,Dragon,70,Basic,Fight Song - Your Dragon Pokemon's attacks do 20 more damage to the Active Pokemon (before applying Weakness and Resistance).  (Ability),[1MW] Glide (40),Ox2,1,189.99,191.95,300.0,158.17,,Holofoil,,
83658,Aspertia City Gym,Aspertia City Gym,https://tcgplayer-cdn.tcgplayer.com/product/83658_200w.jpg,3,1408,https://cpt.tcgcsv.com/btH,2022-12-30T21:38:54.037,1,127/149,Uncommon,Stadium,0,Stadium,"This card stays in play when you play it.  Discard this card if another Stadium card comes into play.  If another card with the same name is in play, you can't play this card.",Each C Pokemon in play (both yours and your opponent's) gets +20 HP.,,,0.09,0.32,2.37,0.3,0.24,Normal,,
83658,Aspertia City Gym,Aspertia City Gym,https://tcgplayer-cdn.tcgplayer.com/product/83658_200w.jpg,3,1408,https://cpt.tcgcsv.com/btH,2022-12-30T21:38:54.037,1,127/149,Uncommon,Stadium,0,Stadium,"This card stays in play when you play it.  Discard this card if another Stadium card comes into play.  If another card with the same name is in play, you can't play this card.",Each C Pokemon in play (both yours and your opponent's) gets +20 HP.,,,0.5,0.99,2.0,0.99,,Reverse Holofoil,,
83664,Audino,Audino,https://tcgplayer-cdn.tcgplayer.com/product/83664_200w.jpg,3,1408,https://cpt.tcgcsv.com/jtH,2024-07-26T16:47:04.507,1,126/149,Rare,Colorless,80,Basic,"Busybody - Once during your turn (before your attack), if this Pokemon is in your hand, you may reveal it.  If you do, heal 10 damage and remove a Special Condition from your Active Pokemon.  Then, discard this Pokemon.  (Ability)","[2] Hip Bump (30) If the Defending Pokemon tries to attack during your opponent's next turn, your opponent flips a coin.  If tails, that attack does nothing.",Fx2,2,0.4,0.73,2.01,0.67,,Normal,,
83664,Audino,Audino,https://tcgplayer-cdn.tcgplayer.com/product/83664_200w.jpg,3,1408,https://cpt.tcgcsv.com/jtH,2024-07-26T16:47:04.507,1,126/149,Rare,Colorless,80,Basic,"Busybody - Once during your turn (before your attack), if this Pokemon is in your hand, you may reveal it.  If you do, heal 10 damage and remove a Special Condition from your Active Pokemon.  Then, discard this Pokemon.  (Ability)","[2] Hip Bump (30) If the Defending Pokemon tries to attack during your opponent's next turn, your opponent flips a coin.  If tails, that attack does nothing.",Fx2,2,0.65,1.21,3.0,1.23,,Reverse Holofoil,,
83686,Azumarill,Azumarill,https://tcgplayer-cdn.tcgplayer.com/product/83686_200w.jpg,3,1408,https://cpt.tcgcsv.com/LtH,2022-12-30T21:22:48.247,1,37/149,Uncommon,Water,90,Stage 1,,"[2] Deep Dive - Flip 2 coins.  For each heads, heal 20 damage from this Pokemon.",Lx2,1,0.2,0.42,19.99,0.46,,Normal,[1WW] Aqua Sonic (70) This attack's damage isn't affected by Resistance.,
83686,Azumarill,Azumarill,https://tcgplayer-cdn.tcgplayer.com/product/83686_200w.jpg,3,1408,https://cpt.tcgcsv.com/LtH,2022-12-30T21:22:48.247,1,37/149,Uncommon,Water,90,Stage 1,,"[2] Deep Dive - Flip 2 coins.  For each heads, heal 20 damage from this Pokemon.",Lx2,1,1.23,2.13,3.81,2.5,,Reverse Holofoil,[1WW] Aqua Sonic (70) This attack's damage isn't affected by Resistance.,
83802,Bellossom,Bellossom,https://tcgplayer-cdn.tcgplayer.com/product/83802_200w.jpg,3,1408,https://cpt.tcgcsv.com/3xH,2022-12-30T21:16:53.747,1,4/149,Rare,Grass,110,Stage 2,,[G] Grass Knot (10+) Does 20 more damage for each C in the Defending Pokemon's Retreat Cost.,Rx2,1,0.4,0.65,1.49,0.71,,Normal,[2G] Petal Dance (50x) Flip 3 coins.  This attack does 50 damage times the number of heads.  This Pokemon is now Confused.,W-20
83802,Bellossom,Bellossom,https://tcgplayer-cdn.tcgplayer.com/product/83802_200w.jpg,3,1408,https://cpt.tcgcsv.com/3xH,2022-12-30T21:16:53.747,1,4/149,Rare,Grass,110,Stage 2,,[G] Grass Knot (10+) Does 20 more damage for each C in the Defending Pokemon's Retreat Cost.,Rx2,1,1.75,3.0,4.5,2.43,,Reverse Holofoil,[2G] Petal Dance (50x) Flip 3 coins.  This attack does 50 damage times the number of heads.  This Pokemon is now Confused.,W-20
83816,Bianca (147 Full Art),Bianca 147 Full Art,https://tcgplayer-cdn.tcgplayer.com/product/83816_200w.jpg,3,1408,https://cpt.tcgcsv.com/lxH,2022-12-30T21:42:41.303,1,147/149,Ultra Rare,Supporter,0,Supporter,You may play only 1 Supporter card per turn (before your attack).,Draw cards until you have 6 cards in your hand.,,,198.0,237.02,319.99,313.2,257.49,Holofoil,,
83851,Black Kyurem,Black Kyurem,https://tcgplayer-cdn.tcgplayer.com/product/83851_200w.jpg,3,1408,https://cpt.tcgcsv.com/2zH,2026-03-09T13:22:28.023,1,100/149,Rare,Dragon,130,Basic,,[1L] Dual Claw (20x) Flip 2 coins.  This attack does 20 damage times the number of heads.,Ox2,2,0.29,0.77,2.0,0.88,,Normal,[2LW] Flash Freeze (100) Discard an Energy attached to this Pokemon.,
83851,Black Kyurem,Black Kyurem,https://tcgplayer-cdn.tcgplayer.com/product/83851_200w.jpg,3,1408,https://cpt.tcgcsv.com/2zH,2026-03-09T13:22:28.023,1,100/149,Rare,Dragon,130,Basic,,[1L] Dual Claw (20x) Flip 2 coins.  This attack does 20 damage times the number of heads.,Ox2,2,1.67,4.28,96.95,3.8,96.95,Reverse Holofoil,[2LW] Flash Freeze (100) Discard an Energy attached to this Pokemon.,
