productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extCardText,extAttack1,extAttack2,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName
83484,Aggron ex,Aggron ex,https://tcgplayer-cdn.tcgplayer.com/product/83484_200w.jpg,3,1395,https://cpt.tcgcsv.com/JpH,2024-04-11T17:47:57.54,1,89/100,Ultra Rare,Metal,150,Stage 2,"Intimidating Armor - As long as Aggron ex is your Active Pokemon, your opponent's Basic Pokemon can't attack or use any Poke-Powers or Poke-Bodies.  (Poke-BODY)",[3] Split Bomb - Choose 2 of your opponent's Pokemon.  This attack does 30 damage to each of them.  (Don't apply Weakness and Resistance for Benched Pokemon.),"[2MM] Mega Burn (100) During your next turn, Aggron ex can't use Mega Burn.",FR,G,4,20.0,23.0,34.6,63.86,,Holofoil
83502,Alakazam Star,Alakazam Star,https://tcgplayer-cdn.tcgplayer.com/product/83502_200w.jpg,3,1395,https://cpt.tcgcsv.com/3qH,2024-04-11T17:47:57.627,1,99/100,Ultra Rare,Psychic,80,Basic,,"[P] Psychic Select 
<br>Put any 1 card from your discard pile into your hand.","[3] Skill Copy 
<br>Discard a Basic Pokemon or Evolution card from your hand.  Choose 1 of that card's attacks.  Skill Copy copies that attack.  This attack does nothing if Alakazam Star doesn't have the Energy necessary to use that attack.  (You must still do anything else required for that attack.)  Alakazam *Starperforms that attack.",P,,1,899.99,999.0,2696.96,1025.0,,Holofoil
83634,Aron,Aron,https://tcgplayer-cdn.tcgplayer.com/product/83634_200w.jpg,3,1395,https://cpt.tcgcsv.com/JsH,2024-04-11T17:47:57.713,1,44/100,Common,Metal,50,Basic,,[1] Flail (10x) Does 10 damage times the number of damage counters on Aron.,,R,G,1,0.09,0.35,1.99,0.5,,Normal
83634,Aron,Aron,https://tcgplayer-cdn.tcgplayer.com/product/83634_200w.jpg,3,1395,https://cpt.tcgcsv.com/JsH,2024-04-11T17:47:57.713,1,44/100,Common,Metal,50,Basic,,[1] Flail (10x) Does 10 damage times the number of damage counters on Aron.,,R,G,1,3.99,11.11,29.99,10.58,,Reverse Holofoil
83720,Banette,Banette,https://tcgplayer-cdn.tcgplayer.com/product/83720_200w.jpg,3,1395,https://cpt.tcgcsv.com/qvH,2024-04-11T17:47:57.773,1,1/100,Holo Rare,Psychic,70,Stage 1,"Safeguard - Prevent all effects of attacks, including damage, done to Banette by your opponent's Pokemon-ex.  (Poke-BODY)","[1P] Night Murmurs (30) If the Defending Pokemon is a Basic Pokemon, that Pokemon is now Confused.",,D,F,1,5.75,8.04,18.0,8.69,,Holofoil
83720,Banette,Banette,https://tcgplayer-cdn.tcgplayer.com/product/83720_200w.jpg,3,1395,https://cpt.tcgcsv.com/qvH,2024-04-11T17:47:57.773,1,1/100,Holo Rare,Psychic,70,Stage 1,"Safeguard - Prevent all effects of attacks, including damage, done to Banette by your opponent's Pokemon-ex.  (Poke-BODY)","[1P] Night Murmurs (30) If the Defending Pokemon is a Basic Pokemon, that Pokemon is now Confused.",,D,F,1,17.0,20.07,23.14,20.0,,Reverse Holofoil
83839,Bill's Maintenance,Bills Maintenance,https://tcgplayer-cdn.tcgplayer.com/product/83839_200w.jpg,3,1395,https://cpt.tcgcsv.com/PxH,2024-04-11T17:47:57.837,1,71/100,Uncommon,Supporter,0,Supporter,"You can play only one Supporter card each turn.  When you play this card, put it next to your Active Pokemon.  When your turn ends, discard this card.","If you have any cards in your hand, shuffle 1 of them into your deck, then draw 3 cards.",,,,,0.11,0.27,2.63,0.29,,Normal
83839,Bill's Maintenance,Bills Maintenance,https://tcgplayer-cdn.tcgplayer.com/product/83839_200w.jpg,3,1395,https://cpt.tcgcsv.com/PxH,2024-04-11T17:47:57.837,1,71/100,Uncommon,Supporter,0,Supporter,"You can play only one Supporter card each turn.  When you play this card, put it next to your Active Pokemon.  When your turn ends, discard this card.","If you have any cards in your hand, shuffle 1 of them into your deck, then draw 3 cards.",,,,,1.5,3.12,10.0,3.82,,Reverse Holofoil
83892,Blastoise,Blastoise,https://tcgplayer-cdn.tcgplayer.com/product/83892_200w.jpg,3,1395,https://cpt.tcgcsv.com/SzH,2024-04-11T17:47:57.883,1,14/100,Rare,Water,120,Stage 2,"Water Pressure - As long as Blastoise's remaining HP is 40 or less, Blastoise does 40 more damage to the Defending Pokemon (before applying Weakness and Resistance).  (Poke-BODY)",[2W] Hydro Pump (50+) Does 50 damage plus 20 more damage for each W Energy attached to Blastoise but not used to pay for this attack's Energy cost.  You can't add more than 40 damage in this way.,,L,,2,6.07,14.89,44.99,9.71,,Normal
83892,Blastoise,Blastoise,https://tcgplayer-cdn.tcgplayer.com/product/83892_200w.jpg,3,1395,https://cpt.tcgcsv.com/SzH,2024-04-11T17:47:57.883,1,14/100,Rare,Water,120,Stage 2,"Water Pressure - As long as Blastoise's remaining HP is 40 or less, Blastoise does 40 more damage to the Defending Pokemon (before applying Weakness and Resistance).  (Poke-BODY)",[2W] Hydro Pump (50+) Does 50 damage plus 20 more damage for each W Energy attached to Blastoise but not used to pay for this attack's Energy cost.  You can't add more than 40 damage in this way.,,L,,2,145.0,473.43,2406.15,127.5,,Reverse Holofoil
