productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardText,extAttack2
84017,Buizel,Buizel,https://tcgplayer-cdn.tcgplayer.com/product/84017_200w.jpg,3,1541,https://cpt.tcgcsv.com/mDH,2023-12-21T20:26:36.09,1,1/12,Common,Water,60,Basic,"[W] Splash About (10+) 
<br>If Buizel has less Energy attached to it than the Defending Pokemon, this attack does 10 damage plus 10 more damage.",L+10,None,1,0.05,0.25,2.59,0.26,,Normal,,
85034,Dusk Ball,Dusk Ball,https://tcgplayer-cdn.tcgplayer.com/product/85034_200w.jpg,3,1541,https://cpt.tcgcsv.com/J0J,2023-12-21T20:29:23.097,1,9/12,Common,Item,,,,,,,0.1,0.32,4.19,0.24,,Normal,"Look at the 7 cards from the bottom of your deck.  Choose 1 Pokemon you find there, show it to your opponent, and put it into your hand.  Put the remaining cards back on top of your deck.  Shuffle your deck afterward.",
85246,Energy Search (Manaphy),Energy Search Manaphy,https://tcgplayer-cdn.tcgplayer.com/product/85246_200w.jpg,3,1541,https://cpt.tcgcsv.com/X6J,2023-12-21T20:29:50.75,1,10/12,Common,Item,,,,,,,0.05,0.25,4.19,0.19,,Normal,"Search your deck for a basic Energy card, show it to your opponent, and put it into your hand.  Shuffle your deck afterward.",
85247,Energy Search (Lucario),Energy Search Lucario,https://tcgplayer-cdn.tcgplayer.com/product/85247_200w.jpg,3,1541,https://cpt.tcgcsv.com/Z6J,2023-12-29T13:33:25.58,1,8/11,Common,Item,,,,,,,0.1,0.25,1.0,0.16,,Normal,"Search your deck for a basic Energy card, show it to your opponent, and put it into your hand.  Shuffle your deck afterward.",
85443,Fighting Energy (Lucario),Fighting Energy Lucario,https://tcgplayer-cdn.tcgplayer.com/product/85443_200w.jpg,3,1541,https://cpt.tcgcsv.com/TbJ,2024-03-27T12:44:39.067,1,11/11,Common,Basic Fighting Energy,,,,,,,0.01,0.35,4.0,0.23,,Normal,,
85512,Floatzel,Floatzel,https://tcgplayer-cdn.tcgplayer.com/product/85512_200w.jpg,3,1541,https://cpt.tcgcsv.com/gdJ,2023-12-21T20:26:59.1,1,2/12,Common,Water,90,Stage 1,"[1W] Screw Tail (30) 
<br>Flip a coin.  If heads, discard an Energy attached to the Defending Pokemon.",L+20,None,1,0.15,0.35,1.49,0.3,,Normal,,"[WW] Water Gun (40+) 
<br>Does 40 damage plus 20 more damage for each W Energy attached to Floatzel but not used to pay for this attack's Energy cost.  You can't add more than 40 damage in this way."
85691,Geodude,Geodude,https://tcgplayer-cdn.tcgplayer.com/product/85691_200w.jpg,3,1541,https://cpt.tcgcsv.com/RhJ,2024-07-29T11:27:32.52,1,1/11,Common,Fighting,60,Basic,"[F] Stone Throw 
<br>Choose 2 of your opponent's Benched Pokemon.  This attack does 10 damage to each of them.  <i>(Don't apply Weakness and Resistance for Benched Pokemon.)</i>",G+10,L-20,2,0.04,0.25,1.49,0.17,,Normal,,
85808,Goldeen,Goldeen,https://tcgplayer-cdn.tcgplayer.com/product/85808_200w.jpg,3,1541,https://cpt.tcgcsv.com/blJ,2023-12-21T20:27:37.723,1,3/12,Common,Water,60,Basic,[1] Horn Attack (10),L+10,None,1,0.1,0.25,1.51,0.26,,Normal,,"[1W] Take Down (30) 
<br>Goldeen does 10 damage to itself."
85893,Graveler,Graveler,https://tcgplayer-cdn.tcgplayer.com/product/85893_200w.jpg,3,1541,https://cpt.tcgcsv.com/TmJ,2024-10-02T11:24:01.737,1,2/11,Common,Fighting,90,Stage 1,"[1F] Rock Cannon (30x) 
<br>Flip a coin until you get tails.  This attack does 30 damage times the number of heads.",G+20,L-20,3,0.24,0.39,1.74,1.24,,Normal,,"[2F] Rock Slide (40) 
<br>Does 10 damage to 2 of your opponent's Benched Pokemon.<i>  (Don't apply Weakness and Resistance for Benched Pokemon.)</i>"
86875,Lucario,Lucario,https://tcgplayer-cdn.tcgplayer.com/product/86875_200w.jpg,3,1541,https://cpt.tcgcsv.com/wMJ,2024-10-14T11:32:25.06,1,3/11,Common,Fighting,90,Stage 1,"[1] Feint (30) 
<br>This attack's damage isn't affected by Resistance.",P+20,None,1,3.78,5.0,9.99,5.12,,Holofoil,,"[FF] Aura Sphere (40)
<br>Does 20 damage to 1 of your opponent's Benched Pokemon. <i> (Don't apply Weakness and Resistance for Benched Pokemon.)</i>"
