productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extCardText,extAttack1,extWeakness,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extResistance,extAttack2,extAttack3
42425,Machamp - 8/102,Machamp 8 102,https://tcgplayer-cdn.tcgplayer.com/product/42425_200w.jpg,3,1840,https://cpt.tcgcsv.com/w-l,2026-02-25T19:00:14.133,1,008/102,Holo Rare,Fighting,100,Stage 2,"<strong>Pokémon Power: Strikes Back</strong> Whenever your opponent's attack damages Machamp (even if Machamp is Knocked Out), this power does 10 damage to the attacking Pokémon. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em>",[1FFF] Seismic Toss (60),P,3,15.0,23.99,1049.98,29.53,79.99,1st Edition Holofoil,,,
43053,Rayquaza - 22/107,Rayquaza 22 107,https://tcgplayer-cdn.tcgplayer.com/product/43053_200w.jpg,3,1840,https://cpt.tcgcsv.com/5fm,2026-02-02T14:51:16.117,1,022/107,Holo Rare,Colorless,80,Basic,"<strong>Poké-BODY — Dragon Aura</strong>
<br>
As long as Rayquaza has any basic Fire Energy cards and any basic Lightning Energy cards attached to it, prevent all effects, except damage, by an opponent's attack done to Rayquaza.","[2] Tumbling Attack (20+)
<br>Flip a coin. If heads, this attack does 20 damage plus 20 more damage.",C,1,47.99,55.0,80.0,46.57,,Holofoil,,,
83734,Bastiodon - 21/123 (DP Mysterious Treasures),Bastiodon 21 123 DP Mysterious Treasures,https://tcgplayer-cdn.tcgplayer.com/product/83734_200w.jpg,3,1840,https://cpt.tcgcsv.com/JvH,2025-12-11T02:45:35.617,1,021/123,Holo Rare,Metal,130,Stage 2,"<strong>Poké-BODY — Protective Wall</strong>
<br>
Prevent all damage done to your Benched Pokémon by your opponent's attacks.","[1MM] Anger Revenge (60)
<br>If Bastiodon was damaged by an attack during your opponent's last turn, this attack does 40 damage to 1 of your opponent's Benched Pokémon. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em>",R+40,3,0.5,0.99,3.49,1.0,,Holofoil,P-20,,
84089,Camerupt - 4/107 (EX Deoxys),Camerupt 4 107 EX Deoxys,https://tcgplayer-cdn.tcgplayer.com/product/84089_200w.jpg,3,1840,https://cpt.tcgcsv.com/PFH,2022-09-29T18:16:29.913,1,004/107,Rare,Fire,90,Stage 1,,"[1] Back Burner
<br>Search your discard pile for up to 2 basic Energy cards and attach them to your Pokémon in any way you like.",W,2,2.0,9.0,96.95,1.5,96.95,Normal,,"[2R] Split Bomb
<br>Choose 2 of your opponent's Pokémon. This attack does 30 damage to each of them. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em>",
84165,Chandelure - 20/99,Chandelure 20 99,https://tcgplayer-cdn.tcgplayer.com/product/84165_200w.jpg,3,1840,https://cpt.tcgcsv.com/kHH,2022-09-29T18:18:39.64,1,020/099,Rare,Fire,120,Stage 2,,"[R] Flame Burst (30)
<br>
Does 30 damage to 2 of your opponent's Benched Pokémon. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em>",Wx2,2,0.48,1.11,2.04,1.11,,Normal,,"[1R] Inferno (80)
<br>
Discard all Energy attached to this Pokémon. The Defending Pokémon is now Burned.",
86950,Luxray - 46/99,Luxray 46 99,https://tcgplayer-cdn.tcgplayer.com/product/86950_200w.jpg,3,1840,https://cpt.tcgcsv.com/0PJ,2026-02-17T15:57:23.373,1,046/099,Rare,Lightning,140,Stage 2,,"[L] Flash Impact (60)
<br>
Does 10 damage to 1 of your Pokémon. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em>",Fx2,1,0.9,1.06,2.0,1.35,,Normal,,"[1LL] Crunch (80)
<br>
Flip a coin. If heads, discard an Energy attached to the Defending Pokémon.",
88947,Sceptile - 10/106(EX Emerald),Sceptile 10 106EX Emerald,https://tcgplayer-cdn.tcgplayer.com/product/88947_200w.jpg,3,1840,https://cpt.tcgcsv.com/ZBK,2022-10-10T19:46:32.69,1,010/106,Rare,Grass,100,Stage 2,"<strong>Poké-BODY — Green Essence</strong>
<br>
As long as Sceptile is in play, each of your Active Pokémon that has Grass Energy attached to it can't be affected by any Special Conditions.",[G] Razor Leaf (30),R,2,2.1,3.55,7.99,3.01,,Normal,W-30,"[3G] Swift (60)
<br>This attack's damage isn't affected by Weakness, Resistance, Poké-Powers, Poké-Bodies, or any other effects on the Defending Pokémon.",
89678,Swampert - 11/106 (EX Emerald),Swampert 11 106 EX Emerald,https://tcgplayer-cdn.tcgplayer.com/product/89678_200w.jpg,3,1840,https://cpt.tcgcsv.com/BTK,2022-10-11T14:11:54.92,1,011/106,Rare,Water,110,Stage 2,"<strong>Poké-POWER — Water Cyclone</strong>
<br>
As often as you like during your turn <em>(before your attack)</em>, you may move a Water Energy attached to 1 of your Active Pokémon to 1 of your Benched Pokémon. This power can't be used if Swampert is affected by a Special Condition.","[1] Spinning Tail
<br>Does 10 damage to each of your opponent's Pokémon. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em>",G,2,18.0,24.99,35.97,19.99,,Normal,,"[1WW] Aqua Sonic (60)
<br>This attack's damage isn't affected by Resistance.",
91252,Yveltal - 78/146 (Cracked Ice Holo),Yveltal 78 146 Cracked Ice Holo,https://tcgplayer-cdn.tcgplayer.com/product/91252_200w.jpg,3,1840,https://cpt.tcgcsv.com/3wL,2025-11-20T06:10:54.197,1,078/146,Holo Rare,Darkness,130,Basic,,"[D] Oblivion Wing (30)
<br>Attach a Darkness Energy card from your discard pile to 1 of your Benched Pokémon.",Lx2,2,0.45,1.12,999.99,1.57,0.8,Holofoil,F-20,"[1DD] Darkness Blade (100)
<br>Flip a coin. If tails, this Pokémon can't attack during your next turn.",
91258,Genesect - 10/101 (BW Plasma Blast),Genesect 10 101 BW Plasma Blast,https://tcgplayer-cdn.tcgplayer.com/product/91258_200w.jpg,3,1840,https://cpt.tcgcsv.com/bwL,2026-02-05T13:04:20.22,1,010/101,Holo Rare,Grass,100,Basic,,"[1] Call for Family
<br>Search your deck for 2 Grass Basic Pokémon and put them onto your Bench. Shuffle your deck afterward.",Rx2,1,0.4,1.04,10.0,1.6,0.4,Holofoil,,"[1GG] Jet Impact (80+)
<br>Flip a coin. If heads, this attack does 20 more damage.",
