productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extCardText,extAttack1,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extAttack2
83683,Azumarill,Azumarill,https://tcgplayer-cdn.tcgplayer.com/product/83683_200w.jpg,3,1429,https://cpt.tcgcsv.com/HtH,2022-12-01T20:47:41.457,1,114/113,Secret Rare,Water,70,Stage 1,"<b>Poke-BODY</b> Thick Fat  
<br>Any damage done to Azumarill by attacks from Fire Pokemon and Water Pokemon is reduced by 30 <em>(after applying Weakness and Resistance).","[1WW] Bubblebeam (40) 
<br>Flip a coin.  If heads, the Defending Pokemon is now Paralyzed.",L,None,1,42.99,50.0,124.99,61.66,43.92,Holofoil,
83687,Azumarill (Delta Species),Azumarill Delta Species,https://tcgplayer-cdn.tcgplayer.com/product/83687_200w.jpg,3,1429,https://cpt.tcgcsv.com/MtH,2024-04-11T18:09:41.71,1,19/113,Rare,Metal Water,80,Stage 1,,"[2] Bubblebeam (20) 
<br>Flip a coin.  If heads, the Defending Pokemon is now Paralyzed.",L,None,2,6.5,8.43,15.0,8.66,,Normal,[2W] Rolling Tackle (50)
83687,Azumarill (Delta Species),Azumarill Delta Species,https://tcgplayer-cdn.tcgplayer.com/product/83687_200w.jpg,3,1429,https://cpt.tcgcsv.com/MtH,2024-04-11T18:09:41.71,1,19/113,Rare,Metal Water,80,Stage 1,,"[2] Bubblebeam (20) 
<br>Flip a coin.  If heads, the Defending Pokemon is now Paralyzed.",L,None,2,54.98,59.99,80.0,46.47,,Reverse Holofoil,[2W] Rolling Tackle (50)
83689,Azurill,Azurill,https://tcgplayer-cdn.tcgplayer.com/product/83689_200w.jpg,3,1429,https://cpt.tcgcsv.com/PtH,2024-04-11T18:09:48.36,1,20/113,Rare,Colorless,50,Basic,"<b>Poke-POWER</b> Baby Evolution 
<br>Once during your turn (before your attack), you may put Marill from your hand onto Azurill (this counts as evolving Azurill) and remove all damage counters from Azurill.","[1] Type Match  
<br> Choose a basic Energy card in your hand and show it to your opponent.  Then, search your deck for a Basic Pokemon or Evolution card of that Energy type, show it to your opponent, and put it into your hand.  Shuffle your deck afterward.",F,None,1,8.47,9.0,9.75,6.74,,Normal,
83689,Azurill,Azurill,https://tcgplayer-cdn.tcgplayer.com/product/83689_200w.jpg,3,1429,https://cpt.tcgcsv.com/PtH,2024-04-11T18:09:48.36,1,20/113,Rare,Colorless,50,Basic,"<b>Poke-POWER</b> Baby Evolution 
<br>Once during your turn (before your attack), you may put Marill from your hand onto Azurill (this counts as evolving Azurill) and remove all damage counters from Azurill.","[1] Type Match  
<br> Choose a basic Energy card in your hand and show it to your opponent.  Then, search your deck for a Basic Pokemon or Evolution card of that Energy type, show it to your opponent, and put it into your hand.  Shuffle your deck afterward.",F,None,1,44.98,88.88,99.99,34.5,,Reverse Holofoil,
83703,Bagon - 057/113 (Delta Species),Bagon 057 113 Delta Species,https://tcgplayer-cdn.tcgplayer.com/product/83703_200w.jpg,3,1429,https://cpt.tcgcsv.com/5vH,2024-04-11T18:11:45.137,1,57/113,Common,Fire,50,Basic,,[1] Bite (10),C,FR,1,0.16,0.47,4.99,0.57,,Normal,
83703,Bagon - 057/113 (Delta Species),Bagon 057 113 Delta Species,https://tcgplayer-cdn.tcgplayer.com/product/83703_200w.jpg,3,1429,https://cpt.tcgcsv.com/5vH,2024-04-11T18:11:45.137,1,57/113,Common,Fire,50,Basic,,[1] Bite (10),C,FR,1,16.06,48.01,79.95,15.3,,Reverse Holofoil,
83704,Bagon - 058/113 (Delta Species),Bagon 058 113 Delta Species,https://tcgplayer-cdn.tcgplayer.com/product/83704_200w.jpg,3,1429,https://cpt.tcgcsv.com/6vH,2024-04-11T18:11:53.737,1,58/113,Common,Fire,50,Basic,,[1R] Ember (30) Discard a Fire Energy card attached to Bagon.,C,FR,1,0.42,0.82,4.74,0.88,,Normal,
83775,Beedrill (Delta Species),Beedrill Delta Species,https://tcgplayer-cdn.tcgplayer.com/product/83775_200w.jpg,3,1429,https://cpt.tcgcsv.com/wwH,2026-03-07T00:02:54.72,1,1/113,Holo Rare,Metal Grass,90,Stage 2,"<b>Poke-POWER</b> Final Sting 
<br>Once during your turn (before your attack), you may Knock Out Beedrill.  If you do, choose 1 of your opponent's Defending Pokemon.  That Pokemon is now Paralyzed and Poisoned.  Put 2 damage counters instead of 1 on that Pokemon between turns.  This power can't be used if Beedrill is affected by a Special Condition.","[1GM] Super Slash (50+)
<br>If the Defending Pokemon is an Evolved Pokemon, this attack does 50 damage plus 30 more damage.",R,None,0,27.99,55.0,80.0,35.33,59.99,Holofoil,
83775,Beedrill (Delta Species),Beedrill Delta Species,https://tcgplayer-cdn.tcgplayer.com/product/83775_200w.jpg,3,1429,https://cpt.tcgcsv.com/wwH,2026-03-07T00:02:54.72,1,1/113,Holo Rare,Metal Grass,90,Stage 2,"<b>Poke-POWER</b> Final Sting 
<br>Once during your turn (before your attack), you may Knock Out Beedrill.  If you do, choose 1 of your opponent's Defending Pokemon.  That Pokemon is now Paralyzed and Poisoned.  Put 2 damage counters instead of 1 on that Pokemon between turns.  This power can't be used if Beedrill is affected by a Special Condition.","[1GM] Super Slash (50+)
<br>If the Defending Pokemon is an Evolved Pokemon, this attack does 50 damage plus 30 more damage.",R,None,0,49.95,64.97,79.99,32.14,49.95,Reverse Holofoil,
83794,Beldum (Delta Species),Beldum Delta Species,https://tcgplayer-cdn.tcgplayer.com/product/83794_200w.jpg,3,1429,https://cpt.tcgcsv.com/VwH,2024-04-11T18:12:08.873,1,59/113,Common,Lightning,50,Basic,"<b>Poke-BODY</b> Conductive Body 
<br>As long as Beldum is your Active Pokemon, you pay 1 less to retreat Beldum for each Beldum on your Bench.",[1L] Take Down (30) Beldum does 10 damage to itself.,R,G,1,0.5,0.79,6.98,0.79,,Normal,
83794,Beldum (Delta Species),Beldum Delta Species,https://tcgplayer-cdn.tcgplayer.com/product/83794_200w.jpg,3,1429,https://cpt.tcgcsv.com/VwH,2024-04-11T18:12:08.873,1,59/113,Common,Lightning,50,Basic,"<b>Poke-BODY</b> Conductive Body 
<br>As long as Beldum is your Active Pokemon, you pay 1 less to retreat Beldum for each Beldum on your Bench.",[1L] Take Down (30) Beldum does 10 damage to itself.,R,G,1,30.0,41.45,52.89,17.98,,Reverse Holofoil,
84127,Castform,Castform,https://tcgplayer-cdn.tcgplayer.com/product/84127_200w.jpg,3,1429,https://cpt.tcgcsv.com/zGH,2024-04-11T18:12:14.383,1,34/113,Uncommon,Colorless,60,Basic,"<b>Poke-POWER</b> Temperamental Weather
<br>Once during your turn (before you attack), you may search your deck for Sunny Castform, Rain Castform, or Snow-cloud Castform and switch it with Castform.  <em>(Any cards attached to Castform, damage counters, Special Conditions, and effects on it are now on the new Pokemon.)</em>  Shuffle Castform back into your deck.  You can't use more than 1 Temperamental Weather Poke-Power each turn.","[1] Holon Draw 
<br>Draw a card.  If Castform has any Holon Energy cards attached to it, draw 2 more cards.",F,None,1,0.75,1.75,6.97,2.17,,Normal,
84127,Castform,Castform,https://tcgplayer-cdn.tcgplayer.com/product/84127_200w.jpg,3,1429,https://cpt.tcgcsv.com/zGH,2024-04-11T18:12:14.383,1,34/113,Uncommon,Colorless,60,Basic,"<b>Poke-POWER</b> Temperamental Weather
<br>Once during your turn (before you attack), you may search your deck for Sunny Castform, Rain Castform, or Snow-cloud Castform and switch it with Castform.  <em>(Any cards attached to Castform, damage counters, Special Conditions, and effects on it are now on the new Pokemon.)</em>  Shuffle Castform back into your deck.  You can't use more than 1 Temperamental Weather Poke-Power each turn.","[1] Holon Draw 
<br>Draw a card.  If Castform has any Holon Energy cards attached to it, draw 2 more cards.",F,None,1,10.95,15.47,19.99,12.51,,Reverse Holofoil,
84490,Crobat (Delta Species),Crobat Delta Species,https://tcgplayer-cdn.tcgplayer.com/product/84490_200w.jpg,3,1429,https://cpt.tcgcsv.com/QPH,2025-01-17T02:46:57.467,1,2/113,Holo Rare,Metal Grass,90,Stage 2,,"[2] Radar Jam (30) 
<br>Your opponent can't play any Trainer cards (except for Supporter cards) from his or her hand during your opponent's next turn.",P,,0,8.99,17.83,32.78,17.65,,Holofoil,"[1GM] Target Attack  
<br>Choose 1 of your opponent's Pokemon.  This attack does 40 damage to that Pokemon.  If that Pokemon already has damage counters on it, this attack does 60 damage instead. <i> (Don't apply Weakness and Resistance for Benched Pokemon.)</i>"
84533,Cubone,Cubone,https://tcgplayer-cdn.tcgplayer.com/product/84533_200w.jpg,3,1429,https://cpt.tcgcsv.com/HQH,2024-04-11T18:13:10.427,1,60/113,Common,Fighting,50,Basic,,[1] Beat (10),G,None,1,0.73,1.98,5.0,2.55,,Normal,"[2] Rage (10+) 
<br>Does 10 damage plus 10 more damage for each damage counter on Cubone."
84533,Cubone,Cubone,https://tcgplayer-cdn.tcgplayer.com/product/84533_200w.jpg,3,1429,https://cpt.tcgcsv.com/HQH,2024-04-11T18:13:10.427,1,60/113,Common,Fighting,50,Basic,,[1] Beat (10),G,None,1,78.88,78.88,78.88,58.46,,Reverse Holofoil,"[2] Rage (10+) 
<br>Does 10 damage plus 10 more damage for each damage counter on Cubone."
84686,Darkness Energy (Special),Darkness Energy Special,https://tcgplayer-cdn.tcgplayer.com/product/84686_200w.jpg,3,1429,https://cpt.tcgcsv.com/LTH,2022-12-01T20:46:08.863,1,103/113,Rare,Special Energy,,,"If the Pokemon Darkness Energy is attached to attacks, the attack does 10 more damage to the Active Pokemon (before applying Weakness and Resistance).  Ignore this effect unless the Attacking Pokemon is Darkness or has Dark in its name.  Darkness Energy provides Darkness Energy.  <em>(Doesn't count as a basic Energy card.)</em>",,,,,0.8,1.0,5.0,1.54,,Normal,
