productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extCardText,extAttack1,extAttack2,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extAttack3
83514,Altaria,Altaria,https://tcgplayer-cdn.tcgplayer.com/product/83514_200w.jpg,3,1404,https://cpt.tcgcsv.com/jqH,2024-04-11T17:56:33.897,1,1/107,Holo Rare,Colorless,70,Stage 1,"<b>Poke-BODY</b> Safeguard <br>
<br>Prevent all effects of attacks, done to Altaria by your opponent's Pokemon-ex.","[L] Double Wing Attack  
<br>Does 20 damage to each Defending Pokemon.",[2W] Dive (50),L,F,1,30.0,33.95,40.0,34.88,,Holofoil,
83514,Altaria,Altaria,https://tcgplayer-cdn.tcgplayer.com/product/83514_200w.jpg,3,1404,https://cpt.tcgcsv.com/jqH,2024-04-11T17:56:33.897,1,1/107,Holo Rare,Colorless,70,Stage 1,"<b>Poke-BODY</b> Safeguard <br>
<br>Prevent all effects of attacks, done to Altaria by your opponent's Pokemon-ex.","[L] Double Wing Attack  
<br>Does 20 damage to each Defending Pokemon.",[2W] Dive (50),L,F,1,18.96,22.0,119.98,48.32,,Reverse Holofoil,
83695,Bagon,Bagon,https://tcgplayer-cdn.tcgplayer.com/product/83695_200w.jpg,3,1404,https://cpt.tcgcsv.com/WtH,2025-12-02T02:54:35.813,1,52/107,Common,Colorless,50,Basic,,"[R] Singe 
<br>Flip a coin.  If heads, the Defending Pokemon is now Burned.","[W] Doubleslap (10x) 
<br>Flip 2 coins.  This attack does 10 damage times the number of heads.",C,FR,1,0.18,0.4,1.99,0.5,0.49,Normal,
83695,Bagon,Bagon,https://tcgplayer-cdn.tcgplayer.com/product/83695_200w.jpg,3,1404,https://cpt.tcgcsv.com/WtH,2025-12-02T02:54:35.813,1,52/107,Common,Colorless,50,Basic,,"[R] Singe 
<br>Flip a coin.  If heads, the Defending Pokemon is now Burned.","[W] Doubleslap (10x) 
<br>Flip 2 coins.  This attack does 10 damage times the number of heads.",C,FR,1,8.0,22.47,36.93,11.7,,Reverse Holofoil,
83706,Balloon Berry,Balloon Berry,https://tcgplayer-cdn.tcgplayer.com/product/83706_200w.jpg,3,1404,https://cpt.tcgcsv.com/8vH,2025-12-02T02:55:29.857,1,84/107,Uncommon,Tool,,,"Attach Balloon Berry to 1 of your Pokemon that doesn't already have a Pokemon Tool attached to it.  If that Pokemon is Knocked Out, discard this card.
<br>
<br>
<br>
<br>
<br>
<br>Attach Balloon Berry to 1 of your Pokemon that doesn't already have a Pokemon Tool attached to it.  If that Pokemon is Knocked Out, discard this card.  As long as Balloon Berry is attached to a Pokemon, that Pokemon's Retreat Cost is 0.  When this Pokemon retreats, discard Balloon Berry.",,,,,,0.21,0.87,2.5,0.88,,Normal,
83706,Balloon Berry,Balloon Berry,https://tcgplayer-cdn.tcgplayer.com/product/83706_200w.jpg,3,1404,https://cpt.tcgcsv.com/8vH,2025-12-02T02:55:29.857,1,84/107,Uncommon,Tool,,,"Attach Balloon Berry to 1 of your Pokemon that doesn't already have a Pokemon Tool attached to it.  If that Pokemon is Knocked Out, discard this card.
<br>
<br>
<br>
<br>
<br>
<br>Attach Balloon Berry to 1 of your Pokemon that doesn't already have a Pokemon Tool attached to it.  If that Pokemon is Knocked Out, discard this card.  As long as Balloon Berry is attached to a Pokemon, that Pokemon's Retreat Cost is 0.  When this Pokemon retreats, discard Balloon Berry.",,,,,,4.5,7.0,19.99,6.93,,Reverse Holofoil,
83712,Baltoy,Baltoy,https://tcgplayer-cdn.tcgplayer.com/product/83712_200w.jpg,3,1404,https://cpt.tcgcsv.com/gvH,2024-04-11T17:56:34.797,1,53/107,Common,Fighting,50,Basic,,[1] Spinning Attack (10),"[1F] Selfdestruct (40) 
<br>Does 10 damage to each Benched Pokemon (both yours and your opponent's).  <i>(Don't apply Weakness and Resistance for Benched Pokemon.) </i> Baltoy does 50 damage to itself.",W,None,1,0.07,0.43,5.1,0.43,,Normal,
83712,Baltoy,Baltoy,https://tcgplayer-cdn.tcgplayer.com/product/83712_200w.jpg,3,1404,https://cpt.tcgcsv.com/gvH,2024-04-11T17:56:34.797,1,53/107,Common,Fighting,50,Basic,,[1] Spinning Attack (10),"[1F] Selfdestruct (40) 
<br>Does 10 damage to each Benched Pokemon (both yours and your opponent's).  <i>(Don't apply Weakness and Resistance for Benched Pokemon.) </i> Baltoy does 50 damage to itself.",W,None,1,9.99,10.5,11.0,6.6,,Reverse Holofoil,
83727,Barboach,Barboach,https://tcgplayer-cdn.tcgplayer.com/product/83727_200w.jpg,3,1404,https://cpt.tcgcsv.com/zvH,2024-04-11T17:56:34.987,1,54/107,Common,Water,50,Basic,,"[1] Amnesia 
<br>Choose 1 of the Defending Pokemon's attacks.  That Pokemon can't use that attack during your opponent's next turn.",[F] Tackle (10),G,None,1,0.1,0.32,5.1,0.53,,Normal,
83727,Barboach,Barboach,https://tcgplayer-cdn.tcgplayer.com/product/83727_200w.jpg,3,1404,https://cpt.tcgcsv.com/zvH,2024-04-11T17:56:34.987,1,54/107,Common,Water,50,Basic,,"[1] Amnesia 
<br>Choose 1 of the Defending Pokemon's attacks.  That Pokemon can't use that attack during your opponent's next turn.",[F] Tackle (10),G,None,1,2.0,25.28,44.5,8.13,,Reverse Holofoil,
