productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extCardText,extAttack1,extWeakness,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extAttack2,extResistance
83601,Arceus - DP50,Arceus DP50,https://tcgplayer-cdn.tcgplayer.com/product/83601_200w.jpg,3,1421,https://cpt.tcgcsv.com/2sH,2026-02-02T22:50:47.937,1,DP50,Promo,Colorless,90,Basic,<em>You may have as many of this card in your deck as you like.</em>,"[4] Judgment (80) 
<br>Discard all Energy cards attached to Arceus and this attack does 10 damage to each of your opponent's Benched Pokémon. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em>",Fx2,2,12.25,25.11,350.0,24.55,,Holofoil,,
83605,Arceus LV.X - DP53,Arceus LVX DP53,https://tcgplayer-cdn.tcgplayer.com/product/83605_200w.jpg,3,1421,https://cpt.tcgcsv.com/7sH,2022-08-11T19:56:06.557,1,DP53,Promo,Colorless,120,Level Up,"<em>You may have as many of this card in your deck as you like.</em>
<br>
<strong>Poké-BODY — Multitype</strong>
<br>
Arceus LV.X's type is the same type as its previous Level.
<br>
<strong>Poké-BODY — Omniscient</strong>
<br>
Arceus can use the attacks of all Arceus you have in play as its own. (You still need the necessary Energy to use each attack.)
<br><br>
<em>Put this card onto your Active Arceus. Arceus LV.X can use any attack, Poké-Power, or Poké-Body from its previous Level.</em>",,,1,22.94,31.72,34.78,34.12,,Holofoil,,
83606,Arceus LV.X - DP56,Arceus LVX DP56,https://tcgplayer-cdn.tcgplayer.com/product/83606_200w.jpg,3,1421,https://cpt.tcgcsv.com/8sH,2026-02-24T13:43:14.02,1,DP56,Promo,Colorless,120,Level Up,"<em>You may have as many of this card in your deck as you like.</em>
<br>
<strong>Poké-BODY — Multitype</strong>
<br>
Arceus LV.X's type is the same as its previous Level.
<br><br>
<em>Put this card onto your Active Arceus. Arceus LV.X can use any attack, Poké-Power, or Poké-Body from its previous level.</em>","[1GR] Meteor Blast (100) 
<br>Flip a coin. If tails, this attack's base damage is 50 instead of 100.",,1,65.85,79.97,144.26,58.42,,Holofoil,,
84019,Buizel - DP13,Buizel DP13,https://tcgplayer-cdn.tcgplayer.com/product/84019_200w.jpg,3,1421,https://cpt.tcgcsv.com/pDH,2022-08-11T20:18:13.287,1,DP13,Promo,Water,60,Basic,,"[W] Splash About (10+) 
<br>If Buizel has less Energy attached to it than the Defending Pokémon, this attack does 10 damage plus 10 more damage.",L+10,1,4.5,8.0,9.26,10.22,,Holofoil,,
84041,Buneary - DP06,Buneary DP06,https://tcgplayer-cdn.tcgplayer.com/product/84041_200w.jpg,3,1421,https://cpt.tcgcsv.com/RDH,2022-08-11T20:19:37.98,1,DP06,Promo,Colorless,50,Basic,,[1] Splash (10),F+10,1,3.0,4.99,13.53,4.13,,Holofoil,"[2] Jump Kick (10) 
<br>Does 10 damage to 1 of your opponent's Benched Pokémon. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em>",
84108,Carnivine G - DP42,Carnivine G DP42,https://tcgplayer-cdn.tcgplayer.com/product/84108_200w.jpg,3,1421,https://cpt.tcgcsv.com/bGH,2025-11-20T15:20:37.743,1,DP42,Promo,Grass,80,Basic,,"[1] Power Whip 
<br>Choose 1 of your opponent's Pokémon.  This attack does 10 damage for each Energy attached to Carnivine G to that Pokémon. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em>",Rx2,1,4.49,5.5,96.95,5.24,96.95,Holofoil,"[1G] Grass Knot (20+) 
<br>Does 20 damage plus 10 more damage for each Colorless Energy in the Defending Pokémon's Retreat Cost (after applying effects to the Retreat Cost).",W-20
84202,Charizard G LV.X - DP45,Charizard G LVX DP45,https://tcgplayer-cdn.tcgplayer.com/product/84202_200w.jpg,3,1421,https://cpt.tcgcsv.com/3JH,2022-08-11T20:24:53.473,1,DP45,Promo,Fire,120,Level Up,"<strong>Poké-POWER — Call for Power</strong>
<br>
As often as you like during your turn <em>(before your attack)</em>, you may move an Energy attached to 1 of your Pokémon to Charizard G. This power can’t be used if Charizard G is affected by a Special Condition.
<br><br>
<em>Put this card onto your Active Charizard G. Charizard G LV.X can use any attack, Poké-Power, or Poké-Body from its previous level.</em>","[3RR] Malevolent Fire (150) 
<br>Flip a coin. If tails, discard all Energy attached to Charizard G.",Wx2,3,169.69,359.85,550.0,146.03,,Holofoil,,F-20
84241,Chatot - DP14,Chatot DP14,https://tcgplayer-cdn.tcgplayer.com/product/84241_200w.jpg,3,1421,https://cpt.tcgcsv.com/RJH,2022-08-11T20:26:44.213,1,DP14,Promo,Colorless,60,Basic,,"[1] Me First 
<br>Draw a card.",L+10,1,5.9,10.07,17.92,17.07,,Holofoil,"[1] Tone-Deaf (10) 
<br>Flip a coin. If heads, the Defending Pokémon is now Confused.",F-20
84286,Chimchar - DP02,Chimchar DP02,https://tcgplayer-cdn.tcgplayer.com/product/84286_200w.jpg,3,1421,https://cpt.tcgcsv.com/LKH,2026-02-11T14:42:25.067,1,DP02,Promo,Fire,50,Basic,,[0] Scratch (10),W+10,1,5.86,8.0,20.0,12.29,,Holofoil,"[1R] Ember (30) 
<br>Flip a coin. If tails, discard a Fire Energy attached to Chimchar.",
84459,Cranidos - DP07,Cranidos DP07,https://tcgplayer-cdn.tcgplayer.com/product/84459_200w.jpg,3,1421,https://cpt.tcgcsv.com/cPH,2022-08-11T20:30:03.657,1,DP07,Promo,Fighting,70,Stage 1,,[1] Headbutt (20),G+20,1,4.87,9.99,14.99,8.3,,Holofoil,"[1F] Steamroll (30) 
<br>Does 20 damage to 1 of your opponent's Benched Pokémon. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em>",
