productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardText,extAttack2
97047,Team Magma's Numel,Team Magmas Numel,https://tcgplayer-cdn.tcgplayer.com/product/97047_200w.jpg,3,1525,https://cpt.tcgcsv.com/ZQN,2022-12-14T16:22:07.26,1,1/34,Common,Fire,70,Basic,"[1R] Ember (30)
<br>Discard an Energy attached to this Pokemon.",Wx2,None,2,0.4,1.0,1.8,1.17,,Normal,,
97047,Team Magma's Numel,Team Magmas Numel,https://tcgplayer-cdn.tcgplayer.com/product/97047_200w.jpg,3,1525,https://cpt.tcgcsv.com/ZQN,2022-12-14T16:22:07.26,1,1/34,Common,Fire,70,Basic,"[1R] Ember (30)
<br>Discard an Energy attached to this Pokemon.",Wx2,None,2,3.31,6.0,24.99,4.33,,Reverse Holofoil,,
97048,Team Magma's Camerupt,Team Magmas Camerupt,https://tcgplayer-cdn.tcgplayer.com/product/97048_200w.jpg,3,1525,https://cpt.tcgcsv.com/-QN,2022-12-14T16:22:14.043,1,2/34,Holo Rare,Fire,110,Basic,"[2R] Flame Ball (60)
<br>Move a basic Energy from this Pokemon to 1 of your Benched Pokemon.",Wx2,None,3,1.07,2.0,9.99,2.88,1.49,Holofoil,"<b>Ability</b> Burn Draft
<br>Once during your turn <em>(before you attack)</em>, you may attach either a Fire or Fighting Energy from your discard pile to this Pokemon.",
97048,Team Magma's Camerupt,Team Magmas Camerupt,https://tcgplayer-cdn.tcgplayer.com/product/97048_200w.jpg,3,1525,https://cpt.tcgcsv.com/-QN,2022-12-14T16:22:14.043,1,2/34,Holo Rare,Fire,110,Basic,"[2R] Flame Ball (60)
<br>Move a basic Energy from this Pokemon to 1 of your Benched Pokemon.",Wx2,None,3,3.0,4.17,4.99,4.65,,Reverse Holofoil,"<b>Ability</b> Burn Draft
<br>Once during your turn <em>(before you attack)</em>, you may attach either a Fire or Fighting Energy from your discard pile to this Pokemon.",
97049,Team Aqua's Spheal,Team Aquas Spheal,https://tcgplayer-cdn.tcgplayer.com/product/97049_200w.jpg,3,1525,https://cpt.tcgcsv.com/_QN,2026-03-09T14:46:25.473,1,3/34,Common,Water,60,Basic,[W] Water Gun (10),Mx2,None,2,1.0,2.87,96.95,3.22,3.97,Normal,,
97049,Team Aqua's Spheal,Team Aquas Spheal,https://tcgplayer-cdn.tcgplayer.com/product/97049_200w.jpg,3,1525,https://cpt.tcgcsv.com/_QN,2026-03-09T14:46:25.473,1,3/34,Common,Water,60,Basic,[W] Water Gun (10),Mx2,None,2,4.0,17.0,29.99,16.0,,Reverse Holofoil,,
97050,Team Aqua's Sealeo,Team Aquas Sealeo,https://tcgplayer-cdn.tcgplayer.com/product/97050_200w.jpg,3,1525,https://cpt.tcgcsv.com/0RN,2025-11-21T00:38:58.547,1,4/34,Common,Water,90,Stage 1,"[1W] Splatter
<br>This attack does 20 damage to 1 of your opponent's Pokemon. <i>(Don't apply Weakness and Resistance for Benched Pokemon.)</i>",Mx2,None,3,0.25,0.7,4.0,0.7,0.74,Normal,,"[2W] Hail Wind (60+)
<br>If your opponent's Active Pokemon has Team Magma in its name, this attack does 60 more damage."
97050,Team Aqua's Sealeo,Team Aquas Sealeo,https://tcgplayer-cdn.tcgplayer.com/product/97050_200w.jpg,3,1525,https://cpt.tcgcsv.com/0RN,2025-11-21T00:38:58.547,1,4/34,Common,Water,90,Stage 1,"[1W] Splatter
<br>This attack does 20 damage to 1 of your opponent's Pokemon. <i>(Don't apply Weakness and Resistance for Benched Pokemon.)</i>",Mx2,None,3,4.9,5.0,24.99,7.73,,Reverse Holofoil,,"[2W] Hail Wind (60+)
<br>If your opponent's Active Pokemon has Team Magma in its name, this attack does 60 more damage."
97051,Team Aqua's Walrein,Team Aquas Walrein,https://tcgplayer-cdn.tcgplayer.com/product/97051_200w.jpg,3,1525,https://cpt.tcgcsv.com/2RN,2022-12-14T16:22:30.957,1,5/34,Holo Rare,Water,140,Stage 2,"[1] Power Blow (30x)
<br>This attack does 30 damage times the amount of Energy attached to this Pokemon.",Mx2,None,4,0.85,1.39,5.59,3.0,,Holofoil,,"[1WWW] Dual Blizzard
<br>Discard 2 Water energy attached to this Pokemon. This attack does 80 damage to 2 of your opponent's Pokemon. <i>(Don't apply Weakness and Resistance for Benched Pokemon.)</i>"
97051,Team Aqua's Walrein,Team Aquas Walrein,https://tcgplayer-cdn.tcgplayer.com/product/97051_200w.jpg,3,1525,https://cpt.tcgcsv.com/2RN,2022-12-14T16:22:30.957,1,5/34,Holo Rare,Water,140,Stage 2,"[1] Power Blow (30x)
<br>This attack does 30 damage times the amount of Energy attached to this Pokemon.",Mx2,None,4,3.5,3.99,9.99,5.7,,Reverse Holofoil,,"[1WWW] Dual Blizzard
<br>Discard 2 Water energy attached to this Pokemon. This attack does 80 damage to 2 of your opponent's Pokemon. <i>(Don't apply Weakness and Resistance for Benched Pokemon.)</i>"
97052,Team Aqua's Kyogre EX,Team Aquas Kyogre EX,https://tcgplayer-cdn.tcgplayer.com/product/97052_200w.jpg,3,1525,https://cpt.tcgcsv.com/3RN,2022-12-14T16:22:42.313,1,6/34,Ultra Rare,Water,190,Basic,"[1WWW] Aqua Impact (80+)
<br>This attack does 20 more damage for each Colorless in your opponent's Active Pokemon Retreat Cost.",Gx2,None,4,339.0,449.05,999.98,448.4,999.98,Holofoil,"<b>Ability</b> Power Saver
<br>As long as the number of Pokemon in play <em>(both yours and your opponent's)</em> that has Team Aqua in its name is less than 4, this Pokemon can't attack.",
