productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extCardText,extAttack1,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extAttack2,extAttack3
83525,Altaria ex (Delta Species),Altaria ex Delta Species,https://tcgplayer-cdn.tcgplayer.com/product/83525_200w.jpg,3,1411,https://cpt.tcgcsv.com/wqH,2024-04-11T16:59:17.653,1,90/101,Ultra Rare,Water,100,Stage 1,"Extra Boost - Once during your turn (before your attack), you may attach a basic Energy card from your hand to 1 of your Stage 2 Pokemon-ex.  This power can't be used if Altaria ex is affected by a Special Condition.  (Poke-POWER)",[2W] Healing Light (60) Remove 1 damage counter from each of your Pokemon.,C,FG,1,60.0,75.0,89.99,89.99,,Holofoil,,
83549,Ampharos (Delta Species),Ampharos Delta Species,https://tcgplayer-cdn.tcgplayer.com/product/83549_200w.jpg,3,1411,https://cpt.tcgcsv.com/_qH,2024-04-11T16:59:25.45,1,1/101,Holo Rare,Colorless,120,Stage 2,"Holon Veil - Treat each Basic Pokemon and Evolution card in your deck, in your discard pile, in your hand, and in play as a Pokemon that has Delta Species on its card.  (Poke-BODY)",[3] Delta Circle (20+) Does 20 damage plus 10 more damage for each Pokemon you have in play that has Delta Species on its card.,F,,2,34.0,37.82,74.99,33.31,,Holofoil,,
83549,Ampharos (Delta Species),Ampharos Delta Species,https://tcgplayer-cdn.tcgplayer.com/product/83549_200w.jpg,3,1411,https://cpt.tcgcsv.com/_qH,2024-04-11T16:59:25.45,1,1/101,Holo Rare,Colorless,120,Stage 2,"Holon Veil - Treat each Basic Pokemon and Evolution card in your deck, in your discard pile, in your hand, and in play as a Pokemon that has Delta Species on its card.  (Poke-BODY)",[3] Delta Circle (20+) Does 20 damage plus 10 more damage for each Pokemon you have in play that has Delta Species on its card.,F,,2,33.5,124.99,149.99,36.78,,Reverse Holofoil,,
83572,Arbok (Delta Species),Arbok Delta Species,https://tcgplayer-cdn.tcgplayer.com/product/83572_200w.jpg,3,1411,https://cpt.tcgcsv.com/srH,2024-04-11T16:59:30.957,1,13/101,Rare,Fire,80,Stage 1,,[1] Burning Venom - The Defending Pokemon is now Burned and Poisoned.,P,,1,0.98,1.31,3.99,1.92,,Normal,"[1RR] Strangle (50+) If the Defending Pokemon has Delta Species on its card, this attack does 50 damage plus 30 more damage.",
83572,Arbok (Delta Species),Arbok Delta Species,https://tcgplayer-cdn.tcgplayer.com/product/83572_200w.jpg,3,1411,https://cpt.tcgcsv.com/srH,2024-04-11T16:59:30.957,1,13/101,Rare,Fire,80,Stage 1,,[1] Burning Venom - The Defending Pokemon is now Burned and Poisoned.,P,,1,10.0,12.0,56.0,26.42,,Reverse Holofoil,"[1RR] Strangle (50+) If the Defending Pokemon has Delta Species on its card, this attack does 50 damage plus 30 more damage.",
83705,Bagon (Delta Species),Bagon Delta Species,https://tcgplayer-cdn.tcgplayer.com/product/83705_200w.jpg,3,1411,https://cpt.tcgcsv.com/7vH,2024-04-11T16:59:37.703,1,43/101,Common,Water,40,Basic,,"[W] Granite Head (10) During your opponent's next turn, any damage done to Bagon by attacks is reduced by 10 (after applying Weakness and Resistance).",,,1,0.19,0.59,3.0,0.68,,Normal,,
83705,Bagon (Delta Species),Bagon Delta Species,https://tcgplayer-cdn.tcgplayer.com/product/83705_200w.jpg,3,1411,https://cpt.tcgcsv.com/7vH,2024-04-11T16:59:37.703,1,43/101,Common,Water,40,Basic,,"[W] Granite Head (10) During your opponent's next turn, any damage done to Bagon by attacks is reduced by 10 (after applying Weakness and Resistance).",,,1,7.99,24.5,49.99,12.66,,Reverse Holofoil,,
83750,Bayleef (Delta Species),Bayleef Delta Species,https://tcgplayer-cdn.tcgplayer.com/product/83750_200w.jpg,3,1411,https://cpt.tcgcsv.com/0wH,2024-04-11T16:59:44.063,1,26/101,Uncommon,Fighting,70,Stage 1,,[1F] Poisonpowder (20) The Defending Pokemon is now Poisoned.,R,W,1,0.94,1.39,5.0,1.83,,Normal,,
83750,Bayleef (Delta Species),Bayleef Delta Species,https://tcgplayer-cdn.tcgplayer.com/product/83750_200w.jpg,3,1411,https://cpt.tcgcsv.com/0wH,2024-04-11T16:59:44.063,1,26/101,Uncommon,Fighting,70,Stage 1,,[1F] Poisonpowder (20) The Defending Pokemon is now Poisoned.,R,W,1,14.16,19.66,38.59,25.19,,Reverse Holofoil,,
83940,Boost Energy,Boost Energy,https://tcgplayer-cdn.tcgplayer.com/product/83940_200w.jpg,3,1411,https://cpt.tcgcsv.com/QBH,2024-04-11T17:34:58.85,1,87/101,Uncommon,Special Energy,0,Special Energy,,"Boost Energy can be attached only to an Evolved Pokemon.  Discard Boost Energy at the end of the turn it was attached.  Boost Energy provides CCC Energy.  The Pokemon Boost Energy is attached to can't retreat.  If the Pokemon Boost Energy is attached to isn't an Evolved Pokemon, discard Boost Energy.",,,,0.7,1.06,5.0,1.06,,Normal,,
