productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extCardText,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extWeakness,extResistance,extRetreatCost,extAttack2,extAttack3
173392,Dragon Majesty Booster Pack,Dragon Majesty Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/173392_200w.jpg,3,2295,https://cpt.tcgcsv.com/Smp2,2018-08-31T15:45:36.717,1,"Noble Pokémon of wing and claw fly high in the Pokémon TCG: Dragon Majesty expansion! Look for Dragon Majesty collections to bring forth a mighty horde of draconic Pokémon: Reshiram-GX, Salamence-GX, Dragonite-GX, and over a dozen more, including Charizard! Their command of fire, battle, and sky will rise to the top for collectors and competitors alike. Get ready to soar with these awesome Pokémon in the special Dragon Majesty expansion!
<br>
<br>",70.0,77.39,79.99,67.7,,Normal,,,,,,,,,,,
173393,Dragon Majesty Elite Trainer Box,Dragon Majesty Elite Trainer Box,https://tcgplayer-cdn.tcgplayer.com/product/173393_200w.jpg,3,2295,https://cpt.tcgcsv.com/Tmp2,2018-09-06T14:25:37.773,1,"Noble Pokémon of wing and claw fly high in the Pokémon TCG: Dragon Majesty expansion! Look for Dragon Majesty collections to bring forth a mighty horde of draconic Pokémon: Reshiram-GX, Salamence-GX, Dragonite-GX, and over a dozen more, including Charizard! Their command of fire, battle, and sky will rise to the top for collectors and competitors alike. Get ready to soar with these awesome Pokémon in the special Dragon Majesty expansion!
<br>
<br>",949.99,1150.0,2999.99,755.54,,Normal,,,,,,,,,,,
175062,Dragon Majesty Pin Collection [Latias],Dragon Majesty Pin Collection Latias,https://tcgplayer-cdn.tcgplayer.com/product/175062_200w.jpg,3,2295,https://cpt.tcgcsv.com/g2q2,2018-08-31T15:41:33.487,1,"Each Dragon Majesty Pin Collection [Latias] contains:
<br>• 1 Promo card of Latias
<br>• 1 Collector's pin of Latias
<br>• 3 Dragon Majesty Booster Packs
<br>• 1 code card for the Pokémon Trading Card Game Online",299.0,299.5,300.0,285.0,,Normal,,,,,,,,,,,
175063,Dragon Majesty Pin Collection [Latios],Dragon Majesty Pin Collection Latios,https://tcgplayer-cdn.tcgplayer.com/product/175063_200w.jpg,3,2295,https://cpt.tcgcsv.com/h2q2,2018-08-31T15:41:59.187,1,"Each Dragon Majesty Pin Collection [Latios] contains:
<br>• 1 Promo card of Latios
<br>• 1 Collector's pin of Latios
<br>• 3 Dragon Majesty Booster Packs
<br>• 1 code card for the Pokémon Trading Card Game Online",300.0,300.0,300.0,,,Normal,,,,,,,,,,,
175263,Charmander,Charmander,https://tcgplayer-cdn.tcgplayer.com/product/175263_200w.jpg,3,2295,https://cpt.tcgcsv.com/h7q2,2023-11-02T13:51:24.873,1,,13.99,23.95,29.99,17.45,,Reverse Holofoil,1/70,Common,Fire,70,Basic,"[1R] Fire Fang (20)
<br>Your opponent's Active Pokémon is now Burned.",Wx2,None,2,,
175263,Charmander,Charmander,https://tcgplayer-cdn.tcgplayer.com/product/175263_200w.jpg,3,2295,https://cpt.tcgcsv.com/h7q2,2023-11-02T13:51:24.873,1,,1.31,3.0,96.95,3.46,19.98,Normal,1/70,Common,Fire,70,Basic,"[1R] Fire Fang (20)
<br>Your opponent's Active Pokémon is now Burned.",Wx2,None,2,,
175269,Charmeleon,Charmeleon,https://tcgplayer-cdn.tcgplayer.com/product/175269_200w.jpg,3,2295,https://cpt.tcgcsv.com/p7q2,2026-02-17T14:04:59.173,1,"<strong>Ability — Burning Fighter</strong>
<br>When you play this Pokémon from your hand to evolve 1 of your Pokémon during your turn, you may discard the top 5 cards of your deck. If any of those cards are Fire Energy cards, attach them to this Pokemon.",1.8,2.75,5.0,2.83,,Reverse Holofoil,2/70,Uncommon,Fire,80,Stage 1,"[1RR] Flamethrower (80)
<br>Discard an Energy from this Pokémon.",Wx2,None,2,,
175269,Charmeleon,Charmeleon,https://tcgplayer-cdn.tcgplayer.com/product/175269_200w.jpg,3,2295,https://cpt.tcgcsv.com/p7q2,2026-02-17T14:04:59.173,1,"<strong>Ability — Burning Fighter</strong>
<br>When you play this Pokémon from your hand to evolve 1 of your Pokémon during your turn, you may discard the top 5 cards of your deck. If any of those cards are Fire Energy cards, attach them to this Pokemon.",0.3,0.76,1.75,0.76,0.44,Normal,2/70,Uncommon,Fire,80,Stage 1,"[1RR] Flamethrower (80)
<br>Discard an Energy from this Pokémon.",Wx2,None,2,,
175270,Charizard,Charizard,https://tcgplayer-cdn.tcgplayer.com/product/175270_200w.jpg,3,2295,https://cpt.tcgcsv.com/q7q2,2025-12-10T05:19:16.86,1,"<strong>Ability — Resolute Flame</strong>
<br>This Pokémon's attacks do 30 more damage to your opponent's Active Pokémon for each of their Pokémon-GX and Pokémon-EX in play.",17.5,21.84,39.99,21.52,,Reverse Holofoil,3/70,Holo Rare,Fire,160,Stage 2,"[1RR] Fiery Blast (130)
<br>Discard an Energy from this Pokémon.",Wx2,None,2,,
175270,Charizard,Charizard,https://tcgplayer-cdn.tcgplayer.com/product/175270_200w.jpg,3,2295,https://cpt.tcgcsv.com/q7q2,2025-12-10T05:19:16.86,1,"<strong>Ability — Resolute Flame</strong>
<br>This Pokémon's attacks do 30 more damage to your opponent's Active Pokémon for each of their Pokémon-GX and Pokémon-EX in play.",5.0,7.91,14.99,8.37,,Holofoil,3/70,Holo Rare,Fire,160,Stage 2,"[1RR] Fiery Blast (130)
<br>Discard an Energy from this Pokémon.",Wx2,None,2,,
175272,Torchic,Torchic,https://tcgplayer-cdn.tcgplayer.com/product/175272_200w.jpg,3,2295,https://cpt.tcgcsv.com/s7q2,2022-12-06T16:10:04.047,1,,0.05,0.25,1.49,0.25,0.23,Normal,4/70,Common,Fire,60,Basic,"[1] Singe
<br>Flip a coin. If heads, your opponent's Active Pokémon is now Burned.",Wx2,None,1,,
175272,Torchic,Torchic,https://tcgplayer-cdn.tcgplayer.com/product/175272_200w.jpg,3,2295,https://cpt.tcgcsv.com/s7q2,2022-12-06T16:10:04.047,1,,0.5,0.84,1.24,0.79,,Reverse Holofoil,4/70,Common,Fire,60,Basic,"[1] Singe
<br>Flip a coin. If heads, your opponent's Active Pokémon is now Burned.",Wx2,None,1,,
175273,Combusken,Combusken,https://tcgplayer-cdn.tcgplayer.com/product/175273_200w.jpg,3,2295,https://cpt.tcgcsv.com/t7q2,2022-12-06T16:10:15.663,1,"<strong>Ability — Natural Cure</strong>
<br>Whenever you attach an Energy card from your hand to this Pokémon, remove all Special Conditions from it.",0.02,0.33,1.49,0.27,,Normal,5/70,Uncommon,Fire,80,Stage 1,"[2] Lunge (60)
<br>Flip a coin. If tails, this attack does nothing.",Wx2,None,1,,
