productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardText
125108,EX Master Trainer Deck [Blaziken],EX Master Trainer Deck Blaziken,https://tcgplayer-cdn.tcgplayer.com/product/125108_200w.jpg,3,1853,https://cpt.tcgcsv.com/b302,2016-11-11T14:57:17.013,1,,,,,,,,,,,,,,,,,
125109,EX Master Trainer Deck [Gardevoir],EX Master Trainer Deck Gardevoir,https://tcgplayer-cdn.tcgplayer.com/product/125109_200w.jpg,3,1853,https://cpt.tcgcsv.com/c302,2016-11-11T14:57:38.9,1,,,,,,,,,,,,,,,,,
125110,Torchic,Torchic,https://tcgplayer-cdn.tcgplayer.com/product/125110_200w.jpg,3,1853,https://cpt.tcgcsv.com/d302,2016-11-11T14:59:02.463,1,73,Common,Fire,40,Basic,[1] Peck (10),"[1R] Fireworks (30)
<br>Flip a coin. If tails, discard a Fire Energy card attached to Torchic.",Wx2,None,1,0.4,0.64,2.45,1.15,,Normal,
125111,Combusken,Combusken,https://tcgplayer-cdn.tcgplayer.com/product/125111_200w.jpg,3,1853,https://cpt.tcgcsv.com/f302,2016-11-11T15:00:39.997,1,25,Uncommon,Fire,70,Stage 1,"[2] Quick Attack (10+)
<br>Flip a coin. If heads, this attack does 10 damage plus 20 more damage.",[2R] Combustion (40),Wx2,None,1,0.46,0.85,1.68,0.47,,Normal,
125112,Blaziken,Blaziken,https://tcgplayer-cdn.tcgplayer.com/product/125112_200w.jpg,3,1853,https://cpt.tcgcsv.com/g302,2016-11-11T15:02:45.63,1,3,Rare,Fire,100,Stage 2,"[2R] Fire Stream (50)
<br>Discard a Fire Energy attached to Blaziken. If you do, this attack does 10 damage to each of your opponent's Benched Pokemon. <i>(Don't apply Weakness and Resistance for Benched Pokemon.)</i>",,Wx2,None,2,2.0,2.97,10.0,6.31,,Normal,"<b>Poke-POWER — Firestarter</b>
<br>Once during your turn <em>(before your attack)</em>, you may attach a Fire Energy card from your discard pile to 1 of your Benched Pokemon. This power can't be used if Blaziken is affected by a Special Condition."
125113,Blaziken (Holo),Blaziken Holo,https://tcgplayer-cdn.tcgplayer.com/product/125113_200w.jpg,3,1853,https://cpt.tcgcsv.com/h302,2016-11-11T15:03:28.58,1,3,Holo Rare,Fire,100,Stage 2,"[2R] Fire Stream (50)
<br>Discard a Fire Energy attached to Blaziken. If you do, this attack does 10 damage to each of your opponent's Benched Pokemon. <i>(Don't apply Weakness and Resistance for Benched Pokemon.)</i>",,Wx2,None,2,15.25,17.0,49.99,18.0,,Holofoil,"<b>Poke-POWER — Firestarter</b>
<br>Once during your turn <em>(before your attack)</em>, you may attach a Fire Energy card from your discard pile to 1 of your Benched Pokemon. This power can't be used if Blaziken is affected by a Special Condition."
125114,Numel (69),Numel 69,https://tcgplayer-cdn.tcgplayer.com/product/125114_200w.jpg,3,1853,https://cpt.tcgcsv.com/j302,2018-11-16T15:11:00.233,1,69,Common,Fire,40,Basic,"[R] Firebreathing (10+)
<br>Flip a coin. If heads, this attack does 10 damage plus 10 more damage.",[2] Tackle (20),Wx2,None,1,0.35,0.7,5.0,0.74,,Normal,
125115,Camerupt,Camerupt,https://tcgplayer-cdn.tcgplayer.com/product/125115_200w.jpg,3,1853,https://cpt.tcgcsv.com/k302,2016-11-11T15:08:44.29,1,24,Uncommon,Fire,80,Stage 1,"[1R] Super Singe (20)
<br>Flip a coin. If heads, the Defending Pokemon is now Burned.",[2R] Ram (50),Wx2,None,2,0.61,0.83,2.52,0.77,,Normal,
125116,Goldeen,Goldeen,https://tcgplayer-cdn.tcgplayer.com/product/125116_200w.jpg,3,1853,https://cpt.tcgcsv.com/l302,2016-11-11T15:09:50.39,1,55,Common,Water,50,Basic,"[1] Flail (10x)
<br>Does 10 damage for each damage counter on Goldeen.",,Lx2,None,1,0.24,0.5,1.34,0.81,,Normal,
125117,Seaking,Seaking,https://tcgplayer-cdn.tcgplayer.com/product/125117_200w.jpg,3,1853,https://cpt.tcgcsv.com/m302,2016-11-11T15:11:31.323,1,21,Rare,Water,70,Stage 1,"[W] Water Arrow
<br>Choose 1 of your opponent's Pokemon. This attack does 20 damage to that Pokemon. <i>(Don't apply Weakness and Resistance for Benched Pokemon.)</i>","[2] Fast Stream (30)
<br>Move 1 Energy attached to the Defending Pokemon to the other Defending Pokemon. <i>(Ignore this effect if your opponent has only 1 Defending Pokemon.)</i>",Lx2,None,1,0.29,0.5,2.25,0.5,,Normal,
