productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardText
83694,Bagon,Bagon,https://tcgplayer-cdn.tcgplayer.com/product/83694_200w.jpg,3,1543,https://cpt.tcgcsv.com/VtH,2024-05-03T19:22:04.243,1,1/10,Common,Colorless,40,Basic,[1] Headbutt (10),[1R] Flare (20),None,None,1,0.08,0.25,3.49,0.23,,Normal,
84403,Combusken,Combusken,https://tcgplayer-cdn.tcgplayer.com/product/84403_200w.jpg,3,1543,https://cpt.tcgcsv.com/5NH,2024-05-03T19:34:12.583,1,2/10,Common,Fire,70,Stage 1,[R] Flare (20),"[3] Double Kick (40x) 
<br>Flip 2 coins.  This attack does 40 damage times the number of heads.",W,None,1,0.1,0.45,2.99,0.52,,Normal,
84737,Delcatty,Delcatty,https://tcgplayer-cdn.tcgplayer.com/product/84737_200w.jpg,3,1543,https://cpt.tcgcsv.com/MVH,2024-05-03T19:37:38.157,1,3/10,Common,Colorless,80,Stage 1,[2] Scratch (30),"[3] Ultra Energy Source (10x) 
<br>Does 10 damage times the number of basic Energy cards attached to all of the Active Pokemon (both yours and your opponent's).",F,None,1,0.1,0.34,4.19,0.33,,Normal,
85131,Electrike,Electrike,https://tcgplayer-cdn.tcgplayer.com/product/85131_200w.jpg,3,1543,https://cpt.tcgcsv.com/F3J,2024-05-03T19:30:11.15,1,1/10,Common,Lightning,50,Basic,[1] Headbutt (10),,F,M,1,0.05,0.25,3.49,0.21,,Normal,
85239,Energy Search (Latias),Energy Search Latias,https://tcgplayer-cdn.tcgplayer.com/product/85239_200w.jpg,3,1543,https://cpt.tcgcsv.com/P6J,2024-05-03T19:38:56.313,1,9/10,Common,Item,,,,,,,,0.05,0.25,1.49,0.23,,Normal,"Search your deck for a basic Energy card, show it to your opponent, and put it into your hand.  Shuffle your deck afterward."
85240,Energy Search (Latios),Energy Search Latios,https://tcgplayer-cdn.tcgplayer.com/product/85240_200w.jpg,3,1543,https://cpt.tcgcsv.com/Q6J,2024-05-03T19:38:47.957,1,9/10,Common,Item,,,,,,,,0.05,0.25,3.49,0.22,,Normal,"Search your deck for a basic Energy card, show it to your opponent, and put it into your hand.  Shuffle your deck afterward."
85457,Fire Energy,Fire Energy,https://tcgplayer-cdn.tcgplayer.com/product/85457_200w.jpg,3,1543,https://cpt.tcgcsv.com/9cJ,2024-01-26T15:18:31.083,1,10/10,Common,Basic Fire Energy,,,,,,,,0.1,0.29,0.99,0.28,,Normal,
86650,Latias,Latias,https://tcgplayer-cdn.tcgplayer.com/product/86650_200w.jpg,3,1543,https://cpt.tcgcsv.com/0HJ,2024-05-03T19:38:04.54,1,4/10,Common,Colorless,70,Basic,"[R] Dragon Dew (10) 
<br>Remove 1 damage counter from 1 of your Pokemon.",[1RR] Heat Blast (40),P,None,1,2.98,9.0,15.34,10.43,,Holofoil,
86664,Latios,Latios,https://tcgplayer-cdn.tcgplayer.com/product/86664_200w.jpg,3,1543,https://cpt.tcgcsv.com/jHJ,2024-05-03T19:34:21.473,1,2/10,Common,Colorless,80,Basic,"[1L] Gather Energy (20)
<br>Flip a coin.  If heads, search your deck for a basic Energy card and attach it to 1 of your Pokemon.  Shuffle your deck afterward.",[1LL] Dragon Claw (40),P,None,1,2.3,7.3,19.99,8.46,,Holofoil,
86760,Lightning Energy,Lightning Energy,https://tcgplayer-cdn.tcgplayer.com/product/86760_200w.jpg,3,1543,https://cpt.tcgcsv.com/dKJ,2024-01-26T15:21:32.593,1,10/10,Common,Basic Lightning Energy,,,,,,,,0.1,0.27,1.49,0.19,,Normal,
