productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extCardText,extAttack1,extAttack2,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extAttack3,extAttack4
83524,Altaria ex,Altaria ex,https://tcgplayer-cdn.tcgplayer.com/product/83524_200w.jpg,3,1410,https://cpt.tcgcsv.com/vqH,2024-04-11T15:05:23.18,1,90/106,Ultra Rare,Colorless,100,Stage 1,"<b>Poke-BODY</b> Mist <br>
<br>Any damage done to Altaria ex by attacks from Stage 2 Evolved Pokemon <em>(both yours and your opponent's)</em> is reduced by 30 <em>(after applying Weakness and Resistance).J<  (Poke-BODY)",[1] Dive (20),"[1LW] Dragon Mist (70) 
<br>This attack's damage isn't affected by Resistance, Poke-Powers, Poke-Bodies, or any other effects on the Defending Pokemon.",None,None,1,80.0,80.0,80.0,120.0,,Normal,,
83524,Altaria ex,Altaria ex,https://tcgplayer-cdn.tcgplayer.com/product/83524_200w.jpg,3,1410,https://cpt.tcgcsv.com/vqH,2024-04-11T15:05:23.18,1,90/106,Ultra Rare,Colorless,100,Stage 1,"<b>Poke-BODY</b> Mist <br>
<br>Any damage done to Altaria ex by attacks from Stage 2 Evolved Pokemon <em>(both yours and your opponent's)</em> is reduced by 30 <em>(after applying Weakness and Resistance).J<  (Poke-BODY)",[1] Dive (20),"[1LW] Dragon Mist (70) 
<br>This attack's damage isn't affected by Resistance, Poke-Powers, Poke-Bodies, or any other effects on the Defending Pokemon.",None,None,1,54.99,71.38,299.99,103.49,,Holofoil,,
83713,Baltoy,Baltoy,https://tcgplayer-cdn.tcgplayer.com/product/83713_200w.jpg,3,1410,https://cpt.tcgcsv.com/hvH,2024-04-11T15:05:23.677,1,43/106,Common,Fighting,50,Basic,,[1] Slap (10),[3] Pierce (30),G,None,1,1.09,2.85,4.5,2.01,,Normal,,
83713,Baltoy,Baltoy,https://tcgplayer-cdn.tcgplayer.com/product/83713_200w.jpg,3,1410,https://cpt.tcgcsv.com/hvH,2024-04-11T15:05:23.677,1,43/106,Common,Fighting,50,Basic,,[1] Slap (10),[3] Pierce (30),G,None,1,7.49,10.72,19.37,15.23,,Reverse Holofoil,,
83740,Battle Frontier,Battle Frontier,https://tcgplayer-cdn.tcgplayer.com/product/83740_200w.jpg,3,1410,https://cpt.tcgcsv.com/QvH,2024-04-11T15:07:21.997,1,75/106,Uncommon,Stadium,,,"Each player's Colorless Evolved Pokemon, Darkness Evolved Pokemon, and Metal Evolved Pokemon can't use any Poke-Powers or Poke-Bodies.",,,,,,2.85,4.49,14.98,4.77,,Normal,,
83740,Battle Frontier,Battle Frontier,https://tcgplayer-cdn.tcgplayer.com/product/83740_200w.jpg,3,1410,https://cpt.tcgcsv.com/QvH,2024-04-11T15:07:21.997,1,75/106,Uncommon,Stadium,,,"Each player's Colorless Evolved Pokemon, Darkness Evolved Pokemon, and Metal Evolved Pokemon can't use any Poke-Powers or Poke-Bodies.",,,,,,19.08,27.0,35.55,28.84,,Reverse Holofoil,,
83906,Blaziken,Blaziken,https://tcgplayer-cdn.tcgplayer.com/product/83906_200w.jpg,3,1410,https://cpt.tcgcsv.com/8BH,2026-02-27T03:09:32.547,1,1/106,Holo Rare,Fire,110,Stage 2,"<b>Poke-BODY</b> Blaze 
<br>
<br>As long as Blaziken's remaining HP is 40 or less, Blaziken does 40 more damage to the Defending Pokemon <em>(before applying Weakness and Resistance). </em>","[1] Searing Flame (10) 
<br>The Defending Pokemon is now Burned.","[1RR] Damage Burn (50+) 
<br>If the Defending Pokemon already has any damage counters on it, this attack does 50 damage plus 20 more damage.",W,None,2,42.22,49.34,79.99,25.64,,Normal,,
83906,Blaziken,Blaziken,https://tcgplayer-cdn.tcgplayer.com/product/83906_200w.jpg,3,1410,https://cpt.tcgcsv.com/8BH,2026-02-27T03:09:32.547,1,1/106,Holo Rare,Fire,110,Stage 2,"<b>Poke-BODY</b> Blaze 
<br>
<br>As long as Blaziken's remaining HP is 40 or less, Blaziken does 40 more damage to the Defending Pokemon <em>(before applying Weakness and Resistance). </em>","[1] Searing Flame (10) 
<br>The Defending Pokemon is now Burned.","[1RR] Damage Burn (50+) 
<br>If the Defending Pokemon already has any damage counters on it, this attack does 50 damage plus 20 more damage.",W,None,2,52.39,53.88,66.86,58.65,48.98,Holofoil,,
83906,Blaziken,Blaziken,https://tcgplayer-cdn.tcgplayer.com/product/83906_200w.jpg,3,1410,https://cpt.tcgcsv.com/8BH,2026-02-27T03:09:32.547,1,1/106,Holo Rare,Fire,110,Stage 2,"<b>Poke-BODY</b> Blaze 
<br>
<br>As long as Blaziken's remaining HP is 40 or less, Blaziken does 40 more damage to the Defending Pokemon <em>(before applying Weakness and Resistance). </em>","[1] Searing Flame (10) 
<br>The Defending Pokemon is now Burned.","[1RR] Damage Burn (50+) 
<br>If the Defending Pokemon already has any damage counters on it, this attack does 50 damage plus 20 more damage.",W,None,2,41.2,42.34,52.0,80.0,,Reverse Holofoil,,
83956,Breloom,Breloom,https://tcgplayer-cdn.tcgplayer.com/product/83956_200w.jpg,3,1410,https://cpt.tcgcsv.com/8CH,2024-04-11T15:05:24.337,1,22/106,Uncommon,Grass,80,Stage 1,,"[1] Power Blow (10+) 
<br>Does 10 damage plus 10 more damage for each Energy attached to Breloom.","[1GG] Body Slam (40) 
<br>Flip a coin.  If heads, the Defending Pokemon is now Paralyzed.",P,None,1,1.25,1.5,5.69,1.57,,Normal,,
83956,Breloom,Breloom,https://tcgplayer-cdn.tcgplayer.com/product/83956_200w.jpg,3,1410,https://cpt.tcgcsv.com/8CH,2024-04-11T15:05:24.337,1,22/106,Uncommon,Grass,80,Stage 1,,"[1] Power Blow (10+) 
<br>Does 10 damage plus 10 more damage for each Energy attached to Breloom.","[1GG] Body Slam (40) 
<br>Flip a coin.  If heads, the Defending Pokemon is now Paralyzed.",P,None,1,15.0,15.0,21.34,35.5,,Reverse Holofoil,,
84071,Cacnea,Cacnea,https://tcgplayer-cdn.tcgplayer.com/product/84071_200w.jpg,3,1410,https://cpt.tcgcsv.com/rFH,2024-04-11T15:05:24.583,1,44/106,Common,Grass,50,Basic,,"[1] Spike Cannon (10x) 
<br>Flip 3 coins.  This attack does 10 damage times the number of heads.",,F,None,1,0.2,0.5,1.99,0.98,,Normal,,
84071,Cacnea,Cacnea,https://tcgplayer-cdn.tcgplayer.com/product/84071_200w.jpg,3,1410,https://cpt.tcgcsv.com/rFH,2024-04-11T15:05:24.583,1,44/106,Common,Grass,50,Basic,,"[1] Spike Cannon (10x) 
<br>Flip 3 coins.  This attack does 10 damage times the number of heads.",,F,None,1,12.0,16.0,20.0,6.89,,Reverse Holofoil,,
84084,Cacturne ex,Cacturne ex,https://tcgplayer-cdn.tcgplayer.com/product/84084_200w.jpg,3,1410,https://cpt.tcgcsv.com/JFH,2024-04-11T15:05:24.82,1,91/106,Ultra Rare,Grass,110,Stage 1,"<b>Poke-BODY</b> Cursed Glare <br>
<br>As long as Cacturne ex is your Active Pokemon, your opponent can't attach any Special Energy cards (except for Darkness and Metal Energy cards) from his or her hand to his or her Active Pokemon.","[G] Psybeam (20) 
<br>The Defending Pokemon is now Confused.","[2G] Spike Rend (50+) 
<br>If the Defending Pokemon already has any damage counters on it, this attack does 50 damage plus 20 more damage.",R,None,1,90.17,90.17,90.17,,,Normal,,
