productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extWeakness,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardText,extResistance
83661,Audino,Audino,https://tcgplayer-cdn.tcgplayer.com/product/83661_200w.jpg,3,1424,https://cpt.tcgcsv.com/ftH,2023-01-06T21:08:42.093,1,83/98,Uncommon,Colorless,90,Basic,[1] Powerful Slap (40x) Flip a coin for each Energy attached to this Pokemon.  This attack does 40 damage times the number of heads.,[3] Heal Pulse - Heal 50 damage from 1 of your Pokemon.,Fx2,2,0.16,0.51,1.03,0.68,0.88,Normal,,
83661,Audino,Audino,https://tcgplayer-cdn.tcgplayer.com/product/83661_200w.jpg,3,1424,https://cpt.tcgcsv.com/ftH,2023-01-06T21:08:42.093,1,83/98,Uncommon,Colorless,90,Basic,[1] Powerful Slap (40x) Flip a coin for each Energy attached to this Pokemon.  This attack does 40 damage times the number of heads.,[3] Heal Pulse - Heal 50 damage from 1 of your Pokemon.,Fx2,2,0.3,0.71,1.8,0.85,,Reverse Holofoil,,
83731,Basculin (24),Basculin 24,https://tcgplayer-cdn.tcgplayer.com/product/83731_200w.jpg,3,1424,https://cpt.tcgcsv.com/FvH,2025-11-11T02:43:20.247,1,24/98,Common,Water,80,Basic,[1] Flail (10x) Does 10 damage times the number of damage counters on this Pokemon.,"[2W] Final Gambit (80) Flip 2 coins.  If both of them are tails, this Pokemon does 80 damage to itself.",Lx2,1,0.09,0.25,5.0,0.26,0.2,Normal,,
83731,Basculin (24),Basculin 24,https://tcgplayer-cdn.tcgplayer.com/product/83731_200w.jpg,3,1424,https://cpt.tcgcsv.com/FvH,2025-11-11T02:43:20.247,1,24/98,Common,Water,80,Basic,[1] Flail (10x) Does 10 damage times the number of damage counters on this Pokemon.,"[2W] Final Gambit (80) Flip 2 coins.  If both of them are tails, this Pokemon does 80 damage to itself.",Lx2,1,0.25,1.88,2.75,2.86,,Reverse Holofoil,,
83732,Basculin (25),Basculin 25,https://tcgplayer-cdn.tcgplayer.com/product/83732_200w.jpg,3,1424,https://cpt.tcgcsv.com/GvH,2023-05-25T10:09:24.513,1,25/98,Uncommon,Water,80,Basic,[1] Tackle (10),[1W] Splatter - Does 30 damage to 1 of your opponent's Pokemon.  (Don't apply Weakness or Resistance for Benched Pokemon.),Lx2,1,0.15,0.29,5.0,0.29,,Normal,,
83732,Basculin (25),Basculin 25,https://tcgplayer-cdn.tcgplayer.com/product/83732_200w.jpg,3,1424,https://cpt.tcgcsv.com/GvH,2023-05-25T10:09:24.513,1,25/98,Uncommon,Water,80,Basic,[1] Tackle (10),[1W] Splatter - Does 30 damage to 1 of your opponent's Pokemon.  (Don't apply Weakness or Resistance for Benched Pokemon.),Lx2,1,0.25,0.87,4.02,0.91,,Reverse Holofoil,,
83751,Beartic (30),Beartic 30,https://tcgplayer-cdn.tcgplayer.com/product/83751_200w.jpg,3,1424,https://cpt.tcgcsv.com/2wH,2023-01-06T20:57:53.527,1,30/98,Holo Rare,Water,130,Stage 1,[2W] Sheer Cold (50) The Defending Pokemon can't attack during your opponent's next turn.,[2WW] Icicle Crash (80) This attack's damage isn't affected by Resistance.,Mx2,3,0.45,0.75,3.0,0.81,,Holofoil,,
83751,Beartic (30),Beartic 30,https://tcgplayer-cdn.tcgplayer.com/product/83751_200w.jpg,3,1424,https://cpt.tcgcsv.com/2wH,2023-01-06T20:57:53.527,1,30/98,Holo Rare,Water,130,Stage 1,[2W] Sheer Cold (50) The Defending Pokemon can't attack during your opponent's next turn.,[2WW] Icicle Crash (80) This attack's damage isn't affected by Resistance.,Mx2,3,0.65,1.96,3.99,1.79,,Reverse Holofoil,,
83752,Beartic (31),Beartic 31,https://tcgplayer-cdn.tcgplayer.com/product/83752_200w.jpg,3,1424,https://cpt.tcgcsv.com/3wH,2023-01-06T20:58:04.51,1,31/98,Rare,Water,130,Stage 1,[W] Icy Wind (30) The Defending Pokemon is now Asleep.,"[1WW] Superpower (60+) You may do 20 more damage.  If you do, this Pokemon does 20 damage to itself.",Mx2,2,0.17,0.49,2.0,0.61,,Normal,,
83752,Beartic (31),Beartic 31,https://tcgplayer-cdn.tcgplayer.com/product/83752_200w.jpg,3,1424,https://cpt.tcgcsv.com/3wH,2023-01-06T20:58:04.51,1,31/98,Rare,Water,130,Stage 1,[W] Icy Wind (30) The Defending Pokemon is now Asleep.,"[1WW] Superpower (60+) You may do 20 more damage.  If you do, this Pokemon does 20 damage to itself.",Mx2,2,1.0,2.0,3.85,3.7,,Reverse Holofoil,,
