productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extWeakness,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardText,extResistance
83447,Abra,Abra,https://tcgplayer-cdn.tcgplayer.com/product/83447_200w.jpg,3,1375,https://cpt.tcgcsv.com/ZnH,2025-11-24T21:22:40.363,1,093/165,Common,Psychic,40,Basic,[1] Scratch (10),"[P] Confuse Ray
<br>Flip a coin. If heads, the Defending Pokémon is now Confused.",P,1,0.98,1.98,5.0,1.98,1.46,Normal,,
83447,Abra,Abra,https://tcgplayer-cdn.tcgplayer.com/product/83447_200w.jpg,3,1375,https://cpt.tcgcsv.com/ZnH,2025-11-24T21:22:40.363,1,093/165,Common,Psychic,40,Basic,[1] Scratch (10),"[P] Confuse Ray
<br>Flip a coin. If heads, the Defending Pokémon is now Confused.",P,1,38.0,49.74,53.55,45.33,,Reverse Holofoil,,
83497,Alakazam (1),Alakazam 1,https://tcgplayer-cdn.tcgplayer.com/product/83497_200w.jpg,3,1375,https://cpt.tcgcsv.com/ZpH,2025-11-24T21:23:10.287,1,001/165,Holo Rare,Psychic,100,Stage 2,"[2P] Syncroblast (80)
<br>If Alakazam and the Defending Pokémon don't have the same number of Energy cards attached to them, this attack's base damage is 20 instead of 80.",,P,2,245.0,265.0,478.99,226.33,,Holofoil,"<strong>Poké-POWER — Psymimic</strong
<br>
Once during your turn, instead of Alakazam's normal attack, you may choose 1 of your opponent's Pokémon's attacks. Alakazam copies that attack including its Energy costs and anything else required in order to use that attack, such as discarding Energy cards. <em>(No matter what type that Pokémon is, Alakazam's type is still Psychic.) This power can't be used if Alakazam is affected by a Special Condition.",
83497,Alakazam (1),Alakazam 1,https://tcgplayer-cdn.tcgplayer.com/product/83497_200w.jpg,3,1375,https://cpt.tcgcsv.com/ZpH,2025-11-24T21:23:10.287,1,001/165,Holo Rare,Psychic,100,Stage 2,"[2P] Syncroblast (80)
<br>If Alakazam and the Defending Pokémon don't have the same number of Energy cards attached to them, this attack's base damage is 20 instead of 80.",,P,2,106.1,294.0,500.0,102.34,,Reverse Holofoil,"<strong>Poké-POWER — Psymimic</strong
<br>
Once during your turn, instead of Alakazam's normal attack, you may choose 1 of your opponent's Pokémon's attacks. Alakazam copies that attack including its Energy costs and anything else required in order to use that attack, such as discarding Energy cards. <em>(No matter what type that Pokémon is, Alakazam's type is still Psychic.) This power can't be used if Alakazam is affected by a Special Condition.",
83500,Alakazam (33),Alakazam 33,https://tcgplayer-cdn.tcgplayer.com/product/83500_200w.jpg,3,1375,https://cpt.tcgcsv.com/0qH,2025-11-24T13:12:29.453,1,033/165,Rare,Psychic,100,Stage 2,"[2P] Syncroblast (80)
<br>If Alakazam and the Defending Pokémon don't have the same number of Energy cards attached to them, this attack's base damage is 20 instead of 80.",,P,2,4.4,8.42,49.99,11.28,7.34,Normal,"<strong>Poké-POWER — Psymimic</strong
<br>
Once during your turn, instead of Alakazam's normal attack, you may choose 1 of your opponent's Pokémon's attacks. Alakazam copies that attack including its Energy costs and anything else required in order to use that attack, such as discarding Energy cards. <em>(No matter what type that Pokémon is, Alakazam's type is still Psychic.) This power can't be used if Alakazam is affected by a Special Condition.",
83500,Alakazam (33),Alakazam 33,https://tcgplayer-cdn.tcgplayer.com/product/83500_200w.jpg,3,1375,https://cpt.tcgcsv.com/0qH,2025-11-24T13:12:29.453,1,033/165,Rare,Psychic,100,Stage 2,"[2P] Syncroblast (80)
<br>If Alakazam and the Defending Pokémon don't have the same number of Energy cards attached to them, this attack's base damage is 20 instead of 80.",,P,2,44.99,58.21,58.88,71.01,,Reverse Holofoil,"<strong>Poké-POWER — Psymimic</strong
<br>
Once during your turn, instead of Alakazam's normal attack, you may choose 1 of your opponent's Pokémon's attacks. Alakazam copies that attack including its Energy costs and anything else required in order to use that attack, such as discarding Energy cards. <em>(No matter what type that Pokémon is, Alakazam's type is still Psychic.) This power can't be used if Alakazam is affected by a Special Condition.",
83538,Ampharos (2),Ampharos 2,https://tcgplayer-cdn.tcgplayer.com/product/83538_200w.jpg,3,1375,https://cpt.tcgcsv.com/NqH,2022-11-29T20:56:21.627,1,002/165,Holo Rare,Lightning,100,Stage 2,"[2LL] Lightning Strike (40)
<br>You may discard all Lightning Energy cards attached to Ampharos. If you do, this attack's base damage is 80 instead of 40.",,F,2,68.04,112.2,158.88,151.8,,Holofoil,"<strong>Poké-POWER — Energy Connect</strong>
<br>
As often as you like during your turn <em>(before your attack)</em>, you may take a basic Energy card attached to 1 of your Benched Pokémon and attach it to your Active Pokémon. This power can't be used if Ampharos is affected by a Special Condition.",
83538,Ampharos (2),Ampharos 2,https://tcgplayer-cdn.tcgplayer.com/product/83538_200w.jpg,3,1375,https://cpt.tcgcsv.com/NqH,2022-11-29T20:56:21.627,1,002/165,Holo Rare,Lightning,100,Stage 2,"[2LL] Lightning Strike (40)
<br>You may discard all Lightning Energy cards attached to Ampharos. If you do, this attack's base damage is 80 instead of 40.",,F,2,34.99,43.07,59.99,42.35,,Reverse Holofoil,"<strong>Poké-POWER — Energy Connect</strong>
<br>
As often as you like during your turn <em>(before your attack)</em>, you may take a basic Energy card attached to 1 of your Benched Pokémon and attach it to your Active Pokémon. This power can't be used if Ampharos is affected by a Special Condition.",
83539,Ampharos (34),Ampharos 34,https://tcgplayer-cdn.tcgplayer.com/product/83539_200w.jpg,3,1375,https://cpt.tcgcsv.com/PqH,2022-11-29T20:57:01.677,1,034/165,Rare,Lightning,100,Stage 2,"[2LL] Lightning Strike (40)
<br>You may discard all Lightning Energy cards attached to Ampharos. If you do, this attack's base damage is 80 instead of 40.",,F,2,15.64,30.48,34.99,17.13,,Normal,"<strong>Poké-POWER — Energy Connect</strong>
<br>
As often as you like during your turn <em>(before your attack)</em>, you may take a basic Energy card attached to 1 of your Benched Pokémon and attach it to your Active Pokémon. This power can't be used if Ampharos is affected by a Special Condition.",
83539,Ampharos (34),Ampharos 34,https://tcgplayer-cdn.tcgplayer.com/product/83539_200w.jpg,3,1375,https://cpt.tcgcsv.com/PqH,2022-11-29T20:57:01.677,1,034/165,Rare,Lightning,100,Stage 2,"[2LL] Lightning Strike (40)
<br>You may discard all Lightning Energy cards attached to Ampharos. If you do, this attack's base damage is 80 instead of 40.",,F,2,66.66,83.15,99.63,21.2,,Reverse Holofoil,"<strong>Poké-POWER — Energy Connect</strong>
<br>
As often as you like during your turn <em>(before your attack)</em>, you may take a basic Energy card attached to 1 of your Benched Pokémon and attach it to your Active Pokémon. This power can't be used if Ampharos is affected by a Special Condition.",
83566,Arbok (3),Arbok 3,https://tcgplayer-cdn.tcgplayer.com/product/83566_200w.jpg,3,1375,https://cpt.tcgcsv.com/lrH,2022-11-29T20:57:45.107,1,003/165,Holo Rare,Grass,70,Stage 1,"[G] Poison Spray
<br>The Defending Pokémon is now Poisoned.","[2] Poison Reaction (20+)
<br>If the Defending Pokémon is Poisoned, this attack does 20 damage plus 20 more damage.",P,1,99.99,117.75,145.0,72.22,43.98,Holofoil,,
83566,Arbok (3),Arbok 3,https://tcgplayer-cdn.tcgplayer.com/product/83566_200w.jpg,3,1375,https://cpt.tcgcsv.com/lrH,2022-11-29T20:57:45.107,1,003/165,Holo Rare,Grass,70,Stage 1,"[G] Poison Spray
<br>The Defending Pokémon is now Poisoned.","[2] Poison Reaction (20+)
<br>If the Defending Pokémon is Poisoned, this attack does 20 damage plus 20 more damage.",P,1,29.99,29.99,29.99,31.95,,Reverse Holofoil,,
83569,Arbok (35),Arbok 35,https://tcgplayer-cdn.tcgplayer.com/product/83569_200w.jpg,3,1375,https://cpt.tcgcsv.com/prH,2022-11-29T20:58:19.507,1,035/165,Rare,Grass,70,Stage 1,"[G] Poison Spray
<br>The Defending Pokémon is now Poisoned.","[2] Poison Reaction (20+)
<br>If the Defending Pokémon is Poisoned, this attack does 20 damage plus 20 more damage.",P,1,6.17,6.4,12.65,8.88,,Normal,,
