productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardText,extAttack3
83582,Arcanine,Arcanine,https://tcgplayer-cdn.tcgplayer.com/product/83582_200w.jpg,3,1419,https://cpt.tcgcsv.com/GrH,2024-04-11T17:48:06.147,1,18/112,Rare,Fire,90,Stage 1,[R] Flare (20),"[3R] Heat Tackle (70)
<br>Arcanine does 10 damage to itself.",W,None,2,0.4,1.14,42.49,1.74,,Normal,,
83582,Arcanine,Arcanine,https://tcgplayer-cdn.tcgplayer.com/product/83582_200w.jpg,3,1419,https://cpt.tcgcsv.com/GrH,2024-04-11T17:48:06.147,1,18/112,Rare,Fire,90,Stage 1,[R] Flare (20),"[3R] Heat Tackle (70)
<br>Arcanine does 10 damage to itself.",W,None,2,42.49,49.0,60.0,42.49,,Reverse Holofoil,,
83654,Articuno ex,Articuno ex,https://tcgplayer-cdn.tcgplayer.com/product/83654_200w.jpg,3,1419,https://cpt.tcgcsv.com/6tH,2024-04-11T17:48:06.437,1,114/112,Secret Rare,Water,110,Basic,"[1WW] Cold Crush (50) 
<br>You may discard an Energy card attached to Articuno ex.  If you do, your opponent discards an Energy card attached to the Defending Pokemon.",,M,None,2,158.99,349.95,399.99,106.68,,Holofoil,"<b>Poke-POWER</b> Legendary Ascent <br>
<br>Once during your turn, when you put Articuno ex from your hand onto your Bench, you may switch 1 of your Active Pokemon with Articuno ex.  If you do, you may also move any number of basic Water Energy cards attached to your Pokemon to Articuno ex.",
83769,Beedrill,Beedrill,https://tcgplayer-cdn.tcgplayer.com/product/83769_200w.jpg,3,1419,https://cpt.tcgcsv.com/pwH,2026-02-05T12:13:55.443,1,1/112,Holo Rare,Grass,90,Stage 2,"[G] Poison Sting (20) 
<br>The Defending Pokemon is now Poisoned.","[2G] Link Needle (50+) 
<br>This attack does 50 damage plus 30 more damage for each Beedrill (excluding this one) you have in play.",R,None,0,4.4,8.56,12.97,7.63,,Normal,,
83769,Beedrill,Beedrill,https://tcgplayer-cdn.tcgplayer.com/product/83769_200w.jpg,3,1419,https://cpt.tcgcsv.com/pwH,2026-02-05T12:13:55.443,1,1/112,Holo Rare,Grass,90,Stage 2,"[G] Poison Sting (20) 
<br>The Defending Pokemon is now Poisoned.","[2G] Link Needle (50+) 
<br>This attack does 50 damage plus 30 more damage for each Beedrill (excluding this one) you have in play.",R,None,0,7.0,10.25,14.93,9.92,,Holofoil,,
83769,Beedrill,Beedrill,https://tcgplayer-cdn.tcgplayer.com/product/83769_200w.jpg,3,1419,https://cpt.tcgcsv.com/pwH,2026-02-05T12:13:55.443,1,1/112,Holo Rare,Grass,90,Stage 2,"[G] Poison Sting (20) 
<br>The Defending Pokemon is now Poisoned.","[2G] Link Needle (50+) 
<br>This attack does 50 damage plus 30 more damage for each Beedrill (excluding this one) you have in play.",R,None,0,11.37,14.54,17.97,18.32,,Reverse Holofoil,,
83807,Bellsprout,Bellsprout,https://tcgplayer-cdn.tcgplayer.com/product/83807_200w.jpg,3,1419,https://cpt.tcgcsv.com/9xH,2026-02-04T00:05:22.807,1,53/112,Common,Grass,50,Basic,[G] Vine Whip (10),,R,None,1,0.52,1.32,21.32,1.49,,Normal,,
83807,Bellsprout,Bellsprout,https://tcgplayer-cdn.tcgplayer.com/product/83807_200w.jpg,3,1419,https://cpt.tcgcsv.com/9xH,2026-02-04T00:05:22.807,1,53/112,Common,Grass,50,Basic,[G] Vine Whip (10),,R,None,1,52.89,60.0,60.0,13.2,,Reverse Holofoil,,
83838,Bill's Maintenance,Bills Maintenance,https://tcgplayer-cdn.tcgplayer.com/product/83838_200w.jpg,3,1419,https://cpt.tcgcsv.com/NxH,2026-01-27T22:31:08.13,1,87/112,Uncommon,Supporter,,,,,,,,0.05,0.25,20.25,0.23,0.15,Normal,"You can play only one Supporter card each turn.  When you play this card, put it next to your Active Pokemon.  When your turn ends, discard this card.
<br>
<br>
<br>
<br>If you have any cards in your hand, shuffle 1 of them into your deck, then draw 3 cards.",
83838,Bill's Maintenance,Bills Maintenance,https://tcgplayer-cdn.tcgplayer.com/product/83838_200w.jpg,3,1419,https://cpt.tcgcsv.com/NxH,2026-01-27T22:31:08.13,1,87/112,Uncommon,Supporter,,,,,,,,2.61,3.5,4.99,3.59,,Reverse Holofoil,"You can play only one Supporter card each turn.  When you play this card, put it next to your Active Pokemon.  When your turn ends, discard this card.
<br>
<br>
<br>
<br>If you have any cards in your hand, shuffle 1 of them into your deck, then draw 3 cards.",
83900,Blastoise ex,Blastoise ex,https://tcgplayer-cdn.tcgplayer.com/product/83900_200w.jpg,3,1419,https://cpt.tcgcsv.com/0BH,2024-04-11T17:48:07.4,1,104/112,Ultra Rare,Water,150,Stage 2,"[1WWW] Hyper Whirlpool (80) 
<br>Flip a coin until you get tails.  For each heads, your opponent discards an Energy card attached to the Defending Pokemon.",,L,None,3,339.75,391.93,498.66,331.63,,Holofoil,"<b>Poke-POWER</b> Energy Rain <br>
<br>As often as you like during your turn <em>(before your attack)</em>, you may attach a Water Energy card from your hand to 1 of your Pokemon.  Put 1 damage counter on that Pokemon.  This power can't be used if Blastoise ex is affected by a Special Condition.",
84029,Bulbasaur - 054/112,Bulbasaur 054 112,https://tcgplayer-cdn.tcgplayer.com/product/84029_200w.jpg,3,1419,https://cpt.tcgcsv.com/CDH,2026-02-25T01:01:38.027,1,54/112,Common,Grass,50,Basic,"[1] Sleep Poison 
<br>Flip a coin.  If heads, the Defending Pokemon is now Asleep and Poisoned.",[2] Razor Leaf (20),R,None,1,9.34,16.99,96.95,10.36,29.99,Normal,,
84029,Bulbasaur - 054/112,Bulbasaur 054 112,https://tcgplayer-cdn.tcgplayer.com/product/84029_200w.jpg,3,1419,https://cpt.tcgcsv.com/CDH,2026-02-25T01:01:38.027,1,54/112,Common,Grass,50,Basic,"[1] Sleep Poison 
<br>Flip a coin.  If heads, the Defending Pokemon is now Asleep and Poisoned.",[2] Razor Leaf (20),R,None,1,82.24,91.45,137.95,76.86,82.24,Reverse Holofoil,,
84030,Bulbasaur - 055/112,Bulbasaur 055 112,https://tcgplayer-cdn.tcgplayer.com/product/84030_200w.jpg,3,1419,https://cpt.tcgcsv.com/DDH,2026-02-17T17:15:54.69,1,55/112,Common,Grass,50,Basic,[1] Ram (10),"[1G] Gouge (20+) 
<br>Flip a coin.  If heads, this attack does 20 damage plus 10 more damage.",P,None,1,1.44,2.0,34.99,2.63,,Normal,,
