productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardText
113659,Venusaur EX,Venusaur EX,https://tcgplayer-cdn.tcgplayer.com/product/113659_200w.jpg,3,1728,https://cpt.tcgcsv.com/ctW,2025-12-02T16:25:28.203,1,1/83,Ultra Rare,Grass,180,Basic,"[2G] Frog Hop (40+)
<br>Flip a coin. If heads, the attack does 40 more damage.","[2GG] Poison Impact (80)
<br>Your opponent's Active Pokemon is now Asleep and Poisoned.",Rx2,None,4,3.5,8.77,18.91,8.76,,Holofoil,
113660,M Venusaur EX,M Venusaur EX,https://tcgplayer-cdn.tcgplayer.com/product/113660_200w.jpg,3,1728,https://cpt.tcgcsv.com/dtW,2025-12-09T03:59:11.477,1,2/83,Ultra Rare,Grass,230,Mega,"[2GG] Bloom Buster (130)
<br>Flip a coin. If heads, this attack does 30 damage to each of your opponent's Benched Pokemon. <i>(Don't apply Weakness and Resistance for Benched Pokemon.)</i>",,Rx2,None,4,9.0,17.99,499.99,18.01,,Holofoil,
113661,Caterpie,Caterpie,https://tcgplayer-cdn.tcgplayer.com/product/113661_200w.jpg,3,1728,https://cpt.tcgcsv.com/ftW,2025-11-22T00:57:05.087,1,3/83,Common,Grass,40,Basic,[G] This Pokemon can evolve during your first turn or the turn you play it.,,Rx2,None,1,0.05,0.25,4.0,0.27,0.23,Normal,"<b>Ability — Adaptive Evolution</b>
<br>This Pokemon can evolve during your first turn or the turn you play it."
113661,Caterpie,Caterpie,https://tcgplayer-cdn.tcgplayer.com/product/113661_200w.jpg,3,1728,https://cpt.tcgcsv.com/ftW,2025-11-22T00:57:05.087,1,3/83,Common,Grass,40,Basic,[G] This Pokemon can evolve during your first turn or the turn you play it.,,Rx2,None,1,0.25,0.62,1.96,0.66,,Reverse Holofoil,"<b>Ability — Adaptive Evolution</b>
<br>This Pokemon can evolve during your first turn or the turn you play it."
113662,Metapod,Metapod,https://tcgplayer-cdn.tcgplayer.com/product/113662_200w.jpg,3,1728,https://cpt.tcgcsv.com/gtW,2025-01-31T19:37:58.537,1,4/83,Uncommon,Grass,70,Stage 1,"[2] Harden
<br>During your opponent's next turn, if this Pokemon would be damaged by an attack, prevent that attack's damage done to this Pokemon if that damage is 60 or less.",,Rx2,None,2,0.13,0.3,1.49,0.36,0.28,Normal,"<b>Ability — Adaptive Evolution</b>
<br>This Pokemon can evolve during your first turn or the turn you play it."
113662,Metapod,Metapod,https://tcgplayer-cdn.tcgplayer.com/product/113662_200w.jpg,3,1728,https://cpt.tcgcsv.com/gtW,2025-01-31T19:37:58.537,1,4/83,Uncommon,Grass,70,Stage 1,"[2] Harden
<br>During your opponent's next turn, if this Pokemon would be damaged by an attack, prevent that attack's damage done to this Pokemon if that damage is 60 or less.",,Rx2,None,2,0.25,1.0,2.0,1.18,,Reverse Holofoil,"<b>Ability — Adaptive Evolution</b>
<br>This Pokemon can evolve during your first turn or the turn you play it."
113663,Butterfree,Butterfree,https://tcgplayer-cdn.tcgplayer.com/product/113663_200w.jpg,3,1728,https://cpt.tcgcsv.com/htW,2026-02-27T03:38:11.55,1,5/83,Holo Rare,Grass,130,Stage 2,"[G] Quiver Dance
<br>Search your deck for a basic Energy card card and attach it to this Pokemon. Shuffle your deck afterward. If you attached Energy in this way, heal 40 damage.",[2G] Gust (70),Lx2,F-20,1,1.0,2.0,9.95,2.54,1.12,Holofoil,
113663,Butterfree,Butterfree,https://tcgplayer-cdn.tcgplayer.com/product/113663_200w.jpg,3,1728,https://cpt.tcgcsv.com/htW,2026-02-27T03:38:11.55,1,5/83,Holo Rare,Grass,130,Stage 2,"[G] Quiver Dance
<br>Search your deck for a basic Energy card card and attach it to this Pokemon. Shuffle your deck afterward. If you attached Energy in this way, heal 40 damage.",[2G] Gust (70),Lx2,F-20,1,1.65,2.99,3.75,3.3,,Reverse Holofoil,
113664,Paras,Paras,https://tcgplayer-cdn.tcgplayer.com/product/113664_200w.jpg,3,1728,https://cpt.tcgcsv.com/jtW,2023-01-29T04:15:52.373,1,6/83,Common,Grass,60,Basic,"[1] Blot (10)
<br>Heal 10 damage from this Pokemon.",,Rx2,None,1,0.05,0.23,4.0,0.22,0.23,Normal,
113664,Paras,Paras,https://tcgplayer-cdn.tcgplayer.com/product/113664_200w.jpg,3,1728,https://cpt.tcgcsv.com/jtW,2023-01-29T04:15:52.373,1,6/83,Common,Grass,60,Basic,"[1] Blot (10)
<br>Heal 10 damage from this Pokemon.",,Rx2,None,1,0.4,0.95,3.0,1.05,0.65,Reverse Holofoil,
