productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardText
113742,Chikorita,Chikorita,https://tcgplayer-cdn.tcgplayer.com/product/113742_200w.jpg,3,1729,https://cpt.tcgcsv.com/SvW,2026-02-18T21:27:12.483,1,RC1/RC32,Common,Grass,50,Basic,"[1] Run Around
<br>Switch this Pokemon with 1 of your Benched Pokemon.",[1G] Vine Whip (20),Rx2,None,1,6.15,9.26,16.99,9.64,,Normal,
113743,Shroomish,Shroomish,https://tcgplayer-cdn.tcgplayer.com/product/113743_200w.jpg,3,1729,https://cpt.tcgcsv.com/TvW,2025-11-21T23:49:21.793,1,RC2/RC32,Common,Grass,60,Basic,"[G] Worry Seed (10)
<br>Flip a coin. If heads, your opponent's Active Pokémon is now Confused.",,Rx2,None,2,1.5,1.87,29.97,2.06,,Normal,
113744,Charmander,Charmander,https://tcgplayer-cdn.tcgplayer.com/product/113744_200w.jpg,3,1729,https://cpt.tcgcsv.com/VvW,2022-12-14T16:56:04.58,1,RC3/RC32,Common,Fire,70,Basic,"[1R] Playful (20x)
<br>Flip a coin. If heads, this attack does 20 damage times the number of damage counters on this Pokémon.",,Wx2,None,2,8.63,12.0,19.99,12.42,,Normal,
113745,Charmeleon,Charmeleon,https://tcgplayer-cdn.tcgplayer.com/product/113745_200w.jpg,3,1729,https://cpt.tcgcsv.com/WvW,2026-02-17T12:21:11.36,1,RC4/RC32,Common,Fire,90,Stage 1,"[1] Call for Support
<br>Search your deck for a Supporter card, reveal it, and put it into your hand. Shuffle your deck afterward.",[1RR] Slash (80),Wx2,None,2,6.99,11.59,99.99,12.87,,Normal,
113746,Charizard,Charizard,https://tcgplayer-cdn.tcgplayer.com/product/113746_200w.jpg,3,1729,https://cpt.tcgcsv.com/XvW,2026-02-18T01:35:32.097,1,RC5/RC32,Uncommon,Fire,160,Stage 2,"[1] Recall
<br>Choose 1 of this Pokémon's attacks from its previous Evolutions and use it as this attack.","[2RR] Combustion Blast (130)
<br>This Pokémon can't use Combustion Blast during your next turn.",Wx2,None,3,25.01,40.5,999.99,38.65,32.99,Holofoil,
113747,Flareon EX,Flareon EX,https://tcgplayer-cdn.tcgplayer.com/product/113747_200w.jpg,3,1729,https://cpt.tcgcsv.com/ZvW,2026-02-17T16:20:13.94,1,RC6/RC32,Ultra Rare,Fire,170,Basic,"[3] Blaze Ball (50+)
<br>This attack does 20 more damage for each Fire Energy attached to this Pokémon.",,Wx2,None,2,49.63,62.99,93.97,57.53,57.95,Holofoil,"<b>Ability — Flash Fire</b>
<br>Once during your turn (before your attack), you may move a Fire Energy from 1 of your Pokémon to this Pokémon."
113748,Flareon EX (Full Art),Flareon EX Full Art,https://tcgplayer-cdn.tcgplayer.com/product/113748_200w.jpg,3,1729,https://cpt.tcgcsv.com/-vW,2026-02-17T12:23:29.307,1,RC28/RC32,Ultra Rare,Fire,170,Basic,"[3] Blaze Ball (50+)
<br>This attack does 20 more damage for each Fire Energy attached to this Pokémon.",,Wx2,None,2,85.0,137.54,249.95,130.18,,Holofoil,"<b>Ability — Flash Fire</b>
<br>Once during your turn (before your attack), you may move a Fire Energy from 1 of your Pokémon to this Pokémon."
113749,Snorunt,Snorunt,https://tcgplayer-cdn.tcgplayer.com/product/113749_200w.jpg,3,1729,https://cpt.tcgcsv.com/_vW,2024-07-26T19:16:53.623,1,RC7/RC32,Common,Water,50,Basic,[1] Icy Snow (10),,Mx2,None,1,3.5,4.33,9.99,5.46,,Normal,
113750,Froslass,Froslass,https://tcgplayer-cdn.tcgplayer.com/product/113750_200w.jpg,3,1729,https://cpt.tcgcsv.com/0wW,2026-02-18T01:36:33.59,1,RC8/RC32,Uncommon,Water,90,Stage 1,"[3] Snowy Drop
<br>Put 4 damage counters on your opponent's Pokémon in any way you like.",,Mx2,None,2,1.0,2.57,9.99,3.25,6.69,Holofoil,"<b>Ability — Drag Along</b>
<br>If this Pokémon is your Active Pokémon and is Knocked Out by damage from an opponent's attack, flip a coin. If heads, the Attacking Pokémon is Knocked Out."
113751,Raichu,Raichu,https://tcgplayer-cdn.tcgplayer.com/product/113751_200w.jpg,3,1729,https://cpt.tcgcsv.com/2wW,2023-07-08T15:46:21.6,1,RC9/RC32,Common,Lightning,90,Stage 1,"[2] Circle Circuit (20x)
<br>This attack does 20 damage times the number of Pokémon on your Bench.","[1LL] Thunderbolt (100)
<br>Discard all Energy attached to this Pokémon.",Fx2,M-20,0,8.13,10.99,23.0,10.9,9.54,Normal,
113752,Dedenne,Dedenne,https://tcgplayer-cdn.tcgplayer.com/product/113752_200w.jpg,3,1729,https://cpt.tcgcsv.com/3wW,2026-02-17T16:20:08.957,1,RC10/RC32,Uncommon,Lightning,60,Basic,"[1] Rest
<br>Heal 30 damage from this Pokémon. This Pokémon is now Asleep.","[L] Pachi (10+)
<br>Flip a coin. If heads, this attack does 20 more damage.",Fx2,M-20,1,10.0,13.69,999.99,14.8,223.0,Holofoil,
