productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extWeakness,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardText,extResistance
83862,Blaine's Charmander,Blaines Charmander,https://tcgplayer-cdn.tcgplayer.com/product/83862_200w.jpg,3,1441,https://cpt.tcgcsv.com/gzH,2022-11-18T19:15:15.217,1,061/132,Common,Fire,50,Basic,"[R] Kindle (10)
<br>Discard 1 Energy card attached to Blaine's Charmander in order to use this attack. If the Defending Pokémon has any Energy cards attached to it, choose 1 of them and discard it.",[2] Slash (20),W,1,5.5,11.99,20.6,9.82,,1st Edition,,
83862,Blaine's Charmander,Blaines Charmander,https://tcgplayer-cdn.tcgplayer.com/product/83862_200w.jpg,3,1441,https://cpt.tcgcsv.com/gzH,2022-11-18T19:15:15.217,1,061/132,Common,Fire,50,Basic,"[R] Kindle (10)
<br>Discard 1 Energy card attached to Blaine's Charmander in order to use this attack. If the Defending Pokémon has any Energy cards attached to it, choose 1 of them and discard it.",[2] Slash (20),W,1,0.94,1.77,4.74,1.75,,Unlimited,,
83867,Blaine's Gamble,Blaines Gamble,https://tcgplayer-cdn.tcgplayer.com/product/83867_200w.jpg,3,1441,https://cpt.tcgcsv.com/mzH,2025-12-08T22:38:00.63,1,121/132,Common,Trainer,,,,,,,0.74,1.0,49.99,1.0,,1st Edition,"Discard any number of other cards from your hand, then flip a coin. If heads, draw twice that many cards.",
83867,Blaine's Gamble,Blaines Gamble,https://tcgplayer-cdn.tcgplayer.com/product/83867_200w.jpg,3,1441,https://cpt.tcgcsv.com/mzH,2025-12-08T22:38:00.63,1,121/132,Common,Trainer,,,,,,,0.14,0.44,3.99,0.43,0.47,Unlimited,"Discard any number of other cards from your hand, then flip a coin. If heads, draw twice that many cards.",
83868,Blaine's Growlithe (35),Blaines Growlithe 35,https://tcgplayer-cdn.tcgplayer.com/product/83868_200w.jpg,3,1441,https://cpt.tcgcsv.com/nzH,2024-04-12T17:25:10.453,1,035/132,Uncommon,Fire,50,Basic,"[1] Shake (10)
<br>If your opponent has any Benched Pokémon, he or she chooses 1 of them and switches it with the Defending Pokémon. <em>(Do the damage before switching the Pokémon.)</em>","[1R] Fire Tackle (30)
<br>Blaine's Growlithe does 10 damage to itself.",W,1,9.17,11.11,17.85,12.57,,1st Edition,,
83868,Blaine's Growlithe (35),Blaines Growlithe 35,https://tcgplayer-cdn.tcgplayer.com/product/83868_200w.jpg,3,1441,https://cpt.tcgcsv.com/nzH,2024-04-12T17:25:10.453,1,035/132,Uncommon,Fire,50,Basic,"[1] Shake (10)
<br>If your opponent has any Benched Pokémon, he or she chooses 1 of them and switches it with the Defending Pokémon. <em>(Do the damage before switching the Pokémon.)</em>","[1R] Fire Tackle (30)
<br>Blaine's Growlithe does 10 damage to itself.",W,1,2.85,3.79,25624.73,3.89,,Unlimited,,
83869,Blaine's Growlithe (62),Blaines Growlithe 62,https://tcgplayer-cdn.tcgplayer.com/product/83869_200w.jpg,3,1441,https://cpt.tcgcsv.com/pzH,2025-12-08T22:38:50.147,1,062/132,Common,Fire,50,Basic,"[RR] Blaze (20)
<br>Does 10 damage to each Grass Pokémon on your opponent's Bench. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em>",,W,1,3.28,9.34,96.95,7.63,50.47,1st Edition,,
83869,Blaine's Growlithe (62),Blaines Growlithe 62,https://tcgplayer-cdn.tcgplayer.com/product/83869_200w.jpg,3,1441,https://cpt.tcgcsv.com/pzH,2025-12-08T22:38:50.147,1,062/132,Common,Fire,50,Basic,"[RR] Blaze (20)
<br>Does 10 damage to each Grass Pokémon on your opponent's Bench. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em>",,W,1,0.49,0.99,3.3,1.41,1.72,Unlimited,,
83871,Blaine's Kangaskhan,Blaines Kangaskhan,https://tcgplayer-cdn.tcgplayer.com/product/83871_200w.jpg,3,1441,https://cpt.tcgcsv.com/rzH,2026-02-18T16:04:04.02,1,036/132,Uncommon,Colorless,80,Basic,"[1] Child's Punch (10)
<br>Flip a coin. If tails, this attack does nothing.","[3] One-Two Punch (30+)
<br>Flip a coin. If heads, this attack does 30 damage plus 10 more damage; if tails, this attack does 30 damage.",F,3,4.99,8.57,29.99,8.79,,1st Edition,,P
83871,Blaine's Kangaskhan,Blaines Kangaskhan,https://tcgplayer-cdn.tcgplayer.com/product/83871_200w.jpg,3,1441,https://cpt.tcgcsv.com/rzH,2026-02-18T16:04:04.02,1,036/132,Uncommon,Colorless,80,Basic,"[1] Child's Punch (10)
<br>Flip a coin. If tails, this attack does nothing.","[3] One-Two Punch (30+)
<br>Flip a coin. If heads, this attack does 30 damage plus 10 more damage; if tails, this attack does 30 damage.",F,3,1.89,4.0,96.93,4.41,39.99,Unlimited,,P
83872,Blaine's Last Resort,Blaines Last Resort,https://tcgplayer-cdn.tcgplayer.com/product/83872_200w.jpg,3,1441,https://cpt.tcgcsv.com/szH,2023-03-03T16:08:54.517,1,105/132,Uncommon,Trainer,,,,,,,1.14,1.47,4.0,1.93,,1st Edition,"You can't play this card if you have any cards in your hand other than Blaine's Last Resort. Show your hand to your opponent, then draw 5 cards.",
83872,Blaine's Last Resort,Blaines Last Resort,https://tcgplayer-cdn.tcgplayer.com/product/83872_200w.jpg,3,1441,https://cpt.tcgcsv.com/szH,2023-03-03T16:08:54.517,1,105/132,Uncommon,Trainer,,,,,,,0.6,1.13,4.74,1.37,1.51,Unlimited,"You can't play this card if you have any cards in your hand other than Blaine's Last Resort. Show your hand to your opponent, then draw 5 cards.",
83873,Blaine's Magmar,Blaines Magmar,https://tcgplayer-cdn.tcgplayer.com/product/83873_200w.jpg,3,1441,https://cpt.tcgcsv.com/tzH,2026-02-18T17:12:55.78,1,037/132,Uncommon,Fire,60,Basic,"[R] Firebreathing (10+)
<br>Flip a coin. If heads, this attack does 10 damage plus 10 more damage; if tails, this attack does 10 damage.","[RRR] Lava Burst (20x)
<br>Discard the top 5 cards of your deck. (If there are fewer than 5 cards in your deck, discard all of them.) This attack does 20 damage for each Fire Energy card you discarded in this way.",W,2,4.2,5.9,11.9,7.96,,1st Edition,,
83873,Blaine's Magmar,Blaines Magmar,https://tcgplayer-cdn.tcgplayer.com/product/83873_200w.jpg,3,1441,https://cpt.tcgcsv.com/tzH,2026-02-18T17:12:55.78,1,037/132,Uncommon,Fire,60,Basic,"[R] Firebreathing (10+)
<br>Flip a coin. If heads, this attack does 10 damage plus 10 more damage; if tails, this attack does 10 damage.","[RRR] Lava Burst (20x)
<br>Discard the top 5 cards of your deck. (If there are fewer than 5 cards in your deck, discard all of them.) This attack does 20 damage for each Fire Energy card you discarded in this way.",W,2,1.19,2.78,9.99,3.03,2.15,Unlimited,,
83875,Blaine's Moltres,Blaines Moltres,https://tcgplayer-cdn.tcgplayer.com/product/83875_200w.jpg,3,1441,https://cpt.tcgcsv.com/wzH,2023-02-02T20:11:21.377,1,001/132,Holo Rare,Fire,90,Basic,"[RRRRR] Phoenix Flame (90)
<br>Flip a coin. If tails, shuffle Blaine's Moltres and all cards attached to it into your deck <em>(after doing damage)</em>.",,,3,189.54,189.54,189.54,200.0,,1st Edition Holofoil,,F
83875,Blaine's Moltres,Blaines Moltres,https://tcgplayer-cdn.tcgplayer.com/product/83875_200w.jpg,3,1441,https://cpt.tcgcsv.com/wzH,2023-02-02T20:11:21.377,1,001/132,Holo Rare,Fire,90,Basic,"[RRRRR] Phoenix Flame (90)
<br>Flip a coin. If tails, shuffle Blaine's Moltres and all cards attached to it into your deck <em>(after doing damage)</em>.",,,3,69.35,104.99,9999.0,88.4,,Unlimited Holofoil,,F
83877,Blaine's Ponyta,Blaines Ponyta,https://tcgplayer-cdn.tcgplayer.com/product/83877_200w.jpg,3,1441,https://cpt.tcgcsv.com/zzH,2025-12-08T22:42:53.8,1,063/132,Common,Fire,40,Basic,"[1R] Agility (20)
<br>Flip a coin. If heads, during your opponent's next turn, prevent all effects of attacks, including damage, done to Blaine's Ponyta.",,W,,1.82,3.19,96.95,2.9,2.9,1st Edition,,
83877,Blaine's Ponyta,Blaines Ponyta,https://tcgplayer-cdn.tcgplayer.com/product/83877_200w.jpg,3,1441,https://cpt.tcgcsv.com/zzH,2025-12-08T22:42:53.8,1,063/132,Common,Fire,40,Basic,"[1R] Agility (20)
<br>Flip a coin. If heads, during your opponent's next turn, prevent all effects of attacks, including damage, done to Blaine's Ponyta.",,W,,0.42,1.0,2.75,1.31,1.06,Unlimited,,
83879,Blaine's Quiz #1,Blaines Quiz 1,https://tcgplayer-cdn.tcgplayer.com/product/83879_200w.jpg,3,1441,https://cpt.tcgcsv.com/CzH,2026-02-13T13:49:30.97,1,097/132,Rare,Trainer,,,,,,,33.69,33.69,4321.0,23.1,,1st Edition,"Put a Basic Pokémon or Evolution card from your hand face down in front of you and tell your opponent its name. Your opponent guesses the length of that Pokémon. Flip the card over. If your opponent guessed right, he or she draws 2 cards. If your opponent guessed wrong, you draw 2 cards. Either way, return the card to your hand.",
83879,Blaine's Quiz #1,Blaines Quiz 1,https://tcgplayer-cdn.tcgplayer.com/product/83879_200w.jpg,3,1441,https://cpt.tcgcsv.com/CzH,2026-02-13T13:49:30.97,1,097/132,Rare,Trainer,,,,,,,8.0,11.99,96.95,11.45,34.99,Unlimited,"Put a Basic Pokémon or Evolution card from your hand face down in front of you and tell your opponent its name. Your opponent guesses the length of that Pokémon. Flip the card over. If your opponent guessed right, he or she draws 2 cards. If your opponent guessed wrong, you draw 2 cards. Either way, return the card to your hand.",
83884,Blaine's Tauros,Blaines Tauros,https://tcgplayer-cdn.tcgplayer.com/product/83884_200w.jpg,3,1441,https://cpt.tcgcsv.com/JzH,2025-12-08T23:38:53.177,1,064/132,Common,Colorless,70,Basic,"[1] 3-Pronged Tail (10x)
<br>Flip 3 coins. This attack does 10 damage times the number of heads.","[3] Full Speed Charge (20x)
<br>Flip 4 coins. This attack does 20 damage times the number of heads to the Defending Pokémon and 20 damage times the number tails to Blaine's Tauros.",F,2,1.25,2.39,19.99,2.57,,1st Edition,,P
