productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extCardText,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extUPC,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extWeakness,extResistance,extRetreatCost,extAttack2,extAttack3
193436,Hidden Fates Tin [Gyarados GX],Hidden Fates Tin Gyarados GX,https://tcgplayer-cdn.tcgplayer.com/product/193436_200w.jpg,3,2480,https://cpt.tcgcsv.com/Lnz2,2019-06-28T19:39:18.48,1,"Each tin contains 1 Gyarados GX promo card, four Hidden Fates booster packs, and a PTCGO code card.",143.79,169.99,249.99,132.12,,Normal,,,,,,,,,,,,
193437,Hidden Fates Tin [Charizard GX],Hidden Fates Tin Charizard GX,https://tcgplayer-cdn.tcgplayer.com/product/193437_200w.jpg,3,2480,https://cpt.tcgcsv.com/Mnz2,2019-06-28T19:39:21.397,1,"Each tin contains 1 Charizard GX promo card, four Hidden Fates booster packs, and a PTCGO code card.",145.0,174.94,349.99,135.52,,Normal,,,,,,,,,,,,
193438,Hidden Fates Tin [Raichu GX],Hidden Fates Tin Raichu GX,https://tcgplayer-cdn.tcgplayer.com/product/193438_200w.jpg,3,2480,https://cpt.tcgcsv.com/Nnz2,2019-06-28T19:39:24.237,1,"Each tin contains 1 Raichu GX promo card, four Hidden Fates booster packs, and a PTCGO code card.",134.95,154.5,249.99,127.84,,Normal,,,,,,,,,,,,
193439,Hidden Fates Pin Collection [Mew],Hidden Fates Pin Collection Mew,https://tcgplayer-cdn.tcgplayer.com/product/193439_200w.jpg,3,2480,https://cpt.tcgcsv.com/Pnz2,2019-08-15T18:51:19.05,1,"Each Hidden Fates Pin Collection [Mew] contains:
<br>• 1 Promo card of Mew
<br>• 1 Collector's pin of Mew
<br>• 3 Hidden Fates Booster Packs
<br>• 1 code card for the Pokémon Trading Card Game Online",,,,,,,820650804779,,,,,,,,,,,
193440,Hidden Fates Pin Collection [Mewtwo],Hidden Fates Pin Collection Mewtwo,https://tcgplayer-cdn.tcgplayer.com/product/193440_200w.jpg,3,2480,https://cpt.tcgcsv.com/Qnz2,2019-08-15T18:52:11.833,1,"Each Hidden Fates Pin Collection [Mewtwo] contains:
<br>• 1 Promo card of Mewtwo
<br>• 1 Collector's pin of Mewtwo
<br>• 3 Hidden Fates Booster Packs
<br>• 1 code card for the Pokémon Trading Card Game Online",220.0,220.0,220.0,160.8,,Normal,820650804779,,,,,,,,,,,
194729,Hidden Fates Elite Trainer Box,Hidden Fates Elite Trainer Box,https://tcgplayer-cdn.tcgplayer.com/product/194729_200w.jpg,3,2480,https://cpt.tcgcsv.com/CVz2,2019-07-18T19:06:19.963,1,"<strong>Contents:</strong>
<br>• 10 Pokemon TCG: Hidden Fates booster packs 
<br>• A full-art foil promo card featuring Moltres & Zapdos & Articuno GX 
<br>• 65 card sleeves featuring Moltres & Zapdos & Articuno 
<br>• 45 Pokémon TCG Energy cards 
<br>• A player’s guide to the Hidden Fates expansion 
<br>• 6 damage-counter dice 
<br>• 1 competition-legal coin-flip die 
<br>• 2 acrylic condition markers and 1 acrylic TAG TEAM GX marker 
<br>• Doubles as a collector’s box—including 4 dividers to help keep it organized 
<br>• A code card for the Pokemon Trading Card Game Online",499.95,599.99,9999.98,469.54,,Normal,,,,,,,,,,,,
197643,Caterpie,Caterpie,https://tcgplayer-cdn.tcgplayer.com/product/197643_200w.jpg,3,2480,https://cpt.tcgcsv.com/T3C2,2024-07-26T19:23:20.837,1,,0.01,0.15,19.5,0.07,0.06,Normal,,1/68,Common,Grass,60,Basic,[G] Tackle (10),Rx2,None,1,,
197643,Caterpie,Caterpie,https://tcgplayer-cdn.tcgplayer.com/product/197643_200w.jpg,3,2480,https://cpt.tcgcsv.com/T3C2,2024-07-26T19:23:20.837,1,,0.14,0.28,5.07,0.24,,Reverse Holofoil,,1/68,Common,Grass,60,Basic,[G] Tackle (10),Rx2,None,1,,
197644,Metapod,Metapod,https://tcgplayer-cdn.tcgplayer.com/product/197644_200w.jpg,3,2480,https://cpt.tcgcsv.com/V3C2,2026-01-23T17:20:17.77,1,,0.01,0.17,1.49,0.14,0.03,Normal,,2/68,Uncommon,Grass,90,Stage 1,[1G] Tackle (30),Rx2,None,2,,
197644,Metapod,Metapod,https://tcgplayer-cdn.tcgplayer.com/product/197644_200w.jpg,3,2480,https://cpt.tcgcsv.com/V3C2,2026-01-23T17:20:17.77,1,,0.14,0.31,2.0,0.29,,Reverse Holofoil,,2/68,Uncommon,Grass,90,Stage 1,[1G] Tackle (30),Rx2,None,2,,
197645,Butterfree,Butterfree,https://tcgplayer-cdn.tcgplayer.com/product/197645_200w.jpg,3,2480,https://cpt.tcgcsv.com/W3C2,2025-11-21T21:53:54.677,1,,0.03,0.25,1.49,0.17,0.2,Normal,,3/68,Rare,Grass,130,Stage 2,[1G] Gust (80),Rx2,None,1,,
197645,Butterfree,Butterfree,https://tcgplayer-cdn.tcgplayer.com/product/197645_200w.jpg,3,2480,https://cpt.tcgcsv.com/W3C2,2025-11-21T21:53:54.677,1,,0.25,0.76,1.49,0.69,0.79,Reverse Holofoil,,3/68,Rare,Grass,130,Stage 2,[1G] Gust (80),Rx2,None,1,,
197646,Paras,Paras,https://tcgplayer-cdn.tcgplayer.com/product/197646_200w.jpg,3,2480,https://cpt.tcgcsv.com/X3C2,2024-07-26T19:23:20.933,1,,0.1,0.3,2.99,0.22,0.14,Reverse Holofoil,,4/68,Common,Grass,70,Basic,[1] Scratch (10),Rx2,None,1,[1G] Slash (20),
197646,Paras,Paras,https://tcgplayer-cdn.tcgplayer.com/product/197646_200w.jpg,3,2480,https://cpt.tcgcsv.com/X3C2,2024-07-26T19:23:20.933,1,,0.01,0.15,2.0,0.07,0.05,Normal,,4/68,Common,Grass,70,Basic,[1] Scratch (10),Rx2,None,1,[1G] Slash (20),
197647,Scyther,Scyther,https://tcgplayer-cdn.tcgplayer.com/product/197647_200w.jpg,3,2480,https://cpt.tcgcsv.com/Z3C2,2025-11-12T23:26:58.897,1,,0.01,0.15,2.28,0.11,0.08,Normal,,5/68,Uncommon,Grass,100,Basic,[G] Slash (10),Rx2,None,1,[1G] Sharp Scythe (30),
197647,Scyther,Scyther,https://tcgplayer-cdn.tcgplayer.com/product/197647_200w.jpg,3,2480,https://cpt.tcgcsv.com/Z3C2,2025-11-12T23:26:58.897,1,,0.14,0.35,2.0,0.35,,Reverse Holofoil,,5/68,Uncommon,Grass,100,Basic,[G] Slash (10),Rx2,None,1,[1G] Sharp Scythe (30),
197648,Pinsir GX,Pinsir GX,https://tcgplayer-cdn.tcgplayer.com/product/197648_200w.jpg,3,2480,https://cpt.tcgcsv.com/-3C2,2026-02-16T14:43:45.193,1,,0.7,1.46,5.19,1.18,1.99,Holofoil,,6/68,Ultra Rare,Grass,180,Basic,[1GG] Powerful Horn (110),Rx2,None,2,"<span style=""color:Teal""><strong>[1GG] Guillotine GX (160)</strong>
<br<em>(You can't use more than 1 GX attack in a game.)</em></span>",
197649,Charmander,Charmander,https://tcgplayer-cdn.tcgplayer.com/product/197649_200w.jpg,3,2480,https://cpt.tcgcsv.com/_3C2,2026-02-17T12:55:47.503,1,,0.05,0.23,1.49,0.23,0.12,Normal,,7/68,Common,Fire,70,Basic,[R] Gnaw (10),Wx2,None,1,[1R] Flare (20),
197649,Charmander,Charmander,https://tcgplayer-cdn.tcgplayer.com/product/197649_200w.jpg,3,2480,https://cpt.tcgcsv.com/_3C2,2026-02-17T12:55:47.503,1,,0.25,0.66,2.0,0.61,0.61,Reverse Holofoil,,7/68,Common,Fire,70,Basic,[R] Gnaw (10),Wx2,None,1,[1R] Flare (20),
197650,Charmeleon,Charmeleon,https://tcgplayer-cdn.tcgplayer.com/product/197650_200w.jpg,3,2480,https://cpt.tcgcsv.com/05C2,2025-10-31T18:22:49.62,1,,0.02,0.2,1.49,0.14,0.1,Normal,,8/68,Uncommon,Fire,100,Stage 1,[1R] Slash (30),Wx2,None,1,[1RR] Flamethrower (80),
197650,Charmeleon,Charmeleon,https://tcgplayer-cdn.tcgplayer.com/product/197650_200w.jpg,3,2480,https://cpt.tcgcsv.com/05C2,2025-10-31T18:22:49.62,1,,0.13,0.48,19.5,0.48,0.32,Reverse Holofoil,,8/68,Uncommon,Fire,100,Stage 1,[1R] Slash (30),Wx2,None,1,[1RR] Flamethrower (80),
197651,Charizard GX,Charizard GX,https://tcgplayer-cdn.tcgplayer.com/product/197651_200w.jpg,3,2480,https://cpt.tcgcsv.com/25C2,2026-02-16T14:40:36.93,1,,6.95,10.99,50.0,10.51,15.82,Holofoil,,9/68,Ultra Rare,Fire,250,Stage 2,[2RR] Flamethrower (140),Wx2,None,3,"<span style=""color:Teal""><strong>[2RR] Flare Blitz GX (300)</strong>
<br><em>(You can't use more than 1 GX attack in a game.)</em></span>",
197652,Magmar,Magmar,https://tcgplayer-cdn.tcgplayer.com/product/197652_200w.jpg,3,2480,https://cpt.tcgcsv.com/35C2,2024-07-26T19:23:21.133,1,,0.09,0.25,5.02,0.21,,Reverse Holofoil,,10/68,Uncommon,Fire,90,Basic,[RR] Fire Punch (50),Wx2,None,2,,
197652,Magmar,Magmar,https://tcgplayer-cdn.tcgplayer.com/product/197652_200w.jpg,3,2480,https://cpt.tcgcsv.com/35C2,2024-07-26T19:23:21.133,1,,0.02,0.15,1.49,0.11,0.1,Normal,,10/68,Uncommon,Fire,90,Basic,[RR] Fire Punch (50),Wx2,None,2,,
197653,Psyduck,Psyduck,https://tcgplayer-cdn.tcgplayer.com/product/197653_200w.jpg,3,2480,https://cpt.tcgcsv.com/55C2,2025-12-08T22:14:30.51,1,,0.08,0.25,19.5,0.23,0.1,Normal,,11/68,Common,Water,60,Basic,[W] Headache (20),Gx2,None,1,,
197653,Psyduck,Psyduck,https://tcgplayer-cdn.tcgplayer.com/product/197653_200w.jpg,3,2480,https://cpt.tcgcsv.com/55C2,2025-12-08T22:14:30.51,1,,0.25,0.66,3.5,0.72,,Reverse Holofoil,,11/68,Common,Water,60,Basic,[W] Headache (20),Gx2,None,1,,
197654,Slowpoke,Slowpoke,https://tcgplayer-cdn.tcgplayer.com/product/197654_200w.jpg,3,2480,https://cpt.tcgcsv.com/65C2,2025-12-09T23:31:46.41,1,,0.02,0.18,2.0,0.18,,Normal,,12/68,Common,Water,70,Basic,"[1] Yawn
<br>Your opponent's Active Pokémon is now Asleep.",Gx2,None,2,,
197654,Slowpoke,Slowpoke,https://tcgplayer-cdn.tcgplayer.com/product/197654_200w.jpg,3,2480,https://cpt.tcgcsv.com/65C2,2025-12-09T23:31:46.41,1,,0.2,0.38,2.99,0.41,,Reverse Holofoil,,12/68,Common,Water,70,Basic,"[1] Yawn
<br>Your opponent's Active Pokémon is now Asleep.",Gx2,None,2,,
197657,Staryu,Staryu,https://tcgplayer-cdn.tcgplayer.com/product/197657_200w.jpg,3,2480,https://cpt.tcgcsv.com/95C2,2024-07-26T19:23:21.337,1,,0.09,0.25,2.0,0.21,0.28,Reverse Holofoil,,13/68,Common,Water,50,Basic,"[1] Numbing Water (10)
<br>Flip a coin. If heads, you opponent's Active Pokémon is now Paralyzed.",Gx2,None,1,,
197657,Staryu,Staryu,https://tcgplayer-cdn.tcgplayer.com/product/197657_200w.jpg,3,2480,https://cpt.tcgcsv.com/95C2,2024-07-26T19:23:21.337,1,,0.01,0.15,19.5,0.08,0.02,Normal,,13/68,Common,Water,50,Basic,"[1] Numbing Water (10)
<br>Flip a coin. If heads, you opponent's Active Pokémon is now Paralyzed.",Gx2,None,1,,
197658,Starmie GX,Starmie GX,https://tcgplayer-cdn.tcgplayer.com/product/197658_200w.jpg,3,2480,https://cpt.tcgcsv.com/b5C2,2026-02-16T14:44:17.403,1,,1.11,1.93,5.0,1.62,2.29,Holofoil,,14/68,Ultra Rare,Water,190,Stage 1,"[W] Star Stream (40)
<br>Attach 2 Water Energy cards from your discard pile to 1 of your Pokémon.",Gx2,None,0,[3] Spinning Attack (100),"<span style=""color:Teal""><strong>[1] Hydro Pump GX (40+)</strong>
<br>This attack does 40 more damage times the amount of Water Energy attached to this Pokémon. <em>(You can't use more than 1 GX attack in a game.)</em></span>"
197659,Magikarp,Magikarp,https://tcgplayer-cdn.tcgplayer.com/product/197659_200w.jpg,3,2480,https://cpt.tcgcsv.com/c5C2,2025-10-31T18:22:49.883,1,,0.2,0.61,4.99,0.46,0.63,Reverse Holofoil,,15/68,Common,Water,30,Basic,[1] Splash (10),Lx2,None,1,,
197659,Magikarp,Magikarp,https://tcgplayer-cdn.tcgplayer.com/product/197659_200w.jpg,3,2480,https://cpt.tcgcsv.com/c5C2,2025-10-31T18:22:49.883,1,,0.02,0.25,1.49,0.28,0.16,Normal,,15/68,Common,Water,30,Basic,[1] Splash (10),Lx2,None,1,,
197660,Gyarados GX,Gyarados GX,https://tcgplayer-cdn.tcgplayer.com/product/197660_200w.jpg,3,2480,https://cpt.tcgcsv.com/d5C2,2026-03-10T15:06:00.927,1,,3.75,5.94,20.0,5.22,6.49,Holofoil,,16/68,Ultra Rare,Water,230,Stage 1,[1WWW] Dragon Rage (130),Lx2,None,3,"<span style=""color:Teal""><strong>[1WWW] Hyper Beam (240)</strong>
<br><em>(You can't use more than 1 GX attack in a game.)</em></span>",
197661,Lapras,Lapras,https://tcgplayer-cdn.tcgplayer.com/product/197661_200w.jpg,3,2480,https://cpt.tcgcsv.com/f5C2,2024-07-26T19:23:21.4,1,,0.85,1.14,3.1,1.19,,Reverse Holofoil,,17/68,Rare,Water,120,Basic,[1WW] Aqua Wave (80),Gx2,None,2,,
197661,Lapras,Lapras,https://tcgplayer-cdn.tcgplayer.com/product/197661_200w.jpg,3,2480,https://cpt.tcgcsv.com/f5C2,2024-07-26T19:23:21.4,1,,0.07,0.33,4.0,0.33,0.22,Normal,,17/68,Rare,Water,120,Basic,[1WW] Aqua Wave (80),Gx2,None,2,,
197662,Vaporeon,Vaporeon,https://tcgplayer-cdn.tcgplayer.com/product/197662_200w.jpg,3,2480,https://cpt.tcgcsv.com/g5C2,2026-02-16T14:45:15.73,1,,0.39,0.87,10.0,0.88,1.0,Holofoil,,18/68,Holo Rare,Water,120,Stage 1,[1W] Water Gun (30),Gx2,None,3,"[1WW] Bubble Drain (80)
<br>Heal 30 damage from this Pokémon.",
197662,Vaporeon,Vaporeon,https://tcgplayer-cdn.tcgplayer.com/product/197662_200w.jpg,3,2480,https://cpt.tcgcsv.com/g5C2,2026-02-16T14:45:15.73,1,,0.75,1.25,125.0,1.25,,Reverse Holofoil,,18/68,Holo Rare,Water,120,Stage 1,[1W] Water Gun (30),Gx2,None,3,"[1WW] Bubble Drain (80)
<br>Heal 30 damage from this Pokémon.",
197663,Pikachu,Pikachu,https://tcgplayer-cdn.tcgplayer.com/product/197663_200w.jpg,3,2480,https://cpt.tcgcsv.com/h5C2,2025-11-21T22:57:21.64,1,,1.12,1.51,96.95,1.51,96.95,Reverse Holofoil,,19/68,Common,Lightning,70,Basic,[L] Quick Attack (10),Fx2,M-20,1,[1LL] Electro Ball (60),
197663,Pikachu,Pikachu,https://tcgplayer-cdn.tcgplayer.com/product/197663_200w.jpg,3,2480,https://cpt.tcgcsv.com/h5C2,2025-11-21T22:57:21.64,1,,0.13,0.54,4.39,0.57,,Normal,,19/68,Common,Lightning,70,Basic,[L] Quick Attack (10),Fx2,M-20,1,[1LL] Electro Ball (60),
197664,Raichu GX,Raichu GX,https://tcgplayer-cdn.tcgplayer.com/product/197664_200w.jpg,3,2480,https://cpt.tcgcsv.com/j5C2,2026-02-16T14:44:11.797,1,,1.25,2.29,26.66,2.33,,Holofoil,,20/68,Ultra Rare,Lightning,210,Stage 1,[1LL] Thunderbolt (120),Fx2,M-20,1,"<span style=""color:Teal""><strong>[1LL] Spark Ball GX (200)</strong>
<br><em>(You can't use more than 1 GX attack in a game.)</em></span>",
197665,Voltorb,Voltorb,https://tcgplayer-cdn.tcgplayer.com/product/197665_200w.jpg,3,2480,https://cpt.tcgcsv.com/k5C2,2024-07-26T19:23:21.433,1,,0.01,0.15,2.0,0.08,0.05,Normal,,21/68,Common,Lightning,50,Basic,[L] Lightning Ball (20),Fx2,M-20,1,,
197665,Voltorb,Voltorb,https://tcgplayer-cdn.tcgplayer.com/product/197665_200w.jpg,3,2480,https://cpt.tcgcsv.com/k5C2,2024-07-26T19:23:21.433,1,,0.06,0.28,1.69,0.26,0.18,Reverse Holofoil,,21/68,Common,Lightning,50,Basic,[L] Lightning Ball (20),Fx2,M-20,1,,
197666,Electrode,Electrode,https://tcgplayer-cdn.tcgplayer.com/product/197666_200w.jpg,3,2480,https://cpt.tcgcsv.com/l5C2,2024-07-26T19:23:21.497,1,,0.29,0.5,3.0,0.52,0.42,Reverse Holofoil,,22/68,Rare,Lightning,100,Stage 1,[L] Lightning Ball (30),Fx2,M-20,1,"[2L] Electric Burst (60+)
<br>Flip 2 coins. This attack does 30 more damage for each heads.",
197666,Electrode,Electrode,https://tcgplayer-cdn.tcgplayer.com/product/197666_200w.jpg,3,2480,https://cpt.tcgcsv.com/l5C2,2024-07-26T19:23:21.497,1,,0.05,0.22,19.5,0.17,0.11,Normal,,22/68,Rare,Lightning,100,Stage 1,[L] Lightning Ball (30),Fx2,M-20,1,"[2L] Electric Burst (60+)
<br>Flip 2 coins. This attack does 30 more damage for each heads.",
197667,Jolteon,Jolteon,https://tcgplayer-cdn.tcgplayer.com/product/197667_200w.jpg,3,2480,https://cpt.tcgcsv.com/m5C2,2025-10-31T18:22:49.837,1,"<strong>Ability — Electromagnetic Wall</strong>
<br>As long as this Pokémon is your Active Pokémon, whenever your opponent attaches an Energy from their hand to 1 of their Pokémon, put 2 damage counters on that Pokémon.",0.2,0.45,1.99,0.45,0.35,Normal,,23/68,Rare,Lightning,90,Stage 1,"[1L] Thunderbolt (90)
<br>Discard all Energy from this Pokémon.",Fx2,M-20,0,,
