productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardText,extAttack3
197738,Scyther,Scyther,https://tcgplayer-cdn.tcgplayer.com/product/197738_200w.jpg,3,2594,https://cpt.tcgcsv.com/N6C2,2026-02-16T14:58:53.137,1,SV1/SV94,Shiny Holo Rare,Grass,70,Basic,"[1] Twin Play
<br>Search your deck for up to 2 Scyther and put them onto your Bench. Then, shuffle your deck.","[2] Agility (20)
<br>Flip a coin. If heads, prevent all effects of attacks, including damage, done to this Pokémon during your opponent's next turn.",Rx2,None,1,4.99,7.48,19.4,7.48,15.29,Holofoil,,
197739,Rowlet,Rowlet,https://tcgplayer-cdn.tcgplayer.com/product/197739_200w.jpg,3,2594,https://cpt.tcgcsv.com/P6C2,2026-02-16T14:58:42.877,1,SV2/SV94,Shiny Holo Rare,Grass,60,Basic,[1] Tackle (10),[1G] Leafage (20),Rx2,None,1,2.99,4.89,8.99,4.88,,Holofoil,,
197740,Dartrix,Dartrix,https://tcgplayer-cdn.tcgplayer.com/product/197740_200w.jpg,3,2594,https://cpt.tcgcsv.com/Q6C2,2026-01-23T18:27:34.47,1,SV3/SV94,Shiny Holo Rare,Grass,80,Stage 1,"[1] Sharp Blade Quill
<br>This attack does 20 damage to 1 of your opponent's Pokemon. <i>(Don't apply Weakness or Resistance for Benched Pokemon.)</i>","[2G] Leaf Blade (50+)
<br>Flip a coin. If heads, this attack does 20 more damage.",Rx2,None,1,1.0,1.91,5.0,1.82,2.48,Holofoil,,
197741,Wimpod,Wimpod,https://tcgplayer-cdn.tcgplayer.com/product/197741_200w.jpg,3,2594,https://cpt.tcgcsv.com/R6C2,2025-12-09T23:57:12.247,1,SV4/SV94,Shiny Holo Rare,Grass,70,Basic,[2G] Gnaw (30),,Rx2,None,3,0.99,1.92,9.95,1.92,2.5,Holofoil,"<strong>Ability — Wimp Out</strong>
<br>During your first turn, this Pokemon has no Retreat Cost.",
197743,Pheromosa,Pheromosa,https://tcgplayer-cdn.tcgplayer.com/product/197743_200w.jpg,3,2594,https://cpt.tcgcsv.com/T6C2,2026-02-02T19:56:26.707,1,SV5/SV94,Shiny Holo Rare,Grass,110,Basic,[1] High Jump Kick (20),"[2G] White Ray (90+)
<br>If you have only 1 Prize card remaining, this attack does 90 more damage.",Rx2,None,,3.23,8.49,15.69,8.49,14.99,Holofoil,,
197744,Charmander,Charmander,https://tcgplayer-cdn.tcgplayer.com/product/197744_200w.jpg,3,2594,https://cpt.tcgcsv.com/V6C2,2026-02-16T14:49:50.19,1,SV6/SV94,Shiny Holo Rare,Fire,70,Basic,"[1R] Fire Fang (20)
<br>Your opponent's Active Pokémon is now Burned.",,Wx2,None,2,13.53,24.1,84.9,17.18,19.99,Holofoil,,
197745,Charmeleon,Charmeleon,https://tcgplayer-cdn.tcgplayer.com/product/197745_200w.jpg,3,2594,https://cpt.tcgcsv.com/W6C2,2026-02-16T14:49:56.673,1,SV7/SV94,Shiny Holo Rare,Fire,80,Stage 1,"[1RR] Flamethrower (80)
<br>Discard an Energy from this Pokémon.",,Wx2,None,2,10.97,17.64,30.0,14.05,19.69,Holofoil,"<strong>Ability — Burning Fighter</strong>
<br>When you play this Pokémon from your hand to evolve 1 of your Pokémon during your turn, you may discard the top 5 cards of your deck. If any of those cards are Fire Energy cards, attach them to this Pokemon.",
197762,Alolan Vulpix,Alolan Vulpix,https://tcgplayer-cdn.tcgplayer.com/product/197762_200w.jpg,3,2594,https://cpt.tcgcsv.com/g7C2,2026-02-16T14:47:54.977,1,SV8/SV94,Shiny Holo Rare,Water,60,Basic,"[0] Beacon 
<br>Search your deck for up to 2 Pokemon, reveal them, and put them into your hand. Then, shuffle your deck.",,Mx2,None,1,9.0,10.97,19.99,10.24,12.09,Holofoil,,
197763,Wooper,Wooper,https://tcgplayer-cdn.tcgplayer.com/product/197763_200w.jpg,3,2594,https://cpt.tcgcsv.com/h7C2,2026-02-11T00:05:43.463,1,SV9/SV94,Shiny Holo Rare,Water,70,Basic,[1] Ram (10),[1W] Rain Splash (20),Gx2,None,1,,,,,,,,
197764,Quagsire,Quagsire,https://tcgplayer-cdn.tcgplayer.com/product/197764_200w.jpg,3,2594,https://cpt.tcgcsv.com/j7C2,2026-02-02T20:24:26.53,1,SV10/SV94,Shiny Holo Rare,Water,120,Stage 1,"[3] Hydro Pump (60+)
<br>This attack does 20 more damage for each Water Energy attached to this Pokemon.",,Gx2,None,2,8.0,9.4,96.95,9.04,19.69,Holofoil,"<strong>Ability — Wash Out</strong>
<br>As often as you like during your turn <em>(before your attack)</em>, you may move a Water Energy from 1 of your Benched Pokemon to your Active Pokemon.",
