productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardText
83452,Absol,Absol,https://tcgplayer-cdn.tcgplayer.com/product/83452_200w.jpg,3,1379,https://cpt.tcgcsv.com/3pH,2024-04-11T17:54:54.317,1,18/110,Rare,Darkness,70,Basic,[1] Foresight - Look at the top 5 cards of either player's deck and put them back on top of that player's deck in any order.,[1D] Overrun (10) Choose 1 of your opponent's Benched Pokemon.  This attack does 20 damage to that Pokemon.  (Don't apply Weakness and Resistance for Benched Pokemon.),F,P,1,3.2,5.1,28.51,4.87,,Normal,
83452,Absol,Absol,https://tcgplayer-cdn.tcgplayer.com/product/83452_200w.jpg,3,1379,https://cpt.tcgcsv.com/3pH,2024-04-11T17:54:54.317,1,18/110,Rare,Darkness,70,Basic,[1] Foresight - Look at the top 5 cards of either player's deck and put them back on top of that player's deck in any order.,[1D] Overrun (10) Choose 1 of your opponent's Benched Pokemon.  This attack does 20 damage to that Pokemon.  (Don't apply Weakness and Resistance for Benched Pokemon.),F,P,1,67.72,73.86,80.0,44.99,,Reverse Holofoil,
83472,Aerodactyl (Delta Species),Aerodactyl Delta Species,https://tcgplayer-cdn.tcgplayer.com/product/83472_200w.jpg,3,1379,https://cpt.tcgcsv.com/spH,2024-04-11T17:54:54.35,1,35/110,Uncommon,Fire,70,Stage 1,"[1R] Granite Head (30) During your opponent's next turn, any damage done to Aerodactyl by attacks is reduced by 10 (after applying Weakness and Resistance).",,L,F,0,3.5,4.37,41.26,5.94,,Normal,"Primal Light - Once during your turn (before your attack), you may search your deck for a basic Energy card, show it to your opponent, and put it into your hand.  Shuffle your deck afterward.  This power can't be used if Aerodactyl is affected by a Special Condition.  (Poke-POWER)"
83472,Aerodactyl (Delta Species),Aerodactyl Delta Species,https://tcgplayer-cdn.tcgplayer.com/product/83472_200w.jpg,3,1379,https://cpt.tcgcsv.com/spH,2024-04-11T17:54:54.35,1,35/110,Uncommon,Fire,70,Stage 1,"[1R] Granite Head (30) During your opponent's next turn, any damage done to Aerodactyl by attacks is reduced by 10 (after applying Weakness and Resistance).",,L,F,0,39.0,59.49,79.97,46.35,,Reverse Holofoil,"Primal Light - Once during your turn (before your attack), you may search your deck for a basic Energy card, show it to your opponent, and put it into your hand.  Shuffle your deck afterward.  This power can't be used if Aerodactyl is affected by a Special Condition.  (Poke-POWER)"
83562,Anorith (Delta Species),Anorith Delta Species,https://tcgplayer-cdn.tcgplayer.com/product/83562_200w.jpg,3,1379,https://cpt.tcgcsv.com/grH,2024-04-11T17:54:54.38,1,57/110,Common,Metal,70,Stage 1,[M] Metal Claw (20),"[3] Rising Lunge (30+) Flip a coin.  If heads, this attack does 30 damage plus 20 more damage.",G,,1,0.2,0.5,20.51,0.47,,Normal,
83562,Anorith (Delta Species),Anorith Delta Species,https://tcgplayer-cdn.tcgplayer.com/product/83562_200w.jpg,3,1379,https://cpt.tcgcsv.com/grH,2024-04-11T17:54:54.38,1,57/110,Common,Metal,70,Stage 1,[M] Metal Claw (20),"[3] Rising Lunge (30+) Flip a coin.  If heads, this attack does 30 damage plus 20 more damage.",G,,1,4.99,8.99,12.99,14.71,,Reverse Holofoil,
83622,Armaldo (Delta Species),Armaldo Delta Species,https://tcgplayer-cdn.tcgplayer.com/product/83622_200w.jpg,3,1379,https://cpt.tcgcsv.com/ssH,2024-04-11T17:54:54.427,1,1/110,Holo Rare,Fighting Metal,110,Stage 2,"[1M] Delta Edge (70) If you have any supporter cards in play, this attack's base damage is 20 instead of 70.","[2F] Fossil Charge (50) You may discard a Claw Fossil, Mysterious Fossil, Root Fossil, or Holon Fossil from your hand.  If you do, choose 1 of your opponent's Benched Pokemon and do 30 damage to that Pokemon.  (Don't apply Weakness and Resistance for Benched Pokemon.)",G,,3,10.25,34.04,129.99,28.66,,Holofoil,
83622,Armaldo (Delta Species),Armaldo Delta Species,https://tcgplayer-cdn.tcgplayer.com/product/83622_200w.jpg,3,1379,https://cpt.tcgcsv.com/ssH,2024-04-11T17:54:54.427,1,1/110,Holo Rare,Fighting Metal,110,Stage 2,"[1M] Delta Edge (70) If you have any supporter cards in play, this attack's base damage is 20 instead of 70.","[2F] Fossil Charge (50) You may discard a Claw Fossil, Mysterious Fossil, Root Fossil, or Holon Fossil from your hand.  If you do, choose 1 of your opponent's Benched Pokemon and do 30 damage to that Pokemon.  (Don't apply Weakness and Resistance for Benched Pokemon.)",G,,3,69.0,100.0,129.95,59.49,,Reverse Holofoil,
83633,Aron,Aron,https://tcgplayer-cdn.tcgplayer.com/product/83633_200w.jpg,3,1379,https://cpt.tcgcsv.com/HsH,2026-02-17T17:35:47.363,1,58/110,Common,Metal,40,Basic,[1] Mud Slap (10),[1M] Metal Claw (20),R,G,1,0.11,0.35,1.99,0.47,0.23,Normal,
83633,Aron,Aron,https://tcgplayer-cdn.tcgplayer.com/product/83633_200w.jpg,3,1379,https://cpt.tcgcsv.com/HsH,2026-02-17T17:35:47.363,1,58/110,Common,Metal,40,Basic,[1] Mud Slap (10),[1M] Metal Claw (20),R,G,1,3.73,5.99,10.99,7.13,,Reverse Holofoil,
83714,Baltoy,Baltoy,https://tcgplayer-cdn.tcgplayer.com/product/83714_200w.jpg,3,1379,https://cpt.tcgcsv.com/jvH,2024-04-11T17:54:54.51,1,59/110,Common,Psychic,50,Basic,[1] Ram (10),[1P] Doubleslap (20x) Flip 2 coins.  This attack does 20 damage times the number of heads.,P,,1,0.08,0.25,1.99,0.24,0.21,Normal,
83714,Baltoy,Baltoy,https://tcgplayer-cdn.tcgplayer.com/product/83714_200w.jpg,3,1379,https://cpt.tcgcsv.com/jvH,2024-04-11T17:54:54.51,1,59/110,Common,Psychic,50,Basic,[1] Ram (10),[1P] Doubleslap (20x) Flip 2 coins.  This attack does 20 damage times the number of heads.,P,,1,2.68,4.46,14.99,2.98,,Reverse Holofoil,
83728,Barboach,Barboach,https://tcgplayer-cdn.tcgplayer.com/product/83728_200w.jpg,3,1379,https://cpt.tcgcsv.com/BvH,2025-11-20T01:21:43.6,1,60/110,Common,Fighting,50,Basic,[1] Waterfall (10),[F] Flail (10x) Does 10 damage times the number of damage counters on Barboach.,G,,1,0.1,0.28,5.1,0.28,,Normal,
83728,Barboach,Barboach,https://tcgplayer-cdn.tcgplayer.com/product/83728_200w.jpg,3,1379,https://cpt.tcgcsv.com/BvH,2025-11-20T01:21:43.6,1,60/110,Common,Fighting,50,Basic,[1] Waterfall (10),[F] Flail (10x) Does 10 damage times the number of damage counters on Barboach.,G,,1,6.47,7.24,8.0,2.84,,Reverse Holofoil,
83803,Bellossom (Delta Species),Bellossom Delta Species,https://tcgplayer-cdn.tcgplayer.com/product/83803_200w.jpg,3,1379,https://cpt.tcgcsv.com/5xH,2024-04-11T17:54:54.657,1,19/110,Rare,Water,100,Stage 2,"[1W] Aqua Flower (40) During your opponent's next turn, Bellossom has no Weakness.",,R,G,1,1.84,2.69,3.42,3.15,,Normal,"Fellowship - Bellossom can use the attacks of all Oddish, Gloom, Vileplume, Vileplume ex, or other Bellossom you have in play as its own.  (You still need all the necessary Energy to use each attack.)  (Poke-BODY)"
83803,Bellossom (Delta Species),Bellossom Delta Species,https://tcgplayer-cdn.tcgplayer.com/product/83803_200w.jpg,3,1379,https://cpt.tcgcsv.com/5xH,2024-04-11T17:54:54.657,1,19/110,Rare,Water,100,Stage 2,"[1W] Aqua Flower (40) During your opponent's next turn, Bellossom has no Weakness.",,R,G,1,24.44,25.99,26.99,27.28,,Reverse Holofoil,"Fellowship - Bellossom can use the attacks of all Oddish, Gloom, Vileplume, Vileplume ex, or other Bellossom you have in play as its own.  (You still need all the necessary Energy to use each attack.)  (Poke-BODY)"
83907,Blaziken,Blaziken,https://tcgplayer-cdn.tcgplayer.com/product/83907_200w.jpg,3,1379,https://cpt.tcgcsv.com/9BH,2024-04-11T17:54:54.72,1,20/110,Rare,Fire,100,Stage 2,[R] Combustion (30),"[1RR] Blaze Kick (40+) Flip a coin.  If heads, this attack does 40 damage plus 20 more damage.  If tails, the Defending Pokemon is Burned.",W,,2,1.25,7.5,10.0,3.56,,Normal,
83907,Blaziken,Blaziken,https://tcgplayer-cdn.tcgplayer.com/product/83907_200w.jpg,3,1379,https://cpt.tcgcsv.com/9BH,2024-04-11T17:54:54.72,1,20/110,Rare,Fire,100,Stage 2,[R] Combustion (30),"[1RR] Blaze Kick (40+) Flip a coin.  If heads, this attack does 40 damage plus 20 more damage.  If tails, the Defending Pokemon is Burned.",W,,2,43.86,69.69,80.14,39.87,,Reverse Holofoil,
84091,Camerupt,Camerupt,https://tcgplayer-cdn.tcgplayer.com/product/84091_200w.jpg,3,1379,https://cpt.tcgcsv.com/RFH,2024-04-11T17:54:54.797,1,36/110,Uncommon,Fire,90,Stage 1,[2] Magnitude (20) Does 10 damage to each Benched Pokemon (both yours and your opponent's).  (Don't apply Weakness and Resistance for Benched Pokemon.),[2R] Take Down (60) Camerupt does 10 damage to itself.,W,,2,0.24,0.58,1.99,0.58,,Normal,
84091,Camerupt,Camerupt,https://tcgplayer-cdn.tcgplayer.com/product/84091_200w.jpg,3,1379,https://cpt.tcgcsv.com/RFH,2024-04-11T17:54:54.797,1,36/110,Uncommon,Fire,90,Stage 1,[2] Magnitude (20) Does 10 damage to each Benched Pokemon (both yours and your opponent's).  (Don't apply Weakness and Resistance for Benched Pokemon.),[2R] Take Down (60) Camerupt does 10 damage to itself.,W,,2,6.08,7.59,12.54,8.49,,Reverse Holofoil,
84118,Carvanha (Delta Species),Carvanha Delta Species,https://tcgplayer-cdn.tcgplayer.com/product/84118_200w.jpg,3,1379,https://cpt.tcgcsv.com/nGH,2025-11-20T01:22:47.723,1,61/110,Common,Fighting,40,Basic,[1] Bite (10),"[1F] Reckless Charge (30) Flip a coin.  If tails, Carvanha does 10 damage to itself.",L,,1,0.17,0.4,5.0,0.44,,Normal,
84118,Carvanha (Delta Species),Carvanha Delta Species,https://tcgplayer-cdn.tcgplayer.com/product/84118_200w.jpg,3,1379,https://cpt.tcgcsv.com/nGH,2025-11-20T01:22:47.723,1,61/110,Common,Fighting,40,Basic,[1] Bite (10),"[1F] Reckless Charge (30) Flip a coin.  If tails, Carvanha does 10 damage to itself.",L,,1,9.48,18.74,27.99,13.74,,Reverse Holofoil,
84297,Chimecho (Delta Species),Chimecho Delta Species,https://tcgplayer-cdn.tcgplayer.com/product/84297_200w.jpg,3,1379,https://cpt.tcgcsv.com/ZKH,2024-04-11T17:54:54.97,1,37/110,Uncommon,Metal,60,Basic,[2] Hook (20),,P,,1,0.75,1.25,2.8,1.53,,Normal,"Delta Support - Once during your turn (before your attack), if you have a Supporter card with Holon in its name in play, you may search your discard pile for a basic Energy card or a Delta Species Rainbow Energy card, show it to your opponent, and put it into your hand.  This power can't be used if Chimecho is affected by a Special Condition.  (Poke-POWER)"
