productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extCardText,extAttack1,extAttack2,extWeakness,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extResistance,extAttack3,extAttack4
91614,Charizard EX - XY17 (XY Black Star Promos),Charizard EX XY17 XY Black Star Promos,https://tcgplayer-cdn.tcgplayer.com/product/91614_200w.jpg,3,1528,https://cpt.tcgcsv.com/jGL,2022-10-11T19:31:34.667,1,XY17,Promo,Fire,180,Basic,"<em>Pokémon-EX rule — When a Pokémon-EX has been Knocked Out, your opponent takes 2 Prize cards.</em>","[1R] Mega Ascension
<br>Search your deck for a M Charizard-EX, reveal it, and put it into your hand. Shuffle your deck afterward.","[3R] Brave Fire (120)
<br>This Pokémon does 30 damage to itself.",Wx2,3,14.0,16.97,28.88,16.62,,Holofoil,,,
106207,M Absol EX - XY63,M Absol EX XY63,https://tcgplayer-cdn.tcgplayer.com/product/106207_200w.jpg,3,1528,https://cpt.tcgcsv.com/9vS,2022-10-13T20:52:12.277,1,XY63,Promo,Darkness,210,Mega,"<em>Mega Evolution rule — When 1 of your Pokémon becomes a Mega Evolution Pokémon, your turn ends.</em>
<br><br>
<em>Pokémon-EX rule — When a Pokémon-EX has been Knocked Out, your opponent takes 2 Prize cards.</em>","[DD] Disaster Wing (80+)
<br>Discard the top card of your opponent's deck. If that card is a Trainer card, this attack does 80 more damage.",,Fx2,2,5.85,10.97,19.95,10.79,,Holofoil,P-20,,
127168,Shadow Lugia (Nintendo World Promo),Shadow Lugia Nintendo World Promo,https://tcgplayer-cdn.tcgplayer.com/product/127168_200w.jpg,3,1528,https://cpt.tcgcsv.com/nT02,2022-10-18T23:24:49.283,1,,Promo,Psychic,300,Basic,,"[PPPP] Shadow Storm (1000)
<br>A shadowy aura is used to whip up a vicious tornado.",,Px2,3,,,,,,,,,
131863,Dragonite EX - 74/111,Dragonite EX 74 111,https://tcgplayer-cdn.tcgplayer.com/product/131863_200w.jpg,3,1528,https://cpt.tcgcsv.com/hM32,2022-10-12T19:35:30.257,1,074/111,Promo,Dragon,180,Basic,"<strong>Ability — Bust In</strong>
<br>
When you play this Pokémon from your hand onto your Bench, you may move any number of basic Energy attached to your Pokémon to this Pokémon. If you do, switch this Pokémon with your Active Pokémon.
<br><br><em>Pokémon-EX rule — When a Pokémon-EX has been Knocked Out, your opponent takes 2 Prize cards.</em>","[GGL] Jet Sonic (80+)
<br>You may discard an Energy attached to this Pokémon. If you do, this attack does 40 more damage.",,Yx2,3,6.0,8.26,11.98,8.61,,Holofoil,,,
131864,Snorlax GX - SM05,Snorlax GX SM05,https://tcgplayer-cdn.tcgplayer.com/product/131864_200w.jpg,3,1528,https://cpt.tcgcsv.com/jM32,2023-01-26T20:22:36.54,1,SM05,Promo,Colorless,190,Basic,"<em>Pokémon-GX rule — When your Pokémon-GX is Knocked Out, your opponent takes 2 Prize cards.</em>","[3] Collapse (80)
<br>This Pokémon is now Asleep.","[5] Thunderous Snore (180)
<br>This attack can be used if this Pokémon is Asleep. If it is not Asleep, this attack does nothing.",Fx2,4,4.65,9.01,14.95,8.57,,Normal,,"<span style=""color:Teal""><strong>[5] Pulverizing Pancake GX</strong>
<br>This Pokémon is now Asleep. <em>(You can't use more than 1 GX attack in a game.)</em></span>",
131866,Lycanroc GX - SM14,Lycanroc GX SM14,https://tcgplayer-cdn.tcgplayer.com/product/131866_200w.jpg,3,1528,https://cpt.tcgcsv.com/lM32,2022-10-13T20:49:26.743,1,SM14,Promo,Fighting,200,Stage 1,"<em>Pokémon-GX rule — When your Pokémon-GX is Knocked Out, your opponent takes 2 Prize cards.</em>","[1F] Crunch (30)
<br>Discard an Energy from your opponent's Active Pokémon.",[1FF] Accelerock (120),Gx2,1,0.99,3.15,14.0,2.58,,Holofoil,,"<span style=""color:Teal""><strong>[1FF] Lycanfang GX (200)</strong>
<br>Discard 2 Energy from this Pokémon. <em>(You can't use more than 1 GX attack in a game.)</em></span>",
131868,Kingdra EX - 73/124,Kingdra EX 73 124,https://tcgplayer-cdn.tcgplayer.com/product/131868_200w.jpg,3,1528,https://cpt.tcgcsv.com/nM32,2022-10-13T20:25:36.163,1,073/124,Promo,Dragon,170,Basic,"<em>Pokémon-EX rule — When a Pokémon-EX has been Knocked Out, your opponent takes 2 Prize cards.</em>","[1] Big Storm (20)
<br>Discard any Stadium card in play.","[3W] Dragon Trail (60+)
<br>This attack does 30 more damage for each basic Lightning Energy attached to this Pokémon.",Yx2,1,4.99,7.48,10.0,7.48,,Holofoil,,,
131869,Arcanine BREAK - XY180 (XY Black Star Promos),Arcanine BREAK XY180 XY Black Star Promos,https://tcgplayer-cdn.tcgplayer.com/product/131869_200w.jpg,3,1528,https://cpt.tcgcsv.com/pM32,2022-10-11T18:23:58.407,1,XY180,Promo,Fire,160,BREAK Evolution,"<strong>BREAK Evolution Rule</strong>
<br>
Arcanine BREAK retains the attacks, Abilities, Weakness, Resistance, and Retreat Cost of its previous Evolution.","[1R] Turbo Flame (80)
<br>Attach 2 basic Energy cards from your discard pile to 1 of your Benched Pokémon.",,,,32.99,44.0,55.0,36.37,,Holofoil,,,
131871,Scizor EX - 76/122,Scizor EX 76 122,https://tcgplayer-cdn.tcgplayer.com/product/131871_200w.jpg,3,1528,https://cpt.tcgcsv.com/rM32,2022-10-18T23:23:25.59,1,076/122,Promo,Metal,170,Basic,"<em>Pokémon-EX rule — When a Pokémon-EX has been Knocked Out, your opponent takes 2 Prize cards.</em>","[M] Steel Wing (20)
<br>During your opponent's next turn, any damage done to this Pokémon by attacks is reduced by 20 <em>(after applying Weakness and Resistance)</em>.","[MM] Gale Thrust (50+)
<br>If this Pokémon was on the Bench and became your Active Pokémon this turn, this attack does 60 more damage.",Rx2,2,1.08,5.99,19.95,7.77,,Holofoil,P-20,,
132241,Bewear GX - SM34 (Black Star Promos),Bewear GX SM34 Black Star Promos,https://tcgplayer-cdn.tcgplayer.com/product/132241_200w.jpg,3,1528,https://cpt.tcgcsv.com/RV32,2022-10-11T18:36:58.087,1,SM34,Promo,Colorless,210,Stage 1,"<em>Pokémon-GX rule — When your Pokémon-GX is Knocked Out, your opponent takes 2 Prize cards.</em>","[3] Bear Hug (80)
<br>The Defending Pokémon can't retreat during your opponent's next turn.","[4] Double Impact (100x)
<br>Flip 2 coins. This attack does 100 damage for each heads.",Fx2,3,2.04,5.99,11.95,6.89,,Holofoil,,"<span style=""color:Teal""><strong>[4] Big Throw GX</strong>
<br>Discard your opponent's Active Pokémon and all cards attached to it. <em>(You can't use more than 1 GX attack in a game.)</em></span>",
