productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardText
45120,Clefable (1),Clefable 1,https://tcgplayer-cdn.tcgplayer.com/product/45120_200w.jpg,3,635,https://cpt.tcgcsv.com/q3n,2026-02-17T13:18:33.347,1,01/64,Holo Rare,Colorless,70,Stage 1,"[1] Metronome
<br>
Choose 1 of the Defending Pokémon's attacks. Metronome copies that attack except for its Energy costs and anything else required in order to use that attack, such as discarding Energy cards. <em>(No matter what type the Defending Pokémon is, Clefable's type is still Colorless.)</em>","[2] Minimize
<br>
All damage done by attacks to Clefable during your opponent's next turn is reduced by 20 <em>(after applying Weakness and Resistance)</em>.",F,P-30,2,47.0,71.02,125.0,80.48,,1st Edition Holofoil,
45120,Clefable (1),Clefable 1,https://tcgplayer-cdn.tcgplayer.com/product/45120_200w.jpg,3,635,https://cpt.tcgcsv.com/q3n,2026-02-17T13:18:33.347,1,01/64,Holo Rare,Colorless,70,Stage 1,"[1] Metronome
<br>
Choose 1 of the Defending Pokémon's attacks. Metronome copies that attack except for its Energy costs and anything else required in order to use that attack, such as discarding Energy cards. <em>(No matter what type the Defending Pokémon is, Clefable's type is still Colorless.)</em>","[2] Minimize
<br>
All damage done by attacks to Clefable during your opponent's next turn is reduced by 20 <em>(after applying Weakness and Resistance)</em>.",F,P-30,2,18.81,31.99,40.0,33.26,,Unlimited Holofoil,
45121,Scyther (10),Scyther 10,https://tcgplayer-cdn.tcgplayer.com/product/45121_200w.jpg,3,635,https://cpt.tcgcsv.com/r3n,2026-02-17T13:23:38.207,1,10/64,Holo Rare,Grass,70,Basic,"[G] Swords Dance
<br>During your next turn, Scyther's Slash attack's base damage is 60 instead of 30.",[3] Slash (30),R,F-30,,90.0,199.66,199.99,115.12,,1st Edition Holofoil,
45121,Scyther (10),Scyther 10,https://tcgplayer-cdn.tcgplayer.com/product/45121_200w.jpg,3,635,https://cpt.tcgcsv.com/r3n,2026-02-17T13:23:38.207,1,10/64,Holo Rare,Grass,70,Basic,"[G] Swords Dance
<br>During your next turn, Scyther's Slash attack's base damage is 60 instead of 30.",[3] Slash (30),R,F-30,,28.99,39.99,9999.0,39.35,,Unlimited Holofoil,
45122,Snorlax (11),Snorlax 11,https://tcgplayer-cdn.tcgplayer.com/product/45122_200w.jpg,3,635,https://cpt.tcgcsv.com/s3n,2025-12-10T22:19:33.06,1,11/64,Holo Rare,Colorless,90,Basic,"[4] Body Slam (30)
<br>Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",,F,P-30,4,250.0,375.0,499.99,290.51,,1st Edition Holofoil,"<strong>Pokémon Power: Thick Skinned</strong>
<br>
Snorlax can't become Asleep, Confused, Paralyzed, or Poisoned. This power can't be used if Snorlax is already Asleep, Confused, or Paralyzed."
45122,Snorlax (11),Snorlax 11,https://tcgplayer-cdn.tcgplayer.com/product/45122_200w.jpg,3,635,https://cpt.tcgcsv.com/s3n,2025-12-10T22:19:33.06,1,11/64,Holo Rare,Colorless,90,Basic,"[4] Body Slam (30)
<br>Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",,F,P-30,4,66.78,89.99,249.99,100.44,,Unlimited Holofoil,"<strong>Pokémon Power: Thick Skinned</strong>
<br>
Snorlax can't become Asleep, Confused, Paralyzed, or Poisoned. This power can't be used if Snorlax is already Asleep, Confused, or Paralyzed."
45123,Vaporeon (12),Vaporeon 12,https://tcgplayer-cdn.tcgplayer.com/product/45123_200w.jpg,3,635,https://cpt.tcgcsv.com/t3n,2025-12-10T22:19:58.877,1,12/64,Holo Rare,Water,80,Stage 1,"[2] Quick Attack (10+)
<br>Flip a coin. If heads, this attack does 10 damage plus 20 more damage; if tails, this attack does 10 damage.","[1WW] Water Gun (30+)
<br>Does 30 damage plus 10 more damage for each Water Energy attached to Vaporeon but not used to pay for this attack's Energy cost. Extra Water energy after the 2nd doesn't count.",L,,1,80.14,234.59,239.99,239.19,239.98,1st Edition Holofoil,
45123,Vaporeon (12),Vaporeon 12,https://tcgplayer-cdn.tcgplayer.com/product/45123_200w.jpg,3,635,https://cpt.tcgcsv.com/t3n,2025-12-10T22:19:58.877,1,12/64,Holo Rare,Water,80,Stage 1,"[2] Quick Attack (10+)
<br>Flip a coin. If heads, this attack does 10 damage plus 20 more damage; if tails, this attack does 10 damage.","[1WW] Water Gun (30+)
<br>Does 30 damage plus 10 more damage for each Water Energy attached to Vaporeon but not used to pay for this attack's Energy cost. Extra Water energy after the 2nd doesn't count.",L,,1,16.51,25.22,9999.0,39.74,,Unlimited Holofoil,
45124,Venomoth (13),Venomoth 13,https://tcgplayer-cdn.tcgplayer.com/product/45124_200w.jpg,3,635,https://cpt.tcgcsv.com/v3n,2026-02-17T13:24:19.257,1,13/64,Holo Rare,Grass,70,Stage 1,"[GG] Venom Powder (10)
<br>Flip a coin. If heads, the Defending Pokémon is now Confused and Poisoned.",,R,F-30,,40.0,84.36,91.5,80.56,,1st Edition Holofoil,"<strong>Pokémon Power: Shift</strong> Once during your turn <em>(before your attack)</em>, you may change the type of Venomoth to the type of any other Pokémon in play other than Colorless. This power can't be used if Venomoth is Asleep, Confused, or Paralyzed."
45124,Venomoth (13),Venomoth 13,https://tcgplayer-cdn.tcgplayer.com/product/45124_200w.jpg,3,635,https://cpt.tcgcsv.com/v3n,2026-02-17T13:24:19.257,1,13/64,Holo Rare,Grass,70,Stage 1,"[GG] Venom Powder (10)
<br>Flip a coin. If heads, the Defending Pokémon is now Confused and Poisoned.",,R,F-30,,12.52,24.99,40.24,24.81,,Unlimited Holofoil,"<strong>Pokémon Power: Shift</strong> Once during your turn <em>(before your attack)</em>, you may change the type of Venomoth to the type of any other Pokémon in play other than Colorless. This power can't be used if Venomoth is Asleep, Confused, or Paralyzed."
