productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extAttack2,extCardText
83831,Bidoof,Bidoof,https://tcgplayer-cdn.tcgplayer.com/product/83831_200w.jpg,3,1522,https://cpt.tcgcsv.com/FxH,2022-12-14T16:17:46.963,1,29/39,Common,Colorless,70,Basic,[3] Rollout (60),Fx2,None,2,5.84,7.74,9.46,8.17,,Normal,,
83847,Bisharp,Bisharp,https://tcgplayer-cdn.tcgplayer.com/product/83847_200w.jpg,3,1522,https://cpt.tcgcsv.com/ZxH,2022-12-14T16:16:52.983,1,20/39,Common,Metal,90,Stage 1,"[M] Wicked Jab (20) 
<br>Flip a coin.  If heads, your opponent's Active Pokemon is now Paralyzed.",Rx2,P-20,1,0.3,0.5,3.49,0.54,,Normal,[2M] Metal Claw (70),
83949,Braixen,Braixen,https://tcgplayer-cdn.tcgplayer.com/product/83949_200w.jpg,3,1522,https://cpt.tcgcsv.com/_BH,2022-12-14T16:13:32.983,1,9/39,Common,Fire,80,Stage 1,"[1R] Firebreathing (20+) Flip a coin.  If heads, this attack does 20 more damage.",Wx2,,1,0.11,0.35,1.71,0.49,,Normal,,
83949,Braixen,Braixen,https://tcgplayer-cdn.tcgplayer.com/product/83949_200w.jpg,3,1522,https://cpt.tcgcsv.com/_BH,2022-12-14T16:13:32.983,1,9/39,Common,Fire,80,Stage 1,"[1R] Firebreathing (20+) Flip a coin.  If heads, this attack does 20 more damage.",Wx2,,1,0.25,0.81,3.49,0.91,,Holofoil,,
84047,Bunnelby,Bunnelby,https://tcgplayer-cdn.tcgplayer.com/product/84047_200w.jpg,3,1522,https://cpt.tcgcsv.com/ZDH,2022-12-14T16:17:53.347,1,30/39,Common,Colorless,60,Basic,[2] Tackle (20),Fx2,None,1,0.16,0.47,5.0,1.07,,Normal,,
84268,Chesnaught,Chesnaught,https://tcgplayer-cdn.tcgplayer.com/product/84268_200w.jpg,3,1522,https://cpt.tcgcsv.com/nKH,2022-12-14T16:12:54.16,1,5/39,Common,Grass,150,Stage 2,[2G] Needle Arm (50),Rx2,None,4,0.64,1.27,6.25,3.22,,Normal,"[2GG] Tumbling Attack (80) 
<br>Flip a coin.  If heads, this attack does 40 more damage.",
84268,Chesnaught,Chesnaught,https://tcgplayer-cdn.tcgplayer.com/product/84268_200w.jpg,3,1522,https://cpt.tcgcsv.com/nKH,2022-12-14T16:12:54.16,1,5/39,Common,Grass,150,Stage 2,[2G] Needle Arm (50),Rx2,None,4,0.84,2.9,7.0,2.76,,Holofoil,"[2GG] Tumbling Attack (80) 
<br>Flip a coin.  If heads, this attack does 40 more damage.",
84271,Chespin,Chespin,https://tcgplayer-cdn.tcgplayer.com/product/84271_200w.jpg,3,1522,https://cpt.tcgcsv.com/rKH,2022-12-14T16:12:28.23,1,3/39,Common,Grass,60,Basic,[G] Vine Whip (10),Rx2,None,1,0.2,0.33,5.0,0.35,0.25,Normal,[1G] Seed Bomb (20),
84271,Chespin,Chespin,https://tcgplayer-cdn.tcgplayer.com/product/84271_200w.jpg,3,1522,https://cpt.tcgcsv.com/rKH,2022-12-14T16:12:28.23,1,3/39,Common,Grass,60,Basic,[G] Vine Whip (10),Rx2,None,1,0.5,0.83,4.19,1.0,,Holofoil,[1G] Seed Bomb (20),
84326,Clauncher,Clauncher,https://tcgplayer-cdn.tcgplayer.com/product/84326_200w.jpg,3,1522,https://cpt.tcgcsv.com/xLH,2022-12-14T16:14:08.217,1,15/39,Common,Water,70,Basic,[1W] Water Gun (20),Gx2,None,1,0.22,0.67,1.75,0.67,,Normal,,
