productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extRarity,extCardType,extCardText,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extHP,extStage,extAttack1,extWeakness,extResistance,extRetreatCost,extAttack2,extAttack3,extAttack4
108625,Water Energy (2007-2008 League Promo),Water Energy 2007 2008 League Promo,https://tcgplayer-cdn.tcgplayer.com/product/108625_200w.jpg,3,1539,https://cpt.tcgcsv.com/wsT,2022-08-24T22:08:24.5,1,Promo,Basic Water Energy,<em>Copyright Date: 2007 Pokémon/Nintendo</em>,9.99,10.55,11.1,8.75,,Holofoil,,,,,,,,,,
108626,Psychic Energy (2007-2008 League Promo),Psychic Energy 2007 2008 League Promo,https://tcgplayer-cdn.tcgplayer.com/product/108626_200w.jpg,3,1539,https://cpt.tcgcsv.com/xsT,2025-11-20T06:09:12.75,1,Promo,Basic Psychic Energy,<em>Copyright Date: 2007 Pokémon/Nintendo</em>,3.1,5.7,9.99,5.53,2.65,Holofoil,,,,,,,,,,
108627,Lightning Energy (2007-2008 League Promo),Lightning Energy 2007 2008 League Promo,https://tcgplayer-cdn.tcgplayer.com/product/108627_200w.jpg,3,1539,https://cpt.tcgcsv.com/zsT,2022-08-23T20:10:46.72,1,Promo,Basic Lightning Energy,<em>Copyright Date - 2007 Pokémon/Nintendo</em>,2.49,8.58,9.99,8.75,5.0,Holofoil,,,,,,,,,,
108628,Grass Energy (2007-2008 League Promo),Grass Energy 2007 2008 League Promo,https://tcgplayer-cdn.tcgplayer.com/product/108628_200w.jpg,3,1539,https://cpt.tcgcsv.com/BsT,2025-11-20T22:37:33.707,1,Promo,Basic Grass Energy,<em>Copyright Date - Nintendo (c) 2007</em>,4.95,9.7,96.95,6.75,5.0,Holofoil,,,,,,,,,,
108629,Fire Energy (2007-2008 League Promo),Fire Energy 2007 2008 League Promo,https://tcgplayer-cdn.tcgplayer.com/product/108629_200w.jpg,3,1539,https://cpt.tcgcsv.com/CsT,2023-08-02T05:20:22.07,1,Promo,Basic Fire Energy,<em>Copyright Date: 2007 Pokémon/Nintendo</em>,9.12,11.99,13.95,7.3,,Holofoil,,,,,,,,,,
116005,Butterfree FB - 17/147 (League Promo),Butterfree FB 17 147 League Promo,https://tcgplayer-cdn.tcgplayer.com/product/116005_200w.jpg,3,1539,https://cpt.tcgcsv.com/7qX,2023-09-19T16:41:59.443,1,Promo,Grass,"<strong>Poké-BODY — Compound Eyes</strong>
<br>
If your opponent's Active Pokémon has any Poké-Bodies, each of Butterfree <em>FB</em>'s attacks does 30 more damage to the Active Pokémon <em>(before applying Weakness and Resistance)</em>.",4.79,5.99,20.97,5.77,5.8,Reverse Holofoil,017/147,90,Basic,"[2G] Select Powder (30)
<br>
Choose either Burned or Poisoned.  The Defending Pokémon is now affected by that Special Condition.",Rx2,F-20,1,,,
119012,Junk Arm - 87/102 (League Promo),Junk Arm 87 102 League Promo,https://tcgplayer-cdn.tcgplayer.com/product/119012_200w.jpg,3,1539,https://cpt.tcgcsv.com/gDZ,2022-09-26T19:56:07.387,1,Promo,Trainer,"Discard 2 cards from your hand. Search your discard pile for a Trainer card, show it to your opponent, and put it into your hand. You can't choose Junk Arm with the effect of this card.",7.99,13.24,19.98,13.7,10.08,Reverse Holofoil,087/102,,,,,,,,,
123183,Judge - 78/95 (League Promo),Judge 78 95 League Promo,https://tcgplayer-cdn.tcgplayer.com/product/123183_200w.jpg,3,1539,https://cpt.tcgcsv.com/Hh_,2022-09-26T19:55:50.29,1,Promo,Supporter,"<em>You can play only one Supporter card each turn. When you play this card, put it next to your Active Pokémon. When your turn ends, discard this card.</em>
<br>
Each player shuffles his or her hand into his or her deck and draws 4 cards.",135.0,135.0,135.0,60.58,,Reverse Holofoil,078/095,,,,,,,,,
123184,Pokemon Communication - 98/123 (League Promo),Pokemon Communication 98 123 League Promo,https://tcgplayer-cdn.tcgplayer.com/product/123184_200w.jpg,3,1539,https://cpt.tcgcsv.com/Jh_,2024-06-09T20:44:24.433,1,Promo,Trainer,"Choose 1 Pokémon in your hand, show it to your opponent, and put it on top of your deck.  If you do, search your deck for a Pokémon, show it to your opponent, and put it into your hand.  Shuffle your deck afterward.",250.0,263.0,276.0,,,Reverse Holofoil,098/123,,,,,,,,,
123185,Professor Oak's New Theory - 101/123 (League Promo),Professor Oaks New Theory 101 123 League Promo,https://tcgplayer-cdn.tcgplayer.com/product/123185_200w.jpg,3,1539,https://cpt.tcgcsv.com/Kh_,2022-08-24T19:49:39.57,1,Promo,Supporter,"<em>You can only play 1 Supporter card each turn. When you play this card, put it next to your Active Pokémon. When your turn ends, discard this card.</em>
<br>Shuffle your hand into your deck. Then, draw 6 cards.",27.64,29.0,34.99,49.95,,Reverse Holofoil,101/123,,,,,,,,,
