productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extWeakness,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extResistance,extCardText
83522,Altaria,Altaria,https://tcgplayer-cdn.tcgplayer.com/product/83522_200w.jpg,3,1409,https://cpt.tcgcsv.com/sqH,2023-01-09T17:42:17.077,1,92/113,Uncommon,Dragon,80,Stage 1,[2] Speed Dive (20),"[1MW] Cleave (40) Flip 2 coins.  If both of them are heads, discard all Energy attached to the Defending Pokemon.",Ox2,1,0.31,0.5,3.5,0.54,,Normal,,
83522,Altaria,Altaria,https://tcgplayer-cdn.tcgplayer.com/product/83522_200w.jpg,3,1409,https://cpt.tcgcsv.com/sqH,2023-01-09T17:42:17.077,1,92/113,Uncommon,Dragon,80,Stage 1,[2] Speed Dive (20),"[1MW] Cleave (40) Flip 2 coins.  If both of them are heads, discard all Energy attached to the Defending Pokemon.",Ox2,1,3.95,7.96,21.12,3.45,,Reverse Holofoil,,
83653,Articuno,Articuno,https://tcgplayer-cdn.tcgplayer.com/product/83653_200w.jpg,3,1409,https://cpt.tcgcsv.com/5tH,2026-02-17T23:21:05.103,1,32/113,Holo Rare,Water,120,Basic,"[2W] Ice Beam (50) Flip a coin.  If heads, the Defending Pokemon is now Paralyzed.",[3W] Ice Wing (80),Mx2,2,2.67,4.69,8.98,4.83,3.0,Holofoil,F-20,
83653,Articuno,Articuno,https://tcgplayer-cdn.tcgplayer.com/product/83653_200w.jpg,3,1409,https://cpt.tcgcsv.com/5tH,2026-02-17T23:21:05.103,1,32/113,Holo Rare,Water,120,Basic,"[2W] Ice Beam (50) Flip a coin.  If heads, the Defending Pokemon is now Paralyzed.",[3W] Ice Wing (80),Mx2,2,5.68,8.47,10.95,5.41,,Reverse Holofoil,F-20,
83815,Bianca,Bianca,https://tcgplayer-cdn.tcgplayer.com/product/83815_200w.jpg,3,1409,https://cpt.tcgcsv.com/kxH,2025-11-29T05:31:44.933,1,109/113,Uncommon,Supporter,0,Supporter,Draw cards until you have 6 cards in your hand.,,,,0.05,0.24,19.5,0.22,0.1,Normal,,You may play only 1 Supporter card per turn (before your attack).
83815,Bianca,Bianca,https://tcgplayer-cdn.tcgplayer.com/product/83815_200w.jpg,3,1409,https://cpt.tcgcsv.com/kxH,2025-11-29T05:31:44.933,1,109/113,Uncommon,Supporter,0,Supporter,Draw cards until you have 6 cards in your hand.,,,,0.14,0.57,3.99,0.58,,Reverse Holofoil,,You may play only 1 Supporter card per turn (before your attack).
83856,Black Kyurem EX,Black Kyurem EX,https://tcgplayer-cdn.tcgplayer.com/product/83856_200w.jpg,3,1409,https://cpt.tcgcsv.com/8zH,2023-01-09T17:43:36.08,1,100/113,Ultra Rare,Dragon,180,Basic,"[2L] Dragon Fang (60) Flip a coin.  If heads, the Defending Pokemon is now Paralyzed.",[1LLW] Freeze Shock (150) This Pokemon can't attack during your next turn.,Ox2,3,3.0,6.26,11.31,6.88,7.76,Holofoil,,
83945,Bouffalant,Bouffalant,https://tcgplayer-cdn.tcgplayer.com/product/83945_200w.jpg,3,1409,https://cpt.tcgcsv.com/WBH,2023-01-09T17:45:01.383,1,107/113,Uncommon,Colorless,100,Basic,"[2] Revenge (20+) If any of your Pokemon were Knocked Out by damage from an opponent's attack during his or her last turn, this attack does 70 more damage.","[4] Head Charge (80) Flip a coin.  If tails, this Pokemon does 20 damage to itself.",Fx2,2,0.42,1.99,10.0,2.42,,Normal,,
83945,Bouffalant,Bouffalant,https://tcgplayer-cdn.tcgplayer.com/product/83945_200w.jpg,3,1409,https://cpt.tcgcsv.com/WBH,2023-01-09T17:45:01.383,1,107/113,Uncommon,Colorless,100,Basic,"[2] Revenge (20+) If any of your Pokemon were Knocked Out by damage from an opponent's attack during his or her last turn, this attack does 70 more damage.","[4] Head Charge (80) Flip a coin.  If tails, this Pokemon does 20 damage to itself.",Fx2,2,2.0,2.0,2.0,3.08,,Reverse Holofoil,,
84107,Carnivine,Carnivine,https://tcgplayer-cdn.tcgplayer.com/product/84107_200w.jpg,3,1409,https://cpt.tcgcsv.com/9GH,2023-01-09T17:12:26.14,1,5/113,Uncommon,Grass,80,Stage 1,"[1G] Ambush Bite (20+) Flip a coin.  If heads, this attack does 20 more damage and discard an Energy attached to the Defending Pokemon.",,Rx2,2,0.1,0.3,1.49,0.32,,Normal,W-20,
