productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extHP,extStage,extAttack1,extWeakness,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardText,extAttack2,extResistance
83665,Audino,Audino,https://tcgplayer-cdn.tcgplayer.com/product/83665_200w.jpg,3,1465,https://cpt.tcgcsv.com/ktH,2026-02-17T16:07:10.127,1,RC17/RC25,Common,80,Basic,[3] Relaxed Roll (30x) Flip a coin until you get tails.  This attack does 30 damage times the number of heads.,Fx2,2,1.15,4.43,25.0,4.52,7.19,Holofoil,,,
84321,Cinccino,Cinccino,https://tcgplayer-cdn.tcgplayer.com/product/84321_200w.jpg,3,1465,https://cpt.tcgcsv.com/rLH,2026-02-17T17:01:52.98,1,RC19/RC25,Uncommon,90,Stage 1,"[3] Echoed Voice (50) During your next turn, this Pokemon's attack does 50 more damage (before applying Weakness and Resistance).",Fx2,1,7.0,9.79,25.0,8.21,9.03,Holofoil,"Smooth Coat - If any damage is done to this Pokemon by attacks, flip a coin.  If heads, prevent that damage.  (Ability)",,
85094,Eevee,Eevee,https://tcgplayer-cdn.tcgplayer.com/product/85094_200w.jpg,3,1465,https://cpt.tcgcsv.com/V2J,2026-02-16T14:45:56.447,1,RC14/RC25,Uncommon,60,Basic,"[1] Surprise Attack (20) Flip a coin.  If tails, this attack does nothing.",Fx2,1,12.22,24.0,96.95,22.25,17.98,Holofoil,,,
85174,Elesa,Elesa,https://tcgplayer-cdn.tcgplayer.com/product/85174_200w.jpg,3,1465,https://cpt.tcgcsv.com/v5J,2024-08-12T19:56:07.22,1,RC20/RC25,Common,0,Supporter,"Search your deck for 3 Pokemon Tool cards, reveal them, and put them into your hand.  Shuffle your deck afterward.",,,0.34,1.0,8.41,1.5,0.34,Holofoil,You may play only 1 Supporter card per turn (before your attack).,,
85194,Emolga (Full Art),Emolga Full Art,https://tcgplayer-cdn.tcgplayer.com/product/85194_200w.jpg,3,1465,https://cpt.tcgcsv.com/V5J,2026-03-11T12:06:40.047,1,RC23/RC25,Ultra Rare,70,Basic,[1] Call for Family - Search your deck for 2 Basic Pokemon and put them onto your Bench.  Shuffle your deck afterward.,Lx2,0,39.99,50.98,180.0,51.14,50.98,Holofoil,,[L] Static Shock (20),F-20
85639,Gardevoir,Gardevoir,https://tcgplayer-cdn.tcgplayer.com/product/85639_200w.jpg,3,1465,https://cpt.tcgcsv.com/PgJ,2025-11-11T14:31:34.56,1,RC10/RC25,Uncommon,120,Stage 2,[1P] Psybeam (40) The Defending Pokemon is now Confused.,Px2,1,6.0,9.99,29.5,9.7,9.7,Holofoil,,[PP] Eternal Radiance - Move all damage counters from this Pokemon to the Defending Pokemon.  This Pokemon can't use Eternal Radiance during your next turn.,
85963,Growlithe,Growlithe,https://tcgplayer-cdn.tcgplayer.com/product/85963_200w.jpg,3,1465,https://cpt.tcgcsv.com/hpJ,2026-02-17T17:01:58.53,1,RC4/RC25,Uncommon,80,Basic,[2] Rest - Heal all damage from this Pokemon.  This Pokemon is now Asleep.,Wx2,2,10.99,18.0,96.95,17.55,,Holofoil,,"[2R] Lunge (40) Flip a coin.  If tails, this attack does nothing.",
86472,Kirlia,Kirlia,https://tcgplayer-cdn.tcgplayer.com/product/86472_200w.jpg,3,1465,https://cpt.tcgcsv.com/sCJ,2026-02-17T19:53:01.037,1,RC9/RC25,Common,70,Stage 1,[P] Tiptoe Step - Draw a card for each P Energy attached to this Pokemon.,Px2,1,2.83,5.45,15.0,5.43,,Holofoil,,[1P] Double Slap (20x) Flip 2 coins.  This attack does 20 damage times the number of heads.,
87304,Meloetta EX,Meloetta EX,https://tcgplayer-cdn.tcgplayer.com/product/87304_200w.jpg,3,1465,https://cpt.tcgcsv.com/6XJ,2025-11-11T14:35:30.63,1,RC11/RC25,Ultra Rare,110,Basic,"[2] Brilliant Voice (20) Flip a coin.  If heads, the Defending Pokemon is now Asleep.  If tails, the Defending Pokemon is now Confused.",Px2,1,6.98,11.0,25.0,12.53,14.95,Holofoil,,[PPP] Round (30x) Does 30 damage times the number of your Pokemon that have the Round attack.,
87305,Meloetta EX (Full Art),Meloetta EX Full Art,https://tcgplayer-cdn.tcgplayer.com/product/87305_200w.jpg,3,1465,https://cpt.tcgcsv.com/7XJ,2025-12-11T21:51:58.257,1,RC25/RC25,Ultra Rare,110,Basic,"[2] Brilliant Voice (20) Flip a coin.  If heads, the Defending Pokemon is now Asleep.  If tails, the Defending Pokemon is now Confused.",Px2,1,15.0,32.3,4321.0,34.16,35.57,Holofoil,,[PPP] Round (30x) Does 30 damage times the number of your Pokemon that have the Round attack.,
