productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extWeakness,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardText,extResistance
83561,Anorith,Anorith,https://tcgplayer-cdn.tcgplayer.com/product/83561_200w.jpg,3,1417,https://cpt.tcgcsv.com/frH,2023-11-07T20:36:10.12,1,46/146,Uncommon,Fighting,80,Stage 1,"[1] Guard Claw (20)
<br>
During your opponent's next turn, any damage done to Anorith by attacks is reduced by 20 <em>(after applying Weakness and Resistance)</em>.","[1F] X-Scissor (30+)
<br>
Flip a coin. If heads, this attack does 30 damage plus 20 more damage.",G+20,1,0.2,0.48,1.5,0.54,,Normal,,
83561,Anorith,Anorith,https://tcgplayer-cdn.tcgplayer.com/product/83561_200w.jpg,3,1417,https://cpt.tcgcsv.com/frH,2023-11-07T20:36:10.12,1,46/146,Uncommon,Fighting,80,Stage 1,"[1] Guard Claw (20)
<br>
During your opponent's next turn, any damage done to Anorith by attacks is reduced by 20 <em>(after applying Weakness and Resistance)</em>.","[1F] X-Scissor (30+)
<br>
Flip a coin. If heads, this attack does 30 damage plus 20 more damage.",G+20,1,0.2,2.1,3.5,2.39,,Reverse Holofoil,,
83621,Armaldo,Armaldo,https://tcgplayer-cdn.tcgplayer.com/product/83621_200w.jpg,3,1417,https://cpt.tcgcsv.com/rsH,2023-11-07T20:30:59.46,1,18/146,Rare,Fighting,140,Stage 2,"[1FF] Crush Claw (60)
<br>
During your next turn, if an attack does damage to the Defending Pokémon <em>(after applying Weakness and Resistance)</em>, that attack does 40 more damage.",,G+30,2,1.05,1.81,5.0,1.81,,Normal,"<strong>Poké-BODY — Fossil Armor</strong>
<br>
If Armaldo would be damaged by an attack, prevent that attack's damage done to Armaldo if that damage is 60 or less.",
83621,Armaldo,Armaldo,https://tcgplayer-cdn.tcgplayer.com/product/83621_200w.jpg,3,1417,https://cpt.tcgcsv.com/rsH,2023-11-07T20:30:59.46,1,18/146,Rare,Fighting,140,Stage 2,"[1FF] Crush Claw (60)
<br>
During your next turn, if an attack does damage to the Defending Pokémon <em>(after applying Weakness and Resistance)</em>, that attack does 40 more damage.",,G+30,2,2.68,5.24,9.99,2.62,,Reverse Holofoil,"<strong>Poké-BODY — Fossil Armor</strong>
<br>
If Armaldo would be damaged by an attack, prevent that attack's damage done to Armaldo if that damage is 60 or less.",
83675,Azelf,Azelf,https://tcgplayer-cdn.tcgplayer.com/product/83675_200w.jpg,3,1417,https://cpt.tcgcsv.com/wtH,2023-11-07T20:31:07.197,1,19/146,Rare,Psychic,70,Basic,"[P] Lock Up (20)
<br>
The Defending Pokémon can't retreat during your opponent's next turn.",,P+20,1,6.12,9.21,20.0,9.38,,Normal,"<strong>Poké-POWER — Time Walk</strong>
<br>
Once during your turn, when you put Azelf from your hand onto your Bench, you may look at all of your face-down Prize cards. If you do, you may choose 1 Pokémon you find there, show it to your opponent, and put it into your hand. Then, choose 1 card in your hand and put it as a Prize card face down.",
83675,Azelf,Azelf,https://tcgplayer-cdn.tcgplayer.com/product/83675_200w.jpg,3,1417,https://cpt.tcgcsv.com/wtH,2023-11-07T20:31:07.197,1,19/146,Rare,Psychic,70,Basic,"[P] Lock Up (20)
<br>
The Defending Pokémon can't retreat during your opponent's next turn.",,P+20,1,8.92,9.64,25.04,11.4,,Reverse Holofoil,"<strong>Poké-POWER — Time Walk</strong>
<br>
Once during your turn, when you put Azelf from your hand onto your Bench, you may look at all of your face-down Prize cards. If you do, you may choose 1 Pokémon you find there, show it to your opponent, and put it into your hand. Then, choose 1 card in your hand and put it as a Prize card face down.",
83677,Azelf LV.X,Azelf LVX,https://tcgplayer-cdn.tcgplayer.com/product/83677_200w.jpg,3,1417,https://cpt.tcgcsv.com/ztH,2022-12-19T20:42:10.78,1,140/146,Ultra Rare,Psychic,90,Level-Up,"[P] Deep Balance
<br>
Choose 1 of your opponent's Pokémon. Put 1 damage counter on that Pokémon for each Energy attached to all of your opponent's Pokémon.",,Px2,1,87.0,90.54,105.26,101.26,,Holofoil,"<strong>Poké-BODY — Psychic Aura</strong>
<br>
Each of your Psychic Pokémon has no Weakness.
<br>
[Put this card onto your Active Azelf. Azelf LV.X can use any attack, Poké-Power, or Poké-Body from its previous Level.]",
83788,Beldum (83),Beldum 83,https://tcgplayer-cdn.tcgplayer.com/product/83788_200w.jpg,3,1417,https://cpt.tcgcsv.com/NwH,2023-11-07T20:43:17.543,1,83/146,Common,Metal,50,Basic,"[1M] Take Down (30)
<br>
Beldum does 10 damage to itself.",,R+10,2,0.21,0.51,2.99,0.72,,Normal,"<strong>Poké-POWER — Metal Chain</strong>
<br>
Once during your turn <em>(before your attack)</em>, when you attach a Metal Energy card from your hand to Beldum (excluding effects of attacks or Poké-Powers), you may search your deck for Beldum and put it onto your Bench. Shuffle your deck afterward. This power can't be used if Beldum is affected by a Special Condition.",P-20
83788,Beldum (83),Beldum 83,https://tcgplayer-cdn.tcgplayer.com/product/83788_200w.jpg,3,1417,https://cpt.tcgcsv.com/NwH,2023-11-07T20:43:17.543,1,83/146,Common,Metal,50,Basic,"[1M] Take Down (30)
<br>
Beldum does 10 damage to itself.",,R+10,2,4.99,5.25,7.0,4.37,,Reverse Holofoil,"<strong>Poké-POWER — Metal Chain</strong>
<br>
Once during your turn <em>(before your attack)</em>, when you attach a Metal Energy card from your hand to Beldum (excluding effects of attacks or Poké-Powers), you may search your deck for Beldum and put it onto your Bench. Shuffle your deck afterward. This power can't be used if Beldum is affected by a Special Condition.",P-20
83789,Beldum (84),Beldum 84,https://tcgplayer-cdn.tcgplayer.com/product/83789_200w.jpg,3,1417,https://cpt.tcgcsv.com/PwH,2023-11-07T20:43:25.65,1,84/146,Common,Metal,50,Basic,"[1] Allure
<br>
Draw a card.",[1M] Tackle (20),R+10,1,0.09,0.25,1.56,0.27,0.15,Normal,,P-20
83789,Beldum (84),Beldum 84,https://tcgplayer-cdn.tcgplayer.com/product/83789_200w.jpg,3,1417,https://cpt.tcgcsv.com/PwH,2023-11-07T20:43:25.65,1,84/146,Common,Metal,50,Basic,"[1] Allure
<br>
Draw a card.",[1M] Tackle (20),R+10,1,1.06,4.88,5.42,5.0,,Reverse Holofoil,,P-20
