productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName
656263,Basic Grass Energy - 001,Basic Grass Energy 001,https://tcgplayer-cdn.tcgplayer.com/product/656263_200w.jpg,3,24461,https://cpt.tcgcsv.com/hwg7,2026-03-11T12:14:59.427,1,1,Common,Basic Energy,0.01,0.13,1.45,0.19,0.14,Normal
656263,Basic Grass Energy - 001,Basic Grass Energy 001,https://tcgplayer-cdn.tcgplayer.com/product/656263_200w.jpg,3,24461,https://cpt.tcgcsv.com/hwg7,2026-03-11T12:14:59.427,1,1,Common,Basic Energy,0.01,0.24,2.0,0.22,0.12,Reverse Holofoil
656264,Basic Fire Energy - 002,Basic Fire Energy 002,https://tcgplayer-cdn.tcgplayer.com/product/656264_200w.jpg,3,24461,https://cpt.tcgcsv.com/jwg7,2026-02-16T19:05:59.43,1,2,Common,Basic Energy,0.01,0.15,1.01,0.23,0.23,Normal
656264,Basic Fire Energy - 002,Basic Fire Energy 002,https://tcgplayer-cdn.tcgplayer.com/product/656264_200w.jpg,3,24461,https://cpt.tcgcsv.com/jwg7,2026-02-16T19:05:59.43,1,2,Common,Basic Energy,0.03,0.35,2.0,0.47,0.47,Reverse Holofoil
656265,Basic Water Energy - 003,Basic Water Energy 003,https://tcgplayer-cdn.tcgplayer.com/product/656265_200w.jpg,3,24461,https://cpt.tcgcsv.com/kwg7,2026-02-16T12:16:01.83,1,3,Common,Basic Energy,0.01,0.12,1.53,0.17,0.09,Normal
656265,Basic Water Energy - 003,Basic Water Energy 003,https://tcgplayer-cdn.tcgplayer.com/product/656265_200w.jpg,3,24461,https://cpt.tcgcsv.com/kwg7,2026-02-16T12:16:01.83,1,3,Common,Basic Energy,0.07,0.28,1.44,0.31,0.3,Reverse Holofoil
656266,Basic Lightning Energy - 004,Basic Lightning Energy 004,https://tcgplayer-cdn.tcgplayer.com/product/656266_200w.jpg,3,24461,https://cpt.tcgcsv.com/lwg7,2026-03-11T12:56:25.847,1,4,Common,Basic Energy,0.01,0.3,2.5,0.29,0.29,Reverse Holofoil
656266,Basic Lightning Energy - 004,Basic Lightning Energy 004,https://tcgplayer-cdn.tcgplayer.com/product/656266_200w.jpg,3,24461,https://cpt.tcgcsv.com/lwg7,2026-03-11T12:56:25.847,1,4,Common,Basic Energy,0.01,0.13,1.01,0.19,0.07,Normal
656267,Basic Psychic Energy - 005,Basic Psychic Energy 005,https://tcgplayer-cdn.tcgplayer.com/product/656267_200w.jpg,3,24461,https://cpt.tcgcsv.com/mwg7,2026-02-16T12:15:45.367,1,5,Common,Basic Energy,0.01,0.13,1.01,0.13,,Normal
656267,Basic Psychic Energy - 005,Basic Psychic Energy 005,https://tcgplayer-cdn.tcgplayer.com/product/656267_200w.jpg,3,24461,https://cpt.tcgcsv.com/mwg7,2026-02-16T12:15:45.367,1,5,Common,Basic Energy,0.05,0.28,2.0,0.29,0.29,Reverse Holofoil
656268,Basic Fighting Energy - 006,Basic Fighting Energy 006,https://tcgplayer-cdn.tcgplayer.com/product/656268_200w.jpg,3,24461,https://cpt.tcgcsv.com/nwg7,2026-02-16T12:14:41.417,1,6,Common,Basic Energy,0.1,0.32,2.0,0.32,0.3,Reverse Holofoil
656268,Basic Fighting Energy - 006,Basic Fighting Energy 006,https://tcgplayer-cdn.tcgplayer.com/product/656268_200w.jpg,3,24461,https://cpt.tcgcsv.com/nwg7,2026-02-16T12:14:41.417,1,6,Common,Basic Energy,0.01,0.13,1.01,0.18,0.1,Normal
656269,Basic Darkness Energy - 007,Basic Darkness Energy 007,https://tcgplayer-cdn.tcgplayer.com/product/656269_200w.jpg,3,24461,https://cpt.tcgcsv.com/pwg7,2026-03-05T20:19:36.057,1,7,Common,Basic Energy,0.09,0.33,4.99,0.33,,Reverse Holofoil
656269,Basic Darkness Energy - 007,Basic Darkness Energy 007,https://tcgplayer-cdn.tcgplayer.com/product/656269_200w.jpg,3,24461,https://cpt.tcgcsv.com/pwg7,2026-03-05T20:19:36.057,1,7,Common,Basic Energy,0.01,0.11,1.01,0.12,0.07,Normal
656270,Basic Metal Energy - 008,Basic Metal Energy 008,https://tcgplayer-cdn.tcgplayer.com/product/656270_200w.jpg,3,24461,https://cpt.tcgcsv.com/qwg7,2026-02-16T12:15:22.22,1,8,Common,Basic Energy,0.05,0.39,2.0,0.62,0.4,Reverse Holofoil
656270,Basic Metal Energy - 008,Basic Metal Energy 008,https://tcgplayer-cdn.tcgplayer.com/product/656270_200w.jpg,3,24461,https://cpt.tcgcsv.com/qwg7,2026-02-16T12:15:22.22,1,8,Common,Basic Energy,0.01,0.11,1.01,0.19,0.04,Normal
