productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extWeakness,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extAttack2,extResistance
110422,Lotad - 2/12,Lotad 2 12,https://tcgplayer-cdn.tcgplayer.com/product/110422_200w.jpg,3,1694,https://cpt.tcgcsv.com/sbV,2022-09-22T20:27:24.857,1,002/012,Promo,Grass,60,Basic,[2] Beat (20),Rx2,1,4.93,9.99,15.0,9.25,,Holofoil,,
110423,Zigzagoon - 11/12,Zigzagoon 11 12,https://tcgplayer-cdn.tcgplayer.com/product/110423_200w.jpg,3,1694,https://cpt.tcgcsv.com/tbV,2025-11-13T14:14:02.74,1,011/012,Promo,Colorless,60,Basic,"[1] Sand Attack
<br>If the Defending Pokémon tries to attack during your opponent's next turn, your opponent flips a coin. If tails, that attack does nothing.",Fx2,1,3.47,7.15,11.53,8.87,,Holofoil,[2] Headbutt (20),
110424,Pikachu - 6/12,Pikachu 6 12,https://tcgplayer-cdn.tcgplayer.com/product/110424_200w.jpg,3,1694,https://cpt.tcgcsv.com/vbV,2022-09-22T20:34:46.033,1,006/012,Promo,Lightning,60,Basic,"[1] Tail Whip
<br>Flip a coin. If heads, the Defending Pokémon can't attack during your opponent's next turn.",Fx2,1,22.0,39.99,9999.0,32.08,,Holofoil,[1L] Electro Ball (30),M-20
110425,Meditite - 9/12,Meditite 9 12,https://tcgplayer-cdn.tcgplayer.com/product/110425_200w.jpg,3,1694,https://cpt.tcgcsv.com/wbV,2022-09-22T20:31:25.427,1,009/012,Promo,Fighting,50,Basic,[F] Smack (20),Px2,1,2.15,2.86,5.99,4.24,,Holofoil,,
110426,Rhyhorn - 8/12,Rhyhorn 8 12,https://tcgplayer-cdn.tcgplayer.com/product/110426_200w.jpg,3,1694,https://cpt.tcgcsv.com/xbV,2022-09-22T20:36:19.213,1,008/012,Promo,Fighting,80,Basic,"[FF] Take Down (40)
<br>This Pokémon does 10 damage to itself.",Gx2,3,0.94,2.47,5.84,6.41,,Holofoil,,
110427,Mudkip - 5/12,Mudkip 5 12,https://tcgplayer-cdn.tcgplayer.com/product/110427_200w.jpg,3,1694,https://cpt.tcgcsv.com/zbV,2022-09-22T20:32:52.23,1,005/012,Promo,Water,60,Basic,[W] Tackle (10),Gx2,1,4.82,9.69,24.99,18.91,,Holofoil,[1W] Mud-Slap (20),
110428,Electrike - 7/12,Electrike 7 12,https://tcgplayer-cdn.tcgplayer.com/product/110428_200w.jpg,3,1694,https://cpt.tcgcsv.com/BbV,2022-09-22T20:25:45.71,1,007/012,Promo,Lightning,60,Basic,"[1] Charge
<br>Search your deck for a Lightning Energy card and attach it to this Pokémon. Shuffle your deck afterward.",Fx2,1,2.25,4.83,5.54,4.82,,Holofoil,[1L] Bite (20),M-20
110429,Treecko - 1/12,Treecko 1 12,https://tcgplayer-cdn.tcgplayer.com/product/110429_200w.jpg,3,1694,https://cpt.tcgcsv.com/CbV,2022-09-22T20:46:05.197,1,001/012,Promo,Grass,60,Basic,"[G] Quick Attack (10+)
<br>Flip a coin. If heads, this attack does 10 more damage.",Rx2,1,2.99,3.57,9.99,4.33,,Holofoil,,
110430,Marill - 10/12,Marill 10 12,https://tcgplayer-cdn.tcgplayer.com/product/110430_200w.jpg,3,1694,https://cpt.tcgcsv.com/DbV,2022-09-22T20:28:54.587,1,010/012,Promo,Fairy,70,Basic,[1] Tackle (10),Mx2,2,3.23,4.94,8.01,8.26,,Holofoil,[1Y] Rollout (20),D-20
110431,Staryu - 4/12,Staryu 4 12,https://tcgplayer-cdn.tcgplayer.com/product/110431_200w.jpg,3,1694,https://cpt.tcgcsv.com/FbV,2022-09-22T20:41:08.547,1,004/012,Promo,Water,60,Basic,"[1] Lunge (20)
<br>Flip a coin. If tails, this attack does nothing.",Gx2,1,6.99,8.99,15.0,13.34,,Holofoil,,
110432,Skitty - 12/12,Skitty 12 12,https://tcgplayer-cdn.tcgplayer.com/product/110432_200w.jpg,3,1694,https://cpt.tcgcsv.com/GbV,2022-09-22T20:39:20.867,1,012/012,Promo,Colorless,50,Basic,"[1] Charm 
<br>During your opponent's next turn, any damage done by attacks from the Defending Pokémon is reduced by 20 <em>(before applying Weakness and Resistance)</em>.",Fx2,1,17.23,28.0,99.99,16.94,,Holofoil,[2] Tail Smack (20),
110433,Torchic - 3/12,Torchic 3 12,https://tcgplayer-cdn.tcgplayer.com/product/110433_200w.jpg,3,1694,https://cpt.tcgcsv.com/HbV,2025-11-13T14:12:29.64,1,003/012,Promo,Fire,60,Basic,"[R] Ember (20)
<br>Flip a coin. If tails, discard a Fire Energy attached to this Pokémon.",Wx2,1,4.49,11.25,14.99,11.71,,Holofoil,,
