productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extCardText,extAttack1,extWeakness,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extAttack2
281472,Tynamo - 10/15,Tynamo 10 15,https://tcgplayer-cdn.tcgplayer.com/product/281472_200w.jpg,3,3150,https://cpt.tcgcsv.com/sCg3,2022-09-23T18:01:54.687,1,010/015,Promo,Lightning,40,Basic,"<strong>Ability — Levitate</strong>
<br>If this Pokémon has any Energy attached to it, it has no Retreat Cost.",[L] Tiny Charge (10),Fx2,1,0.01,0.25,1.61,0.25,,Normal,
281473,Rowlet - 2/15,Rowlet 2 15,https://tcgplayer-cdn.tcgplayer.com/product/281473_200w.jpg,3,3150,https://cpt.tcgcsv.com/tCg3,2026-02-03T01:27:29.793,1,002/015,Promo,Grass,50,Basic,"<strong>Ability — Sky Circus</strong>                                          
<br>If you played Bird Keeper from your hand during this turn, ignore all Energy in this Pokémon's attack costs.","[3] Wind Shard
<br>This attack does 60 damage to 1 of your opponent's Benched Pokémon. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em>",Rx2,1,0.12,0.55,165.0,0.54,0.89,Holofoil,
281476,Ledyba - 1/15,Ledyba 1 15,https://tcgplayer-cdn.tcgplayer.com/product/281476_200w.jpg,3,3150,https://cpt.tcgcsv.com/xCg3,2022-09-23T17:53:30.893,1,001/015,Promo,Grass,60,Basic,,"[1] Collect
<br>Draw a card.",Rx2,1,0.01,0.22,1.56,0.22,,Normal,[2] Punch (20)
281478,Flaaffy - 9/15,Flaaffy 9 15,https://tcgplayer-cdn.tcgplayer.com/product/281478_200w.jpg,3,3150,https://cpt.tcgcsv.com/BCg3,2025-11-26T02:50:28.24,1,009/015,Promo,Lightning,100,Stage 1,,[1L] Electro Ball (50),Fx2,2,0.02,0.26,4.99,0.29,,Normal,
281482,Gossifleur - 3/15,Gossifleur 3 15,https://tcgplayer-cdn.tcgplayer.com/product/281482_200w.jpg,3,3150,https://cpt.tcgcsv.com/GCg3,2025-11-13T14:05:50.937,1,003/015,Promo,Grass,50,Basic,,"[G] Blot (10)
<br>Heal 10 damage from this Pokémon.",Rx2,1,0.01,0.46,165.0,0.46,,Holofoil,
281485,Lapras - 6/15,Lapras 6 15,https://tcgplayer-cdn.tcgplayer.com/product/281485_200w.jpg,3,3150,https://cpt.tcgcsv.com/KCg3,2022-09-23T17:52:16.883,1,006/015,Promo,Water,110,Basic,,"[1] Wintry Call
<br>Search your deck for up to 2 Melony cards, reveal them, and put them into your hand. Then, shuffle your deck.",Mx2,1,0.09,0.33,22.99,0.38,,Normal,"[1W] Icy Wind (50)
<br>Your opponent's Active Pokémon is now Asleep."
281491,Chinchou - 8/15,Chinchou 8 15,https://tcgplayer-cdn.tcgplayer.com/product/281491_200w.jpg,3,3150,https://cpt.tcgcsv.com/RCg3,2023-01-17T20:44:29.257,1,008/015,Promo,Lightning,70,Basic,,[L] Electro Ball (10),Fx2,1,0.01,0.25,1.53,0.25,,Normal,
281493,Victini - 5/15,Victini 5 15,https://tcgplayer-cdn.tcgplayer.com/product/281493_200w.jpg,3,3150,https://cpt.tcgcsv.com/TCg3,2023-04-15T18:43:07.917,1,005/015,Promo,Fire,60,Basic,,"[2] Victory Dive (30)
<br>You may search your deck for up to 2 cards and put them into your hand. Then, shuffle your deck.",Wx2,1,0.3,0.66,6.01,0.69,,Holofoil,
281494,Cutiefly - 11/15,Cutiefly 11 15,https://tcgplayer-cdn.tcgplayer.com/product/281494_200w.jpg,3,3150,https://cpt.tcgcsv.com/VCg3,2022-09-23T17:43:04.183,1,011/015,Promo,Psychic,30,Basic,,[1] Flap (10),Mx2,0,0.01,0.24,13.99,0.24,,Normal,
281497,Drampa - 14/15,Drampa 14 15,https://tcgplayer-cdn.tcgplayer.com/product/281497_200w.jpg,3,3150,https://cpt.tcgcsv.com/ZCg3,2022-09-23T17:45:17.827,1,014/015,Promo,Dragon,120,Basic,,[1] Corkscrew Punch (30),,2,0.01,0.3,2.45,0.32,,Normal,"[WF] Berserk (70+)
<br>If your Benched Pokémon have any damage counters on them, this attack does 90 more damage."
281500,Smeargle - 15/15,Smeargle 15 15,https://tcgplayer-cdn.tcgplayer.com/product/281500_200w.jpg,3,3150,https://cpt.tcgcsv.com/0Dg3,2025-11-13T14:09:38.397,1,015/015,Promo,Colorless,80,Basic,,"[2] Live Painting (30+)
<br>Reveal any number of basic Energy cards from your hand. This attack does 30 more damage for each type of basic Energy you revealed in this way.",Fx2,1,0.25,0.72,6.01,0.75,,Holofoil,
