productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extCardText,extAttack1,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extAttack2
614370,Charizard,Charizard,https://tcgplayer-cdn.tcgplayer.com/product/614370_200w.jpg,3,24163,https://cpt.tcgcsv.com/qMW6,2026-03-11T11:13:23.927,1,001/015,Promo,Fire,170,Stage 2,"<strong>Ability — Battle Sense</strong>
<br>Once during your turn, you may look at the top 3 cards of your deck and put 1 of them into your hand. Discard the other cards.","[RR] Royal Blaze (100+)
<br>This attack does 50 more damage for each Leon card in your discard pile.",Wx2,None,3,0.4,1.74,96.95,1.81,1.99,Normal,
614371,Pikachu,Pikachu,https://tcgplayer-cdn.tcgplayer.com/product/614371_200w.jpg,3,24163,https://cpt.tcgcsv.com/rMW6,2025-01-31T17:25:56.693,1,002/015,Promo,Lightning,60,Basic,,"[L] Charge
<br>Search your deck for a Basic L Energy card and attach it to this Pokemon. Then, shuffle your deck.",Fx2,None,1,1.95,3.0,150.0,3.29,,Holofoil,[1LL] Pika Punch (50)
614372,Miraidon,Miraidon,https://tcgplayer-cdn.tcgplayer.com/product/614372_200w.jpg,3,24163,https://cpt.tcgcsv.com/sMW6,2025-01-31T17:30:07.51,1,003/015,Promo,Lightning,120,Basic,,[2] Sharp Fang (30),Fx2,None,1,0.2,0.5,9.99,0.45,,Holofoil,"[1LL] Lightning Laser (90)
<br>This attack also does 30 damage to 1 of your opponent's Benched Pokemon. <em>(Don't apply Weakness and Resistance for Benched Pokemon.)</em>"
614373,Jigglypuff,Jigglypuff,https://tcgplayer-cdn.tcgplayer.com/product/614373_200w.jpg,3,24163,https://cpt.tcgcsv.com/tMW6,2025-02-03T13:54:44.127,1,004/015,Promo,Psychic,60,Basic,,[P] Pound (20),Mx2,None,1,0.01,0.24,2.25,0.25,,Normal,"[2] Let's All Rollout (20x)
<br>This attack does 20 damage for each of your Benched Pokemon that has the Let's All Rollout attack."
614374,Hatenna,Hatenna,https://tcgplayer-cdn.tcgplayer.com/product/614374_200w.jpg,3,24163,https://cpt.tcgcsv.com/vMW6,2025-01-31T16:28:39.393,1,005/015,Promo,Psychic,60,Basic,,[P] Stampede (10),Dx2,F-30,1,0.01,0.15,5.0,0.13,,Normal,[1P] Magical Shot (30)
614375,Dragapult,Dragapult,https://tcgplayer-cdn.tcgplayer.com/product/614375_200w.jpg,3,24163,https://cpt.tcgcsv.com/wMW6,2025-01-31T16:35:19.273,1,006/015,Promo,Psychic,150,Stage 2,,"[P] Dragon Launcher
<br>Discard a number of Benched Dreepy up to the number f your opponent's pokemon in play. Then, for each Dreepy you discarded in this way, choose 1 of your opponent's Pokemon and do 100 damage to it. You can't choose the same Pokemon more than once. This damage isn't affected by Weakness and Resistance.",Dx2,F-30,1,0.01,0.16,3.25,0.13,,Normal,[1P] Spooky Shot (120)
614376,Quagsire,Quagsire,https://tcgplayer-cdn.tcgplayer.com/product/614376_200w.jpg,3,24163,https://cpt.tcgcsv.com/xMW6,2026-01-24T00:55:37.197,1,007/015,Promo,Fighting,120,Stage 1,,[2] Beat (30),Gx2,None,2,0.01,0.2,2.31,0.2,0.01,Normal,"[2F] Flickle Impact (180)
<br>If you have exactly 2, 4, or 6 Prize cards remaining, this attack does nothing."
614377,Koraidon,Koraidon,https://tcgplayer-cdn.tcgplayer.com/product/614377_200w.jpg,3,24163,https://cpt.tcgcsv.com/zMW6,2025-01-31T17:27:38.013,1,008/015,Promo,Fighting,130,Basic,,[3] Claw Slash (70),Px2,None,2,0.1,0.39,5.99,0.31,,Holofoil,"[1FFF] Rampaging Fang (190)
<br>Discard 3 Energy from this Pokemon."
614378,Umbreon,Umbreon,https://tcgplayer-cdn.tcgplayer.com/product/614378_200w.jpg,3,24163,https://cpt.tcgcsv.com/BMW6,2025-01-31T16:50:45.03,1,009/015,Promo,Darkness,110,Stage 1,,"[D] Blindside
<br>The attack does 60 damage to 1 of your opponent's Pokemon that has any damage counters on it. <em>(Don't apply Weakness and Resistance for Benched Pokemon)</em>",Gx2,None,1,0.15,0.84,33.0,0.84,,Normal,"[2D] Moon Mirage (80)
<br>Your opponent's Active Pokemon is now Confused."
614379,Hydreigon,Hydreigon,https://tcgplayer-cdn.tcgplayer.com/product/614379_200w.jpg,3,24163,https://cpt.tcgcsv.com/CMW6,2025-01-31T17:12:31.46,1,010/015,Promo,Darkness,180,Stage 2,"<strong>Ability — Tri Howl</strong>
<br>Once during your turn, you may look at the top 3 cards of your deck and attach any number of Energy cards you find there to your Pokemon in any way you like. Discard the other cards.",[1DD] Dark Cutter (160),Gx2,None,3,0.2,0.52,4.99,0.5,,Holofoil,
614380,Roaring Moon,Roaring Moon,https://tcgplayer-cdn.tcgplayer.com/product/614380_200w.jpg,3,24163,https://cpt.tcgcsv.com/DMW6,2025-11-13T14:03:41.95,1,011/015,Promo,Darkness,140,Basic,,"[DD] Vengeance Fletching (70+)
<br>This attack does 10 more damage for each Ancient card in your discard pile.",Gx2,None,2,0.19,0.69,3.99,0.61,0.19,Holofoil,[3D] Speed Wing (120)
