productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extCardText,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extHP,extStage,extAttack1,extAttack2,extCardType
520781,My First Battle [Pikachu & Bulbasaur],My First Battle Pikachu and Bulbasaur,https://tcgplayer-cdn.tcgplayer.com/product/520781_200w.jpg,3,23330,https://cpt.tcgcsv.com/Fkb6,2025-10-08T18:54:49.893,2,"Your Pokémon TCG Adventure Starts Here!

If you've always wanted to play the Pokémon Trading Card Game with family and friends, the Pokémon TCG: My First Battle set is the perfect introduction. With a streamlined game and foolproof guidance, you'll be ready to train and battle together. Everything you need for two players is included!",40.01,45.48,65.0,43.45,,Normal,,,,,,
520782,My First Battle [Charmander & Squirtle],My First Battle Charmander and Squirtle,https://tcgplayer-cdn.tcgplayer.com/product/520782_200w.jpg,3,23330,https://cpt.tcgcsv.com/Gkb6,2025-10-08T18:54:21.64,2,"Your Pokémon TCG Adventure Starts Here!

If you've always wanted to play the Pokémon Trading Card Game with family and friends, the Pokémon TCG: My First Battle set is the perfect introduction. With a streamlined game and foolproof guidance, you'll be ready to train and battle together. Everything you need for two players is included!",29.99,38.98,65.0,38.72,,Normal,,,,,,
523984,Bulbasaur (Blue Border),Bulbasaur Blue Border,https://tcgplayer-cdn.tcgplayer.com/product/523984_200w.jpg,3,23330,https://cpt.tcgcsv.com/JCc6,2023-12-21T21:01:11.643,1,,15.3,18.01,28.88,15.26,,Normal,Unconfirmed,70,Basic,[G] Tackle (10),[GG] Vine Whip (30),
523985,Bulbasaur,Bulbasaur,https://tcgplayer-cdn.tcgplayer.com/product/523985_200w.jpg,3,23330,https://cpt.tcgcsv.com/KCc6,2023-12-21T21:03:58.503,1,,13.37,14.73,15.0,11.33,,Normal,Unconfirmed,70,Basic,[G] Tackle (10),[GG] Vine Whip (30),
524007,Ivysaur,Ivysaur,https://tcgplayer-cdn.tcgplayer.com/product/524007_200w.jpg,3,23330,https://cpt.tcgcsv.com/9Dc6,2023-12-21T21:19:10.783,1,,0.5,0.84,4.99,0.7,,Normal,Unconfirmed,100,Stage 1,[G] Vine Whip (30),[GGG] Razor Leaf (60),
524008,Oddish,Oddish,https://tcgplayer-cdn.tcgplayer.com/product/524008_200w.jpg,3,23330,https://cpt.tcgcsv.com/bDc6,2023-12-21T21:21:16.183,1,,0.19,0.29,1.99,0.25,,Normal,Unconfirmed,50,Basic,"[G] Absorb (10)
<br>Heal 10 damage from this Pokemon.",,
524010,Gloom,Gloom,https://tcgplayer-cdn.tcgplayer.com/product/524010_200w.jpg,3,23330,https://cpt.tcgcsv.com/dDc6,2023-12-21T21:19:09.067,1,,0.4,0.69,4.99,0.69,,Normal,Unconfirmed,90,Stage 1,"[GG] Mega Drain (60)
<br>Heal 20 damage from this Pokemon.",,
524013,Exeggcute,Exeggcute,https://tcgplayer-cdn.tcgplayer.com/product/524013_200w.jpg,3,23330,https://cpt.tcgcsv.com/hDc6,2023-12-21T21:19:07.67,1,,0.17,0.25,1.0,0.25,,Normal,Unconfirmed,60,Basic,[GG] Rollout (40),,
524015,Exeggutor,Exeggutor,https://tcgplayer-cdn.tcgplayer.com/product/524015_200w.jpg,3,23330,https://cpt.tcgcsv.com/kDc6,2023-12-21T21:19:07.67,1,,0.15,0.25,1.99,0.23,,Normal,Unconfirmed,90,Stage 1,[GG] Seed Bomb (40),[GGG] Barrage Impact (80),
524016,Scyther,Scyther,https://tcgplayer-cdn.tcgplayer.com/product/524016_200w.jpg,3,23330,https://cpt.tcgcsv.com/lDc6,2023-12-21T21:21:20.887,1,,0.6,0.91,4.99,0.84,,Normal,Unconfirmed,80,Basic,"[G] X-Scissor (20+)
<br>Flip a coin. If heads, this attack does 40 more damage.",,
524026,Potion (Bulbasaur),Potion Bulbasaur,https://tcgplayer-cdn.tcgplayer.com/product/524026_200w.jpg,3,23330,https://cpt.tcgcsv.com/xDc6,2023-10-23T18:53:36.963,0,Heal 30 damage from 1 of your Pokémon.,0.12,0.25,0.99,0.16,,Normal,Unconfirmed,,,,,Item
524027,Potion (Charmander),Potion Charmander,https://tcgplayer-cdn.tcgplayer.com/product/524027_200w.jpg,3,23330,https://cpt.tcgcsv.com/zDc6,2023-10-23T18:53:48.55,0,Heal 30 damage from 1 of your Pokémon.,0.12,0.31,1.0,0.24,,Normal,Unconfirmed,,,,,Item
524028,Potion (Pikachu),Potion Pikachu,https://tcgplayer-cdn.tcgplayer.com/product/524028_200w.jpg,3,23330,https://cpt.tcgcsv.com/BDc6,2023-10-23T18:53:56.173,0,Heal 30 damage from 1 of your Pokémon.,0.16,0.28,0.99,0.27,,Normal,Unconfirmed,,,,,Item
524029,Potion (Squirtle),Potion Squirtle,https://tcgplayer-cdn.tcgplayer.com/product/524029_200w.jpg,3,23330,https://cpt.tcgcsv.com/CDc6,2023-10-23T18:54:04.337,0,Heal 30 damage from 1 of your Pokémon.,0.08,0.25,1.0,0.21,,Normal,Unconfirmed,,,,,Item
524034,Switch (Squirtle),Switch Squirtle,https://tcgplayer-cdn.tcgplayer.com/product/524034_200w.jpg,3,23330,https://cpt.tcgcsv.com/JDc6,2023-10-23T18:59:27.6,0,Switch your Active Pokémon with 1 of your Benched Pokémon.,0.09,0.25,1.0,0.15,,Normal,Unconfirmed,,,,,Item
524035,Switch (Pikachu),Switch Pikachu,https://tcgplayer-cdn.tcgplayer.com/product/524035_200w.jpg,3,23330,https://cpt.tcgcsv.com/KDc6,2023-10-23T18:59:36.923,0,Switch your Active Pokémon with 1 of your Benched Pokémon.,0.12,0.22,0.99,0.2,,Normal,Unconfirmed,,,,,Item
524036,Switch (Charmander),Switch Charmander,https://tcgplayer-cdn.tcgplayer.com/product/524036_200w.jpg,3,23330,https://cpt.tcgcsv.com/LDc6,2023-10-23T18:59:44.73,0,Switch your Active Pokémon with 1 of your Benched Pokémon.,0.15,0.25,1.0,0.21,,Normal,Unconfirmed,,,,,Item
