productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extCardText,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extHP,extStage,extAttack1,extAttack2,extWeakness,extResistance,extRetreatCost,extUPC
83990,Broken Ground Gym,Broken Ground Gym,https://tcgplayer-cdn.tcgplayer.com/product/83990_200w.jpg,3,1444,https://cpt.tcgcsv.com/QCH,2022-11-28T19:06:45.78,1,092/105,Rare,Stadium,"This card stays in play when you play it. Discard this card if another Stadium card comes into play.
<br>
Each player pays 1 Colorless more to retreat a Baby Pokémon or Basic Pokémon.",35.0,69.99,109.99,18.33,,1st Edition,,,,,,,,
84170,Chansey,Chansey,https://tcgplayer-cdn.tcgplayer.com/product/84170_200w.jpg,3,1444,https://cpt.tcgcsv.com/qHH,2022-11-28T19:08:20.843,1,031/105,Uncommon,Colorless,,44.99,49.0,49.99,37.18,,1st Edition,90,Basic,"[2] Double Slap (20x)
<br>Flip 2 coins. This attack does 20 damage times the number of heads.","[3] Egg Toss (80)
<br>Flip 2 coins. If either is tails, this attack does nothing.",F,P-30,2,
84170,Chansey,Chansey,https://tcgplayer-cdn.tcgplayer.com/product/84170_200w.jpg,3,1444,https://cpt.tcgcsv.com/qHH,2022-11-28T19:08:20.843,1,031/105,Uncommon,Colorless,,12.0,14.77,39.0,10.82,,Unlimited,90,Basic,"[2] Double Slap (20x)
<br>Flip 2 coins. This attack does 20 damage times the number of heads.","[3] Egg Toss (80)
<br>Flip 2 coins. If either is tails, this attack does nothing.",F,P-30,2,
84448,Counterattack Claws,Counterattack Claws,https://tcgplayer-cdn.tcgplayer.com/product/84448_200w.jpg,3,1444,https://cpt.tcgcsv.com/-NH,2022-11-28T19:09:30.103,1,097/105,Uncommon,Tool,"Attach Counterrattack Claws to 1 of your Pokémon that doesn't have a Pokémon Tool attached to it.
<br>
During your opponent's turn, if the Pokémon Counterattack Claws is attached to is your Active Pokémon and an opponent's attack damages it (even if it is Knocked Out), flip a coin. If heads, put 2 damage counters on the Defending Pokémon. Then, discard Counterattack Claws.",1.74,2.16,4.49,2.04,,1st Edition,,,,,,,,
84448,Counterattack Claws,Counterattack Claws,https://tcgplayer-cdn.tcgplayer.com/product/84448_200w.jpg,3,1444,https://cpt.tcgcsv.com/-NH,2022-11-28T19:09:30.103,1,097/105,Uncommon,Tool,"Attach Counterrattack Claws to 1 of your Pokémon that doesn't have a Pokémon Tool attached to it.
<br>
During your opponent's turn, if the Pokémon Counterattack Claws is attached to is your Active Pokémon and an opponent's attack damages it (even if it is Knocked Out), flip a coin. If heads, put 2 damage counters on the Defending Pokémon. Then, discard Counterattack Claws.",0.35,0.71,2.76,0.74,,Unlimited,,,,,,,,
84546,Cyndaquil,Cyndaquil,https://tcgplayer-cdn.tcgplayer.com/product/84546_200w.jpg,3,1444,https://cpt.tcgcsv.com/XQH,2022-11-28T19:10:23.46,1,061/105,Common,Fire,,6.29,8.13,19.0,8.65,,1st Edition,40,Basic,"[R] Smokescreen (10)
<br>If the Defending Pokémon tries to attack during your opponent's next turn, your opponent flips a coin. If tails, that attack does nothing.",,W,,1,
84546,Cyndaquil,Cyndaquil,https://tcgplayer-cdn.tcgplayer.com/product/84546_200w.jpg,3,1444,https://cpt.tcgcsv.com/XQH,2022-11-28T19:10:23.46,1,061/105,Common,Fire,,0.59,1.47,21.09,1.74,2.06,Unlimited,40,Basic,"[R] Smokescreen (10)
<br>If the Defending Pokémon tries to attack during your opponent's next turn, your opponent flips a coin. If tails, that attack does nothing.",,W,,1,
84561,Dark Ampharos,Dark Ampharos,https://tcgplayer-cdn.tcgplayer.com/product/84561_200w.jpg,3,1444,https://cpt.tcgcsv.com/fRH,2026-02-06T15:43:46.907,1,001/105,Holo Rare,Lightning,"<strong>Pokémon Power: Conductivity</strong> Whenever your opponent attaches an Energy card from his or her hand to a Pokémon, this power does 10 damage to that Pokémon. <em>(Don't apply Weakness and Resistance.)</em> This power stops working if you have more than 1 Dark Ampharos in play or while Dark Ampharos is Asleep, Confused, or Paralyzed.",149.94,149.95,269.99,202.5,269.99,1st Edition Holofoil,70,Stage 2,"[2L] Shock Bolt (50)
<br>Discard all Lightning Energy cards attached to this Pokémon in order to use this attack.",,F,,2,
84561,Dark Ampharos,Dark Ampharos,https://tcgplayer-cdn.tcgplayer.com/product/84561_200w.jpg,3,1444,https://cpt.tcgcsv.com/fRH,2026-02-06T15:43:46.907,1,001/105,Holo Rare,Lightning,"<strong>Pokémon Power: Conductivity</strong> Whenever your opponent attaches an Energy card from his or her hand to a Pokémon, this power does 10 damage to that Pokémon. <em>(Don't apply Weakness and Resistance.)</em> This power stops working if you have more than 1 Dark Ampharos in play or while Dark Ampharos is Asleep, Confused, or Paralyzed.",69.99,77.99,186.39,85.37,,Unlimited Holofoil,70,Stage 2,"[2L] Shock Bolt (50)
<br>Discard all Lightning Energy cards attached to this Pokémon in order to use this attack.",,F,,2,
84566,Dark Ariados,Dark Ariados,https://tcgplayer-cdn.tcgplayer.com/product/84566_200w.jpg,3,1444,https://cpt.tcgcsv.com/lRH,2022-11-28T19:14:34.087,1,017/105,Rare,Grass,,8.0,17.37,20.44,12.43,,1st Edition,60,Stage 1,"[G] Entangle
<br>If your opponent has any Benched Pokémon, choose 1 of them and switch it with the Defending Pokémon, then flip a coin. If heads, the new Defending Pokémon is now Paralyzed.","[GGG] Poison Bind (30)
<br>The Defending Pokémon is now Poisoned. Flip a coin. If heads, the Defending Pokémon can't retreat until the end of your opponent's next turn and if the effect of an attack, Pokémon Power, or Trainer card would change that player's Active Pokémon, that part of the effect does nothing.",R,,2,
