productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extCardText,extAttack1,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extAttack2
83532,Amoonguss,Amoonguss,https://tcgplayer-cdn.tcgplayer.com/product/83532_200w.jpg,3,1412,https://cpt.tcgcsv.com/GqH,2023-01-09T18:48:01.813,1,9/99,Rare,Grass,90,Stage 1,"Sporprise - When you play this Pokemon from your hand to evolve 1 of your Pokemon, you may use this Ability.  If you do, your opponent's Active Pokemon is now Confused and Poisoned.  (Ability)","[1G] Rising Lunge (20+) Flip a coin.  If heads, this attack does 30 more damage.",Rx2,W-20,2,0.19,0.46,2.19,0.48,,Normal,
83532,Amoonguss,Amoonguss,https://tcgplayer-cdn.tcgplayer.com/product/83532_200w.jpg,3,1412,https://cpt.tcgcsv.com/GqH,2023-01-09T18:48:01.813,1,9/99,Rare,Grass,90,Stage 1,"Sporprise - When you play this Pokemon from your hand to evolve 1 of your Pokemon, you may use this Ability.  If you do, your opponent's Active Pokemon is now Confused and Poisoned.  (Ability)","[1G] Rising Lunge (20+) Flip a coin.  If heads, this attack does 30 more damage.",Rx2,W-20,2,0.2,0.58,1.74,0.5,,Reverse Holofoil,
83588,Arcanine (12),Arcanine 12,https://tcgplayer-cdn.tcgplayer.com/product/83588_200w.jpg,3,1412,https://cpt.tcgcsv.com/NrH,2023-04-25T09:33:45.347,1,12/99,Rare,Fire,130,Stage 1,"Blazing Mane - If this Pokemon is your Active Pokemon and is damaged by an opponent's attack (even if this Pokemon is Knocked Out), the Attacking Pokemon is now Burned.  (Ability)","[1RR] Fire Spin (100) Flip a coin.  If tails, discard 2 Energy attached to this Pokemon.",Wx2,,3,1.09,1.28,4.91,2.77,,Normal,
83588,Arcanine (12),Arcanine 12,https://tcgplayer-cdn.tcgplayer.com/product/83588_200w.jpg,3,1412,https://cpt.tcgcsv.com/NrH,2023-04-25T09:33:45.347,1,12/99,Rare,Fire,130,Stage 1,"Blazing Mane - If this Pokemon is your Active Pokemon and is damaged by an opponent's attack (even if this Pokemon is Knocked Out), the Attacking Pokemon is now Burned.  (Ability)","[1RR] Fire Spin (100) Flip a coin.  If tails, discard 2 Energy attached to this Pokemon.",Wx2,,3,4.99,8.15,19.99,7.61,,Reverse Holofoil,
83589,Arcanine (13),Arcanine 13,https://tcgplayer-cdn.tcgplayer.com/product/83589_200w.jpg,3,1412,https://cpt.tcgcsv.com/PrH,2026-03-09T12:49:20.943,1,13/99,Uncommon,Fire,120,Stage 1,,"[1R] Crunch (30) Flip a coin.  If heads, discard an Energy attached to the Defending Pokemon.",Wx2,,3,0.3,0.56,1.25,1.05,,Normal,[2R] Heat Blast (70)
83589,Arcanine (13),Arcanine 13,https://tcgplayer-cdn.tcgplayer.com/product/83589_200w.jpg,3,1412,https://cpt.tcgcsv.com/PrH,2026-03-09T12:49:20.943,1,13/99,Uncommon,Fire,120,Stage 1,,"[1R] Crunch (30) Flip a coin.  If heads, discard an Energy attached to the Defending Pokemon.",Wx2,,3,2.38,7.0,54.0,6.91,52.99,Reverse Holofoil,[2R] Heat Blast (70)
83652,Articuno,Articuno,https://tcgplayer-cdn.tcgplayer.com/product/83652_200w.jpg,3,1412,https://cpt.tcgcsv.com/3tH,2023-03-27T17:05:14.58,1,27/99,Holo Rare,Water,120,Basic,,"[2W] Ice Beam (50) Flip a coin.  If heads, the Defending Pokemon is now Paralyzed.",Mx2,F-20,2,2.44,4.37,62.25,5.29,,Holofoil,[3W] Ice Wing (80)
83652,Articuno,Articuno,https://tcgplayer-cdn.tcgplayer.com/product/83652_200w.jpg,3,1412,https://cpt.tcgcsv.com/3tH,2023-03-27T17:05:14.58,1,27/99,Holo Rare,Water,120,Basic,,"[2W] Ice Beam (50) Flip a coin.  If heads, the Defending Pokemon is now Paralyzed.",Mx2,F-20,2,3.71,7.72,12.99,8.16,,Reverse Holofoil,[3W] Ice Wing (80)
83733,Basculin,Basculin,https://tcgplayer-cdn.tcgplayer.com/product/83733_200w.jpg,3,1412,https://cpt.tcgcsv.com/HvH,2025-11-24T14:17:28.77,1,30/99,Uncommon,Water,80,Basic,,[1] Bite (10),Lx2,,1,0.06,0.25,19.5,0.23,0.15,Normal,"[W] Barbed Fangs (40) If, before this Pokemon does damage, the Defending Pokemon has no damage counters on it, this attack does nothing."
83733,Basculin,Basculin,https://tcgplayer-cdn.tcgplayer.com/product/83733_200w.jpg,3,1412,https://cpt.tcgcsv.com/HvH,2025-11-24T14:17:28.77,1,30/99,Uncommon,Water,80,Basic,,[1] Bite (10),Lx2,,1,0.22,0.62,1.49,0.67,,Reverse Holofoil,"[W] Barbed Fangs (40) If, before this Pokemon does damage, the Defending Pokemon has no damage counters on it, this attack does nothing."
83753,Beartic,Beartic,https://tcgplayer-cdn.tcgplayer.com/product/83753_200w.jpg,3,1412,https://cpt.tcgcsv.com/5wH,2026-03-10T16:42:40.637,1,37/99,Rare,Water,120,Stage 1,,"[2] Daunt (40) During your opponent's next turn, any damage done by attacks from the Defending Pokemon is reduced by 20 (before applying Weakness and Resistance).",Mx2,,3,0.35,0.65,34.99,0.79,0.42,Normal,"[2W] Ambush (60+) Flip a coin.  If heads, this attack does 30 more damage."
83753,Beartic,Beartic,https://tcgplayer-cdn.tcgplayer.com/product/83753_200w.jpg,3,1412,https://cpt.tcgcsv.com/5wH,2026-03-10T16:42:40.637,1,37/99,Rare,Water,120,Stage 1,,"[2] Daunt (40) During your opponent's next turn, any damage done by attacks from the Defending Pokemon is reduced by 20 (before applying Weakness and Resistance).",Mx2,,3,1.12,2.29,2.55,2.19,2.29,Reverse Holofoil,"[2W] Ambush (60+) Flip a coin.  If heads, this attack does 30 more damage."
83779,Beheeyem,Beheeyem,https://tcgplayer-cdn.tcgplayer.com/product/83779_200w.jpg,3,1412,https://cpt.tcgcsv.com/CwH,2025-11-11T01:00:20.537,1,62/99,Rare,Psychic,80,Stage 1,,[P] Brain Control - Your opponent reveals his or her hand.  Choose a card from there and put it on the bottom of your opponent's deck.,Px2,,1,0.25,0.5,2.21,0.49,0.66,Normal,[2P] Psybeam (40) The Defending Pokemon is now Confused.
83779,Beheeyem,Beheeyem,https://tcgplayer-cdn.tcgplayer.com/product/83779_200w.jpg,3,1412,https://cpt.tcgcsv.com/CwH,2025-11-11T01:00:20.537,1,62/99,Rare,Psychic,80,Stage 1,,[P] Brain Control - Your opponent reveals his or her hand.  Choose a card from there and put it on the bottom of your opponent's deck.,Px2,,1,0.21,0.59,2.79,0.5,0.47,Reverse Holofoil,[2P] Psybeam (40) The Defending Pokemon is now Confused.
83931,Blitzle,Blitzle,https://tcgplayer-cdn.tcgplayer.com/product/83931_200w.jpg,3,1412,https://cpt.tcgcsv.com/FBH,2025-11-11T01:01:23.407,1,47/99,Common,Lightning,60,Basic,,"[1L] Thunder Jolt (30) Flip a coin.  If tails, this Pokemon does 10 damage to itself.",Fx2,,1,0.05,0.23,5.0,0.23,0.15,Normal,
83931,Blitzle,Blitzle,https://tcgplayer-cdn.tcgplayer.com/product/83931_200w.jpg,3,1412,https://cpt.tcgcsv.com/FBH,2025-11-11T01:01:23.407,1,47/99,Common,Lightning,60,Basic,,"[1L] Thunder Jolt (30) Flip a coin.  If tails, this Pokemon does 10 damage to itself.",Fx2,,1,0.25,0.58,1.61,0.6,,Reverse Holofoil,
83998,Bronzong,Bronzong,https://tcgplayer-cdn.tcgplayer.com/product/83998_200w.jpg,3,1412,https://cpt.tcgcsv.com/-CH,2023-01-09T19:00:56.74,1,76/99,Rare,Metal,110,Stage 1,Heal Block - Damage can't be healed from any Pokemon (both yours and your opponent's).  (Damage counters can still be moved.)  (Ability),[2M] Oracle Inflict (30+) Does 10 more damage for each card in your opponent's hand.,Rx2,P-20,4,0.17,0.39,2.04,0.35,,Normal,
