productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extWeakness,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extResistance,extCardText
83459,Accelgor,Accelgor,https://tcgplayer-cdn.tcgplayer.com/product/83459_200w.jpg,3,1385,https://cpt.tcgcsv.com/cpH,2025-11-11T01:27:33.173,1,12/101,Rare,Grass,90,Stage 1,"[1] Acid Spray (20) Flip a coin.  If heads, discard an Energy attached to the Defending Pokemon.",[G] Slashing Strike (60) This Pokemon can't use Slashing Strike during your next turn.,Rx2,0,0.29,0.63,2.24,0.82,0.44,Normal,,
83459,Accelgor,Accelgor,https://tcgplayer-cdn.tcgplayer.com/product/83459_200w.jpg,3,1385,https://cpt.tcgcsv.com/cpH,2025-11-11T01:27:33.173,1,12/101,Rare,Grass,90,Stage 1,"[1] Acid Spray (20) Flip a coin.  If heads, discard an Energy attached to the Defending Pokemon.",[G] Slashing Strike (60) This Pokemon can't use Slashing Strike during your next turn.,Rx2,0,0.59,0.85,2.64,0.59,,Reverse Holofoil,,
83531,Amoonguss,Amoonguss,https://tcgplayer-cdn.tcgplayer.com/product/83531_200w.jpg,3,1385,https://cpt.tcgcsv.com/FqH,2025-11-29T01:42:07.227,1,10/101,Uncommon,Grass,90,Stage 1,[G] Toxic - The Defending Pokemon is now poisoned.  Put 2 damage counters instead of 1 on that Pokemon between turns.,"[2] Body Slam (30) Flip a coin.  If heads, the Defending Pokemon is now Paralyzed.",Rx2,2,0.2,0.54,5.0,0.76,0.69,Normal,W-20,
83531,Amoonguss,Amoonguss,https://tcgplayer-cdn.tcgplayer.com/product/83531_200w.jpg,3,1385,https://cpt.tcgcsv.com/FqH,2025-11-29T01:42:07.227,1,10/101,Uncommon,Grass,90,Stage 1,[G] Toxic - The Defending Pokemon is now poisoned.  Put 2 damage counters instead of 1 on that Pokemon between turns.,"[2] Body Slam (30) Flip a coin.  If heads, the Defending Pokemon is now Paralyzed.",Rx2,2,1.18,1.4,1.59,1.59,,Reverse Holofoil,W-20,
83607,Archen,Archen,https://tcgplayer-cdn.tcgplayer.com/product/83607_200w.jpg,3,1385,https://cpt.tcgcsv.com/9sH,2025-10-14T05:03:45.503,1,66/101,Uncommon,Fighting,80,Restored,[F] Rock Throw (20),[2] Acrobatics (20+) Flip 2 coins.  This attack does 20 more damage for each heads.,Gx2,1,0.4,0.67,1.37,0.84,,Normal,,
83607,Archen,Archen,https://tcgplayer-cdn.tcgplayer.com/product/83607_200w.jpg,3,1385,https://cpt.tcgcsv.com/9sH,2025-10-14T05:03:45.503,1,66/101,Uncommon,Fighting,80,Restored,[F] Rock Throw (20),[2] Acrobatics (20+) Flip 2 coins.  This attack does 20 more damage for each heads.,Gx2,1,3.42,5.69,7.8,5.69,,Reverse Holofoil,,
83609,Archeops,Archeops,https://tcgplayer-cdn.tcgplayer.com/product/83609_200w.jpg,3,1385,https://cpt.tcgcsv.com/csH,2023-01-09T20:20:31.467,1,67/101,Rare,Fighting,130,Stage 1,[1FF] Rock Slide (60) Does 10 damage to 2 of your opponent's Benched Pokemon.  (Don't apply Weakness and Resistance for Benched Pokemon.),,Gx2,2,7.83,10.19,13.12,12.49,,Normal,,Ancient Power - Each player can't play any Pokemon from his or her hand to evolve his or her Pokemon.  (Ability)
83609,Archeops,Archeops,https://tcgplayer-cdn.tcgplayer.com/product/83609_200w.jpg,3,1385,https://cpt.tcgcsv.com/csH,2023-01-09T20:20:31.467,1,67/101,Rare,Fighting,130,Stage 1,[1FF] Rock Slide (60) Does 10 damage to 2 of your opponent's Benched Pokemon.  (Don't apply Weakness and Resistance for Benched Pokemon.),,Gx2,2,10.06,11.99,13.98,10.89,,Reverse Holofoil,,Ancient Power - Each player can't play any Pokemon from his or her hand to evolve his or her Pokemon.  (Ability)
83662,Audino,Audino,https://tcgplayer-cdn.tcgplayer.com/product/83662_200w.jpg,3,1385,https://cpt.tcgcsv.com/gtH,2023-01-09T20:30:49.56,1,85/101,Uncommon,Colorless,90,Basic,[2] Do the Wave (10x) Does 10 damage times the number of your Benched Pokemon.,,Fx2,2,0.25,0.44,1.49,0.55,0.5,Normal,,
83662,Audino,Audino,https://tcgplayer-cdn.tcgplayer.com/product/83662_200w.jpg,3,1385,https://cpt.tcgcsv.com/gtH,2023-01-09T20:30:49.56,1,85/101,Uncommon,Colorless,90,Basic,[2] Do the Wave (10x) Does 10 damage times the number of your Benched Pokemon.,,Fx2,2,1.75,2.5,2.95,1.77,,Reverse Holofoil,,
