productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extWeakness,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardText,extResistance,extAttack3
83891,Blastoise,Blastoise,https://tcgplayer-cdn.tcgplayer.com/product/83891_200w.jpg,3,1442,https://cpt.tcgcsv.com/RzH,2022-09-23T19:00:24.973,1,001/017,Rare,Water,120,Stage 2,"[2] Smash Turn (30)
<br>After your attack, you may switch Blastoise with 1 of your Benched Pokémon.","[2WW] Rocket Tackle (60)
<br>Blastoise does 10 damage to itself. Flip a coin. If heads, prevent all damage done to Blastoise by attacks during your opponent's next turn.",L,2,277.94,277.94,277.94,149.99,,Normal,,,
83891,Blastoise,Blastoise,https://tcgplayer-cdn.tcgplayer.com/product/83891_200w.jpg,3,1442,https://cpt.tcgcsv.com/RzH,2022-09-23T19:00:24.973,1,001/017,Rare,Water,120,Stage 2,"[2] Smash Turn (30)
<br>After your attack, you may switch Blastoise with 1 of your Benched Pokémon.","[2WW] Rocket Tackle (60)
<br>Blastoise does 10 damage to itself. Flip a coin. If heads, prevent all damage done to Blastoise by attacks during your opponent's next turn.",L,2,79.69,100.0,124.99,131.3,,Holofoil,,,
84405,Combusken,Combusken,https://tcgplayer-cdn.tcgplayer.com/product/84405_200w.jpg,3,1442,https://cpt.tcgcsv.com/7NH,2022-09-23T19:01:19.937,1,007/017,Uncommon,Fire,70,Stage 1,[1] Scratch (10),"[2R] Flamethrower (50)
<br>Discard a Fire Energy attached to Combusken.",W,1,20.0,22.85,25.7,10.37,,Normal,,,
84842,Ditto,Ditto,https://tcgplayer-cdn.tcgplayer.com/product/84842_200w.jpg,3,1442,https://cpt.tcgcsv.com/SXH,2022-09-23T19:03:07.613,1,012/017,Common,Psychic,60,Basic,"[1P] Psybeam (20)
<br>Flip a coin. If heads, the Defending Pokémon is now Confused.",,P,1,34.99,50.59,9999.0,34.71,,Normal,"<strong>Poké-POWER — Duplicate</strong>
<br>
Once during your turn <em>(before your attack)</em>, you may search your deck for another Ditto and switch it with Ditto. (Any cards attached to Ditto, damage counters, Special Conditions, and effects on it are now on the new Pokémon.) If you do, put Ditto on top of your deck. Shuffle your deck afterward. You can't use more than 1 Duplicate Poké-Power each turn.",,
84874,Donphan,Donphan,https://tcgplayer-cdn.tcgplayer.com/product/84874_200w.jpg,3,1442,https://cpt.tcgcsv.com/vZH,2022-09-23T19:05:09.963,1,008/017,Uncommon,Fighting,80,Stage 1,"[1] Sniff Out
<br>Put any 1 card from your discard pile into your hand.","[2F] Fury Attack (30x)
<br>Flip 3 coins. This attack does 30 damage times the number of heads.",G,1,17.84,21.2,25.0,17.29,,Normal,,,
85083,Eevee,Eevee,https://tcgplayer-cdn.tcgplayer.com/product/85083_200w.jpg,3,1442,https://cpt.tcgcsv.com/H2J,2022-09-23T19:05:41.69,1,013/017,Common,Colorless,50,Basic,[1] Tackle (10),"[2] Take Down (30)
<br>Eevee does 10 damage to itself.",F,1,11.0,32.0,50.0,33.31,,Normal,,,
85495,Flareon,Flareon,https://tcgplayer-cdn.tcgplayer.com/product/85495_200w.jpg,3,1442,https://cpt.tcgcsv.com/WcJ,2022-09-23T19:06:36.83,1,002/017,Rare,Fire,70,Stage 1,"[2] Quick Attack (10+)
<br>Flip a coin. If heads, this attack does 10 damage plus 20 more damage.","[1FF] Fire Spin (70)
<br>Discard 2 basic Energy cards attached to Flareon or this attack does nothing.",W,1,14.14,19.3,9999.0,19.68,,Holofoil,,,
85549,Forretress,Forretress,https://tcgplayer-cdn.tcgplayer.com/product/85549_200w.jpg,3,1442,https://cpt.tcgcsv.com/_dJ,2022-09-23T19:07:29.963,1,009/017,Uncommon,Grass,70,Stage 1,[2] Tackle (20),"[1GG] Toxic (20)
<br>The Defending Pokémon is now Poisoned. Put 2 damage counters instead of 1 on the Defending Pokemon between turns.",R,2,7.8,14.16,34.68,9.21,,Normal,,,
86077,High Pressure System,High Pressure System,https://tcgplayer-cdn.tcgplayer.com/product/86077_200w.jpg,3,1442,https://cpt.tcgcsv.com/zrJ,2022-09-23T19:08:10.217,1,010/017,Uncommon,Stadium,,,,,,,2.0,2.0,2.0,3.3,,Normal,"This card stays in play when you play it. Discard this card if another Stadium card comes into play.
<br>
<br>Each player pays 1 less to retreat his of her Fire and Water Pokémon.",,
86129,Ho-Oh ex (Non-Holo),Ho Oh ex Non Holo,https://tcgplayer-cdn.tcgplayer.com/product/86129_200w.jpg,3,1442,https://cpt.tcgcsv.com/CsJ,2025-11-17T14:05:43.473,1,017/017,Ultra Rare,Fire,110,Basic,"[3] Rainbow Burn (10+)
<br>Does 10 damage plus 20 more damage for each type of basic Energy card attached to Ho-oh ex.",,W,2,90.0,95.0,100.0,61.48,,Normal,"<strong>Poké-POWER — Golden Wing</strong>
<br>
If Ho-Oh ex would be Knocked Out by damage from an opponent's attack, you may move up to 2 Energy attached to Ho-Oh ex to your Pokémon in any way you like.
<br><br><em>Pokémon-EX rule — When a Pokémon-EX has been Knocked Out, your opponent takes 2 Prize cards.</em>",,
