productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extWeakness,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extResistance,extCardText
84020,Buizel,Buizel,https://tcgplayer-cdn.tcgplayer.com/product/84020_200w.jpg,3,1446,https://cpt.tcgcsv.com/qDH,2022-09-25T17:12:44.253,1,006/017,Uncommon,Water,60,Basic,"[W] Whirlpool
<br>Flip a coin. If heads, discard an Energy attached to the Defending Pokémon.","[WW] Super Fast (30)
<br>If you have Pachirisu in play, flip a coin. If heads, prevent all effects of an attack, including damage, done to Buizel during your opponent's next turn.",L+10,1,3.19,7.12,11.31,7.54,,Normal,,
84042,Buneary,Buneary,https://tcgplayer-cdn.tcgplayer.com/product/84042_200w.jpg,3,1446,https://cpt.tcgcsv.com/SDH,2022-09-25T17:19:18.96,1,012/017,Common,Colorless,50,Basic,"[1] Dizzy Punch (10x)
<br>Flip 2 coins. This attack does 10 damage times the number of heads.","[2] Defense Curl
<br>Flip a coin. If heads, prevent all damage done to Buneary by attacks during your opponent's next turn.",F+10,1,0.2,0.5,1.99,0.6,,Normal,,
84289,Chimchar,Chimchar,https://tcgplayer-cdn.tcgplayer.com/product/84289_200w.jpg,3,1446,https://cpt.tcgcsv.com/PKH,2022-09-25T17:21:31.233,1,013/017,Common,Fire,40,Basic,"[R] Serial Swipes (10x)
<br>Flip 4 coins. This attack does 10 times the number of heads.","[2R] Sleepy (40+)
<br>If you have Piplup in play, this attack does 40 damage plus 20 more damage and the Defending Pokémon is now Asleep.",W+10,1,0.45,0.74,10.47,0.73,,Normal,,
84476,Croagunk,Croagunk,https://tcgplayer-cdn.tcgplayer.com/product/84476_200w.jpg,3,1446,https://cpt.tcgcsv.com/xPH,2022-09-25T17:13:51.893,1,007/017,Uncommon,Psychic,60,Basic,"[1] Knock Off
<br>Flip a coin. If heads, choose 1 card from your opponent's hand without looking and discard it.","[PP] Nimble (30)
<br>If you have Turtwig in play, remove from Croagunk the number of damage counters equal to the damage you did to the Defending Pokémon.",P+10,2,3.0,3.89,5.0,3.48,,Normal,,
85598,Gabite,Gabite,https://tcgplayer-cdn.tcgplayer.com/product/85598_200w.jpg,3,1446,https://cpt.tcgcsv.com/-fJ,2022-09-25T17:14:50.393,1,008/017,Uncommon,Colorless,80,Stage 1,"[1] Burrow
<br>Flip a coin. If heads, prevent all damage done to Gabite by attacks during your opponent's next turn.","[3] Distorted Wave (60)
<br>Before doing damage, remove 2 damage counters from the Defending Pokémon.",C+20,1,1.91,2.2,4.75,2.8,,Normal,,
85622,Garchomp,Garchomp,https://tcgplayer-cdn.tcgplayer.com/product/85622_200w.jpg,3,1446,https://cpt.tcgcsv.com/sgJ,2022-09-25T17:05:41.337,1,001/017,Rare,Colorless,130,Stage 2,"[1] Dragon Rage (80)
<br>Flip 2 coins. If either of them is tails, this attack does nothing.","[3] Jet Sword (100)
<br>Discard 2 Energy attached to Garchomp and this attack does 10 damage to each of your opponent's Benched Pokémon. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em>",C+30,,52.96,63.99,75.0,47.82,,Normal,,
85700,Gible,Gible,https://tcgplayer-cdn.tcgplayer.com/product/85700_200w.jpg,3,1446,https://cpt.tcgcsv.com/0jJ,2022-09-25T17:22:20.6,1,014/017,Common,Colorless,50,Basic,"[1] Push Down (10)
<br>Your opponent switches the Defending Pokémon with 1 of his or her Benched Pokémon.",,C+10,1,0.3,0.59,2.09,0.68,,Normal,,
86825,Lopunny,Lopunny,https://tcgplayer-cdn.tcgplayer.com/product/86825_200w.jpg,3,1446,https://cpt.tcgcsv.com/wLJ,2025-11-12T14:38:03.08,1,009/017,Uncommon,Colorless,80,Stage 1,"[2] Jump Kick (20)
<br>Does 20 damage to 1 of your opponent's Benched Pokémon. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em>","[3] Jazzed (50)
<br>If Lopunny evolved from Buneary during this turn, remove all damage counters from Lopunny.",F+20,1,0.35,0.98,2.0,0.92,,Normal,,
86825,Lopunny,Lopunny,https://tcgplayer-cdn.tcgplayer.com/product/86825_200w.jpg,3,1446,https://cpt.tcgcsv.com/wLJ,2025-11-12T14:38:03.08,1,009/017,Uncommon,Colorless,80,Stage 1,"[2] Jump Kick (20)
<br>Does 20 damage to 1 of your opponent's Benched Pokémon. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em>","[3] Jazzed (50)
<br>If Lopunny evolved from Buneary during this turn, remove all damage counters from Lopunny.",F+20,1,0.6,2.0,14.0,2.21,,Holofoil,,
87147,Manaphy,Manaphy,https://tcgplayer-cdn.tcgplayer.com/product/87147_200w.jpg,3,1446,https://cpt.tcgcsv.com/ZSJ,2022-09-25T17:07:21.583,1,002/017,Rare,Water,70,Basic,"[W] Dive
<br>Look at the top 7 cards of your deck, choose 1 of them, and put it into your hand. Put the other cards back on top of your deck. Shuffle your deck afterward.","[W] Water Glow
<br>
Choose 1 of your opponent's Pokémon. This attack does 20 damage to that Pokémon. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em> Remove from Manaphy the number of damage counters equal to the damage you did to that Pokémon.",L+20,1,0.82,2.67,5.39,2.99,,Normal,,
87147,Manaphy,Manaphy,https://tcgplayer-cdn.tcgplayer.com/product/87147_200w.jpg,3,1446,https://cpt.tcgcsv.com/ZSJ,2022-09-25T17:07:21.583,1,002/017,Rare,Water,70,Basic,"[W] Dive
<br>Look at the top 7 cards of your deck, choose 1 of them, and put it into your hand. Put the other cards back on top of your deck. Shuffle your deck afterward.","[W] Water Glow
<br>
Choose 1 of your opponent's Pokémon. This attack does 20 damage to that Pokémon. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em> Remove from Manaphy the number of damage counters equal to the damage you did to that Pokémon.",L+20,1,2.5,3.0,4.0,3.86,,Holofoil,,
87902,Pachirisu,Pachirisu,https://tcgplayer-cdn.tcgplayer.com/product/87902_200w.jpg,3,1446,https://cpt.tcgcsv.com/3bK,2026-02-17T16:11:32.283,1,010/017,Uncommon,Lightning,70,Basic,"[L] Thunder Wave (10)
<br>Flip a coin. If heads, the Defending Pokémon is now Paralyzed.","[1L] Poison Berry (20+)
<br>If you have Croagunk in play, this attack does 20 damage plus 20 more damage and the Defending Pokémon is now Poisoned.",F+20,1,3.0,5.0,15.0,4.65,,Normal,M-20,
88020,Pichu,Pichu,https://tcgplayer-cdn.tcgplayer.com/product/88020_200w.jpg,3,1446,https://cpt.tcgcsv.com/qdK,2022-09-25T17:18:28.017,1,011/017,Uncommon,Lightning,40,Basic,"[0] Find a Friend
<br>Flip a coin. If heads, search your deck for a Pokémon, show it to your opponent, and put it into your hand. Shuffle your deck afterward.",,F+10,1,15.75,21.99,349.99,15.98,18.97,Normal,M-20,"<strong>Poké-POWER — Baby Evolution</strong>
<br>
Once during your turn <em>(before your attack)</em>, you may put Pikachu from your hand onto Pichu (this counts as evolving Pichu) and remove all damage counters from Pichu."
88092,Pikachu,Pikachu,https://tcgplayer-cdn.tcgplayer.com/product/88092_200w.jpg,3,1446,https://cpt.tcgcsv.com/SfK,2022-09-25T17:23:22.233,1,015/017,Common,Lightning,60,Basic,"[1] Growl
<br>During your opponent's next turn, any damage done by attacks from the Defending Pokémon is reduced by 20 <em>(before applying Weakness and Resistance)</em>.","[2L] Numb (30)
<br>If Pikachu evolved from Pichu during this turn, the Defending Pokémon is now Paralyzed.",F+10,1,6.37,10.99,25.99,11.21,,Normal,M-20,
88150,Piplup,Piplup,https://tcgplayer-cdn.tcgplayer.com/product/88150_200w.jpg,3,1446,https://cpt.tcgcsv.com/0hK,2022-09-25T17:24:25,1,016/017,Common,Water,50,Basic,"[W] Water Sport (10+)
<br>If Piplup has less Energy attached to it than the Defending Pokémon, this attack does 10 damage plus 10 more damage.","[2W] Wavelet (40)
<br>If you have Buizel in play, this attack does 10 damage to each of your opponent's Benched Pokémon. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em>",L+10,1,1.0,2.35,2.67,2.43,,Normal,,
88514,Raichu,Raichu,https://tcgplayer-cdn.tcgplayer.com/product/88514_200w.jpg,3,1446,https://cpt.tcgcsv.com/jqK,2022-09-25T17:08:33.957,1,003/017,Rare,Lightning,90,Stage 1,"[2] Slam (30x)
<br>Flip 2 coins. This attack does 30 damage times the number of heads.","[LLL] High Voltage (60)
<br>If Raichu evolved from Pikachu this turn, this attack's base damage is 100 instead of 60.",F+20,1,3.89,7.67,10.23,9.35,,Normal,M-20,
