productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extWeakness,extRetreatCost,extCardText,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extAttack2,extResistance
159115,______'s Pikachu,______s Pikachu,https://tcgplayer-cdn.tcgplayer.com/product/159115_200w.jpg,3,2205,https://cpt.tcgcsv.com/kGh2,2021-12-10T14:04:09.17,1,24,Promo,Lightning,50,Basic,"[LL] Birthday Surprise (30+) If it's not your birthday, this attack does 30 damage.  If it is your birthday, flip a coin.  If heads, this attack does 30 damage plus 50 more damage; if tails, this attack does 30 damage.",F,1,,,,,,,,,
161748,Pikachu (Base Set),Pikachu Base Set,https://tcgplayer-cdn.tcgplayer.com/product/161748_200w.jpg,3,2205,https://cpt.tcgcsv.com/-Jj2,2020-07-13T15:59:25.447,1,58,Promo,Lightning,,,,,,"<em><span style=""color:red"">This promotional card is printed in Korean.</span></em>",40.0,40.0,40.0,35.0,,Normal,,
161749,Pikachu (Flying),Pikachu Flying,https://tcgplayer-cdn.tcgplayer.com/product/161749_200w.jpg,3,2205,https://cpt.tcgcsv.com/_Jj2,2020-07-13T16:00:05.09,1,25,Promo,Lightning,,,,,,"<em><span style=""color:red"">This promotional card is printed in German.</span></em>",,,,,,,,
161750,Pikachu (Ivy),Pikachu Ivy,https://tcgplayer-cdn.tcgplayer.com/product/161750_200w.jpg,3,2205,https://cpt.tcgcsv.com/0Kj2,2020-07-13T16:00:12.48,1,1,Promo,Lightning,,,,,,"<em><span style=""color:red"">This promotional card is printed in Portuguese.</span></em>",179.99,237.97,295.95,19.67,,Normal,,
161751,Pikachu (Jungle),Pikachu Jungle,https://tcgplayer-cdn.tcgplayer.com/product/161751_200w.jpg,3,2205,https://cpt.tcgcsv.com/2Kj2,2018-03-02T14:29:54.04,1,60,Promo,Lightning,,,,,,"<em><span style=""color:red"">This promotional card is printed in Chinese.</span></em>",39.99,49.99,59.99,39.31,,Normal,,
161752,Pikachu (Movie),Pikachu Movie,https://tcgplayer-cdn.tcgplayer.com/product/161752_200w.jpg,3,2205,https://cpt.tcgcsv.com/3Kj2,2018-03-02T14:30:35.983,1,4,Promo,Lightning,,,,,,"<em><span style=""color:red"">This promotional card is printed in Dutch.</span></em>",19.42,21.99,25.99,20.44,19.42,Normal,,
161753,Pikachu (Snap),Pikachu Snap,https://tcgplayer-cdn.tcgplayer.com/product/161753_200w.jpg,3,2205,https://cpt.tcgcsv.com/5Kj2,2020-07-13T16:03:48.207,1,4,Promo,Lightning,,,,,,"<em><span style=""color:red"">This promotional card is printed in Spanish.</span></em>",275.0,275.0,275.0,50.0,,Normal,,
161754,Pikachu (Surfing),Pikachu Surfing,https://tcgplayer-cdn.tcgplayer.com/product/161754_200w.jpg,3,2205,https://cpt.tcgcsv.com/6Kj2,2020-07-13T15:59:59.013,1,28,Promo,Lightning,,,,,,"<em><span style=""color:red"">This promotional card is printed in French.</span></em>",,,,,,,,
161757,Pikachu World Collection Promo Set,Pikachu World Collection Promo Set,https://tcgplayer-cdn.tcgplayer.com/product/161757_200w.jpg,3,2205,https://cpt.tcgcsv.com/9Kj2,2018-03-02T14:43:40.667,1,,,,,,,,,"This sealed product contains 9 promotional cards of Pikachu, printed in various languages.",,,,,,,,
215153,Pikachu (English),Pikachu English,https://tcgplayer-cdn.tcgplayer.com/product/215153_200w.jpg,3,2205,https://cpt.tcgcsv.com/55L2,2020-05-29T21:43:52.27,1,PW 1,Promo,Lightning,50,Basic,"[1] Hello!
<br>Greet your opponent. Then, each player draws a card.",Fx2,1,,99.99,115.99,120.0,99.0,,Holofoil,"[1LL] Thunderbolt: (60)
Discard all Energy attached to Pikachu.",M-20
