productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extCardText,extAttack1,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extAttack2
83456,Absol ex,Absol ex,https://tcgplayer-cdn.tcgplayer.com/product/83456_200w.jpg,3,1383,https://cpt.tcgcsv.com/8pH,2024-04-11T17:52:04.13,1,92/108,Ultra Rare,Darkness,100,Basic,"Cursed Eyes - Once during your turn, when you put Absol ex from your hand onto your Bench, you may move 3 damage counters from 1 of your opponent's Pokemon to another of his or her Pokemon.  (Poke-POWER)",[1D] Psychic Pulse (30) Does 10 damage to each of your opponent's Benched Pokemon that has any damage counters on it.  (Don't apply Weakness and Resistance for Benched Pokemon.),F,P,1,99.99,199.99,245.64,239.98,,Holofoil,
83477,Aggron,Aggron,https://tcgplayer-cdn.tcgplayer.com/product/83477_200w.jpg,3,1383,https://cpt.tcgcsv.com/zpH,2025-11-10T23:12:37.193,1,1/108,Holo Rare,Metal,110,Stage 2,"Terraforming - Once during your turn (before your attack), you may look at the top 5 cards from your deck and put them back on top of your deck in any order.  This power can't be used if Aggron is affected by a Special Condition.  (Poke-POWER)",[3] Metal Claw (50),R,G,4,8.04,13.0,34.0,16.53,,Holofoil,[2MM] Mix-Up (70) Your opponent discards the top card of his or her deck.
83477,Aggron,Aggron,https://tcgplayer-cdn.tcgplayer.com/product/83477_200w.jpg,3,1383,https://cpt.tcgcsv.com/zpH,2025-11-10T23:12:37.193,1,1/108,Holo Rare,Metal,110,Stage 2,"Terraforming - Once during your turn (before your attack), you may look at the top 5 cards from your deck and put them back on top of your deck in any order.  This power can't be used if Aggron is affected by a Special Condition.  (Poke-POWER)",[3] Metal Claw (50),R,G,4,46.5,50.75,55.0,37.73,,Reverse Holofoil,[2MM] Mix-Up (70) Your opponent discards the top card of his or her deck.
83515,Altaria,Altaria,https://tcgplayer-cdn.tcgplayer.com/product/83515_200w.jpg,3,1383,https://cpt.tcgcsv.com/kqH,2024-04-11T17:52:04.487,1,2/108,Holo Rare,Colorless,80,Stage 1,"Synergy Effect - If Drake's Stadium is in play, remove 1 damage counter from Altaria between turns.  (Poke-BODY)","[1W] Surprise (30) Choose 1 card from your opponent's hand without looking.  Look at the card you chose, then have your opponent shuffle that card into his or her deck.",C,FG,1,9.25,11.75,203.99,14.92,,Holofoil,[2L] Gust (50)
83515,Altaria,Altaria,https://tcgplayer-cdn.tcgplayer.com/product/83515_200w.jpg,3,1383,https://cpt.tcgcsv.com/kqH,2024-04-11T17:52:04.487,1,2/108,Holo Rare,Colorless,80,Stage 1,"Synergy Effect - If Drake's Stadium is in play, remove 1 damage counter from Altaria between turns.  (Poke-BODY)","[1W] Surprise (30) Choose 1 card from your opponent's hand without looking.  Look at the card you chose, then have your opponent shuffle that card into his or her deck.",C,FG,1,62.0,130.5,199.0,16.15,,Reverse Holofoil,[2L] Gust (50)
83560,Anorith,Anorith,https://tcgplayer-cdn.tcgplayer.com/product/83560_200w.jpg,3,1383,https://cpt.tcgcsv.com/drH,2026-02-24T01:04:44.393,1,26/108,Uncommon,Fighting,70,Stage 1,Solid Shell - Any damage done to Anorith by attacks is reduced by 10 (after applying Weakness and Resistance).  (Poke-BODY),"[1F] Fury Cutter (10+) Flip 3 coins.  If 1 of them is heads, this attack does 10 damage plus 10 more damage.  If 2 of them are heads, this attack does 10 damage plus 30 more damage.  If all of them are heads, this attack does 10 damage plus 50 more damage.",G,,1,0.15,0.54,1.99,0.71,,Normal,
83560,Anorith,Anorith,https://tcgplayer-cdn.tcgplayer.com/product/83560_200w.jpg,3,1383,https://cpt.tcgcsv.com/drH,2026-02-24T01:04:44.393,1,26/108,Uncommon,Fighting,70,Stage 1,Solid Shell - Any damage done to Anorith by attacks is reduced by 10 (after applying Weakness and Resistance).  (Poke-BODY),"[1F] Fury Cutter (10+) Flip 3 coins.  If 1 of them is heads, this attack does 10 damage plus 10 more damage.  If 2 of them are heads, this attack does 10 damage plus 30 more damage.  If all of them are heads, this attack does 10 damage plus 50 more damage.",G,,1,5.51,25.0,25.0,4.25,,Reverse Holofoil,
83620,Armaldo,Armaldo,https://tcgplayer-cdn.tcgplayer.com/product/83620_200w.jpg,3,1383,https://cpt.tcgcsv.com/qsH,2025-11-10T23:13:38.173,1,3/108,Holo Rare,Fighting,120,Stage 2,,"[F] Rock Blast - Discard up to 5 F Energy cards attached to Armaldo.  For each Energy card you discarded, choose an opponent's Pokemon in play and this attack does 20 damage to those Pokemon.  (You may choose the same Pokemon more than once.)  This attack's damage isn't affected by Weakness or Resistance.",G,,3,4.8,12.75,39.99,13.1,,Holofoil,[3] Mach Claw (60) This attack's damage isn't affected by Resistance.
83620,Armaldo,Armaldo,https://tcgplayer-cdn.tcgplayer.com/product/83620_200w.jpg,3,1383,https://cpt.tcgcsv.com/qsH,2025-11-10T23:13:38.173,1,3/108,Holo Rare,Fighting,120,Stage 2,,"[F] Rock Blast - Discard up to 5 F Energy cards attached to Armaldo.  For each Energy card you discarded, choose an opponent's Pokemon in play and this attack does 20 damage to those Pokemon.  (You may choose the same Pokemon more than once.)  This attack's damage isn't affected by Weakness or Resistance.",G,,3,7.78,8.01,34.0,13.68,,Reverse Holofoil,[3] Mach Claw (60) This attack's damage isn't affected by Resistance.
83635,Aron,Aron,https://tcgplayer-cdn.tcgplayer.com/product/83635_200w.jpg,3,1383,https://cpt.tcgcsv.com/KsH,2024-04-11T17:52:04.633,1,42/108,Common,Metal,50,Basic,,"[1] Dig Deep - Search your discard pile for an Energy card, show it to your opponent, and put it into your hand.",R,G,2,0.45,1.0,2.16,1.22,,Normal,[1M] Tackle (20)
83635,Aron,Aron,https://tcgplayer-cdn.tcgplayer.com/product/83635_200w.jpg,3,1383,https://cpt.tcgcsv.com/KsH,2024-04-11T17:52:04.633,1,42/108,Common,Metal,50,Basic,,"[1] Dig Deep - Search your discard pile for an Energy card, show it to your opponent, and put it into your hand.",R,G,2,30.0,35.0,50.97,8.37,,Reverse Holofoil,[1M] Tackle (20)
83696,Bagon,Bagon,https://tcgplayer-cdn.tcgplayer.com/product/83696_200w.jpg,3,1383,https://cpt.tcgcsv.com/XtH,2024-04-11T17:52:04.663,1,43/108,Common,Colorless,50,Basic,,[1] Retaliate (10x) Does 10 damage times the number of damage counters on Bagon.,C,FR,1,0.1,0.3,5.0,0.35,,Normal,
83696,Bagon,Bagon,https://tcgplayer-cdn.tcgplayer.com/product/83696_200w.jpg,3,1383,https://cpt.tcgcsv.com/XtH,2024-04-11T17:52:04.663,1,43/108,Common,Colorless,50,Basic,,[1] Retaliate (10x) Does 10 damage times the number of damage counters on Bagon.,C,FR,1,1.68,4.0,45.63,5.57,,Reverse Holofoil,
83715,Baltoy,Baltoy,https://tcgplayer-cdn.tcgplayer.com/product/83715_200w.jpg,3,1383,https://cpt.tcgcsv.com/kvH,2024-04-11T17:52:04.697,1,44/108,Common,Psychic,50,Basic,,"[P] Psybeam (10) Flip a coin.  If heads, the Defending Pokemon is now Confused.",P,,1,0.11,0.35,5.0,0.39,,Normal,[2] Spinning Attack (20)
83715,Baltoy,Baltoy,https://tcgplayer-cdn.tcgplayer.com/product/83715_200w.jpg,3,1383,https://cpt.tcgcsv.com/kvH,2024-04-11T17:52:04.697,1,44/108,Common,Psychic,50,Basic,,"[P] Psybeam (10) Flip a coin.  If heads, the Defending Pokemon is now Confused.",P,,1,4.3,5.59,6.29,5.12,,Reverse Holofoil,[2] Spinning Attack (20)
