productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extCardText,extAttack1,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extAttack2
475973,Kricketune V,Kricketune V,https://tcgplayer-cdn.tcgplayer.com/product/475973_200w.jpg,3,22880,https://cpt.tcgcsv.com/tpQ5,2023-03-03T13:44:12.79,1,006/163,Ultra Rare,Grass,180,VMAX,"<strong>Ability — Exciting Stage</strong>                                             
<br>Once during your turn, you may draw cards until you have 3 cards in your hand. If this Pokemon is in the Active Spot, you may draw cards until you have 4 cards in your hand instead. You can't use more than 1 Exciting Stage Ability each turn.","[2G] X-Scissor (80+)
<br>Flip a coin. If heads, this attack does 80 more damage.",Rx2,None,1,2.5,4.99,9.98,3.35,,Holofoil,
475974,Cherrim,Cherrim,https://tcgplayer-cdn.tcgplayer.com/product/475974_200w.jpg,3,22880,https://cpt.tcgcsv.com/vpQ5,2025-10-10T02:04:40.887,1,008/163,Rare,Grass,80,Stage 1,"<strong>Ability — Spring Bloom</strong>                                             
<br>As often as you like during your turn, you may attach a G Energy card from your hand to 1 of your Pokemon that doesn't have a Rule Box <em>(Pokemon V, Pokemon-GX, etc. have Rule Boxes).</em>",[2G] Seed Bomb (70),Rx2,None,2,0.69,0.85,96.95,0.69,96.95,Normal,
475975,Leafeon V,Leafeon V,https://tcgplayer-cdn.tcgplayer.com/product/475975_200w.jpg,3,22880,https://cpt.tcgcsv.com/wpQ5,2024-10-30T11:47:46.58,1,007/203,Ultra Rare,Grass,200,Basic,"<Strong>Ability —Greening Cells</strong>
<br>Once during your turn, you may search your deck for a G Energy card and attach it to 1 of your Pokemon. Then, shuffle your deck. If you use this Ability, your turn ends.","[2G] Leaf Blade (90+)
<br>Flip a coin. If heads, this attack does 60 or more damage.",Rx2,,1,89.98,144.99,199.99,25.87,,Holofoil,
475976,Leafeon VMAX,Leafeon VMAX,https://tcgplayer-cdn.tcgplayer.com/product/475976_200w.jpg,3,22880,https://cpt.tcgcsv.com/xpQ5,2023-03-03T13:44:43.817,1,008/203,Ultra Rare,Grass,310,VMAX,,"[1G] Grass Knot (60x)
<br>This attack does 60 damage for each C in your opponent's Active Pokemon's Retreat Cost.",Rx2,,2,104.99,124.83,275.0,103.77,,Holofoil,"[1GG] Max Leaf (170)
<br>Heal 30 damage from this Pokemon."
475977,Decidueye,Decidueye,https://tcgplayer-cdn.tcgplayer.com/product/475977_200w.jpg,3,22880,https://cpt.tcgcsv.com/zpQ5,2023-03-08T13:52:30.693,1,013/189,Rare,Grass,140,Stage 2,"<strong>Ability — Deep Forest Camo</strong>
<br>Prevent all damage done to this Pokémon by attacks from your opponent's Pokémon V and Pokémon-GX.","[1G] Split Arrow (90)
<br><em>This attack also does 20 damage to 2 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon)</em>",Rx2,None,2,0.91,1.37,1.49,0.83,,Normal,
475978,Eldegoss,Eldegoss,https://tcgplayer-cdn.tcgplayer.com/product/475978_200w.jpg,3,22880,https://cpt.tcgcsv.com/BpQ5,2023-03-08T13:52:36.36,1,016/203,Rare,Grass,80,Stage 1,"<strong>Ability — Cotton Lift</strong>
<br>Once during your turn, you may search your deck for up to 2 basic Energy cards, reveal them, and put them into your hand. Then, shuffle your deck.","[G] Cotten Guard (30)
<br>During your opponent's next turn, this Pokemon takes 30 less damage from attacks <em>(after applying Weakness and Resistance).</em>",Rx2,,1,1.49,1.71,1.99,1.93,,Normal,
475979,Eldegoss V,Eldegoss V,https://tcgplayer-cdn.tcgplayer.com/product/475979_200w.jpg,3,22880,https://cpt.tcgcsv.com/CpQ5,2023-03-02T21:10:30.663,1,019/192,Ultra Rare,Grass,180,Basic,"<strong>Ability — Happy Match</strong>
<br>when you play this Pokemon from your hand onto your Bench during your turn, you may put a Supporter card from your discard pile into your hand.","[2] Float Up (50)
<br>You may shuffle this Pokemon and all attached cards into your deck.",Rx2,None,1,27.72,34.0,70.93,24.84,,Holofoil,
475980,Charizard,Charizard,https://tcgplayer-cdn.tcgplayer.com/product/475980_200w.jpg,3,22880,https://cpt.tcgcsv.com/DpQ5,2023-03-02T21:04:38.66,1,025/185,Rare,Fire,170,Stage 2,"<strong>Ability — Battle Sense</strong>
<br>Once during your turn, you may look at the top 3 cards of your deck and put 1 of them into your hand. Discard the other cards.","[RR] Royal Blaze (100+)
<br>This attack does 50 more damage for each Leon in your discard pile.",Wx2,None,3,,,,,,,
475982,Charizard V (Prize Pack Series 1),Charizard V Prize Pack Series 1,https://tcgplayer-cdn.tcgplayer.com/product/475982_200w.jpg,3,22880,https://cpt.tcgcsv.com/GpQ5,2023-04-28T18:09:46.273,1,019/189,Ultra Rare,Fire,220,Basic,,[3] Claw Slash (80),Wx2,None,3,140.0,140.0,140.0,136.51,,Holofoil,"[2RR] Fire Spin (220)
<br>Discard 2 Energy from this Pokémon."
475983,Charizard VMAX,Charizard VMAX,https://tcgplayer-cdn.tcgplayer.com/product/475983_200w.jpg,3,22880,https://cpt.tcgcsv.com/HpQ5,2023-03-02T21:04:58.04,1,020/189,Ultra Rare,Fire,330,VMAX,,[3] Claw Slash (100),Wx2,None,3,,,,,,,"[2RRR] G-Max Wildfire (300)
<br>Discard 2 Energy from this Pokémon."
