productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardText,extHP,extStage,extAttack1,extWeakness,extRetreatCost,extAttack2,extResistance
176625,Fighting Energy (2004-2005),Fighting Energy 2004 2005,https://tcgplayer-cdn.tcgplayer.com/product/176625_200w.jpg,3,2332,https://cpt.tcgcsv.com/wGq2,2018-09-13T19:39:46.237,1,105/109,Promo,Energy,12.0,15.0,36.45,6.49,,Normal,,,,,,,,
176626,Fire Energy (2004-2005),Fire Energy 2004 2005,https://tcgplayer-cdn.tcgplayer.com/product/176626_200w.jpg,3,2332,https://cpt.tcgcsv.com/xGq2,2018-09-13T19:40:20.023,1,108/109,Promo,Energy,15.0,19.48,29.24,15.68,15.65,Normal,,,,,,,,
176627,Grass Energy (2004-2005),Grass Energy 2004 2005,https://tcgplayer-cdn.tcgplayer.com/product/176627_200w.jpg,3,2332,https://cpt.tcgcsv.com/zGq2,2018-09-13T19:41:18,1,104/109,Promo,Energy,14.1,17.7,21.24,9.8,,Normal,,,,,,,,
176628,Lightning Energy (2004-2005),Lightning Energy 2004 2005,https://tcgplayer-cdn.tcgplayer.com/product/176628_200w.jpg,3,2332,https://cpt.tcgcsv.com/BGq2,2025-11-21T15:21:34.837,1,109/109,Promo,Energy,21.9,30.75,39.0,17.61,,Normal,,,,,,,,
176629,Prof. Oak's Research (2004-2005),Prof Oaks Research 2004 2005,https://tcgplayer-cdn.tcgplayer.com/product/176629_200w.jpg,3,2332,https://cpt.tcgcsv.com/CGq2,2018-09-13T19:45:58.427,1,98/112,Promo,Supporter,110.0,134.95,140.0,119.99,,Normal,"Shuffle your hand into your deck, then draw 5 cards.",,,,,,,
176630,Professor Birch (2006),Professor Birch 2006,https://tcgplayer-cdn.tcgplayer.com/product/176630_200w.jpg,3,2332,https://cpt.tcgcsv.com/DGq2,2018-09-13T19:49:15.107,1,82/106,Promo,Supporter,49.61,69.99,149.9,39.99,,Holofoil,Draw cards from your deck until you have 6 cards in your hand.,,,,,,,
176631,Professor Oak's Visit (2008-2009),Professor Oaks Visit 2008 2009,https://tcgplayer-cdn.tcgplayer.com/product/176631_200w.jpg,3,2332,https://cpt.tcgcsv.com/FGq2,2022-03-28T16:30:49.38,1,122/132,Promo,Supporter,21.6,50.01,65.0,19.37,,Normal,"Draw 3 cards. Then, choose a card from your hand and put it on the bottom of your deck.",,,,,,,
176632,Professor Juniper - 98/108 (2013),Professor Juniper 98 108 2013,https://tcgplayer-cdn.tcgplayer.com/product/176632_200w.jpg,3,2332,https://cpt.tcgcsv.com/GGq2,2020-08-11T13:26:10.06,1,98/108,Promo,Supporter,15.0,17.94,25.24,18.22,,Reverse Holofoil,Discard your hand and draw 7 cards.,,,,,,,
176633,Professor Juniper - 101/114 (2013),Professor Juniper 101 114 2013,https://tcgplayer-cdn.tcgplayer.com/product/176633_200w.jpg,3,2332,https://cpt.tcgcsv.com/HGq2,2020-08-12T14:53:10.173,1,101/114,Promo,Supporter,9.99,14.64,24.99,16.83,,Reverse Holofoil,Discard your hand and draw 7 cards.,,,,,,,
176634,Professor Rowan (2007),Professor Rowan 2007,https://tcgplayer-cdn.tcgplayer.com/product/176634_200w.jpg,3,2332,https://cpt.tcgcsv.com/JGq2,2018-09-13T19:55:06.757,1,112/130,Promo,Supporter,25.87,37.91,49.95,,,Normal,"Choose 1 card in your hand and shuffle the rest of your cards into your deck. Then, draw 4 cards. (If this is the only card in your hand, you can't play this card.)",,,,,,,
176636,Water Energy (2004-2005),Water Energy 2004 2005,https://tcgplayer-cdn.tcgplayer.com/product/176636_200w.jpg,3,2332,https://cpt.tcgcsv.com/LGq2,2018-09-13T19:57:49.55,1,106/109,Promo,Energy,15.9,17.48,20.0,19.75,,Normal,,,,,,,,
176637,Psychic Energy (2004-2005),Psychic Energy 2004 2005,https://tcgplayer-cdn.tcgplayer.com/product/176637_200w.jpg,3,2332,https://cpt.tcgcsv.com/MGq2,2018-09-13T19:58:23.367,1,107/109,Promo,Energy,17.29,20.75,38.5,16.09,,Normal,,,,,,,,
176638,Professor Sycamore (2015),Professor Sycamore 2015,https://tcgplayer-cdn.tcgplayer.com/product/176638_200w.jpg,3,2332,https://cpt.tcgcsv.com/NGq2,2022-03-28T16:32:19.66,1,122/146,Promo,Supporter,11.88,15.48,20.0,14.99,15.48,Reverse Holofoil,Discard your hand and draw 7 cards.,,,,,,,
176639,Professor Elm's Training Method (2006-2007),Professor Elms Training Method 2006 2007,https://tcgplayer-cdn.tcgplayer.com/product/176639_200w.jpg,3,2332,https://cpt.tcgcsv.com/PGq2,2022-03-28T16:30:41.45,1,79/101,Promo,Supporter,49.87,49.87,49.87,47.77,,Normal,"Search your deck for an Evolution card, show it to your opponent, and put it into your hand. Shuffle your deck afterward.",,,,,,,
213516,Judge (2019),Judge 2019,https://tcgplayer-cdn.tcgplayer.com/product/213516_200w.jpg,3,2332,https://cpt.tcgcsv.com/lqK2,2022-03-28T16:32:56.96,1,108/131,Promo,Supporter,22.48,27.77,36.74,12.04,,Reverse Holofoil,Each player shuffles their hand into their deck and draws 4 cards.,,,,,,,
278685,Professor Burnet - SWSH167 (2021),Professor Burnet SWSH167 2021,https://tcgplayer-cdn.tcgplayer.com/product/278685_200w.jpg,3,2332,https://cpt.tcgcsv.com/Ktf3,2024-06-24T20:26:42.693,1,SWSH167,Promo,Supporter,12.18,13.5,23.83,12.84,,Reverse Holofoil,"Search your deck for up to 2 cards and discard them. Then, shuffle your deck.",,,,,,,
278686,Professor's Research - 060/072 (2021),Professors Research 060 072 2021,https://tcgplayer-cdn.tcgplayer.com/product/278686_200w.jpg,3,2332,https://cpt.tcgcsv.com/Ltf3,2023-07-28T15:58:48.493,1,060/072,Promo,Supporter,12.55,13.97,31.14,13.35,,Reverse Holofoil,Discard your hand and draw 7 cards.,,,,,,,
278687,Professor's Research - 147/172 (2021),Professors Research 147 172 2021,https://tcgplayer-cdn.tcgplayer.com/product/278687_200w.jpg,3,2332,https://cpt.tcgcsv.com/Mtf3,2023-07-28T15:58:57.707,1,147/172,Promo,Supporter,11.32,16.0,29.99,14.49,,Reverse Holofoil,Discard your hand and draw 7 cards.,,,,,,,
499366,Gym Trainer (2022),Gym Trainer 2022,https://tcgplayer-cdn.tcgplayer.com/product/499366_200w.jpg,3,2332,https://cpt.tcgcsv.com/lM_5,2023-06-07T15:50:07.373,1,059/072,Promo,Supporter,11.45,12.23,23.0,12.03,,Reverse Holofoil,"Draw 2 cards. If any of your Pokémon were Knocked Out during your opponent's last turn, draw 2 more cards.
<br><br>
You may play only 1 Supporter card during your turn.",,,,,,,
499857,League Staff,League Staff,https://tcgplayer-cdn.tcgplayer.com/product/499857_200w.jpg,3,2332,https://cpt.tcgcsv.com/9Z_5,2023-06-09T13:18:58.117,1,153/185,Promo,Supporter,49.0,69.0,88.99,48.99,,Reverse Holofoil,"Draw 2 cards. If Wyndon Stadium is in play, draw 2 more cards.
<br><br>
You may play only 1 Supporter card during your turn.",,,,,,,
556953,Professor's Research - 189/198 (2023),Professors Research 189 198 2023,https://tcgplayer-cdn.tcgplayer.com/product/556953_200w.jpg,3,2332,https://cpt.tcgcsv.com/5Ps6,2024-06-25T15:31:46.373,1,189/198,Promo,Supporter,14.14,16.0,45.0,14.14,,Reverse Holofoil,Discard your hand and draw 7 cards.,,,,,,,
