productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extCardText,extAttack1,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extAttack2,extWeakness,extResistance,extRetreatCost,extAttack3
83439,Aaron's Collection,Aarons Collection,https://tcgplayer-cdn.tcgplayer.com/product/83439_200w.jpg,3,1367,https://cpt.tcgcsv.com/PnH,2023-11-07T21:59:45.463,1,88/111,Uncommon,Supporter,0,Supporter,"You can play only one Supporter each turn.  When you play this card, put it next to your Active Pokemon.  When your turn ends, discard this card.","Search your discard pile for up to 2 in any combination of Pokemon SP and basic Energy cards, show them to your opponent, and put them into your hand.",0.2,0.45,3.5,0.47,0.35,Normal,,,,,
83439,Aaron's Collection,Aarons Collection,https://tcgplayer-cdn.tcgplayer.com/product/83439_200w.jpg,3,1367,https://cpt.tcgcsv.com/PnH,2023-11-07T21:59:45.463,1,88/111,Uncommon,Supporter,0,Supporter,"You can play only one Supporter each turn.  When you play this card, put it next to your Active Pokemon.  When your turn ends, discard this card.","Search your discard pile for up to 2 in any combination of Pokemon SP and basic Energy cards, show them to your opponent, and put them into your hand.",1.99,2.21,2.36,1.05,,Reverse Holofoil,,,,,
83474,Aerodactyl GL,Aerodactyl GL,https://tcgplayer-cdn.tcgplayer.com/product/83474_200w.jpg,3,1367,https://cpt.tcgcsv.com/vpH,2023-11-07T21:55:10.477,1,55/111,Common,Fighting,80,Basic,,[1] Collect - Draw 2 cards.,0.25,0.5,5.0,0.59,,Normal,[1F] Primal Breath (30) Your opponent can't play any Pokemon from his or her hand to evolve or to Level-Up the Defending Pokemon during his or her next turn.,Lx2,F-20,0,
83474,Aerodactyl GL,Aerodactyl GL,https://tcgplayer-cdn.tcgplayer.com/product/83474_200w.jpg,3,1367,https://cpt.tcgcsv.com/vpH,2023-11-07T21:55:10.477,1,55/111,Common,Fighting,80,Basic,,[1] Collect - Draw 2 cards.,6.73,8.88,9.99,8.9,,Reverse Holofoil,[1F] Primal Breath (30) Your opponent can't play any Pokemon from his or her hand to evolve or to Level-Up the Defending Pokemon during his or her next turn.,Lx2,F-20,0,
83479,Aggron,Aggron,https://tcgplayer-cdn.tcgplayer.com/product/83479_200w.jpg,3,1367,https://cpt.tcgcsv.com/CpH,2023-11-07T21:49:30.007,1,14/111,Rare,Metal,130,Stage 2,,"[2] Return Blow - If Aggron was damaged by an attack during your opponent's last turn, this attack does the same amount of damage done to Aggron to the Defending Pokemon.",1.37,1.57,5.0,1.58,,Normal,"[2M] Metal Fang (40) You may discard the top card of your deck.  If you do, remove 2 damage counters and all Special Conditions from Aggron.",R+30,P-20,3,[2MM] Heavy Impact (70)
83479,Aggron,Aggron,https://tcgplayer-cdn.tcgplayer.com/product/83479_200w.jpg,3,1367,https://cpt.tcgcsv.com/CpH,2023-11-07T21:49:30.007,1,14/111,Rare,Metal,130,Stage 2,,"[2] Return Blow - If Aggron was damaged by an attack during your opponent's last turn, this attack does the same amount of damage done to Aggron to the Defending Pokemon.",1.55,4.99,5.39,4.8,,Reverse Holofoil,"[2M] Metal Fang (40) You may discard the top card of your deck.  If you do, remove 2 damage counters and all Special Conditions from Aggron.",R+30,P-20,3,[2MM] Heavy Impact (70)
83503,Alakazam E4,Alakazam E4,https://tcgplayer-cdn.tcgplayer.com/product/83503_200w.jpg,3,1367,https://cpt.tcgcsv.com/5qH,2023-11-07T21:52:37.4,1,38/111,Uncommon,Psychic,80,Basic,,[P] Recover - Discard a P Energy from Alakazam E4 and remove 4 damage counters from Alakazam E4.,1.35,1.99,9.99,1.92,,Normal,"[2P] Mysterious Beam (30) Flip a coin.  If heads, discard an Energy card attached to the Defending Pokemon.",Px2,,1,
83503,Alakazam E4,Alakazam E4,https://tcgplayer-cdn.tcgplayer.com/product/83503_200w.jpg,3,1367,https://cpt.tcgcsv.com/5qH,2023-11-07T21:52:37.4,1,38/111,Uncommon,Psychic,80,Basic,,[P] Recover - Discard a P Energy from Alakazam E4 and remove 4 damage counters from Alakazam E4.,12.95,14.24,4321.0,12.73,,Reverse Holofoil,"[2P] Mysterious Beam (30) Flip a coin.  If heads, discard an Energy card attached to the Defending Pokemon.",Px2,,1,
83504,Alakazam E4 Lv.X,Alakazam E4 LvX,https://tcgplayer-cdn.tcgplayer.com/product/83504_200w.jpg,3,1367,https://cpt.tcgcsv.com/6qH,2023-11-07T22:05:08.453,1,103/111,Ultra Rare,Psychic,100,Level Up,"Damage Switch - As often as you like during your turn (before your attack), you may move 1 damage counter from 1 of your Pokemon SP to another of your Pokemon SP.  This power can't be used if Alakazam E4 is affected by a Special Condition.  (Poke-POWER)",[1PP] Mind Shock (50) This attack's damage isn't affected by Weakness or Resistance.,85.0,85.0,85.0,100.5,,Holofoil,,Px2,,2,
83530,Ambipom G,Ambipom G,https://tcgplayer-cdn.tcgplayer.com/product/83530_200w.jpg,3,1367,https://cpt.tcgcsv.com/DqH,2025-11-11T22:20:35.253,1,56/111,Common,Colorless,80,Basic,,[1] Tail Code - Move an Energy card attached to the Defending Pokemon to another of your opponent's Pokemon.,0.16,0.41,1.0,0.51,0.23,Normal,"[2] Snap Attack (60) If the Defending Pokemon has any Energy cards attached to it, this attack's base damage is 20 instead of 60.",Fx2,,1,
83530,Ambipom G,Ambipom G,https://tcgplayer-cdn.tcgplayer.com/product/83530_200w.jpg,3,1367,https://cpt.tcgcsv.com/DqH,2025-11-11T22:20:35.253,1,56/111,Common,Colorless,80,Basic,,[1] Tail Code - Move an Energy card attached to the Defending Pokemon to another of your opponent's Pokemon.,2.5,2.91,7.17,2.7,,Reverse Holofoil,"[2] Snap Attack (60) If the Defending Pokemon has any Energy cards attached to it, this attack's base damage is 20 instead of 60.",Fx2,,1,
83585,Arcanine,Arcanine,https://tcgplayer-cdn.tcgplayer.com/product/83585_200w.jpg,3,1367,https://cpt.tcgcsv.com/KrH,2024-10-21T20:00:37.587,1,1/111,Holo Rare,Fire,100,Stage 1,"Flare Condition - As long as Arcanine has any R Energy attached to it, Arcanine has no Weakness.  (Poke-BODY)",[1R] Burn Out (30+) You may do 30 damage plus 30 more damage.  If you do Arcanine is now Burned.,40.97,55.61,65.49,46.31,,Holofoil,[2R] Flames of Rage (60+) Discard a R Energy attached to Arcanine.  This attack does 60 damage plus 10 more damage for each damage counter on Arcanine.,W+20,,2,
