productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extAttack3,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardText
83475,Aggron,Aggron,https://tcgplayer-cdn.tcgplayer.com/product/83475_200w.jpg,3,1393,https://cpt.tcgcsv.com/wpH,2023-12-21T20:33:07.593,1,1/109,Holo Rare,Metal,110,Stage 2,"[1] Retaliate (10x) 
<br>Flip a coin.  If heads, this attack does 10 damage times the number of damage counters on Aggron.",[3] Mega Punch (40),"[3MM] Double Lariat (70x) 
<br>Flip 2 coins.  This attack does 70 damage times the number of heads.",R,G,4,14.68,27.45,4321.0,20.4,,Holofoil,
83475,Aggron,Aggron,https://tcgplayer-cdn.tcgplayer.com/product/83475_200w.jpg,3,1393,https://cpt.tcgcsv.com/wpH,2023-12-21T20:33:07.593,1,1/109,Holo Rare,Metal,110,Stage 2,"[1] Retaliate (10x) 
<br>Flip a coin.  If heads, this attack does 10 damage times the number of damage counters on Aggron.",[3] Mega Punch (40),"[3MM] Double Lariat (70x) 
<br>Flip 2 coins.  This attack does 70 damage times the number of heads.",R,G,4,27.18,32.53,50.89,39.95,,Reverse Holofoil,
83628,Aron - 25/109,Aron 25 109,https://tcgplayer-cdn.tcgplayer.com/product/83628_200w.jpg,3,1393,https://cpt.tcgcsv.com/BsH,2023-12-21T20:53:13.567,1,25/109,Uncommon,Metal,50,Basic,[M] Rollout (10),"[2] Double Stab (20x) 
<br>Flip 2 coins.  This attack does 20 damage times the number of heads.",,R,None,1,1.0,1.99,8.24,2.56,,Normal,
83628,Aron - 25/109,Aron 25 109,https://tcgplayer-cdn.tcgplayer.com/product/83628_200w.jpg,3,1393,https://cpt.tcgcsv.com/BsH,2023-12-21T20:53:13.567,1,25/109,Uncommon,Metal,50,Basic,[M] Rollout (10),"[2] Double Stab (20x) 
<br>Flip 2 coins.  This attack does 20 damage times the number of heads.",,R,None,1,3.5,4.99,6.35,6.99,,Reverse Holofoil,
83629,Aron - 49/109,Aron 49 109,https://tcgplayer-cdn.tcgplayer.com/product/83629_200w.jpg,3,1393,https://cpt.tcgcsv.com/CsH,2023-12-21T20:58:20.233,1,49/109,Common,Metal,40,Basic,"[1] Teary Eyes 
<br>During your opponent's next turn, any damage done to Aron is reduced by 10.",[2] Ram (20),,R,G,1,0.4,0.84,20.85,0.85,,Normal,
83629,Aron - 49/109,Aron 49 109,https://tcgplayer-cdn.tcgplayer.com/product/83629_200w.jpg,3,1393,https://cpt.tcgcsv.com/CsH,2023-12-21T20:58:20.233,1,49/109,Common,Metal,40,Basic,"[1] Teary Eyes 
<br>During your opponent's next turn, any damage done to Aron is reduced by 10.",[2] Ram (20),,R,G,1,1.0,1.55,4321.0,14.0,,Reverse Holofoil,
83630,Aron - 50/109,Aron 50 109,https://tcgplayer-cdn.tcgplayer.com/product/83630_200w.jpg,3,1393,https://cpt.tcgcsv.com/DsH,2023-12-21T20:58:34.54,1,50/109,Common,Metal,50,Basic,[1] Gnaw (10),,,R,G,2,0.25,0.65,20.72,0.72,,Normal,
83630,Aron - 50/109,Aron 50 109,https://tcgplayer-cdn.tcgplayer.com/product/83630_200w.jpg,3,1393,https://cpt.tcgcsv.com/DsH,2023-12-21T20:58:34.54,1,50/109,Common,Metal,50,Basic,[1] Gnaw (10),,,R,G,2,3.66,9.2,10.94,9.45,,Reverse Holofoil,
83755,Beautifly,Beautifly,https://tcgplayer-cdn.tcgplayer.com/product/83755_200w.jpg,3,1393,https://cpt.tcgcsv.com/7wH,2023-12-21T20:33:26.113,1,2/109,Holo Rare,Grass,80,Stage 2,"[G] Stun Spore (20) 
<br>Flip a coin.  If heads, the Defending Pokemon is now Paralyzed.","[2G] Parallel Gain (50) 
<br>Remove 1 damage counter from each of your Pokemon including Beautifly.",,R,None,0,11.77,14.9,100.0,15.67,,Holofoil,"<b>Poke-BODY</b> Withering Dust 
<br>As long as Beautifly is in play, do not apply resistance for all Active Pokemon."
83755,Beautifly,Beautifly,https://tcgplayer-cdn.tcgplayer.com/product/83755_200w.jpg,3,1393,https://cpt.tcgcsv.com/7wH,2023-12-21T20:33:26.113,1,2/109,Holo Rare,Grass,80,Stage 2,"[G] Stun Spore (20) 
<br>Flip a coin.  If heads, the Defending Pokemon is now Paralyzed.","[2G] Parallel Gain (50) 
<br>Remove 1 damage counter from each of your Pokemon including Beautifly.",,R,None,0,15.69,23.9,99.99,21.21,,Reverse Holofoil,"<b>Poke-BODY</b> Withering Dust 
<br>As long as Beautifly is in play, do not apply resistance for all Active Pokemon."
83903,Blaziken - 3/109,Blaziken 3 109,https://tcgplayer-cdn.tcgplayer.com/product/83903_200w.jpg,3,1393,https://cpt.tcgcsv.com/5BH,2023-12-21T20:33:39.177,1,3/109,Holo Rare,Fire,100,Stage 2,"[2R] Fire Stream (50) 
<br>Discard a Fire Energy card attached to Blaziken.  If you do, this attack does 10 damage to each of your opponent's Benched Pokemon.  <i>(Don't apply Weakness and Resistance for Benched Pokemon.)</i>",,,W,None,2,60.9,67.33,103.99,72.85,,Holofoil,"<b>Poke-POWER</b> Firestarter 
<br>Once during your turn <em>(before your attack)</em>, you may attach a Fire Energy card from your discard pile to 1 of your Benched Pokemon.  This power can't be used if Blaziken is affected by a Special Condition."
83903,Blaziken - 3/109,Blaziken 3 109,https://tcgplayer-cdn.tcgplayer.com/product/83903_200w.jpg,3,1393,https://cpt.tcgcsv.com/5BH,2023-12-21T20:33:39.177,1,3/109,Holo Rare,Fire,100,Stage 2,"[2R] Fire Stream (50) 
<br>Discard a Fire Energy card attached to Blaziken.  If you do, this attack does 10 damage to each of your opponent's Benched Pokemon.  <i>(Don't apply Weakness and Resistance for Benched Pokemon.)</i>",,,W,None,2,88.49,118.41,149.96,123.33,123.49,Reverse Holofoil,"<b>Poke-POWER</b> Firestarter 
<br>Once during your turn <em>(before your attack)</em>, you may attach a Fire Energy card from your discard pile to 1 of your Benched Pokemon.  This power can't be used if Blaziken is affected by a Special Condition."
83904,Blaziken - 15/109,Blaziken 15 109,https://tcgplayer-cdn.tcgplayer.com/product/83904_200w.jpg,3,1393,https://cpt.tcgcsv.com/6BH,2023-12-21T20:36:02.743,1,15/109,Rare,Fire,110,Stage 2,"[2] Clutch (20) 
<br>The Defending Pokemon can't retreat until the end of your opponent's next turn.","[3R] Flamethrower (80) 
<br>Discard a Fire Energy card attached to Blaziken.",,W,None,2,0.99,2.1,5.99,2.55,,Normal,
83904,Blaziken - 15/109,Blaziken 15 109,https://tcgplayer-cdn.tcgplayer.com/product/83904_200w.jpg,3,1393,https://cpt.tcgcsv.com/6BH,2023-12-21T20:36:02.743,1,15/109,Rare,Fire,110,Stage 2,"[2] Clutch (20) 
<br>The Defending Pokemon can't retreat until the end of your opponent's next turn.","[3R] Flamethrower (80) 
<br>Discard a Fire Energy card attached to Blaziken.",,W,None,2,25.0,27.28,4321.0,31.75,,Reverse Holofoil,
83953,Breloom,Breloom,https://tcgplayer-cdn.tcgplayer.com/product/83953_200w.jpg,3,1393,https://cpt.tcgcsv.com/5CH,2023-12-21T20:36:10.91,1,16/109,Rare,Grass,70,Stage 1,[2] Headbutt (20),"[2G] Battle Blast (40+)
<br>Does 40 damage plus 10 more damage for each Fightning Energy attached to Breloom.",,R,None,1,0.42,2.0,5.0,2.13,,Normal,
83953,Breloom,Breloom,https://tcgplayer-cdn.tcgplayer.com/product/83953_200w.jpg,3,1393,https://cpt.tcgcsv.com/5CH,2023-12-21T20:36:10.91,1,16/109,Rare,Grass,70,Stage 1,[2] Headbutt (20),"[2G] Battle Blast (40+)
<br>Does 40 damage plus 10 more damage for each Fightning Energy attached to Breloom.",,R,None,1,5.0,10.53,20.0,12.76,,Reverse Holofoil,
84087,Camerupt,Camerupt,https://tcgplayer-cdn.tcgplayer.com/product/84087_200w.jpg,3,1393,https://cpt.tcgcsv.com/MFH,2023-12-21T20:33:53.743,1,4/109,Holo Rare,Fire,90,Stage 1,"[1R] Lava Burn (20) 
<br>Choose 1 of your opponent's Benched Pokemon.  This attack does 10 damage to that Pokemon.  <i>(Don't apply weakness and resistance for Benched Pokemon.)</i>","[2RR] Fire Spin (100) 
<br>Discard 2 Basic Energy cards attached to Camerupt or this attack does nothing.",,W,None,3,5.31,7.25,20.0,9.17,,Holofoil,
84087,Camerupt,Camerupt,https://tcgplayer-cdn.tcgplayer.com/product/84087_200w.jpg,3,1393,https://cpt.tcgcsv.com/MFH,2023-12-21T20:33:53.743,1,4/109,Holo Rare,Fire,90,Stage 1,"[1R] Lava Burn (20) 
<br>Choose 1 of your opponent's Benched Pokemon.  This attack does 10 damage to that Pokemon.  <i>(Don't apply weakness and resistance for Benched Pokemon.)</i>","[2RR] Fire Spin (100) 
<br>Discard 2 Basic Energy cards attached to Camerupt or this attack does nothing.",,W,None,3,6.4,13.2,19.99,6.6,,Reverse Holofoil,
84111,Carvanha,Carvanha,https://tcgplayer-cdn.tcgplayer.com/product/84111_200w.jpg,3,1393,https://cpt.tcgcsv.com/fGH,2025-12-01T22:32:28.847,1,51/109,Common,Water,40,Basic,"[1] Big Bite (10) 
<br>The Defending Pokemon can't retreat until the end of your opponent's next turn.",,,L,None,1,0.25,0.61,20.5,0.66,4.49,Normal,"<b>Poke-BODY</b> Rough Skin
<br>If Carvanha is your Active Pokemon and is damaged by an opponent's attack<em> (even if Carvanha is Knocked Out)</em>, put 1 damage counter on the Attacking Pokemon."
84111,Carvanha,Carvanha,https://tcgplayer-cdn.tcgplayer.com/product/84111_200w.jpg,3,1393,https://cpt.tcgcsv.com/fGH,2025-12-01T22:32:28.847,1,51/109,Common,Water,40,Basic,"[1] Big Bite (10) 
<br>The Defending Pokemon can't retreat until the end of your opponent's next turn.",,,L,None,1,4.22,9.74,12.33,9.42,,Reverse Holofoil,"<b>Poke-BODY</b> Rough Skin
<br>If Carvanha is your Active Pokemon and is damaged by an opponent's attack<em> (even if Carvanha is Knocked Out)</em>, put 1 damage counter on the Attacking Pokemon."
84119,Cascoon,Cascoon,https://tcgplayer-cdn.tcgplayer.com/product/84119_200w.jpg,3,1393,https://cpt.tcgcsv.com/pGH,2023-12-21T20:53:22.993,1,26/109,Uncommon,Grass,70,Stage 1,"[G] Poison Thread 
<br>The Defending Pokemon is now Poisoned.",,,R,None,2,1.5,2.69,8.0,2.54,,Normal,"<b>Poke-BODY</b> Hard Cocoon
<br>During your opponent's turn, if Cascoon would be damaged by an opponent's attack <em>(after applying Weakness and Resistance)</em>, flip a coin.  If heads, reduce that damage by 30."
