productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extCardText,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extWeakness,extResistance,extRetreatCost,extAttack2,extAttack3
133773,Burning Shadows Booster Box,Burning Shadows Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/133773_200w.jpg,3,1957,https://cpt.tcgcsv.com/tw52,2023-08-18T17:59:03.433,1,Each booster display box contains 36 booster packs.,1149.99,1394.44,3499.95,1293.12,,Normal,,,,,,,,,,,
133774,Burning Shadows Booster Pack,Burning Shadows Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/133774_200w.jpg,3,1957,https://cpt.tcgcsv.com/vw52,2017-06-29T12:40:19.817,1,,18.99,29.99,39.99,21.31,,Normal,,,,,,,,,,,
133775,Tapu Lele Pin Collection,Tapu Lele Pin Collection,https://tcgplayer-cdn.tcgplayer.com/product/133775_200w.jpg,3,1957,https://cpt.tcgcsv.com/ww52,2020-11-16T14:22:01.727,1,,119.99,126.0,132.0,,,Normal,,,,,,,,,,,
133776,Burning Shadows Elite Trainer Box,Burning Shadows Elite Trainer Box,https://tcgplayer-cdn.tcgplayer.com/product/133776_200w.jpg,3,1957,https://cpt.tcgcsv.com/xw52,2017-06-29T12:38:18.583,1,,305.0,348.96,524.39,296.02,,Normal,,,,,,,,,,,
133777,"Burning Shadows Theme Deck - ""Rock Steady"" [Lycanroc]",Burning Shadows Theme Deck Rock Steady Lycanroc,https://tcgplayer-cdn.tcgplayer.com/product/133777_200w.jpg,3,1957,https://cpt.tcgcsv.com/zw52,2021-02-17T16:02:15.16,1,"<em>Loyal and Tough!
<br>
Steady nerves and a sharp punch: Lycanroc is ready to stand and fight! This hardworking deck puts both Fighting- and Psychic-type Pokemon at your fingertips—for strength of body and mind. Keep total focus with the Rock Steady theme deck!</em>
<br><br><strong>Contents:</strong>
<br>• 1 60-card preconstructed deck
<br>• Damage counters
<br>• 1 coin",8.99,15.0,50.0,11.68,,Normal,,,,,,,,,,,
133778,"Burning Shadows Theme Deck - ""Luminous Frost"" [Alolan Ninetales]",Burning Shadows Theme Deck Luminous Frost Alolan Ninetales,https://tcgplayer-cdn.tcgplayer.com/product/133778_200w.jpg,3,1957,https://cpt.tcgcsv.com/Bw52,2021-02-17T16:02:09.55,1,"<em>Nine Tales of Courage!
<br>
Alolan Ninetales is keeping it frosty—and its friends are super-hot! Opposites attract when you fuse Fire and Water types, offering two paths to victory. With passionate fire and cool moves, the Luminous Frost deck is all about a winning attitude!</em>
<br><br><strong>Contents:</strong>
<br>• 1 60-card preconstructed deck
<br>• Damage counters
<br>• 1 coin",18.0,23.99,50.0,18.48,,Normal,,,,,,,,,,,
136597,Burning Shadows Single Pack Blister [Jangmo-o],Burning Shadows Single Pack Blister Jangmo o,https://tcgplayer-cdn.tcgplayer.com/product/136597_200w.jpg,3,1957,https://cpt.tcgcsv.com/ZF62,2018-10-10T15:13:04.447,1,"Each blister comes with a single booster pack of Burning Shadows, 1 coin, and a cosmos holofoil of Jangmo-o.",40.0,40.0,40.0,49.99,,Normal,,,,,,,,,,,
136598,Burning Shadows Single Pack Blister [Komala],Burning Shadows Single Pack Blister Komala,https://tcgplayer-cdn.tcgplayer.com/product/136598_200w.jpg,3,1957,https://cpt.tcgcsv.com/-F62,2018-10-10T15:13:11.067,1,"Each blister comes with a single booster pack of Burning Shadows, 1 coin, and a cosmos holofoil of Komala.",43.99,44.0,44.0,44.99,,Normal,,,,,,,,,,,
136599,Burning Shadows 3 Pack Blister [Alolan Meowth],Burning Shadows 3 Pack Blister Alolan Meowth,https://tcgplayer-cdn.tcgplayer.com/product/136599_200w.jpg,3,1957,https://cpt.tcgcsv.com/_F62,2018-10-10T15:12:48.753,1,"Each 3 Pack blister comes with 3 Burning Shadows Booster packs, 1 coin, and a cosmos holofoil of Alolan Meowth.",120.0,123.99,149.95,123.99,,Normal,,,,,,,,,,,
136600,Burning Shadows 3 Pack Blister [Cosmog],Burning Shadows 3 Pack Blister Cosmog,https://tcgplayer-cdn.tcgplayer.com/product/136600_200w.jpg,3,1957,https://cpt.tcgcsv.com/0G62,2018-10-10T15:12:53.22,1,"Each 3 Pack blister comes with 3 Burning Shadows Booster packs, 1 coin, and a cosmos holofoil of Cosmog.",145.99,147.97,149.95,126.66,,Normal,,,,,,,,,,,
138271,Caterpie,Caterpie,https://tcgplayer-cdn.tcgplayer.com/product/138271_200w.jpg,3,1957,https://cpt.tcgcsv.com/rk72,2026-01-23T14:14:28.39,1,,0.02,0.2,4.0,0.2,,Normal,1/147,Common,Grass,50,Basic,"[G] Surprise Attack (20)
<br>Flip a coin. If tails, this attack does nothing.",Rx2,None,1,,
