productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extWeakness,extResistance,extRetreatCost,extAttack2,extCardText,extAttack3,extUPC
146995,Crimson Invasion Booster Box,Crimson Invasion Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/146995_200w.jpg,3,2071,https://cpt.tcgcsv.com/WPb2,2017-11-03T15:07:57.163,1,699.99,749.0,999.99,509.28,,Normal,,,,,,,,,,,,,
146996,Crimson Invasion Booster Pack,Crimson Invasion Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/146996_200w.jpg,3,2071,https://cpt.tcgcsv.com/XPb2,2017-10-30T14:39:04.553,1,14.0,19.24,42.99,15.36,,Normal,,,,,,,,,,,,,
149022,Weedle,Weedle,https://tcgplayer-cdn.tcgplayer.com/product/149022_200w.jpg,3,2071,https://cpt.tcgcsv.com/sDc2,2022-12-05T19:05:27.163,1,0.02,0.18,19.5,0.14,0.15,Normal,1/111,Common,Grass,50,Basic,"[G] Poison Sting
<br>Your opponent's Active Pokemon is now Poisoned.",Rx2,None,1,,,,
149022,Weedle,Weedle,https://tcgplayer-cdn.tcgplayer.com/product/149022_200w.jpg,3,2071,https://cpt.tcgcsv.com/sDc2,2022-12-05T19:05:27.163,1,0.2,0.39,2.47,0.36,,Reverse Holofoil,1/111,Common,Grass,50,Basic,"[G] Poison Sting
<br>Your opponent's Active Pokemon is now Poisoned.",Rx2,None,1,,,,
149023,Kakuna,Kakuna,https://tcgplayer-cdn.tcgplayer.com/product/149023_200w.jpg,3,2071,https://cpt.tcgcsv.com/tDc2,2026-02-11T15:52:30.437,1,0.01,0.2,4.0,0.18,0.1,Normal,2/111,Uncommon,Grass,80,Stage 1,"[G] Multiply
<br>Search your deck for up to 3 Kakuna and put them onto your Bench. Then, shuffle your deck.",Rx2,None,2,,,,
149023,Kakuna,Kakuna,https://tcgplayer-cdn.tcgplayer.com/product/149023_200w.jpg,3,2071,https://cpt.tcgcsv.com/tDc2,2026-02-11T15:52:30.437,1,0.19,0.3,2.39,0.3,0.3,Reverse Holofoil,2/111,Uncommon,Grass,80,Stage 1,"[G] Multiply
<br>Search your deck for up to 3 Kakuna and put them onto your Bench. Then, shuffle your deck.",Rx2,None,2,,,,
149024,Beedrill,Beedrill,https://tcgplayer-cdn.tcgplayer.com/product/149024_200w.jpg,3,2071,https://cpt.tcgcsv.com/vDc2,2025-02-05T21:26:06.89,1,0.06,0.26,3.0,0.27,0.25,Normal,3/111,Rare,Grass,120,Stage 2,"[G] Sudden Sting (10)
<br>If this Pokemon evolved from Kakuna during this turn, your opponent's Active Pokemon is now Paralyzed and Poisoned.",Rx2,None,0,[G] Sharp Sting (60),,,
149024,Beedrill,Beedrill,https://tcgplayer-cdn.tcgplayer.com/product/149024_200w.jpg,3,2071,https://cpt.tcgcsv.com/vDc2,2025-02-05T21:26:06.89,1,0.25,0.44,5.4,0.42,,Reverse Holofoil,3/111,Rare,Grass,120,Stage 2,"[G] Sudden Sting (10)
<br>If this Pokemon evolved from Kakuna during this turn, your opponent's Active Pokemon is now Paralyzed and Poisoned.",Rx2,None,0,[G] Sharp Sting (60),,,
149025,Exeggcute,Exeggcute,https://tcgplayer-cdn.tcgplayer.com/product/149025_200w.jpg,3,2071,https://cpt.tcgcsv.com/wDc2,2026-02-11T15:54:18.997,1,0.01,0.15,4.0,0.11,0.06,Normal,4/111,Common,Grass,50,Basic,"[1] Hypnosis
<br>Your opponent's Active Pokemon is now Asleep.",Rx2,None,1,[G] Ram (10),,,
149025,Exeggcute,Exeggcute,https://tcgplayer-cdn.tcgplayer.com/product/149025_200w.jpg,3,2071,https://cpt.tcgcsv.com/wDc2,2026-02-11T15:54:18.997,1,0.09,0.27,1.49,0.28,0.09,Reverse Holofoil,4/111,Common,Grass,50,Basic,"[1] Hypnosis
<br>Your opponent's Active Pokemon is now Asleep.",Rx2,None,1,[G] Ram (10),,,
149026,Cacnea,Cacnea,https://tcgplayer-cdn.tcgplayer.com/product/149026_200w.jpg,3,2071,https://cpt.tcgcsv.com/xDc2,2026-02-11T16:48:28.227,1,0.01,0.17,3.0,0.17,0.07,Normal,5/111,Common,Grass,60,Basic,"[G] Sucker Punch (10+)
<br>If this Pokemon has any Darkness Energy attached to it, this attack does 30 more damage.",Rx2,None,1,,,,
149026,Cacnea,Cacnea,https://tcgplayer-cdn.tcgplayer.com/product/149026_200w.jpg,3,2071,https://cpt.tcgcsv.com/xDc2,2026-02-11T16:48:28.227,1,0.14,0.27,1.5,0.27,0.25,Reverse Holofoil,5/111,Common,Grass,60,Basic,"[G] Sucker Punch (10+)
<br>If this Pokemon has any Darkness Energy attached to it, this attack does 30 more damage.",Rx2,None,1,,,,
149027,Cacturne,Cacturne,https://tcgplayer-cdn.tcgplayer.com/product/149027_200w.jpg,3,2071,https://cpt.tcgcsv.com/zDc2,2025-11-21T03:20:15.243,1,0.03,0.27,3.0,0.32,0.25,Normal,6/111,Rare,Grass,110,Stage 1,"[G] Spike Rend (30+)
<br>If your opponent's Active Pokemon already has any damage counters on it, this attack does 60 more damage.",Rx2,None,2,"[1G] Hunt
<br>Switch 1 of your opponent's Benched Pokemon with their Active Pokemon. This attack does 40 damage to the new Active Pokemon.",,,
149027,Cacturne,Cacturne,https://tcgplayer-cdn.tcgplayer.com/product/149027_200w.jpg,3,2071,https://cpt.tcgcsv.com/zDc2,2025-11-21T03:20:15.243,1,0.17,0.4,1.49,0.4,0.5,Reverse Holofoil,6/111,Rare,Grass,110,Stage 1,"[G] Spike Rend (30+)
<br>If your opponent's Active Pokemon already has any damage counters on it, this attack does 60 more damage.",Rx2,None,2,"[1G] Hunt
<br>Switch 1 of your opponent's Benched Pokemon with their Active Pokemon. This attack does 40 damage to the new Active Pokemon.",,,
149028,Karrablast,Karrablast,https://tcgplayer-cdn.tcgplayer.com/product/149028_200w.jpg,3,2071,https://cpt.tcgcsv.com/BDc2,2026-02-11T16:52:03.287,1,0.01,0.15,4.0,0.1,0.1,Normal,7/111,Common,Grass,60,Basic,[3] Peck (30),Rx2,None,2,,"<strong>Ability — Shell On</strong>
<br>Once during your turn <em>(before your attack)</em>, you may discard a Shelmet from your hand. If you do, search your deck for a card that evolves from this Pokemon and put it onto this Pokemon to evolve it. Then, shuffle your deck.",,
149028,Karrablast,Karrablast,https://tcgplayer-cdn.tcgplayer.com/product/149028_200w.jpg,3,2071,https://cpt.tcgcsv.com/BDc2,2026-02-11T16:52:03.287,1,0.1,0.26,19.5,0.25,0.19,Reverse Holofoil,7/111,Common,Grass,60,Basic,[3] Peck (30),Rx2,None,2,,"<strong>Ability — Shell On</strong>
<br>Once during your turn <em>(before your attack)</em>, you may discard a Shelmet from your hand. If you do, search your deck for a card that evolves from this Pokemon and put it onto this Pokemon to evolve it. Then, shuffle your deck.",,
149029,Shelmet,Shelmet,https://tcgplayer-cdn.tcgplayer.com/product/149029_200w.jpg,3,2071,https://cpt.tcgcsv.com/CDc2,2025-11-21T03:33:52.453,1,0.03,0.15,3.0,0.12,0.12,Normal,8/111,Common,Grass,60,Basic,"[G] Absorb (10)
<br>Heal 10 damage from this Pokemon.",Rx2,None,3,,,,
149029,Shelmet,Shelmet,https://tcgplayer-cdn.tcgplayer.com/product/149029_200w.jpg,3,2071,https://cpt.tcgcsv.com/CDc2,2025-11-21T03:33:52.453,1,0.1,0.31,1.54,0.3,0.25,Reverse Holofoil,8/111,Common,Grass,60,Basic,"[G] Absorb (10)
<br>Heal 10 damage from this Pokemon.",Rx2,None,3,,,,
149030,Accelgor,Accelgor,https://tcgplayer-cdn.tcgplayer.com/product/149030_200w.jpg,3,2071,https://cpt.tcgcsv.com/DDc2,2022-12-05T19:06:29.107,1,0.01,0.15,4.0,0.08,0.08,Normal,9/111,Uncommon,Grass,90,Stage 1,"[1] Recover
<br>Discard an Energy from this Pokemon and heal all damage from it.",Rx2,None,1,[1G] Speed Attack (70),,,
149030,Accelgor,Accelgor,https://tcgplayer-cdn.tcgplayer.com/product/149030_200w.jpg,3,2071,https://cpt.tcgcsv.com/DDc2,2022-12-05T19:06:29.107,1,0.04,0.27,2.31,0.24,,Reverse Holofoil,9/111,Uncommon,Grass,90,Stage 1,"[1] Recover
<br>Discard an Energy from this Pokemon and heal all damage from it.",Rx2,None,1,[1G] Speed Attack (70),,,
149031,Skiddo,Skiddo,https://tcgplayer-cdn.tcgplayer.com/product/149031_200w.jpg,3,2071,https://cpt.tcgcsv.com/FDc2,2026-02-02T21:36:12.083,1,0.01,0.2,1.49,0.2,,Normal,10/111,Common,Grass,70,Basic,[2] Seed Bomb (20),Rx2,None,1,,,,
149031,Skiddo,Skiddo,https://tcgplayer-cdn.tcgplayer.com/product/149031_200w.jpg,3,2071,https://cpt.tcgcsv.com/FDc2,2026-02-02T21:36:12.083,1,0.05,0.27,4.0,0.27,,Reverse Holofoil,10/111,Common,Grass,70,Basic,[2] Seed Bomb (20),Rx2,None,1,,,,
149032,Gogoat,Gogoat,https://tcgplayer-cdn.tcgplayer.com/product/149032_200w.jpg,3,2071,https://cpt.tcgcsv.com/GDc2,2026-01-14T13:03:06.92,1,0.19,0.4,19.5,0.36,0.33,Holofoil,11/111,Holo Rare,Grass,120,Stage 1,"[2G] Horn Leech (80)
<br>Heal 20 damage from this Pokemon.",Rx2,None,2,,"<strong>Ability — Sap Sipper</strong>
<br>This Pokemon's attacks do 80 more damage to your opponent's Grass Pokemon <em>(before applying Weakness and Resistance)</em>.",,
