productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extCardText,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extWeakness,extResistance,extRetreatCost,extAttack2,extAttack3,extUPC
129888,Guardians Rising Booster Box,Guardians Rising Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/129888_200w.jpg,3,1919,https://cpt.tcgcsv.com/NZ22,2024-02-13T21:37:29.9,1,"Island Guardians, Ready for Battle!
<br>
<br>Visit Alola for Pokémon fun, from the beaches to the mountain peaks—and discover new traditions and new challenges! Sharpen your skills, meet new Pokémon, and be amazed by their secret powers. Come to the islands, and seize the power of the Pokémon TCG: Sun & Moon—Guardians Rising expansion!
<br>
<br>• Each Sun & Moon: Guardians Rising - booster box contains 36 booster packs.
<br>• Each Sun & Moon: Guardians Rising - booster pack contains 10 randomly inserted game cards.
<br>
<br>Cards vary by pack. Packs may vary by products.",3395.99,3599.5,3700.0,1549.49,,Normal,,,,,,,,,,,,
129889,Guardians Rising Booster Pack,Guardians Rising Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/129889_200w.jpg,3,1919,https://cpt.tcgcsv.com/PZ22,2024-02-13T21:38:22.247,1,"Island Guardians, Ready for Battle!
<br>
<br>Visit Alola for Pokémon fun, from the beaches to the mountain peaks—and discover new traditions and new challenges! Sharpen your skills, meet new Pokémon, and be amazed by their secret powers. Come to the islands, and seize the power of the Pokémon TCG: Sun & Moon—Guardians Rising expansion!
<br>
<br>• Each Sun & Moon: Guardians Rising - booster pack contains 10 randomly inserted game cards.
<br>
<br>Cards vary by pack.",26.99,30.0,49.99,23.89,,Normal,,,,,,,,,,,,
129890,Guardians Rising Elite Trainer Box,Guardians Rising Elite Trainer Box,https://tcgplayer-cdn.tcgplayer.com/product/129890_200w.jpg,3,1919,https://cpt.tcgcsv.com/QZ22,2024-02-13T21:45:40.337,1,"Island Guardians, Ready for Battle!
<br>
<br>Visit Alola for Pokémon fun, from the beaches to the mountain peaks—and discover new traditions and new challenges! Meet the island guardians Tapu Koko-GX and Tapu Lele-GX, and sharpen your skills with Kahuna Hala and Captain Mallow! Be amazed by the secret powers of Kommo-o-GX, Lycanroc-GX, Metagross-GX, Sylveon-GX, Toxapex-GX, Vikavolt-GX, and many more! Come to the islands, and seize the power of the Pokémon TCG: Sun & Moon—Guardians Rising expansion!
<br>
<br>The Pokémon TCG: Sun & Moon—Guardians Rising Elite Trainer Box includes:
<br>
<br>• 8 Pokémon TCG: Sun & Moon—Guardians Rising booster packs
<br>• 65 Card sleeves featuring Tapu Koko
<br>• 45 Pokémon TCG Energy cards
<br>• A player's guide to the Sun & Moon—Guardians Rising expansion
<br>• 6 Damage-counter dice
<br>• 1 Competition-legal coin-flip die
<br>• 2 Acrylic condition markers and 1 acrylic GX marker
<br>• A collector's box to hold everything, with 4 dividers to keep it organized
<br>• A code card for the Pokémon Trading Card Game Online
<br>
<br>(Each booster pack contains 10 randomly inserted game cards)
<br>
<br>Cards vary by pack. Packs may vary by product.",379.95,423.99,1999.99,360.39,,Normal,,,,,,,,,,,,
129891,"Guardians Rising Theme Deck - ""Hidden Moon"" [Lunala]",Guardians Rising Theme Deck Hidden Moon Lunala,https://tcgplayer-cdn.tcgplayer.com/product/129891_200w.jpg,3,1919,https://cpt.tcgcsv.com/RZ22,2018-10-03T12:35:24.517,1,"<em>Dark Wings of Mystery!
<br>
Hurtling across the sky on purple wings, Lunala leads a fiery crew of Pokémon! Keep your Pokemon evolving and bide your time until you reveal the power of the Hidden Moon theme deck!<em>
<br>
<br><strong>Contents:</strong>
<br>• 1 60-card preconstructed deck
<br>• Damage counters
<br>• 1 coin",29.95,29.95,29.95,19.05,,Normal,,,,,,,,,,,,
129892,"Guardians Rising Theme Deck - ""Steel Sun"" [Solgaleo]",Guardians Rising Theme Deck Steel Sun Solgaleo,https://tcgplayer-cdn.tcgplayer.com/product/129892_200w.jpg,3,1919,https://cpt.tcgcsv.com/SZ22,2018-10-03T12:34:39.043,1,"<em>Bright Light of Victory!
<br>
A Pokemon of fiery power: Solgaleo! This well-tempered deck puts both Metal and Psychic power in your hands—and tests your opponent’s mettle. Stay sharp with the Steel Sun theme deck!</em>
<br>
<br><strong>Contents:</strong>
<br>• 1 60-card preconstructed deck
<br>• Damage counters
<br>• 1 coin",15.02,19.99,29.95,15.02,,Normal,,,,,,,,,,,,
130686,Bellsprout,Bellsprout,https://tcgplayer-cdn.tcgplayer.com/product/130686_200w.jpg,3,1919,https://cpt.tcgcsv.com/Lh32,2026-02-10T13:47:33.743,1,,0.02,0.18,4.0,0.16,,Normal,1/145,Common,Grass,60,Basic,[1G] Vine Whip (30),Rx2,None,1,,,
130686,Bellsprout,Bellsprout,https://tcgplayer-cdn.tcgplayer.com/product/130686_200w.jpg,3,1919,https://cpt.tcgcsv.com/Lh32,2026-02-10T13:47:33.743,1,,0.01,0.38,2.45,0.38,,Reverse Holofoil,1/145,Common,Grass,60,Basic,[1G] Vine Whip (30),Rx2,None,1,,,
130687,Weepinbell,Weepinbell,https://tcgplayer-cdn.tcgplayer.com/product/130687_200w.jpg,3,1919,https://cpt.tcgcsv.com/Mh32,2025-11-21T00:47:29.807,1,,0.03,0.2,1.49,0.12,0.07,Normal,2/145,Uncommon,Grass,80,Stage 1,"[1G] Muddy Acid (40)
<br>Flip a coin. If heads, discard an Energy from your opponent's Active Pokemon.",Rx2,None,2,,,
130687,Weepinbell,Weepinbell,https://tcgplayer-cdn.tcgplayer.com/product/130687_200w.jpg,3,1919,https://cpt.tcgcsv.com/Mh32,2025-11-21T00:47:29.807,1,,0.15,0.34,5.01,0.34,,Reverse Holofoil,2/145,Uncommon,Grass,80,Stage 1,"[1G] Muddy Acid (40)
<br>Flip a coin. If heads, discard an Energy from your opponent's Active Pokemon.",Rx2,None,2,,,
130688,Victreebel,Victreebel,https://tcgplayer-cdn.tcgplayer.com/product/130688_200w.jpg,3,1919,https://cpt.tcgcsv.com/Nh32,2025-02-05T21:23:53.673,1,,0.09,0.33,1.55,0.31,0.25,Normal,3/145,Rare,Grass,140,Stage 2,"[G] Pollen Hazard (20)
<br>Your opponent's Active Pokemon is now Burned, Confused, and Poisoned.",Rx2,None,2,"[2G] Stick and Absorb (80)
<br>Heal 20 damage from this Pokemon. The Defending Pokemon can't retreat during your opponent's next turn.",,
