productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extCardText,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extAttack3,extWeakness,extResistance,extRetreatCost,extUPC
181693,Towering Splash GX Box,Towering Splash GX Box,https://tcgplayer-cdn.tcgplayer.com/product/181693_200w.jpg,3,2377,https://cpt.tcgcsv.com/THs2,2018-12-06T18:32:13.3,1,"The Pokemon TCG: Towering Splash GX Box brings two Water Type Pokemon together, the Magikarp and the Wailord to make a mighty splash. The Tag Team Pokemon will appear together on a foil promo card and an oversize foil card. Together Magikarp and Wailord GX boast 300 HP – the biggest HP total in the Pokemon TCG. The box also includes four Pokemon TCG boosters and a code card for the online game.",,,,,,,,,,,,,,,,,,
181698,Team Up Booster Box,Team Up Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/181698_200w.jpg,3,2377,https://cpt.tcgcsv.com/-Hs2,2018-12-06T19:01:13.797,1,Each Sun & Moon—Team Up booster box contains 36 booster packs <em>(each containing random 10 cards)</em>.,11448.0,11724.0,12000.0,10481.47,,Normal,,,,,,,,,,,,
181699,Team Up Booster Pack,Team Up Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/181699_200w.jpg,3,2377,https://cpt.tcgcsv.com/_Hs2,2020-04-09T23:31:08.127,1,Each Sun&Moon—Team Up booster pack contains random 10 cards.,250.0,299.92,615.0,229.06,,Normal,,,,,,,,,,,,
181700,Team Up 3 Pack Blister [Deoxys],Team Up 3 Pack Blister Deoxys,https://tcgplayer-cdn.tcgplayer.com/product/181700_200w.jpg,3,2377,https://cpt.tcgcsv.com/0Js2,2018-12-06T19:05:35.417,1,"Each blister comes with 3 SM—Team Up booster packs, a coin, and a promotional card of Deoxys.",4499.99,4499.99,4499.99,,,Normal,,,,,,,,,,,,
181701,Team Up 3 Pack Blister [Ultra Necrozma],Team Up 3 Pack Blister Ultra Necrozma,https://tcgplayer-cdn.tcgplayer.com/product/181701_200w.jpg,3,2377,https://cpt.tcgcsv.com/2Js2,2018-12-06T19:05:24.29,1,"Each blister comes with 3 SM—Team Up booster packs, a coin, and a promotional card of Ultra Necrozma.",4499.99,4499.99,4499.99,,,Normal,,,,,,,,,,,,
181702,Team Up Single Pack Blister [Mimikyu],Team Up Single Pack Blister Mimikyu,https://tcgplayer-cdn.tcgplayer.com/product/181702_200w.jpg,3,2377,https://cpt.tcgcsv.com/3Js2,2023-03-27T13:52:43.963,1,"Each blister comes with 1 SM—Team Up booster packs, a coin, and a promotional card of Mimikyu.",324.99,429.0,595.0,278.91,,Normal,,,,,,,,,,,,
181703,Team Up Single Pack Blister [Pikachu],Team Up Single Pack Blister Pikachu,https://tcgplayer-cdn.tcgplayer.com/product/181703_200w.jpg,3,2377,https://cpt.tcgcsv.com/5Js2,2021-03-15T16:46:37.953,1,"Each blister comes with 1 SM—Team Up booster packs, a coin, and a promotional card of Pikachu.",414.98,430.0,599.99,389.42,,Normal,,,,,,,,,,,,
181704,Team Up Elite Trainer Box,Team Up Elite Trainer Box,https://tcgplayer-cdn.tcgplayer.com/product/181704_200w.jpg,3,2377,https://cpt.tcgcsv.com/6Js2,2019-01-24T14:52:25.443,1,"<strong>Contents:</strong>
<br>• 8 Team Up booster packs
<br>• 65 card sleeves
<br>• 45 Energy cards
<br>• A player's guide
<br>• 6 damage-counter dice
<br>• Competition-legal coin-flip die
<br>• 2 acrylic condition markers
<br>• 1 acrylic GX marker
<br>• A collector's box
<br>• 4 dividers
<br>• A Pokemon Trading Card Game Online code card",4000.0,4000.0,4000.0,3262.15,,Normal,,,,,,,,,,,,
181705,"Team Up Theme Deck - ""Relentless Flame"" [Charizard]",Team Up Theme Deck Relentless Flame Charizard,https://tcgplayer-cdn.tcgplayer.com/product/181705_200w.jpg,3,2377,https://cpt.tcgcsv.com/7Js2,2019-01-25T22:06:49.787,1,"<strong>Contents:</strong>
<br>• 1 60-card preconstructed deck 
<br>• Damage counters 
<br>• 1 coin",71.0,80.0,90.0,69.33,,Normal,,,,,,,,,,,,
181706,"Team Up Theme Deck - ""Torrential Cannon"" [Blastoise]",Team Up Theme Deck Torrential Cannon Blastoise,https://tcgplayer-cdn.tcgplayer.com/product/181706_200w.jpg,3,2377,https://cpt.tcgcsv.com/8Js2,2023-03-28T12:39:24.797,1,"<strong>Contents:</strong>
<br>• 1 60-card preconstructed deck 
<br>• Damage counters 
<br>• 1 coin",59.99,70.95,78.0,67.81,,Normal,,,,,,,,,,,,
