productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extCardText,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extAttack3,extWeakness,extResistance,extRetreatCost,extUPC
185717,Unbroken Bonds Booster Box,Unbroken Bonds Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/185717_200w.jpg,3,2420,https://cpt.tcgcsv.com/mjv2,2019-04-10T18:04:38.007,1,Each Sun & Moon—Unbroken Bonds booster box contains 36 booster packs <em>(each containing random 10 cards)</em>.,2398.0,2787.77,7899.95,2558.71,,Normal,,,,,,,,,,,,
185718,Unbroken Bonds Booster Pack,Unbroken Bonds Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/185718_200w.jpg,3,2420,https://cpt.tcgcsv.com/njv2,2019-03-20T17:55:23.857,1,Each Sun & Moon—Unbroken Bonds booster pack contains 10 random cards.,60.96,80.0,400.0,62.5,,Normal,,,,,,,,,,,,
185719,Unbroken Bonds Elite Trainer Box,Unbroken Bonds Elite Trainer Box,https://tcgplayer-cdn.tcgplayer.com/product/185719_200w.jpg,3,2420,https://cpt.tcgcsv.com/pjv2,2019-04-10T18:04:18.987,1,"<strong>Contents:</strong>
<br>• 8 Unbroken Bonds booster packs
<br>• 65 card sleeves
<br>• 45 Energy cards
<br>• A player's guide
<br>• 6 damage-counter dice
<br>• Competition-legal coin-flip die
<br>• 2 acrylic condition markers
<br>• 1 acrylic GX marker
<br>• A collector's box
<br>• 4 dividers
<br>• A Pokemon Trading Card Game Online code card",,,,,,,,,,,,,,,,,,
188399,Unbroken Bonds Battle Minds Theme Deck - [Mewtwo],Unbroken Bonds Battle Minds Theme Deck Mewtwo,https://tcgplayer-cdn.tcgplayer.com/product/188399_200w.jpg,3,2420,https://cpt.tcgcsv.com/_mw2,2019-11-22T16:04:11.783,1,"<br><strong>Contents:</strong>
<br>• 1 60-card preconstructed deck
<br>• Damage counters
<br>• 1 coin",23.44,25.14,26.84,26.53,,Normal,,,,,,,,,,,,
188400,Unbroken Bonds Lightning Loop Theme Deck - [Zeraora],Unbroken Bonds Lightning Loop Theme Deck Zeraora,https://tcgplayer-cdn.tcgplayer.com/product/188400_200w.jpg,3,2420,https://cpt.tcgcsv.com/0nw2,2019-11-22T16:07:49.487,1,"<br><strong>Contents:</strong>
<br>• 1 60-card preconstructed deck
<br>• Damage counters
<br>• 1 coin",25.99,27.0,38.99,25.99,,Normal,,,,,,,,,,,,
188401,Pheromosa & Buzzwole GX,Pheromosa and Buzzwole GX,https://tcgplayer-cdn.tcgplayer.com/product/188401_200w.jpg,3,2420,https://cpt.tcgcsv.com/2nw2,2026-02-02T20:13:11.593,1,,8.98,11.09,99.69,10.17,11.7,Holofoil,1/214,Ultra Rare,Grass,260,Basic,"[G] Jet Punch (30)
<br>This attack does 30 damage to 1 of your opponent's Benched Pokemon. <em>(Don't apply Weakness and Resistance for Benched Pokemon.)</em>","[1GG] Elegant Sole (190)
<br>During your next turn, this Pokemon's Elegant Sole attacks base damage is 60.","<span style=""color:DarkRed""><strong>[G+] Beast Game GX (50)</strong>
<br>If your opponent's Pokemon is Knocked Out by damage from this attack, take 1 more Prize card. If this Pokmeon has at least 7 extra Energy attached to it <em>(in addition to this attack's cost)</em>, take 3 more Prize cards instead. <em>(You can't use more than 1 GX attack in a game.)</em></span>",Rx2,None,2,
188402,Beast Bringer,Beast Bringer,https://tcgplayer-cdn.tcgplayer.com/product/188402_200w.jpg,3,2420,https://cpt.tcgcsv.com/3nw2,2025-02-07T19:59:42.683,1,"If you have exactly 6 Prize cards remaining, and if your opponent's Active Pokemon GX or Pokemon EX is Knocked Out by damage from an attack of the Ultra Beast this card is attached to, take 1 more Prize card.",0.02,0.2,10.0,0.13,0.1,Normal,164/214,Uncommon,Item,,,,,,,,,
188402,Beast Bringer,Beast Bringer,https://tcgplayer-cdn.tcgplayer.com/product/188402_200w.jpg,3,2420,https://cpt.tcgcsv.com/3nw2,2025-02-07T19:59:42.683,1,"If you have exactly 6 Prize cards remaining, and if your opponent's Active Pokemon GX or Pokemon EX is Knocked Out by damage from an attack of the Ultra Beast this card is attached to, take 1 more Prize card.",0.07,0.3,10.0,0.26,,Reverse Holofoil,164/214,Uncommon,Item,,,,,,,,,
188403,Celesteela GX,Celesteela GX,https://tcgplayer-cdn.tcgplayer.com/product/188403_200w.jpg,3,2420,https://cpt.tcgcsv.com/5nw2,2022-12-13T17:11:34.693,1,"<strong>Ability — Force Canceler</strong>
<br>As long as this Pokemon is your Active Pokemon, prevent all effects of your opponent's GX attacks, including damage, done to your Pokemon.",1.9,2.85,96.95,2.75,,Holofoil,163/214,Ultra Rare,Colorless,200,Basic,"[3] Power Cyclone (110)
<br>Move an Energy from this Pokemon to 1 of your Benched Pokemon.","<span style=""color:DarkRed""><strong>[1] Discovery GX</strong>
<br>Count your Prize cards and put them them into your hand. Then, take that many cards from the top of your deck and put them face down as your Prize cards. If you don't have that many cards in your deck, this attack does nothing. <em>(You can't use more than 1 GX attack in a game.)</em></span>",,Lx2,F-20,4,
188404,Gardevoir & Sylveon GX,Gardevoir and Sylveon GX,https://tcgplayer-cdn.tcgplayer.com/product/188404_200w.jpg,3,2420,https://cpt.tcgcsv.com/6nw2,2026-02-02T19:52:04.13,1,,47.98,62.49,129.95,55.86,69.99,Holofoil,130/214,Ultra Rare,Fairy,260,Basic,"[1] Fairy Song
<br>Search your deck for up to 2 Fairy Energy cards and attach them to your Benched Pokemon in any way you like. Then, shuffle your deck.","[1YY] Kaleidostorm (150)
<br>Move any number of Energy from your Pokemon to your other Pokemon in any way you like.","<span style=""color:Teal""><strong>[YYY+] Magical Miracle GX (200)</strong>
<br>If this Pokemon has at least 3 extra Fairy Energy attached to it <em>(in addition to this attack's cost)</em>, your opponent shuffles their hand into their deck. <em>(You can't use more than 1 GX attack in a game.)</em></span>",Mx2,D-20,2,
