productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extCardText,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extAttack3,extWeakness,extResistance,extRetreatCost,extUPC
191882,Unified Minds Booster Box,Unified Minds Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/191882_200w.jpg,3,2464,https://cpt.tcgcsv.com/GMx2,2019-06-03T18:15:05.027,1,Each Sun & Moon—Unified Minds booster box contains 36 booster packs <em>(each containing random 10 cards)</em>.,2799.99,4400.0,9000.0,2932.76,,Normal,,,,,,,,,,,,
191883,Unified Minds Booster Pack,Unified Minds Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/191883_200w.jpg,3,2464,https://cpt.tcgcsv.com/HMx2,2019-06-10T12:21:11.69,1,Each Sun & Moon—Unified Minds booster pack contains 10 random cards.,56.0,77.0,149.95,67.04,,Normal,,,,,,,,,,,,
191884,Unified Minds 3 Pack Blister [Stakataka],Unified Minds 3 Pack Blister Stakataka,https://tcgplayer-cdn.tcgplayer.com/product/191884_200w.jpg,3,2464,https://cpt.tcgcsv.com/JMx2,2019-06-03T18:17:29.36,1,"Each blister comes with 3 SM—Unified Minds booster packs, a coin, and a promotional card of Stakataka.",259.99,330.0,333.0,150.0,,Normal,,,,,,,,,,,,
191885,Unified Minds 3 Pack Blister [Vikavolt],Unified Minds 3 Pack Blister Vikavolt,https://tcgplayer-cdn.tcgplayer.com/product/191885_200w.jpg,3,2464,https://cpt.tcgcsv.com/KMx2,2019-06-03T18:17:33.14,1,"Each blister comes with 3 SM—Unified Minds booster packs, a coin, and a promotional card of Vikavolk.",259.99,295.0,330.0,224.98,,Normal,,,,,,,,,,,,
191886,Unified Minds Single Pack Blister [Pikachu],Unified Minds Single Pack Blister Pikachu,https://tcgplayer-cdn.tcgplayer.com/product/191886_200w.jpg,3,2464,https://cpt.tcgcsv.com/LMx2,2019-06-03T18:20:36.583,1,"Each blister comes with 1 SM—Unified Minds booster packs, a coin, and a promotional card of Pikachu.",,,,,,,,,,,,,,,,,,
191887,Unified Minds Single Pack Blister [Sudowoodo],Unified Minds Single Pack Blister Sudowoodo,https://tcgplayer-cdn.tcgplayer.com/product/191887_200w.jpg,3,2464,https://cpt.tcgcsv.com/MMx2,2019-06-03T18:20:37.037,1,"Each blister comes with 1 SM—Unified Minds booster packs, a coin, and a promotional card of Sudowoodo.",98.99,99.49,99.99,99.99,,Normal,,,,,,,,,,,,
191888,"Unified Minds Theme Deck - ""Soaring Storm"" [Dragonite]",Unified Minds Theme Deck Soaring Storm Dragonite,https://tcgplayer-cdn.tcgplayer.com/product/191888_200w.jpg,3,2464,https://cpt.tcgcsv.com/NMx2,2019-06-28T20:16:00.547,1,"<strong>Contents:</strong>
<br>• 1 60-card preconstructed deck 
<br>• Damage counters 
<br>• 1 coin",82.98,94.99,139.99,90.9,,Normal,,,,,,,,,,,,
191889,"Unified Minds Theme Deck - ""Laser Focus"" [Necrozma]",Unified Minds Theme Deck Laser Focus Necrozma,https://tcgplayer-cdn.tcgplayer.com/product/191889_200w.jpg,3,2464,https://cpt.tcgcsv.com/PMx2,2019-06-28T20:16:06.87,1,"<strong>Contents:</strong>
<br>• 1 60-card preconstructed deck 
<br>• Damage counters 
<br>• 1 coin",,,,,,,,,,,,,,,,,,
193052,Unified Minds Elite Trainer Box,Unified Minds Elite Trainer Box,https://tcgplayer-cdn.tcgplayer.com/product/193052_200w.jpg,3,2464,https://cpt.tcgcsv.com/3fz2,2019-06-27T17:16:43.293,1,"To stay on top, your team must work as one! You can expand your team with the Pokemon TCG: Sun & Moon—Unified Minds Elite Trainer Box, which contains all sorts of useful items that a Pokemon TCG fan needs. Whether you're a collector or a competitive player, you'll certainly love the eight Sun & Moon—Unified Minds booster packs. And with 65 card sleeves featuring the iconic duo of Mewtwo and Mew, you can keep those cards looking pristine. With a selection of dice, acrylic condition markers, and 45 Energy cards, you'll have just what you need to get yourself into the game. Gain some extra knowledge about the game's mechanics with a player's guide filled with useful strategies and a handy card list. Of course, the box itself is extremely useful for storing all your goodies. Get your Pokemon united for battle with the Pokemon TCG: Sun & Moon—Unified Minds Elite Trainer Box!",1820.0,1999.99,5000.0,1927.69,,Normal,,,,,,,,,,,,
194708,Unified Minds Theme Deck [Set of 2],Unified Minds Theme Deck Set of 2,https://tcgplayer-cdn.tcgplayer.com/product/194708_200w.jpg,3,2464,https://cpt.tcgcsv.com/bVz2,2019-07-18T14:26:17.02,1,"<br>Collect one of each Unified Minds Theme Decks.
<br><strong>Contents for each Deck:</strong>
<br>• 1 60-card preconstructed deck 
<br>• Damage counters 
<br>• 1 coin",149.98,149.98,149.98,,,Normal,,,,,,,,,,,,
194735,Power Partnership Tin [Mewtwo & Mew GX],Power Partnership Tin Mewtwo and Mew GX,https://tcgplayer-cdn.tcgplayer.com/product/194735_200w.jpg,3,2464,https://cpt.tcgcsv.com/KVz2,2019-07-18T19:28:35.127,1,"A powerful partnership makes for a great TAG TEAM—and good partners fight a little harder to win together!
<br>Each tin includes:
<br>• 1 holofoil TAG TEAM GX special art promo of Mewtwo & Mew GX
<br>• 4 Pokemon TCG booster packs
<br>• 1 metal TAG TEAM GX marker
<br>• 1 code card for the Pokemon Trading Card Game Online",799.99,912.44,2500.0,837.99,,Normal,,,,,,,,,,,,
194736,Power Partnership Tin [Lucario & Melmetal GX],Power Partnership Tin Lucario and Melmetal GX,https://tcgplayer-cdn.tcgplayer.com/product/194736_200w.jpg,3,2464,https://cpt.tcgcsv.com/LVz2,2019-07-18T19:29:05.61,1,"A powerful partnership makes for a great TAG TEAM—and good partners fight a little harder to win together!
<br>Each tin includes:
<br>• 1 holofoil TAG TEAM GX special art promo of Lucario & Melmetal GX
<br>• 4 Pokemon TCG booster packs
<br>• 1 metal TAG TEAM GX marker
<br>• 1 code card for the Pokemon Trading Card Game Online",387.66,406.33,424.99,363.33,,Normal,,,,,,,,,,,,
194737,Power Partnership Tin [Garchomp & Giratina GX],Power Partnership Tin Garchomp and Giratina GX,https://tcgplayer-cdn.tcgplayer.com/product/194737_200w.jpg,3,2464,https://cpt.tcgcsv.com/MVz2,2019-07-18T19:29:27.523,1,"A powerful partnership makes for a great TAG TEAM—and good partners fight a little harder to win together!
<br>Each tin includes:
<br>• 1 holofoil TAG TEAM GX special art promo of Garchomp & Giratina GX
<br>• 4 Pokemon TCG booster packs
<br>• 1 metal TAG TEAM GX marker
<br>• 1 code card for the Pokemon Trading Card Game Online",549.99,549.99,549.99,457.5,,Normal,,,,,,,,,,,,
194915,Rowlet & Alolan Exeggutor GX,Rowlet and Alolan Exeggutor GX,https://tcgplayer-cdn.tcgplayer.com/product/194915_200w.jpg,3,2464,https://cpt.tcgcsv.com/k-z2,2026-02-16T16:21:20.42,1,,11.8,15.11,4321.0,13.29,23.84,Holofoil,1/236,Ultra Rare,Grass,270,Basic,"[0] Super Growth
<br>Search your deck for a card that evolves from 1 of your Grass Pokémon and put it onto that Pokémon to evolve it. If that Pokémon is now a Stage 1 Pokémon, search your deck for a Stage 2 Pokémon that evolves from that Pokémon and put it onto that Pokémon to evolve it. Then, shuffle your deck.","[1GG] Calming Hurricane (150)
<br>Heal 30 damage from this Pokémon.","<span style=""color:Teal""><strong>[GGG+] Tropical Hour GX (200)</strong>
<br>If this Pokémon has at least 3 extra Energy attached to it <em>(in addition to this attack's cost)</em>, your opponent shuffles all Energy from all of their Pokémon into their deck.<em>(You can't use more than 1 GX attack in a game.)</em></span>",Rx2,None,3,
194916,Rowlet & Alolan Exeggutor GX (Full Art),Rowlet and Alolan Exeggutor GX Full Art,https://tcgplayer-cdn.tcgplayer.com/product/194916_200w.jpg,3,2464,https://cpt.tcgcsv.com/l-z2,2022-05-16T17:20:07.563,1,,19.17,27.0,77.0,22.65,24.98,Holofoil,214/236,Ultra Rare,Grass,270,Basic,"[0] Super Growth
<br>Search your deck for a card that evolves from 1 of your Grass Pokémon and put it onto that Pokémon to evolve it. If that Pokémon is now a Stage 1 Pokémon, search your deck for a Stage 2 Pokémon that evolves from that Pokémon and put it onto that Pokémon to evolve it. Then, shuffle your deck.","[1GG] Calming Hurricane (150)
<br>Heal 30 damage from this Pokémon.","<span style=""color:Teal""><strong>[GGG+] Tropical Hour GX (200)</strong>
<br>If this Pokémon has at least 3 extra Energy attached to it <em>(in addition to this attack's cost)</em>, your opponent shuffles all Energy from all of their Pokémon into their deck.<em>(You can't use more than 1 GX attack in a game.)</em></span>",Rx2,None,3,
194917,Rowlet & Alolan Exeggutor GX (Alternate Full Art),Rowlet and Alolan Exeggutor GX Alternate Full Art,https://tcgplayer-cdn.tcgplayer.com/product/194917_200w.jpg,3,2464,https://cpt.tcgcsv.com/m-z2,2026-02-02T19:49:19.78,1,,109.99,139.99,1000.0,123.91,149.94,Holofoil,215/236,Ultra Rare,Grass,270,Basic,"[0] Super Growth
<br>Search your deck for a card that evolves from 1 of your Grass Pokémon and put it onto that Pokémon to evolve it. If that Pokémon is now a Stage 1 Pokémon, search your deck for a Stage 2 Pokémon that evolves from that Pokémon and put it onto that Pokémon to evolve it. Then, shuffle your deck.","[1GG] Calming Hurricane (150)
<br>Heal 30 damage from this Pokémon.","<span style=""color:Teal""><strong>[GGG+] Tropical Hour GX (200)</strong>
<br>If this Pokémon has at least 3 extra Energy attached to it <em>(in addition to this attack's cost)</em>, your opponent shuffles all Energy from all of their Pokémon into their deck.<em>(You can't use more than 1 GX attack in a game.)</em></span>",Rx2,None,3,
194918,Yanma,Yanma,https://tcgplayer-cdn.tcgplayer.com/product/194918_200w.jpg,3,2464,https://cpt.tcgcsv.com/n-z2,2025-02-07T20:02:54.81,1,,0.03,0.2,1.49,0.11,,Normal,2/236,Common,Grass,70,Basic,[1] Tackle (10),[2] Cutting Wind (20),,Rx2,None,1,
194918,Yanma,Yanma,https://tcgplayer-cdn.tcgplayer.com/product/194918_200w.jpg,3,2464,https://cpt.tcgcsv.com/n-z2,2025-02-07T20:02:54.81,1,,0.2,0.4,1.49,0.4,,Reverse Holofoil,2/236,Common,Grass,70,Basic,[1] Tackle (10),[2] Cutting Wind (20),,Rx2,None,1,
194919,Yanmega,Yanmega,https://tcgplayer-cdn.tcgplayer.com/product/194919_200w.jpg,3,2464,https://cpt.tcgcsv.com/p-z2,2022-03-29T17:20:58.917,1,,0.2,0.46,1.49,0.48,,Reverse Holofoil,3/236,Uncommon,Grass,120,Stage 1,[2] Tackle (50),"[3] Air Slash (100)
<br>Discard an Energy from this Pokémon.",,Rx2,None,1,
194919,Yanmega,Yanmega,https://tcgplayer-cdn.tcgplayer.com/product/194919_200w.jpg,3,2464,https://cpt.tcgcsv.com/p-z2,2022-03-29T17:20:58.917,1,,0.05,0.24,1.49,0.12,,Normal,3/236,Uncommon,Grass,120,Stage 1,[2] Tackle (50),"[3] Air Slash (100)
<br>Discard an Energy from this Pokémon.",,Rx2,None,1,
194920,Celebi,Celebi,https://tcgplayer-cdn.tcgplayer.com/product/194920_200w.jpg,3,2464,https://cpt.tcgcsv.com/q-z2,2025-01-03T04:49:30.183,1,,0.89,2.19,99.99,2.2,96.94,Holofoil,4/236,Holo Rare,Grass,80,Basic,"[G] Time Spiral
<br>Devolve 1 of your opponent's evolved Pokémon by shuffling the highest Stage Evolution card on it into your opponent's deck.","[G] Mind Bend (20)
<br>Your opponent's Active Pokémon is now Confused.",,Rx2,None,1,
194920,Celebi,Celebi,https://tcgplayer-cdn.tcgplayer.com/product/194920_200w.jpg,3,2464,https://cpt.tcgcsv.com/q-z2,2025-01-03T04:49:30.183,1,,0.79,2.09,96.94,1.89,4.39,Reverse Holofoil,4/236,Holo Rare,Grass,80,Basic,"[G] Time Spiral
<br>Devolve 1 of your opponent's evolved Pokémon by shuffling the highest Stage Evolution card on it into your opponent's deck.","[G] Mind Bend (20)
<br>Your opponent's Active Pokémon is now Confused.",,Rx2,None,1,
194921,Shroomish,Shroomish,https://tcgplayer-cdn.tcgplayer.com/product/194921_200w.jpg,3,2464,https://cpt.tcgcsv.com/r-z2,2025-02-07T20:02:54.853,1,,0.04,0.19,1.49,0.16,,Normal,5/236,Common,Grass,60,Basic,"[G] Poison Powder
<br>Your opponent's Active Pokémon is now Poisoned.",,,Rx2,None,1,
194921,Shroomish,Shroomish,https://tcgplayer-cdn.tcgplayer.com/product/194921_200w.jpg,3,2464,https://cpt.tcgcsv.com/r-z2,2025-02-07T20:02:54.853,1,,0.25,0.4,1.66,0.36,,Reverse Holofoil,5/236,Common,Grass,60,Basic,"[G] Poison Powder
<br>Your opponent's Active Pokémon is now Poisoned.",,,Rx2,None,1,
194922,Sewaddle (6),Sewaddle 6,https://tcgplayer-cdn.tcgplayer.com/product/194922_200w.jpg,3,2464,https://cpt.tcgcsv.com/s-z2,2026-01-15T06:01:10.51,1,,0.08,0.24,1.49,0.2,0.19,Normal,6/236,Common,Grass,50,Basic,"[1] Multiply
<br>Search your deck for up to 2 Sewaddle and put them onto your Bench. Then, shuffle your deck.",[1] Gnaw (10),,Rx2,None,1,
