productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extCardText,extAttack1,extAttack2,extAttack3,extWeakness,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extResistance
126027,Snorlax GX - SM05,Snorlax GX SM05,https://tcgplayer-cdn.tcgplayer.com/product/126027_200w.jpg,3,1861,https://cpt.tcgcsv.com/zq02,2025-11-20T20:28:39.823,1,SM05,Promo,Colorless,190,Basic,"<em>Pokémon-GX rule — When your Pokémon-GX is Knocked Out, your opponent takes 2 Prize cards.</em>","[3] Collapse (80)
<br>This Pokémon is now Asleep.","[5] Thunderous Snore (180)
<br>This attack can be used if this Pokémon is Asleep. If it is not Asleep, this attack does nothing.","<span style=""color:Teal""><strong>[5] Pulverizing Pancake GX (210)</strong>
<br>This Pokémon is now Asleep. <em>(You can't use more than 1 GX attack in a game.)</em></span>",Fx2,4,8.0,16.0,9999.0,16.42,5.44,Holofoil,
126029,Popplio - SM03,Popplio SM03,https://tcgplayer-cdn.tcgplayer.com/product/126029_200w.jpg,3,1861,https://cpt.tcgcsv.com/Cq02,2025-12-11T20:21:50.313,1,SM03,Promo,Water,60,Basic,,"[W] Sing
<br>Your opponent's Active Pokémon is now Asleep.",,,Gx2,1,0.4,1.17,999.99,1.25,96.94,Holofoil,
126030,Litten - SM02,Litten SM02,https://tcgplayer-cdn.tcgplayer.com/product/126030_200w.jpg,3,1861,https://cpt.tcgcsv.com/Dq02,2025-11-21T03:19:06.737,1,SM02,Promo,Fire,60,Basic,,[1R] Combustion (30),,,Wx2,1,0.5,1.14,96.95,1.15,96.95,Holofoil,
126031,Rowlet - SM01,Rowlet SM01,https://tcgplayer-cdn.tcgplayer.com/product/126031_200w.jpg,3,1861,https://cpt.tcgcsv.com/Fq02,2026-02-12T00:07:14.533,1,SM01,Promo,Grass,50,Basic,,"[G] Fury Attack (10x)
<br>Flip 3 coins. This attack does 10 damage for each heads.",,,Rx2,1,0.25,0.99,5.99,1.16,,Holofoil,
126032,Pikachu - SM04,Pikachu SM04,https://tcgplayer-cdn.tcgplayer.com/product/126032_200w.jpg,3,1861,https://cpt.tcgcsv.com/Gq02,2022-09-13T20:56:20.157,1,SM04,Promo,Lightning,70,Basic,,"[L] Thunder Wave
<br>Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.",[2L] Electro Ball (50),,Fx2,1,4.0,7.5,7.67,10.11,,Holofoil,M-20
127181,Shiinotic - SM10 (Prerelease),Shiinotic SM10 Prerelease,https://tcgplayer-cdn.tcgplayer.com/product/127181_200w.jpg,3,1861,https://cpt.tcgcsv.com/FT02,2022-09-14T14:26:17.833,1,SM10,Promo,Grass,100,Stage 1,"<strong>Ability — Illuminate</strong>
<br>
Once during your turn <em>(before your attack)</em>, you may search your deck for a Grass Pokémon, reveal it, and put it into your hand. Then, shuffle your deck.","[1G] Flickering Spores (30)
<br>Your opponent's Active Pokémon is now Asleep.",,,Rx2,2,12.99,17.5,20.99,19.25,,Holofoil,
127182,Shiinotic - SM10 (Prerelease) [Staff],Shiinotic SM10 Prerelease Staff,https://tcgplayer-cdn.tcgplayer.com/product/127182_200w.jpg,3,1861,https://cpt.tcgcsv.com/GT02,2022-09-14T14:26:54.6,1,SM10,Promo,Grass,100,Stage 1,"<strong>Ability — Illuminate</strong>
<br>
Once during your turn <em>(before your attack)</em>, you may search your deck for a Grass Pokémon, reveal it, and put it into your hand. Then, shuffle your deck.","[1G] Flickering Spores (30)
<br>Your opponent's Active Pokémon is now Asleep.",,,Rx2,2,21.99,30.99,39.99,40.0,,Holofoil,
127183,Bruxish - SM11 (Prerelease) [Staff],Bruxish SM11 Prerelease Staff,https://tcgplayer-cdn.tcgplayer.com/product/127183_200w.jpg,3,1861,https://cpt.tcgcsv.com/HT02,2022-09-09T19:57:06.68,1,SM11,Promo,Water,110,Basic,,"[1] Vivid Charge
<br>Search your deck for up to 3 basic Energy cards, reveal them, and put them into your hand. Then, shuffle your deck.","[1WW] Psychic Fangs (90)
<br>This attack's damage isn't affected by any effects on your opponent's Active Pokémon.",,Gx2,2,31.47,32.73,33.98,31.23,,Holofoil,
127184,Bruxish - SM11 (Prerelease),Bruxish SM11 Prerelease,https://tcgplayer-cdn.tcgplayer.com/product/127184_200w.jpg,3,1861,https://cpt.tcgcsv.com/JT02,2022-09-09T19:55:18.43,1,SM11,Promo,Water,110,Basic,,"[1] Vivid Charge
<br>Search your deck for up to 3 basic Energy cards, reveal them, and put them into your hand. Then, shuffle your deck.","[1WW] Psychic Fangs (90)
<br>This attack's damage isn't affected by any effects on your opponent's Active Pokémon.",,Gx2,2,8.5,9.1,9999.0,9.35,,Holofoil,
127185,Passimian - SM12 (Prerelease),Passimian SM12 Prerelease,https://tcgplayer-cdn.tcgplayer.com/product/127185_200w.jpg,3,1861,https://cpt.tcgcsv.com/KT02,2022-09-13T19:49:46.9,1,SM12,Promo,Fighting,110,Basic,,"[F] Fling
<br>
This attack does 30 damage to 1 of your opponent's Benched Pokémon. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em>","[2] Team Play (10+)
<br>This attack does 30 more damage for each of your Benched Passimian.",,Px2,1,7.94,9.26,12.0,9.49,,Holofoil,
127186,Passimian - SM12 (Prerelease) [Staff],Passimian SM12 Prerelease Staff,https://tcgplayer-cdn.tcgplayer.com/product/127186_200w.jpg,3,1861,https://cpt.tcgcsv.com/LT02,2022-09-13T19:50:49.363,1,SM12,Promo,Fighting,110,Basic,,"[F] Fling
<br>This attack does 30 damage to 1 of your opponent's Benched Pokémon. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em>","[2] Team Play (10+)
<br>This attack does 30 more damage for each of your Benched Passimian.",,Px2,1,59.06,74.53,90.0,54.95,,Holofoil,
127187,Oranguru - SM13 (Prerelease) [Staff],Oranguru SM13 Prerelease Staff,https://tcgplayer-cdn.tcgplayer.com/product/127187_200w.jpg,3,1861,https://cpt.tcgcsv.com/MT02,2022-09-13T19:45:15.703,1,SM13,Promo,Colorless,120,Basic,"<strong>Ability — Instruct</strong>
<br>
Once during your turn <em>(before your attack)</em>, you may draw cards until you have 3 cards in your hand.","[3] Psychic (60+)
<br>This attack does 20 more damage times the amount of Energy attached to your opponent's Active Pokémon.",,,Fx2,2,,,,,,,
127188,Oranguru - SM13 (Prerelease),Oranguru SM13 Prerelease,https://tcgplayer-cdn.tcgplayer.com/product/127188_200w.jpg,3,1861,https://cpt.tcgcsv.com/NT02,2022-09-13T19:43:23.777,1,SM13,Promo,Colorless,120,Basic,"<strong>Ability — Instruct</strong>
<br>
Once during your turn <em>(before your attack)</em>, you may draw cards until you have 3 cards in your hand.","[3] Psychic (60+)
<br>This attack does 20 more damage times the amount of Energy attached to your opponent's Active Pokémon.",,,Fx2,2,13.0,14.42,23.3,15.81,,Holofoil,
127511,Rockruff - SM06,Rockruff SM06,https://tcgplayer-cdn.tcgplayer.com/product/127511_200w.jpg,3,1861,https://cpt.tcgcsv.com/f022,2026-02-12T20:47:24.353,1,SM06,Promo,Fighting,60,Basic,,[1] Tackle (10),[1F] Rock Throw (20),,Gx2,1,0.3,0.6,5.0,0.65,0.62,Holofoil,
127512,Pikipek - SM07,Pikipek SM07,https://tcgplayer-cdn.tcgplayer.com/product/127512_200w.jpg,3,1861,https://cpt.tcgcsv.com/g022,2023-06-25T12:27:34.113,1,SM07,Promo,Fighting,60,Basic,,"[2] Nosedive (40)
<br>This Pokémon does 20 damage to itself.",,,Lx2,1,0.15,0.43,5.0,0.43,,Holofoil,F-20
127513,Litten - SM08,Litten SM08,https://tcgplayer-cdn.tcgplayer.com/product/127513_200w.jpg,3,1861,https://cpt.tcgcsv.com/h022,2025-11-20T18:33:30.907,1,SM08,Promo,Fire,60,Basic,,"[1] Collect 
<br>Draw a card.",[1R] Scratch (20),,Wx2,1,0.25,0.62,5.0,0.67,,Holofoil,
127514,Togedemaru - SM09,Togedemaru SM09,https://tcgplayer-cdn.tcgplayer.com/product/127514_200w.jpg,3,1861,https://cpt.tcgcsv.com/j022,2026-02-16T21:13:18.62,1,SM09,Promo,Lightning,70,Basic,,"[1] Defense Curl
<br>Flip a coin. If heads, prevent all damage done to this Pokémon by attacks during your opponent's next turn.","[L] Discharge (30x)
<br>Discard all Lightning Energy from this Pokémon. This attack does 30 damage for each card you discard in this way.",,Fx2,1,0.2,0.5,5.0,0.46,0.62,Holofoil,M-20
127520,Lycanroc GX - SM14,Lycanroc GX SM14,https://tcgplayer-cdn.tcgplayer.com/product/127520_200w.jpg,3,1861,https://cpt.tcgcsv.com/q022,2025-11-20T18:41:20.73,1,SM14,Promo,Fighting,200,Stage 1,"<em>Pokémon-GX rule — When your Pokémon-GX is Knocked Out, your opponent takes 2 Prize cards.</em>","[1F] Crunch (30)
<br>Discard an Energy from your opponent's Active Pokémon.",[1FF] Accelerock (120),"<span style=""color:Teal"">[1FF] Lycanfang GX (200)
<br>Discard 2 Energy from this Pokémon. <em>(You can't use more than 1 GX attack in a game.)</em></span>",Gx2,1,0.5,1.17,4.99,1.12,0.99,Holofoil,
