productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName
475425,Basic Grass Energy - 001,Basic Grass Energy 001,https://tcgplayer-cdn.tcgplayer.com/product/475425_200w.jpg,3,24382,https://cpt.tcgcsv.com/wbQ5,2026-02-10T00:21:21.2,1,001,Common,Basic Energy,0.01,0.15,1.51,0.17,0.01,Normal
475426,Basic Fire Energy - 002,Basic Fire Energy 002,https://tcgplayer-cdn.tcgplayer.com/product/475426_200w.jpg,3,24382,https://cpt.tcgcsv.com/xbQ5,2026-02-06T20:04:16.443,1,002,Common,Basic Energy,0.01,0.15,1.51,0.18,0.05,Normal
475427,Basic Water Energy - 003,Basic Water Energy 003,https://tcgplayer-cdn.tcgplayer.com/product/475427_200w.jpg,3,24382,https://cpt.tcgcsv.com/zbQ5,2026-02-10T00:22:16.483,1,003,Common,Basic Energy,0.01,0.13,2.0,0.14,0.05,Normal
475428,Basic Lightning Energy - 004,Basic Lightning Energy 004,https://tcgplayer-cdn.tcgplayer.com/product/475428_200w.jpg,3,24382,https://cpt.tcgcsv.com/BbQ5,2026-02-16T20:01:03.503,1,004,Common,Basic Energy,0.01,0.11,1.51,0.11,0.01,Normal
475429,Basic Psychic Energy - 005,Basic Psychic Energy 005,https://tcgplayer-cdn.tcgplayer.com/product/475429_200w.jpg,3,24382,https://cpt.tcgcsv.com/CbQ5,2026-02-06T20:03:22.143,1,005,Common,Basic Energy,0.01,0.16,1.51,0.27,0.05,Normal
475430,Basic Fighting Energy - 006,Basic Fighting Energy 006,https://tcgplayer-cdn.tcgplayer.com/product/475430_200w.jpg,3,24382,https://cpt.tcgcsv.com/DbQ5,2026-02-06T20:02:07.973,1,006,Common,Basic Energy,0.01,0.16,5.0,0.19,0.03,Normal
475430,Basic Fighting Energy - 006,Basic Fighting Energy 006,https://tcgplayer-cdn.tcgplayer.com/product/475430_200w.jpg,3,24382,https://cpt.tcgcsv.com/DbQ5,2026-02-06T20:02:07.973,1,006,Common,Basic Energy,0.15,0.43,5.25,0.3,,Holofoil
475431,Basic Darkness Energy - 007,Basic Darkness Energy 007,https://tcgplayer-cdn.tcgplayer.com/product/475431_200w.jpg,3,24382,https://cpt.tcgcsv.com/FbQ5,2026-02-10T00:16:17.88,1,007,Common,Basic Energy,0.01,0.15,5.0,0.21,0.05,Normal
475432,Basic Metal Energy - 008,Basic Metal Energy 008,https://tcgplayer-cdn.tcgplayer.com/product/475432_200w.jpg,3,24382,https://cpt.tcgcsv.com/GbQ5,2026-02-10T00:17:44.197,1,008,Common,Basic Energy,0.01,0.15,5.0,0.24,0.05,Normal
517177,Basic Grass Energy (Cosmos Holo),Basic Grass Energy Cosmos Holo,https://tcgplayer-cdn.tcgplayer.com/product/517177_200w.jpg,3,24382,https://cpt.tcgcsv.com/zT86,2026-03-12T17:09:49.49,1,001,Common,Basic Energy,0.15,0.75,100.0,0.7,0.99,Holofoil
517178,Basic Fire Energy (Cosmos Holo),Basic Fire Energy Cosmos Holo,https://tcgplayer-cdn.tcgplayer.com/product/517178_200w.jpg,3,24382,https://cpt.tcgcsv.com/BT86,2026-02-09T22:49:31.773,1,002,Common,Basic Energy,0.19,0.89,100.0,0.92,,Holofoil
517179,Basic Water Energy (Cosmos Holo),Basic Water Energy Cosmos Holo,https://tcgplayer-cdn.tcgplayer.com/product/517179_200w.jpg,3,24382,https://cpt.tcgcsv.com/CT86,2026-03-05T16:24:31.31,1,003,Common,Basic Energy,0.09,0.6,9.95,0.52,,Holofoil
517180,Basic Lightning Energy (Cosmos Holo),Basic Lightning Energy Cosmos Holo,https://tcgplayer-cdn.tcgplayer.com/product/517180_200w.jpg,3,24382,https://cpt.tcgcsv.com/DT86,2026-02-09T23:02:56.327,1,004,Common,Basic Energy,0.15,0.55,4.99,0.46,0.63,Holofoil
517181,Basic Psychic Energy (Cosmos Holo),Basic Psychic Energy Cosmos Holo,https://tcgplayer-cdn.tcgplayer.com/product/517181_200w.jpg,3,24382,https://cpt.tcgcsv.com/FT86,2026-02-16T21:08:02.39,1,005,Common,Basic Energy,0.15,0.74,100.0,0.69,0.9,Holofoil
517182,Basic Fighting Energy (Cosmos Holo),Basic Fighting Energy Cosmos Holo,https://tcgplayer-cdn.tcgplayer.com/product/517182_200w.jpg,3,24382,https://cpt.tcgcsv.com/GT86,2026-02-09T22:41:10.953,1,006,Common,Basic Energy,0.15,0.54,6.99,0.5,,Holofoil
517183,Basic Darkness Energy (Cosmos Holo),Basic Darkness Energy Cosmos Holo,https://tcgplayer-cdn.tcgplayer.com/product/517183_200w.jpg,3,24382,https://cpt.tcgcsv.com/HT86,2026-03-12T17:09:18.633,1,007,Common,Basic Energy,0.24,0.99,5.95,0.83,1.17,Holofoil
