productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extCardText,extUPC,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extWeakness,extResistance,extRetreatCost
206027,Sword & Shield Booster Box,Sword and Shield Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/206027_200w.jpg,3,2585,https://cpt.tcgcsv.com/zqG2,2020-02-06T16:32:17.473,1,Each Sword & Shield booster box contains 36 booster packs <em>(each containing random 10 cards)</em>.,0820650806513,669.98,788.0,1200.0,671.12,,Normal,,,,,,,,,,
206028,Sword & Shield Booster Pack,Sword and Shield Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/206028_200w.jpg,3,2585,https://cpt.tcgcsv.com/BqG2,2020-02-06T16:32:52.247,1,Each Sword & Shield booster pack contains 10 random cards.,,7.0,9.5,42.99,7.94,,Normal,,,,,,,,,,
206029,Sword & Shield 3 Pack Blister [Morpeko],Sword and Shield 3 Pack Blister Morpeko,https://tcgplayer-cdn.tcgplayer.com/product/206029_200w.jpg,3,2585,https://cpt.tcgcsv.com/CqG2,2020-02-29T13:31:01.237,1,"Each 3 Pack blister comes with 3 Sword & Shield Booster packs, 1 coin, and a cosmos holofoil of Morpeko.",0820650806551,69.95,69.95,69.95,49.99,,Normal,,,,,,,,,,
206030,Sword & Shield 3 Pack Blister [Galarian Ponyta],Sword and Shield 3 Pack Blister Galarian Ponyta,https://tcgplayer-cdn.tcgplayer.com/product/206030_200w.jpg,3,2585,https://cpt.tcgcsv.com/DqG2,2020-02-29T13:31:09.263,1,"Each 3 Pack blister comes with 3 Sword & Shield Booster packs, 1 coin, and a cosmos holofoil of Galarian Ponyta.",0820650806551,,,,,,,,,,,,,,,,
206031,Sword & Shield Single Blister Pack [Wooloo],Sword and Shield Single Blister Pack Wooloo,https://tcgplayer-cdn.tcgplayer.com/product/206031_200w.jpg,3,2585,https://cpt.tcgcsv.com/FqG2,2019-12-12T18:15:35.46,1,"Each blister comes with a booster pack containing 10 cards, a promotional foil Wooloo, and a collectible Pokemon coin!",0820650806568,25.0,25.0,25.0,14.33,,Normal,,,,,,,,,,
206032,Sword & Shield Single Blister Pack [Gossifleur],Sword and Shield Single Blister Pack Gossifleur,https://tcgplayer-cdn.tcgplayer.com/product/206032_200w.jpg,3,2585,https://cpt.tcgcsv.com/GqG2,2019-12-12T18:16:34.463,1,"Each blister comes with a booster pack containing 10 cards, a promotional foil Gossifleur, and a collectible Pokemon coin!",0820650806568,25.0,25.0,25.0,16.0,,Normal,,,,,,,,,,
206033,Sword & Shield Build & Battle Display,Sword and Shield Build and Battle Display,https://tcgplayer-cdn.tcgplayer.com/product/206033_200w.jpg,3,2585,https://cpt.tcgcsv.com/HqG2,2021-04-14T12:59:37.843,1,Each sealed display contains 10 Sword & Shield Build & Battle Boxes.,0820650806735,1200.99,1200.99,1200.99,,,Normal,,,,,,,,,,
206034,Sword & Shield Theme Deck Display,Sword and Shield Theme Deck Display,https://tcgplayer-cdn.tcgplayer.com/product/206034_200w.jpg,3,2585,https://cpt.tcgcsv.com/JqG2,2020-03-11T13:37:40.907,1,"Each display contains 12 trial decks, 4 of each 3 different starter Pokemon for Sword & Shield.",0820650806599,,,,,,,,,,,,,,,,
206035,Sword & Shield Theme Deck [Cinderace],Sword and Shield Theme Deck Cinderace,https://tcgplayer-cdn.tcgplayer.com/product/206035_200w.jpg,3,2585,https://cpt.tcgcsv.com/KqG2,2020-03-11T13:37:28.94,1,Sword & Shield trial deck featuring Cinderace.,0820650806599,18.0,21.06,50.0,21.49,,Normal,,,,,,,,,,
206036,Sword & Shield Theme Deck [Inteleon],Sword and Shield Theme Deck Inteleon,https://tcgplayer-cdn.tcgplayer.com/product/206036_200w.jpg,3,2585,https://cpt.tcgcsv.com/LqG2,2020-03-11T13:37:32.79,1,Sword & Shield trial deck featuring Inteleon.,0820650806599,13.0,15.79,75.0,13.57,,Normal,,,,,,,,,,
206037,Sword & Shield Theme Deck [Rillaboom],Sword and Shield Theme Deck Rillaboom,https://tcgplayer-cdn.tcgplayer.com/product/206037_200w.jpg,3,2585,https://cpt.tcgcsv.com/MqG2,2020-03-11T13:37:36.847,1,Sword & Shield trial deck featuring Rillaboom.,0820650806599,14.24,19.24,20.56,17.13,,Normal,,,,,,,,,,
206038,Sword & Shield Elite Trainer Box [Zacian],Sword and Shield Elite Trainer Box Zacian,https://tcgplayer-cdn.tcgplayer.com/product/206038_200w.jpg,3,2585,https://cpt.tcgcsv.com/NqG2,2023-02-17T20:22:17.583,1,"A new era in the Pokemon Trading Card Game is here with the debut of the Pokemon TCG: Sword & Shield expansion. This Elite Trainer Box is a great way to start your collection of Galar region Pokemon. This collector's box will get your collection started off right with eight Sword & Shield booster packs, a selection of Energy cards, and 65 card sleeves featuring the Legendary Pokemon Zacian or Zamazenta to keep your cards well protected. You'll also get accessories like dice and acrylic condition markers along with a player's guide filled with useful strategies and images of every card in the expansion. Both collectors and competitive Pokemon TCG players will find a lot to enjoy in the Pokemon TCG: Sword & Shield Elite Trainer Box!

<br><br><strong>Contents:</strong>
<br>• 8 Pokemon TCG: Sword & Shield booster packs
<br>• 65 card sleeves featuring Zacian
<br>• 45 Pokemon TCG Energy cards
<br>• A player's guide to the Sword & Shield expansion
<br>• 6 damage-counter dice
<br>• 1 competition-legal coin-flip die
<br>• 2 acrylic condition markers
<br>• A collector's box to hold everything, with 4 dividers to keep it organized
<br>• A code card for the Pokemon Trading Card Game Online",0820650806704,148.0,187.0,999.99,132.93,,Normal,,,,,,,,,,
206039,Sword & Shield Elite Trainer Box [Zamazenta],Sword and Shield Elite Trainer Box Zamazenta,https://tcgplayer-cdn.tcgplayer.com/product/206039_200w.jpg,3,2585,https://cpt.tcgcsv.com/PqG2,2023-02-17T20:23:31.073,1,"A new era in the Pokemon Trading Card Game is here with the debut of the Pokemon TCG: Sword & Shield expansion. This Elite Trainer Box is a great way to start your collection of Galar region Pokemon. This collector's box will get your collection started off right with eight Sword & Shield booster packs, a selection of Energy cards, and 65 card sleeves featuring the Legendary Pokemon Zacian or Zamazenta to keep your cards well protected. You'll also get accessories like dice and acrylic condition markers along with a player's guide filled with useful strategies and images of every card in the expansion. Both collectors and competitive Pokemon TCG players will find a lot to enjoy in the Pokemon TCG: Sword & Shield Elite Trainer Box!

<br><br><strong>Contents:</strong>
<br>• 8 Pokemon TCG: Sword & Shield booster packs
<br>• 65 card sleeves featuring Zamazenta
<br>• 45 Pokemon TCG Energy cards
<br>• A player's guide to the Sword & Shield expansion
<br>• 6 damage-counter dice
<br>• 1 competition-legal coin-flip die
<br>• 2 acrylic condition markers
<br>• A collector's box to hold everything, with 4 dividers to keep it organized
<br>• A code card for the Pokemon Trading Card Game Online",0820650806704,133.01,159.99,999.99,129.56,,Normal,,,,,,,,,,
206040,Sword & Shield Build & Battle Box,Sword and Shield Build and Battle Box,https://tcgplayer-cdn.tcgplayer.com/product/206040_200w.jpg,3,2585,https://cpt.tcgcsv.com/QqG2,2019-12-12T18:36:58.7,1,"Build & Battle Box contents:
<br>• A 23-card Evolution pack featuring key cards from current and prior sets, including 1 of 4 alternate-art promo cards
<br>• 4 Pokemon TCG: Sword & Shield booster packs
<br>• 1 deck-building tip sheet",0820650806735,65.0,79.96,99.98,65.62,,Normal,,,,,,,,,,
206044,Sword & Shield Trial Deck [Set of 3],Sword and Shield Trial Deck Set of 3,https://tcgplayer-cdn.tcgplayer.com/product/206044_200w.jpg,3,2585,https://cpt.tcgcsv.com/VqG2,2019-12-12T18:43:38.327,1,"Collect one of each Sword & Shield trial decks featuring Cinderace, Inteleon, and Rilleboom.",0820650806599,72.91,72.93,72.95,,,Normal,,,,,,,,,,
206046,Keldeo V,Keldeo V,https://tcgplayer-cdn.tcgplayer.com/product/206046_200w.jpg,3,2585,https://cpt.tcgcsv.com/XqG2,2025-10-31T18:07:12.477,1,,,0.5,1.11,5.99,1.05,0.74,Holofoil,053/202,Ultra Rare,Water,210,Basic,[W] Wave Splash (40),"[3] Secret Sword (50+)
<br>This attack does 30 more damage for each Water Energy attached to this Pokemon.",Lx2,None,2
206047,Celebi V,Celebi V,https://tcgplayer-cdn.tcgplayer.com/product/206047_200w.jpg,3,2585,https://cpt.tcgcsv.com/ZqG2,2026-02-06T18:38:23.83,1,,,0.89,1.66,6.97,1.48,1.67,Holofoil,001/202,Ultra Rare,Grass,180,Basic,"[G] Find a Friend
<br>Search your deck for up to 2 Pokemon, reveal them, and put them into your hand. Then, shuffle your deck.","[1G] Line Force (50+)
<br>This attack does 20 more damage for each of your Benched Pokemon.",Rx2,None,1
