productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extCardText,extUPC,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extWeakness,extResistance,extRetreatCost,extAttack2
210561,Rebel Clash Booster Box,Rebel Clash Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/210561_200w.jpg,3,2626,https://cpt.tcgcsv.com/ffJ2,2021-01-08T22:26:02.507,1,Each Rebel Clash booster box contains 36 booster packs. <em>(Each pack contains 10 random cards)</em>,0820650816819,484.01,799.99,1200.0,498.09,,Normal,,,,,,,,,,
210562,Rebel Clash Booster Pack,Rebel Clash Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/210562_200w.jpg,3,2626,https://cpt.tcgcsv.com/gfJ2,2020-04-23T21:35:34.173,1,Each Rebel Clash booster pack contains 10 random cards.,0820650806810,6.59,9.98,50.0,8.64,,Normal,,,,,,,,,,
210563,Polteageist V Box,Polteageist V Box,https://tcgplayer-cdn.tcgplayer.com/product/210563_200w.jpg,3,2626,https://cpt.tcgcsv.com/hfJ2,2020-04-23T21:33:08.287,1,"The Pokémon TCG: Polteageist V Box includes:
<br>• 1 foil card featuring Polteageist V
<br>• 1 oversize card of Polteageist V, suitable for display
<br>• 4 Pokémon TCG booster packs
<br>• A code card for the Pokémon Trading Card Game Online",0820650807084,110.0,110.0,110.0,104.98,,Normal,,,,,,,,,,
210564,Rebel Clash Single Pack Blister [Mantine],Rebel Clash Single Pack Blister Mantine,https://tcgplayer-cdn.tcgplayer.com/product/210564_200w.jpg,3,2626,https://cpt.tcgcsv.com/jfJ2,2020-04-23T21:36:28.903,1,"Each blister comes with 1 Rebel Clash booster pack, a coin, and a promotional card of Mantine.",0820650806568,,,,,,,,,,,,,,,,
210565,Rebel Clash Single Pack Blister [Noctowl],Rebel Clash Single Pack Blister Noctowl,https://tcgplayer-cdn.tcgplayer.com/product/210565_200w.jpg,3,2626,https://cpt.tcgcsv.com/kfJ2,2020-04-23T21:36:32.42,1,"Each blister comes with 1 Rebel Clash booster pack, a coin, and a promotional card of Noctowl.",0820650806568,20.0,20.0,20.0,17.59,,Normal,,,,,,,,,,
210566,Sword & Shield Figure Collection,Sword and Shield Figure Collection,https://tcgplayer-cdn.tcgplayer.com/product/210566_200w.jpg,3,2626,https://cpt.tcgcsv.com/lfJ2,2020-04-23T21:37:32.433,1,"The Pokémon TCG: Sword & Shield Figure Collection includes:
<br>• 1 full-art foil card featuring Pikachu!
<br>• 1 figure of Grookey, Scorbunny, and Sobble together
<br>• 4 Pokémon TCG booster packs
<br>• A code card for the Pokémon Trading Card Game Online",0820650807060,235.0,250.0,300.0,203.5,,Normal,,,,,,,,,,
210567,Rebel Clash 3 Pack Blister [Duraludon],Rebel Clash 3 Pack Blister Duraludon,https://tcgplayer-cdn.tcgplayer.com/product/210567_200w.jpg,3,2626,https://cpt.tcgcsv.com/mfJ2,2020-04-23T21:34:35.25,1,"Each 3 Pack blister comes with 3 Rebel Clash booster packs, 1 coin, and a promotional card of Duraludon.",0820650806858,25.0,47.48,69.95,37.99,,Normal,,,,,,,,,,
210568,Rebel Clash 3 Pack Blister [Rayquaza],Rebel Clash 3 Pack Blister Rayquaza,https://tcgplayer-cdn.tcgplayer.com/product/210568_200w.jpg,3,2626,https://cpt.tcgcsv.com/nfJ2,2020-04-23T21:34:20.583,1,"Each 3 Pack blister comes with 3 Rebel Clash booster packs, 1 coin, and a promotional card of Rayquaza.",0820650806858,39.99,54.99,69.95,41.82,,Normal,,,,,,,,,,
210569,Rebel Clash Theme Deck Display,Rebel Clash Theme Deck Display,https://tcgplayer-cdn.tcgplayer.com/product/210569_200w.jpg,3,2626,https://cpt.tcgcsv.com/pfJ2,2020-04-23T21:35:14.737,1,"Each display contains 8 trial decks, 4 of each 2 different signature Legendary Pokemon for Sword & Shield.",0820650816895,,,,,,,,,,,,,,,,
210570,Rebel Clash Theme Deck [Zamazenta],Rebel Clash Theme Deck Zamazenta,https://tcgplayer-cdn.tcgplayer.com/product/210570_200w.jpg,3,2626,https://cpt.tcgcsv.com/qfJ2,2022-12-23T16:45:04.44,1,Rebel Clash trial deck featuring Zamazenta.,0820650806896,28.0,28.0,28.0,26.63,,Normal,,,,,,,,,,
