productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extCardText,extUPC,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extWeakness,extResistance,extRetreatCost
242434,Evolving Skies Elite Trainer Box [Flareon/Jolteon/Umbreon/Leafeon],Evolving Skies Elite Trainer Box Flareon Jolteon Umbreon Leafeon,https://tcgplayer-cdn.tcgplayer.com/product/242434_200w.jpg,3,2848,https://cpt.tcgcsv.com/J-X2,2021-08-27T04:03:10.16,3,"<em>(This product is not the Pokemon Center Exclusive)</em>
<br><br>THE POKÉMON TCG: SWORD & SHIELD — EVOLVING SKIES ELITE TRAINER BOX includes:
<br>• 8 Pokémon TCG: Sword & Shield—Evolving Skies booster packs
<br>• 65 card sleeves featuring Eevee’s Evolutions—Flareon, Jolteon, Umbreon, & Leafeon
<br>• 45 Pokémon TCG Energy cards
<br>• A player’s guide
<br>• A Pokémon TCG rulebook
<br>• 6 damage-counter dice
<br>• 1 competition-legal coin-flip die
<br>• 2 acrylic condition markers
<br>• A collector’s box to hold everything, with 4 dividers to keep it organized
<br>• A code card for the Pokémon Trading Card Game Online",0820650828942,529.96,606.48,9999.99,461.12,,Normal,,,,,,,,,,
242435,Evolving Skies 3 Pack Blister [Eiscue],Evolving Skies 3 Pack Blister Eiscue,https://tcgplayer-cdn.tcgplayer.com/product/242435_200w.jpg,3,2848,https://cpt.tcgcsv.com/K-X2,2021-08-27T04:03:10.16,1,"Each 3 Pack blister comes with 3 Sword & Shield—Evolving Skies booster packs, 1 coin, and a promotional card of Eiscue.",0820650828812,161.0,200.99,210.0,162.58,,Normal,,,,,,,,,,
242436,Evolving Skies Booster Box,Evolving Skies Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/242436_200w.jpg,3,2848,https://cpt.tcgcsv.com/L-X2,2021-08-27T04:03:10.16,1,Each Sword & Shield—Evolving Skies booster box contains 36 booster packs. <em>(Each pack contains 10 random cards)</em>,0820650818776,2599.99,3380.0,12000.0,2524.91,,Normal,,,,,,,,,,
242437,Evolving Skies Premium Checklane Blister [Luxray],Evolving Skies Premium Checklane Blister Luxray,https://tcgplayer-cdn.tcgplayer.com/product/242437_200w.jpg,3,2848,https://cpt.tcgcsv.com/M-X2,2021-08-27T04:03:10.16,1,"Contains 1 Sword & Shield—Evolving Skies booster pack, a TCGO Code, Coin and 3 cards with an evolution line.",,99.99,99.99,99.99,49.99,,Normal,,,,,,,,,,
242438,Evolving Skies Sleeved Booster Pack,Evolving Skies Sleeved Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/242438_200w.jpg,3,2848,https://cpt.tcgcsv.com/N-X2,2021-08-27T04:03:10.16,1,Each Sword & Shield—Evolving Skies sleeved booster pack contains 10 random cards.,0820650808814,45.0,64.99,100.0,50.37,,Normal,,,,,,,,,,
242443,Evolving Skies Elite Trainer Box [Glaceon/Vaporeon/Sylveon/Espeon],Evolving Skies Elite Trainer Box Glaceon Vaporeon Sylveon Espeon,https://tcgplayer-cdn.tcgplayer.com/product/242443_200w.jpg,3,2848,https://cpt.tcgcsv.com/T-X2,2021-08-27T04:03:10.16,2,"<em>(This product is not the Pokemon Center Exclusive)</em>
<br><br>THE POKÉMON TCG: SWORD & SHIELD — EVOLVING SKIES ELITE TRAINER BOX includes:
<br>• 8 Pokémon TCG: Sword & Shield—Evolving Skies booster packs
<br>• 65 card sleeves featuring Eevee’s Evolutions—Glaceon, Vaporeon, Sylveon, & Espeon
<br>• 45 Pokémon TCG Energy cards
<br>• A player’s guide
<br>• A Pokémon TCG rulebook
<br>• 6 damage-counter dice
<br>• 1 competition-legal coin-flip die
<br>• 2 acrylic condition markers
<br>• A collector’s box to hold everything, with 4 dividers to keep it organized
<br>• A code card for the Pokémon Trading Card Game Online",0820650828942,514.95,598.98,9999.99,462.56,,Normal,,,,,,,,,,
242444,Evolving Skies 3 Pack Blister [Umbreon],Evolving Skies 3 Pack Blister Umbreon,https://tcgplayer-cdn.tcgplayer.com/product/242444_200w.jpg,3,2848,https://cpt.tcgcsv.com/V-X2,2021-08-27T04:03:10.16,1,"Each 3 Pack blister comes with 3 Sword & Shield—Evolving Skies booster packs, 1 coin, and a promotional card of Umbreon.",0820650828812,194.2,240.0,1999.99,200.1,,Normal,,,,,,,,,,
242445,Evolving Skies Premium Checklane Blister [Emboar],Evolving Skies Premium Checklane Blister Emboar,https://tcgplayer-cdn.tcgplayer.com/product/242445_200w.jpg,3,2848,https://cpt.tcgcsv.com/W-X2,2021-08-27T04:03:10.16,1,"Contains 1 Sword & Shield—Evolving Skies booster pack, a TCGO Code, Coin and 3 cards with an evolution line.",,54.95,54.95,54.95,49.99,,Normal,,,,,,,,,,
242447,Evolving Skies Single Pack Blister [Eevee],Evolving Skies Single Pack Blister Eevee,https://tcgplayer-cdn.tcgplayer.com/product/242447_200w.jpg,3,2848,https://cpt.tcgcsv.com/Z-X2,2021-08-27T04:03:10.16,1,"Each blister comes with 1 Evolving Skies booster pack, a coin, and a promotional card of Eevee.",820650828829,59.88,80.0,199.99,59.88,,Normal,,,,,,,,,,
242448,Evolving Skies Single Pack Blister [Galarian Slowpoke],Evolving Skies Single Pack Blister Galarian Slowpoke,https://tcgplayer-cdn.tcgplayer.com/product/242448_200w.jpg,3,2848,https://cpt.tcgcsv.com/--X2,2021-08-27T04:03:10.16,1,"Each blister comes with 1 Evolving Skies booster pack, a coin, and a promotional card of Galarian Slowpoke.",820650828829,69.99,78.99,100.0,57.65,,Normal,,,,,,,,,,
