productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardText
264202,Boltund V,Boltund V,https://tcgplayer-cdn.tcgplayer.com/product/264202_200w.jpg,3,3020,https://cpt.tcgcsv.com/3J73,2025-12-04T16:02:36.887,1,TG13/TG30,Ultra Rare,Lightning,200,Basic,"[L] Electrify
<br>Search your deck for up to 2 Lightning Energy cards and attach them to your Benched Pokemon in any way you like. Then, shuffle your deck.","[1L] Bolt Storm (10+)
<br>This attack does 30 more damage for each Lightning Energy attached to all of your Pokemon.",Fx2,None,2,7.5,10.4,38.23,10.15,14.99,Holofoil,
264203,Cafe Master,Cafe Master,https://tcgplayer-cdn.tcgplayer.com/product/264203_200w.jpg,3,3020,https://cpt.tcgcsv.com/5J73,2026-03-06T18:28:44.207,1,TG25/TG30,Ultra Rare,Supporter,,,,,,,,1.09,2.0,999.99,1.88,4.29,Holofoil,"Choose up to 3 of your Benched Pokemon. For each of those Pokemon, search your deck for a different type of basic Energy card and attach it to that Pokemon. Then, shuffle your deck. Your turn ends."
264204,Ariados,Ariados,https://tcgplayer-cdn.tcgplayer.com/product/264204_200w.jpg,3,3020,https://cpt.tcgcsv.com/6J73,2026-01-15T02:40:38.457,1,TG09/TG30,Ultra Rare,Darkness,110,Stage 1,"[1D] Poison Sting (30)
<br>Your opponent's Active Pokémon is now Poisoned.",,Fx2,None,2,1.0,2.0,999.99,1.82,1.76,Holofoil,"<strong>Ability — Spider Net</strong>
<br>When you play this Pokémon from your hand to evolve 1 of your Pokémon during your turn, you may switch 1 of your opponent's Benched Evolution Pokémon with their Active Pokémon."
264205,Zekrom,Zekrom,https://tcgplayer-cdn.tcgplayer.com/product/264205_200w.jpg,3,3020,https://cpt.tcgcsv.com/7J73,2026-02-05T12:45:41.41,1,TG05/TG30,Ultra Rare,Lightning,130,Basic,[2] Slash (30),"[1LL] Wild Shock (130)
<br>This Pokémon also does 60 damage to itself. Your opponent's Active Pokémon is now Paralyzed.",Fx2,None,3,9.19,12.59,100.0,11.68,15.23,Holofoil,
264206,Umbreon VMAX,Umbreon VMAX,https://tcgplayer-cdn.tcgplayer.com/product/264206_200w.jpg,3,3020,https://cpt.tcgcsv.com/8J73,2026-02-05T12:45:32.057,1,TG23/TG30,Ultra Rare,Darkness,310,VMAX,[2D] Max Darkness (160),,Gx2,None,2,76.99,90.12,4321.0,82.81,89.99,Holofoil,"<strong>Ability — Dark Signal</strong>
<br>When you play this Pokemon from your hand to evolve 1 of your Pokemon during your turn, you may switch 1 of your opponent's Benched Pokemon with their Active Pokemon."
264207,Umbreon V,Umbreon V,https://tcgplayer-cdn.tcgplayer.com/product/264207_200w.jpg,3,3020,https://cpt.tcgcsv.com/9J73,2026-02-16T20:36:12.49,1,TG22/TG30,Ultra Rare,Darkness,200,Basic,"[D] Mean Look (30)
<br>During your opponent's next turn, the Defending Pokemon can't retreat.","[2D] Moonlight Blade (80+)
<br>If this Pokemon has any damage counters on it, this attack does 80 more damage.",Gx2,None,2,43.71,61.39,149.0,53.85,65.23,Holofoil,
264208,Sylveon VMAX,Sylveon VMAX,https://tcgplayer-cdn.tcgplayer.com/product/264208_200w.jpg,3,3020,https://cpt.tcgcsv.com/bJ73,2026-02-16T20:36:07.033,1,TG15/TG30,Ultra Rare,Psychic,310,VMAX,"[P] Precious Touch
<br>Attach an Energy card from your hand to 1 of your Benched Pokemon. If you do, heal 120 damage from that Pokemon.","[3] Max Harmony (70+)
<br>This attack does 30 more damage for each different type of Pokemon on your Bench.",Mx2,None,2,50.0,69.92,4321.0,57.08,65.67,Holofoil,
264209,Sylveon V,Sylveon V,https://tcgplayer-cdn.tcgplayer.com/product/264209_200w.jpg,3,3020,https://cpt.tcgcsv.com/cJ73,2022-08-26T10:21:38.09,1,TG14/TG30,Ultra Rare,Psychic,200,Basic,[2] Magical Shot (60),,Mx2,None,1,49.99,74.15,4321.0,55.87,77.97,Holofoil,"<strong>Ability — Dream Gift</strong>
<br>Once during your turn, you may search your deck for an Item card, reveal it, and put it into your hand. Then, shuffle your deck. If you use this Ability, your turn ends."
264210,Flareon,Flareon,https://tcgplayer-cdn.tcgplayer.com/product/264210_200w.jpg,3,3020,https://cpt.tcgcsv.com/dJ73,2026-02-05T12:36:19.293,1,TG01/TG30,Ultra Rare,Fire,110,Stage 2,[1RR] Fire Mane (100),,Wx2,None,2,12.85,17.34,4321.0,16.11,19.98,Holofoil,"<strong>Ability — Incandescent Awakening</strong>
<br>If this Pokémon has a Memory Capsule card attached, Grass Pokémon in play <em>(both yours and your opponent's)</em> have no Abilities."
264211,Vaporeon,Vaporeon,https://tcgplayer-cdn.tcgplayer.com/product/264211_200w.jpg,3,3020,https://cpt.tcgcsv.com/fJ73,2026-02-05T12:45:36.38,1,TG02/TG30,Ultra Rare,Water,110,Stage 1,[1W] Aurora Beam (70),,Lx2,None,2,10.59,19.0,79.99,18.34,19.0,Holofoil,"<strong>Ability — Torrential Awakening</strong>
<br>If this Pokémon has a Memory Capsule card attached to it, Fire Pokémon in play <em>(both yours and your opponent's)</em> have no Abilities."
